ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
NZ,NZL,New Zealand,2020-12-21,2020-12-21,425,1,3942.31340305988,1,3942.31340305988,22,413,2663254.603025717,347,1,2,422,0,52,373,1,12,412,1,95,329,2,68,355,0,78,347,2,27,396,0,11,414,3,20,402,0,10,415,2,15,408,2,60,363,2,6,417,2,46,377,423,0,1,1,373,1,26,25,413,0,6,6,330,1,18,76,357,0,23,45,347,1,23,54,398,0,13,14,414,0,6,5,405,1,8,11,415,0,3,7,410,0,5,10,365,0,21,39,419,0,4,2,379,0,21,25,11,1,16,397,409,11,5,14,4,123,284,302,2,9,112,416,0,9,0,416,0,9,0,425,0,0,30,3,4,388,425,0,0,0,0,0,19,0,185,115,71,35,238,4,61,105,17,238,4,95,78,10,238,8,77,85,17,238,3,86,79,19,238,6,27,103,51,0,421,0,1,3,421,0,0,4,421,0,0,4,421,0,0,4,421,0,0,4,421,0,0,4,425,0,0,0,425,0,0,0,425,0,0,0,425,0,0,0,425,0,0,0,425,0,0,0,425,0,0,0,425,0,0,0,425,0,0,0,425,0,0,0,425,0,0,0,425,0,0,0,28,1,186,210,28,1,309,87,28,4,259,134,28,3,276,118,28,2,141,254,28,3,58,336,36,0,288,101,137,0,123,65,47,53,39,2,0,17,130,237,39,4,381,1,44,3,87,291,44,2,3,15,32,43,273,13,44,1,56,53,126,145,47,3,18,70,120,167,425,425,239,2,23,161,118,3,28,276,168,3,17,237,151,3,18,253,285,3,10,127,367,2,30,26,50,1,3,4,10,54,303,50,1,3,9,27,52,283,57,1,32,91,137,107,57,0,2,21,59,286,57,0,14,64,97,193,348,2,54,21,348,8,11,58,348,5,27,45,60,1,228,136,289,0,33,103,395,1,5,4,3,0,0,4,13,171,0,16,14,18,34,1,4,42,10,0,9,27,10,4,17,48,69,6,129,215,0,6,69,1,32,56,49,74,69,57,18,75,14,166,110,60,75,7,53,86,113,69,22,5.972067039106145,7.52555956902483,1.2857142857142858,0.9944903161976938,13.175632911392405,5.294951885632897,2.937125748502994,1.4453816278775287
NZ,NZL,New Zealand,2020-12-22,2020-12-22,426,3,23688.98266075186,1,11605.008960461599,41,407,2756499.000875528,318,3,8,415,1,48,377,1,11,414,3,87,336,3,72,351,2,59,365,3,14,409,2,8,416,3,19,404,3,5,418,3,20,403,2,76,348,3,3,420,4,43,379,418,0,4,4,378,3,13,32,415,3,3,5,339,3,18,66,354,3,16,53,367,2,9,48,412,0,8,6,418,0,4,4,407,0,6,13,421,1,2,2,406,1,8,11,350,6,16,54,423,0,0,3,383,0,16,27,17,2,19,388,407,18,1,18,5,123,280,303,2,10,111,416,0,10,0,416,0,10,0,426,0,0,37,2,4,383,426,0,0,0,0,0,23,1,173,127,78,24,33,9,124,226,34,33,9,199,166,19,33,11,187,159,36,33,12,196,154,31,33,13,64,205,111,0,422,1,2,1,422,1,1,2,422,2,0,2,422,1,2,1,422,1,2,1,422,1,0,3,426,0,0,0,426,0,0,0,426,0,0,0,426,0,0,0,426,0,0,0,426,0,0,0,426,0,0,0,426,0,0,0,426,0,0,0,426,0,0,0,426,0,0,0,426,0,0,0,36,5,189,196,36,2,333,55,36,4,270,116,36,3,295,92,36,6,141,243,36,4,61,325,42,0,290,94,136,0,110,59,51,70,46,3,5,27,106,239,46,4,375,1,53,3,94,276,53,0,12,13,19,30,289,10,53,0,49,47,111,166,56,2,18,64,99,187,426,426,238,2,15,171,94,4,27,301,156,4,12,254,132,5,19,270,285,4,12,125,365,0,31,30,61,1,5,5,16,35,303,61,1,3,6,21,47,287,63,3,34,80,119,127,63,1,9,15,49,289,63,0,16,47,109,191,365,5,39,17,365,10,9,42,365,7,22,32,67,2,219,138,288,1,39,98,391,0,4,1,3,1,2,1,23,174,0,7,23,13,31,4,10,29,13,0,6,23,17,4,13,59,95,2,116,207,2,4,95,1,31,53,40,61,65,59,21,105,6,148,100,67,105,2,64,68,119,50,18,5.718604790419161,7.27253143805974,2.2222222222222223,1.4775000967674121,13.292207792207792,5.339210648970116,2.9012738853503186,1.5354589394637375
NZ,NZL,New Zealand,2020-12-23,2020-12-23,476,3,24140.15116813016,1,11058.175214633999,25,454,3003196.067215135,374,2,8,466,3,46,427,3,9,464,3,93,380,4,64,408,3,71,402,3,23,450,3,7,466,2,18,456,2,7,467,3,18,455,2,76,398,5,5,466,5,46,425,468,0,4,4,430,1,17,28,467,1,1,7,383,3,21,69,412,2,18,44,405,2,20,49,453,0,10,13,469,0,2,5,458,0,3,15,469,1,5,1,458,1,7,10,400,2,14,60,471,0,1,4,430,3,15,28,22,0,17,437,461,13,2,26,4,133,313,343,3,7,123,469,0,7,0,469,0,7,0,476,0,0,41,3,6,426,476,0,0,0,0,0,34,0,193,142,75,32,42,7,118,264,45,42,8,226,164,36,42,6,198,176,54,42,8,214,164,48,42,9,63,237,125,0,470,2,1,3,470,1,3,2,470,1,3,2,470,1,1,4,470,0,2,4,470,1,1,4,476,0,0,0,476,0,0,0,476,0,0,0,476,0,0,0,476,0,0,0,476,0,0,0,476,0,0,0,476,0,0,0,476,0,0,0,476,0,0,0,476,0,0,0,476,0,0,0,48,1,195,232,48,2,367,59,48,2,307,119,48,4,315,109,48,2,158,268,48,3,61,364,54,1,327,94,149,1,134,67,48,77,58,2,4,23,110,279,58,3,414,1,63,7,95,311,63,1,11,10,30,41,309,11,63,1,53,61,124,174,68,4,17,68,130,189,476,476,281,4,13,178,110,7,30,329,170,7,18,281,162,5,22,287,319,6,10,141,415,1,33,27,73,1,3,4,33,46,316,73,0,2,10,28,75,288,75,1,40,82,159,119,75,0,6,18,61,316,75,0,18,60,107,216,398,4,48,26,398,10,5,63,398,7,21,50,80,1,261,134,342,0,54,80,426,1,5,4,5,3,3,1,28,165,0,18,21,17,47,6,20,41,10,0,7,30,15,7,15,57,91,5,134,243,2,1,91,1,32,69,59,72,75,63,14,97,13,176,116,74,97,9,45,91,141,65,28,6.223118279569892,8.218630974112235,1.5714285714285714,0.7559289460184544,13.02094972067039,5.2636624619053105,3.0602739726027397,1.4831229790164562
NZ,NZL,New Zealand,2020-12-24,2020-12-24,322,3,23911.5794119668,2,14032.975225839411,24,311,2631235.2063303315,249,1,3,318,1,47,274,1,9,312,1,64,257,1,55,266,1,40,281,2,21,299,2,7,313,3,7,312,1,6,315,2,9,311,1,40,281,1,8,313,2,33,287,319,1,1,1,275,1,10,36,313,0,3,6,258,2,13,49,267,1,21,33,282,2,6,32,301,1,6,14,315,0,4,3,315,0,4,3,316,1,1,4,313,0,4,5,282,1,10,29,314,1,1,6,289,2,11,20,11,0,18,293,304,16,2,11,4,92,215,230,2,5,85,317,1,4,0,317,1,4,0,321,0,1,24,4,6,288,322,0,0,0,0,0,15,0,124,108,49,26,21,2,95,177,27,21,1,149,129,22,21,1,140,124,36,21,2,141,125,33,21,4,41,167,89,0,316,2,1,3,316,1,4,1,316,1,1,4,316,2,1,3,316,1,2,3,316,2,2,2,322,0,0,0,322,0,0,0,322,0,0,0,322,0,0,0,322,0,0,0,322,0,0,0,322,0,0,0,322,0,0,0,322,0,0,0,322,0,0,0,322,0,0,0,322,0,0,0,26,0,126,170,26,0,249,47,26,1,195,100,26,2,230,64,26,1,104,191,26,0,38,258,28,1,227,66,95,0,79,56,38,54,32,2,3,14,101,170,32,2,287,1,43,5,51,223,43,1,5,9,20,32,207,5,43,1,31,40,96,111,46,5,8,45,79,139,322,322,197,1,14,110,74,1,26,221,128,1,18,175,93,1,19,209,219,3,8,92,284,1,14,23,49,0,2,3,17,25,226,49,0,1,5,18,34,215,53,1,17,72,84,95,53,0,1,10,37,221,53,0,4,36,76,153,282,1,25,14,282,1,8,31,282,1,12,27,54,1,169,98,224,0,36,62,288,1,2,0,3,6,0,4,18,121,0,10,15,11,26,4,7,28,10,1,9,28,6,5,12,29,65,6,108,142,1,0,65,1,22,31,41,57,52,38,15,72,11,121,68,50,72,6,42,60,83,43,16,5.885496183206107,7.232024103701797,1.2941176470588236,0.6859943405700354,12.863070539419088,5.705619060701196,3.116182572614108,1.5501974174907596
NZ,NZL,New Zealand,2020-12-25,2020-12-25,403,2,18971.939115552028,1,6683.13203345003,23,395,3141494.725872903,328,3,2,398,2,43,358,4,8,391,3,51,349,1,61,341,3,53,347,2,22,379,3,7,393,2,10,391,3,3,397,2,19,382,3,50,350,2,1,400,3,30,370,401,0,1,1,360,0,16,27,395,0,2,6,352,1,10,40,342,1,17,43,350,0,9,44,381,0,10,12,396,0,2,5,393,0,5,5,400,0,1,2,384,0,5,14,353,1,13,36,402,0,0,1,373,1,7,22,7,1,17,378,389,11,3,12,6,107,278,296,1,6,100,397,0,6,0,397,0,6,0,403,0,0,25,6,5,367,403,0,0,0,0,0,14,0,167,124,66,32,19,10,117,226,31,19,10,192,159,23,19,8,174,167,35,19,6,185,159,34,19,10,69,210,95,0,398,3,1,1,398,2,2,1,398,3,1,1,398,2,1,2,398,3,0,2,398,2,1,2,403,0,0,0,403,0,0,0,403,0,0,0,403,0,0,0,403,0,0,0,403,0,0,0,403,0,0,0,403,0,0,0,403,0,0,0,403,0,0,0,403,0,0,0,403,0,0,0,24,2,125,252,24,4,262,113,24,1,212,166,24,1,304,74,24,2,135,242,24,3,33,343,28,1,300,74,103,0,82,78,82,58,32,5,5,20,127,214,32,3,367,1,40,3,74,286,40,0,8,4,21,37,283,10,40,1,36,51,136,139,41,5,21,47,123,166,403,403,278,3,14,108,141,4,20,238,191,4,17,191,99,4,29,271,268,4,11,120,370,1,17,15,49,2,5,6,8,46,287,49,0,2,7,29,53,263,57,2,39,82,109,114,57,0,8,11,38,289,57,1,16,37,88,204,352,4,32,15,352,8,10,33,352,5,18,28,63,2,211,127,276,0,58,69,347,2,8,1,9,3,1,2,30,138,0,14,17,17,30,2,12,34,12,1,8,21,13,14,13,57,70,3,133,192,1,4,70,1,32,42,51,72,72,47,16,73,9,180,85,56,73,6,49,65,118,73,19,5.246527777777778,6.49717435295141,1.3846153846153846,0.9607689228305227,12.749185667752442,5.655608384377491,3.19108280254777,1.579152350622468
NZ,NZL,New Zealand,2020-12-26,2020-12-26,472,0,0,0,0,24,457,2973072.2963905726,372,4,1,467,4,53,415,5,10,457,4,92,376,5,86,381,5,65,402,4,30,438,5,12,455,4,19,449,4,10,458,5,22,445,5,77,390,5,6,461,4,40,428,471,0,0,1,419,1,21,31,462,1,4,5,380,3,17,72,386,3,27,56,407,2,16,47,442,1,14,15,460,0,3,9,453,1,6,12,462,1,4,5,450,2,7,13,395,1,18,58,466,1,2,3,432,1,10,29,14,1,19,438,453,16,3,18,7,124,323,348,1,7,116,465,1,6,0,465,0,7,0,472,0,0,34,6,4,428,472,0,0,0,0,0,27,2,198,149,67,29,36,10,134,251,41,36,9,248,154,25,36,8,225,164,39,36,8,226,162,40,36,13,78,213,132,0,468,0,2,2,468,1,1,2,468,1,0,3,468,1,0,3,468,1,0,3,468,1,2,1,472,0,0,0,472,0,0,0,472,0,0,0,472,0,0,0,472,0,0,0,472,0,0,0,472,0,0,0,472,0,0,0,472,0,0,0,472,0,0,0,472,0,0,0,472,0,0,0,42,1,124,305,42,2,277,151,42,2,227,201,42,1,308,121,42,1,160,269,42,0,52,378,51,0,305,116,167,0,120,61,68,56,56,4,4,26,134,248,56,3,411,2,61,8,67,336,61,1,11,10,23,37,311,18,61,0,40,86,153,132,65,6,24,51,126,200,472,472,351,1,12,108,197,0,23,252,248,1,11,212,169,0,18,285,315,1,13,143,423,0,21,28,68,0,4,9,14,49,328,68,1,5,10,26,62,300,72,3,35,80,143,139,72,1,5,17,50,327,72,0,20,53,102,225,400,3,50,19,400,8,10,54,400,3,30,39,75,2,240,155,317,0,65,90,413,0,8,3,5,6,1,3,33,176,0,12,21,14,49,4,13,38,15,0,10,23,17,10,9,61,92,10,136,231,1,2,92,2,26,62,64,68,71,66,21,97,11,177,102,85,97,9,51,101,123,70,21,6.368421052631579,8.008662811819267,1.3333333333333333,0.4879500364742666,12.855153203342619,5.232704409514933,3.077777777777778,1.5971965535595702
NZ,NZL,New Zealand,2020-12-27,2020-12-27,449,1,4896.1640944315,1,4896.1640944315,29,428,2675364.6327047986,356,0,2,447,0,59,390,0,9,440,0,80,369,0,86,363,0,71,378,1,33,415,0,10,439,0,14,435,0,5,444,0,16,433,0,54,395,0,12,437,0,40,409,447,0,1,1,390,0,24,35,440,0,3,6,369,1,18,61,363,0,26,60,378,0,17,54,416,0,17,16,439,0,3,7,435,0,6,8,444,0,1,4,433,0,8,8,395,0,13,41,437,0,5,7,409,0,18,22,20,1,18,410,433,14,2,25,6,126,292,323,2,8,116,441,0,8,0,441,0,8,0,449,0,0,41,8,6,394,449,0,0,0,0,0,30,0,191,125,72,31,37,5,128,234,45,37,2,201,177,32,37,5,183,176,48,37,6,192,177,37,37,7,66,217,122,0,443,1,1,4,443,2,0,4,443,2,1,3,443,2,1,3,443,1,1,4,443,2,0,4,449,0,0,0,449,0,0,0,449,0,0,0,449,0,0,0,449,0,0,0,449,0,0,0,449,0,0,0,449,0,0,0,449,0,0,0,449,0,0,0,449,0,0,0,449,0,0,0,43,4,116,286,43,2,297,107,43,3,248,155,43,1,302,103,43,5,136,265,43,6,42,358,49,2,289,109,160,0,112,90,41,46,51,0,1,21,149,227,51,2,396,0,56,6,67,320,56,0,6,8,17,25,322,15,56,0,41,73,166,113,60,5,19,57,115,193,449,449,334,2,9,104,154,4,26,265,203,3,16,227,150,5,25,269,315,2,12,120,407,2,13,27,66,0,2,5,19,34,323,66,0,0,9,25,53,296,73,2,32,77,138,127,73,1,3,17,45,310,73,0,13,46,85,232,390,4,36,19,390,10,5,44,390,7,20,32,77,1,224,147,302,0,64,83,388,2,5,1,4,3,1,2,43,167,0,19,19,13,30,3,9,35,19,0,9,28,12,4,12,70,90,7,135,213,1,3,90,1,43,44,55,71,81,51,13,92,12,186,100,59,92,3,52,75,125,82,20,5.73314606741573,7.4642554766266995,1.6666666666666667,1.2909944487358056,12.351963746223564,5.390858205575535,3.0762463343108504,1.5567855223730553
NZ,NZL,New Zealand,2020-12-28,2020-12-27,100,0,0,0,0,5,92,643267.3567588974,59,0,1,99,0,10,90,0,1,99,0,18,82,0,14,86,0,13,87,0,6,94,0,2,98,0,4,96,0,1,99,0,3,97,0,13,87,0,1,99,0,11,89,99,0,0,1,90,0,4,6,99,0,0,1,82,0,2,16,86,1,5,8,87,0,4,9,94,0,5,1,98,0,1,1,96,0,2,2,99,0,0,1,97,0,2,1,87,0,2,11,99,0,0,1,89,0,5,6,8,0,5,87,96,2,2,11,0,28,61,72,1,3,24,97,0,3,0,97,0,3,0,100,0,0,15,1,4,80,100,0,0,0,0,0,14,1,45,24,10,6,20,0,25,44,11,20,1,39,31,9,20,0,40,28,12,20,0,39,31,10,20,1,15,44,20,0,96,0,0,4,96,1,0,3,96,1,1,2,96,1,1,2,96,1,0,3,96,1,0,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,23,1,23,53,23,1,60,16,23,2,52,23,23,0,57,20,23,1,27,49,23,2,10,65,23,1,56,20,44,0,27,10,7,12,23,0,0,5,24,48,23,1,76,0,23,2,12,63,23,0,2,2,3,7,60,3,23,0,10,17,28,22,25,0,5,11,26,33,100,100,77,0,2,21,40,0,4,56,48,1,3,48,43,0,3,54,73,0,2,25,90,0,6,4,28,0,0,0,2,6,64,28,0,1,0,5,9,57,29,0,2,8,31,30,29,0,0,4,8,59,29,0,0,10,14,47,90,0,6,4,90,0,2,8,90,0,2,8,30,0,46,24,76,0,9,15,91,0,1,0,0,1,0,0,7,47,0,1,4,2,8,1,3,7,0,0,3,7,3,1,0,13,38,1,23,35,1,2,38,0,9,4,8,10,16,14,1,40,1,42,10,7,40,0,10,12,19,16,3,3.9714285714285715,4.979284819220966,1,0,12.5,5.164827063560912,3.1355932203389827,1.7065555864396613
NZ,NZL,New Zealand,2020-12-30,2020-12-30,485,2,21914.840768761504,1,5352.0693604682,26,468,3027693.631844538,372,3,3,479,3,47,435,4,13,468,2,69,414,3,81,401,0,79,406,4,23,458,3,6,476,3,11,471,3,4,478,5,20,460,4,58,423,3,5,477,3,35,447,482,1,1,1,438,3,14,30,472,1,1,11,416,0,12,57,404,3,21,57,406,4,15,60,462,1,10,12,479,1,1,4,474,0,2,9,481,3,0,1,465,1,10,9,427,2,12,44,480,1,2,2,450,1,10,24,17,0,17,451,470,10,5,22,2,124,337,361,0,9,115,476,0,9,0,476,0,8,1,485,0,0,35,8,6,436,485,0,0,0,0,0,31,4,220,127,68,35,42,9,146,263,25,42,6,240,171,26,42,10,213,185,35,42,7,232,170,34,42,13,90,228,112,0,480,3,2,0,480,3,0,2,480,2,1,2,480,2,2,1,480,3,1,1,480,2,1,2,485,0,0,0,485,0,0,0,485,0,0,0,485,0,0,0,485,0,0,0,485,0,0,0,485,0,0,0,485,0,0,0,485,0,0,0,485,0,0,0,485,0,0,0,485,0,0,0,48,1,147,289,48,4,345,88,48,2,295,140,48,3,307,127,48,3,158,276,48,4,66,367,51,0,299,135,186,0,141,73,35,50,53,2,2,25,145,258,53,2,429,1,67,6,65,347,67,0,12,9,26,36,320,15,67,1,50,87,156,124,73,4,28,72,101,207,485,485,338,2,15,130,141,4,33,307,191,6,18,270,179,4,29,273,328,3,10,144,419,0,29,37,74,3,2,6,20,25,355,74,0,2,4,26,54,325,78,5,38,83,137,144,78,0,12,12,44,339,78,0,25,42,107,233,419,4,44,18,419,7,6,53,419,7,19,40,81,1,191,212,273,2,109,101,386,4,11,5,6,3,1,2,67,197,1,9,23,18,47,1,9,47,12,0,10,24,19,4,9,55,102,11,129,242,0,1,102,3,38,40,57,75,80,64,26,107,17,180,111,70,107,6,53,103,131,68,17,5.586021505376344,7.552741995698587,1.6,0.9856107606091623,12.64804469273743,5.308323792704534,2.865546218487395,1.5061169457177208
NZ,NZL,New Zealand,2020-12-31,2020-12-31,460,0,0,0,0,32,445,3077232.408511234,353,2,5,453,2,68,390,2,18,440,2,77,381,2,94,364,1,78,381,2,29,429,2,10,448,1,13,446,1,5,454,3,12,445,3,61,396,2,3,455,2,49,409,455,0,5,0,392,2,27,39,442,0,5,13,383,2,16,59,366,3,24,67,382,1,18,59,431,3,17,9,450,0,3,7,447,1,6,6,455,0,4,1,448,0,5,7,399,1,10,50,457,1,1,1,411,2,18,29,15,0,19,426,443,12,5,18,8,112,322,349,1,11,99,449,0,8,3,449,1,10,0,459,0,1,40,3,4,413,460,0,0,0,0,0,23,2,189,138,76,32,37,6,147,226,44,37,11,216,160,36,37,12,191,174,46,37,10,204,160,49,37,18,61,226,118,0,456,0,3,1,456,2,0,2,456,3,0,1,456,2,1,1,456,2,1,1,456,2,0,2,450,0,0,10,450,0,0,10,450,0,1,9,450,0,0,10,450,0,2,8,450,0,0,10,450,0,0,10,458,0,0,2,458,0,0,2,458,0,0,2,458,0,0,2,458,0,0,2,46,3,133,278,46,1,317,96,46,1,251,162,46,2,308,104,46,3,166,245,46,4,52,358,53,1,312,94,148,0,127,69,51,65,58,3,4,22,132,241,58,2,400,0,61,8,50,341,61,0,4,13,17,24,323,18,61,1,45,63,151,139,65,5,23,54,115,198,460,460,330,3,17,110,145,4,18,293,212,4,15,229,154,4,21,281,297,4,11,148,409,4,19,28,68,1,3,4,11,34,339,68,0,0,8,22,49,313,74,3,32,85,137,129,74,0,5,18,47,316,74,0,14,44,93,235,403,2,35,20,403,6,10,41,403,4,20,33,77,3,204,176,284,1,92,83,376,1,11,2,9,4,1,2,54,175,1,16,12,12,41,5,8,31,11,0,8,25,23,16,9,67,100,6,134,218,1,1,100,0,20,43,60,71,83,59,24,104,13,159,102,82,104,7,63,96,123,50,17,5.579081632653061,6.64889589241505,1.75,1.390443574307614,12.802941176470588,5.514608397541978,2.7797101449275363,1.4973406377665859
