ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
HU,HUN,Hungary,2020-12-21,2020-12-21,1287,3,16056.034473296098,3,16056.034473296098,218,1232,5756948.087763798,979,11,6,1270,11,150,1126,14,32,1241,7,302,978,11,213,1063,9,139,1139,9,70,1208,11,42,1234,11,49,1227,11,20,1256,9,61,1217,11,178,1098,12,37,1238,11,147,1129,1282,0,1,4,1141,8,16,122,1258,3,10,16,992,9,58,228,1076,7,35,169,1152,4,35,96,1217,4,15,51,1248,3,15,21,1241,1,18,27,1270,0,14,3,1230,3,19,35,1116,8,25,138,1255,1,17,14,1146,7,56,78,52,3,95,1137,1194,1,26,66,56,16,367,848,920,9,124,234,1163,23,98,3,1163,0,16,108,0,1271,2,14,0,206,8,204,869,1287,0,0,0,0,0,71,4,250,351,316,295,1137,4,41,63,42,1137,6,49,61,34,1137,8,46,57,39,1137,7,19,53,71,1137,9,9,42,90,0,1087,64,36,100,1087,56,50,94,1087,44,74,82,1087,57,40,103,1087,62,28,110,1087,56,30,114,1287,0,0,0,1287,0,0,0,1287,0,0,0,1287,0,0,0,1287,0,0,0,1287,0,0,0,1287,0,0,0,1287,0,0,0,1287,0,0,0,1287,0,0,0,1287,0,0,0,1287,0,0,0,120,22,425,720,120,16,810,341,120,32,277,858,120,24,629,514,120,32,47,1088,120,26,212,929,134,1,613,539,674,0,387,117,43,66,137,8,4,59,390,689,137,7,1138,5,143,18,156,970,143,0,895,148,34,11,4,52,143,4,403,230,268,239,150,19,147,481,322,168,156,5,247,869,10,171,14,182,902,18,866,5,343,73,481,6,792,8,1011,5,263,8,660,8,361,258,1240,2,32,13,1075,2,205,5,181,12,8,39,147,298,602,181,7,14,47,143,269,626,187,9,459,476,95,61,187,3,72,143,270,612,187,5,170,297,277,351,828,33,315,111,828,61,173,225,828,48,242,169,199,8,654,426,861,1,140,285,1153,3,23,1,17,21,10,3,56,508,3,27,45,51,77,10,37,76,108,1,26,53,39,19,24,183,280,23,445,533,2,4,280,9,66,147,187,190,182,185,41,294,31,437,341,184,294,27,177,381,296,94,18,3.391231343283582,3.1614053385487515,2.6216216216216215,1.8483810220876467,14.532157676348548,3.4900099396790196,2.2415611814345993,0.9833258702526909
HU,HUN,Hungary,2020-12-22,2020-12-22,1290,1,6894.90313271275,1,6894.90313271275,219,1245,5877561.897577648,968,4,7,1279,4,137,1149,4,27,1259,3,268,1019,3,212,1075,5,105,1180,4,75,1211,5,24,1261,4,45,1241,3,21,1266,5,58,1227,5,163,1122,3,25,1262,4,143,1143,1283,3,2,2,1153,6,20,111,1263,1,6,20,1022,7,37,224,1078,4,28,180,1185,3,24,78,1215,2,16,57,1266,0,10,14,1245,1,10,34,1269,1,9,11,1232,0,23,35,1127,1,26,136,1265,1,10,14,1147,2,65,76,37,8,100,1145,1192,0,27,71,45,17,337,891,953,5,108,224,1182,13,92,3,1182,0,22,86,0,1268,9,13,0,179,8,201,902,1290,0,0,0,0,0,64,10,259,341,347,269,93,69,256,593,279,93,72,405,478,242,93,92,352,488,265,93,91,168,414,524,93,112,68,280,737,0,1094,60,26,110,1094,58,39,99,1094,39,75,82,1094,61,33,102,1094,62,24,110,1094,62,21,113,1290,0,0,0,1290,0,0,0,1290,0,0,0,1290,0,0,0,1290,0,0,0,1290,0,0,0,1290,0,0,0,1290,0,0,0,1290,0,0,0,1290,0,0,0,1290,0,0,0,1290,0,0,0,107,31,415,737,107,10,863,310,107,47,296,840,107,34,651,498,107,37,42,1104,107,30,208,945,118,0,622,550,668,1,399,110,51,61,124,11,5,74,337,739,124,9,1150,7,139,14,149,988,139,0,917,144,24,15,6,45,139,1,394,247,318,191,142,15,159,514,313,147,150,0,261,866,13,175,4,208,888,15,879,4,330,77,432,9,838,11,995,4,281,10,643,6,394,247,1249,1,27,13,1084,2,200,4,183,11,7,36,173,291,589,183,5,11,43,133,257,658,192,6,470,470,87,65,192,2,64,142,266,624,192,1,141,339,300,317,814,45,306,125,814,77,148,251,814,51,225,200,203,3,637,447,843,2,134,311,1161,2,26,2,10,24,8,2,55,530,2,28,53,43,71,5,37,45,103,1,45,54,26,22,38,187,294,28,443,522,0,3,294,6,50,153,181,201,159,200,46,312,34,437,337,170,312,25,189,359,286,92,27,3.40283527131783,3.3050813544025717,2.45679012345679,1.6586845896375944,14.503747323340471,3.4454463609716224,2.262987012987013,1.0193651264077297
HU,HUN,Hungary,2020-12-23,2020-12-23,1299,7,39292.726569529645,6,36768.98840821789,236,1249,5928375.977849725,999,17,10,1272,18,148,1133,17,30,1252,17,281,1001,15,202,1082,18,106,1175,16,72,1211,19,32,1248,18,38,1243,19,26,1254,19,55,1225,17,185,1097,17,34,1248,15,132,1152,1289,4,1,5,1151,11,28,109,1269,3,8,19,1018,13,32,236,1097,10,18,174,1193,9,22,75,1227,8,12,52,1267,3,11,18,1261,3,8,27,1273,2,21,3,1244,3,20,32,1114,9,35,141,1265,6,13,15,1167,7,60,65,38,12,99,1150,1204,0,24,71,45,18,376,860,924,7,137,231,1162,27,107,3,1162,0,27,110,0,1272,6,20,1,211,8,179,901,1299,0,0,0,0,0,63,7,294,366,314,255,80,62,283,607,267,80,73,433,486,227,80,87,376,491,265,80,92,178,447,502,80,108,78,308,725,0,1125,42,28,104,1125,42,37,95,1125,32,71,71,1125,43,23,108,1125,43,21,110,1125,41,27,106,1299,0,0,0,1299,0,0,0,1299,0,0,0,1299,0,0,0,1299,0,0,0,1299,0,0,0,1299,0,0,0,1299,0,0,0,1299,0,0,0,1299,0,0,0,1299,0,0,0,1299,0,0,0,92,33,383,791,92,14,885,308,92,37,265,905,92,26,641,540,92,34,29,1144,92,29,185,993,102,2,604,591,695,1,411,102,34,56,111,8,3,75,384,718,111,10,1173,5,120,15,158,1006,120,0,921,148,25,17,9,59,120,0,467,211,320,181,123,20,166,517,303,170,129,2,316,842,10,139,14,244,888,14,916,7,294,82,414,12,864,9,1034,5,247,13,658,10,370,261,1270,1,24,4,1114,5,176,4,149,6,8,31,155,291,659,149,3,13,31,129,282,692,163,9,473,480,100,74,163,2,66,139,263,666,163,2,147,298,303,386,857,29,278,135,857,53,142,247,857,39,224,179,169,12,628,490,809,2,170,318,1135,3,27,1,17,27,12,2,75,510,0,32,42,46,91,13,39,54,107,0,32,52,37,22,35,187,271,18,484,522,3,1,271,4,61,133,184,197,188,204,57,288,27,444,313,227,288,19,187,414,290,83,18,3.285714285714286,3.1388605300193753,2.721518987341772,1.7463273466214564,14.61283851554664,3.492757231660723,2.2272262026612077,1.0109826127323571
HU,HUN,Hungary,2020-12-24,2020-12-24,1060,2,7250.335055883001,1,4339.483242774961,166,1018,5496177.398874061,799,6,9,1045,5,122,933,5,29,1026,2,245,813,3,173,884,3,110,947,7,63,990,7,23,1030,7,47,1006,4,18,1038,8,52,1000,7,141,912,7,25,1028,7,95,958,1051,0,3,6,938,1,20,101,1031,2,7,20,815,5,36,204,887,3,24,146,950,5,23,82,997,2,8,53,1037,0,5,18,1013,2,10,35,1042,0,12,6,1008,2,16,34,919,3,21,117,1035,0,10,15,965,2,36,57,36,6,75,943,990,0,21,49,43,17,297,703,763,3,86,208,974,10,76,0,974,0,16,68,2,1044,4,11,1,149,7,163,741,1060,0,0,0,0,0,55,2,269,279,263,192,80,53,245,477,205,80,63,360,386,171,80,80,304,385,211,80,83,133,336,428,80,96,62,223,599,0,904,44,26,86,904,46,36,74,904,30,66,60,904,42,29,85,904,49,19,88,904,47,27,82,1060,0,0,0,1060,0,0,0,1060,0,0,0,1060,0,0,0,1060,0,0,0,1060,0,0,0,1060,0,0,0,1060,0,0,0,1060,0,0,0,1060,0,0,0,1060,0,0,0,1060,0,0,0,94,21,276,669,94,12,655,299,94,33,200,733,94,18,545,403,94,25,42,899,94,18,143,805,106,1,533,420,527,2,364,97,21,49,116,5,5,54,289,591,116,6,933,5,121,18,106,815,121,0,752,113,23,7,6,38,121,1,356,194,229,159,124,12,129,409,275,111,130,0,224,695,11,150,5,174,712,19,787,4,223,46,409,5,637,9,860,5,186,9,517,4,312,227,1019,2,30,9,917,2,137,4,156,11,8,28,125,247,485,156,5,6,27,118,224,524,165,13,376,365,90,51,165,6,35,101,225,528,165,0,116,245,208,326,704,23,229,104,704,52,109,195,704,34,178,144,174,5,511,370,690,0,140,230,923,5,17,6,13,25,6,4,61,416,2,26,39,36,58,12,22,42,82,1,30,42,37,20,30,165,240,14,424,376,3,3,240,1,40,96,140,181,153,179,30,254,43,321,271,171,254,24,114,325,252,73,18,3.347058823529412,3.2834127233867005,2.625,1.8931695405036781,14.584478371501273,3.697003544123821,2.3086092715231787,1.0191105237390214
HU,HUN,Hungary,2020-12-25,2020-12-25,1279,4,28970.27170500731,3,15144.64613575871,202,1235,5853760.092523555,975,5,7,1267,4,157,1118,5,26,1248,4,284,991,3,207,1069,4,136,1139,2,83,1194,6,25,1248,3,52,1224,4,24,1251,6,68,1205,6,184,1089,4,26,1249,5,116,1158,1272,1,0,6,1122,10,25,122,1253,6,7,13,995,19,40,225,1072,9,29,169,1143,11,29,96,1196,2,18,63,1254,3,8,14,1227,2,13,37,1255,1,18,5,1211,8,16,44,1095,6,23,155,1253,4,8,14,1163,9,54,53,37,7,89,1146,1191,0,20,68,42,31,366,840,913,7,120,239,1159,19,99,2,1159,0,24,96,0,1255,6,17,1,202,4,189,884,1279,0,0,0,0,0,56,7,323,379,294,220,88,76,278,601,236,88,70,429,475,217,88,93,379,487,232,88,106,180,464,441,88,119,78,303,691,0,1093,65,23,98,1093,56,40,90,1093,43,69,74,1093,63,28,95,1093,62,24,100,1093,61,30,95,1279,0,0,0,1279,0,0,0,1279,0,0,0,1279,0,0,0,1279,0,0,0,1279,0,0,0,1279,0,0,0,1279,0,0,0,1279,0,0,0,1279,0,0,0,1279,0,0,0,1279,0,0,0,98,38,211,932,98,31,547,603,98,51,144,986,98,26,705,450,98,39,41,1101,98,33,128,1020,107,4,663,505,616,1,464,138,37,23,115,6,4,65,352,737,115,8,1151,5,127,18,126,1008,127,2,892,151,27,21,7,52,127,3,392,278,351,128,134,21,153,529,311,131,142,4,302,819,12,158,16,228,857,20,1069,4,168,38,734,7,528,10,1136,4,131,8,577,9,358,335,1238,3,26,12,1152,0,117,10,164,6,8,28,136,270,667,164,3,4,31,121,260,696,178,9,447,500,78,67,178,6,54,126,275,640,178,3,131,284,305,378,866,40,272,101,866,70,126,217,866,41,191,181,185,12,587,495,784,2,196,297,1093,4,29,5,17,27,15,3,86,517,1,24,43,54,60,7,36,76,100,3,35,48,28,15,37,195,282,19,460,506,2,10,282,3,46,110,168,240,175,196,59,296,35,416,325,207,296,34,161,378,303,82,25,3.318714011516315,3.285393091569139,2.555555555555556,1.6774300337113528,14.567610062893081,3.476180248428273,2.3189189189189188,1.0058911530662806
HU,HUN,Hungary,2020-12-26,2020-12-26,1374,2,7927.86858126739,1,2192.63834566801,208,1324,5649940.720384478,1019,15,4,1355,14,138,1222,13,37,1324,13,251,1110,14,205,1155,12,141,1221,12,81,1281,16,23,1335,15,51,1308,15,18,1341,12,53,1309,14,178,1182,16,24,1334,16,121,1237,1370,1,1,2,1236,6,14,118,1337,2,8,27,1123,12,42,197,1169,9,22,174,1233,9,24,108,1293,4,16,61,1351,4,8,11,1323,3,23,25,1356,1,11,6,1321,1,13,39,1196,4,27,147,1350,3,7,14,1253,8,48,65,43,7,108,1216,1269,0,33,72,52,12,400,910,975,7,120,272,1254,29,90,1,1254,1,19,99,1,1355,5,14,0,195,5,212,962,1374,0,0,0,0,0,72,8,375,404,299,216,104,96,326,621,227,104,87,494,504,185,104,127,415,506,222,104,144,224,452,450,104,157,97,335,681,0,1168,78,26,102,1168,78,36,92,1168,60,66,80,1168,80,24,102,1168,79,26,101,1168,72,33,101,1374,0,0,0,1374,0,0,0,1374,0,0,0,1374,0,0,0,1374,0,0,0,1374,0,0,0,1374,0,0,0,1374,0,0,0,1374,0,0,0,1374,0,0,0,1374,0,0,0,1374,0,0,0,125,30,165,1054,125,28,329,892,125,47,82,1120,125,25,777,447,125,34,38,1177,125,26,120,1103,139,0,715,520,659,1,466,202,35,11,147,9,4,73,383,758,147,9,1217,1,164,7,108,1095,164,0,920,170,29,13,6,72,164,0,389,335,375,111,168,18,175,562,292,159,176,1,302,884,11,198,10,232,910,24,1210,3,123,38,1049,7,307,11,1292,3,70,9,603,8,361,402,1336,0,28,10,1255,4,112,3,205,16,8,30,142,300,673,205,7,9,25,129,272,727,212,10,512,497,77,66,212,5,58,138,250,711,212,4,163,303,303,389,912,49,303,110,912,81,147,234,912,50,227,185,221,10,566,577,797,1,254,322,1134,8,33,8,18,41,23,4,105,571,1,32,45,50,66,15,38,68,112,4,28,38,36,28,37,205,332,27,453,558,2,2,332,2,53,110,189,209,210,199,70,350,24,424,328,248,350,17,175,371,331,103,27,3.2561165048543694,3.302648457624462,2.104651162790698,1.4715263765495286,14.341557128412536,3.4680674596784895,2.3047034764826178,1.0102840505787556
HU,HUN,Hungary,2020-12-27,2020-12-27,1395,3,23320.149533892512,2,15663.804253702541,233,1342,5802036.721980171,1036,13,5,1377,13,173,1209,12,33,1350,9,261,1125,11,258,1126,13,128,1254,15,79,1301,15,24,1356,12,52,1331,10,23,1362,13,53,1329,15,195,1185,15,27,1353,15,139,1241,1390,0,1,4,1222,3,23,147,1362,1,15,17,1134,4,44,213,1137,3,32,223,1267,5,29,94,1316,2,14,63,1371,1,13,10,1343,3,13,36,1372,0,17,6,1342,2,21,30,1200,4,24,167,1368,1,12,14,1256,6,67,66,51,2,93,1249,1305,0,24,66,59,19,421,896,974,5,140,276,1255,27,112,1,1255,0,31,108,1,1364,8,22,1,225,9,188,973,1395,0,0,0,0,0,79,9,356,388,315,248,112,59,319,668,237,112,80,432,553,218,112,93,375,566,249,112,105,172,488,518,112,115,79,348,741,0,1211,60,20,104,1211,60,38,86,1211,43,72,69,1211,60,21,103,1211,57,22,105,1211,59,22,103,1395,0,0,0,1395,0,0,0,1395,0,0,0,1395,0,0,0,1395,0,0,0,1395,0,0,0,1395,0,0,0,1395,0,0,0,1395,0,0,0,1395,0,0,0,1395,0,0,0,1395,0,0,0,132,23,159,1081,132,15,422,826,132,38,104,1121,132,20,723,520,132,29,39,1195,132,28,115,1120,148,2,667,578,728,1,454,163,31,18,155,7,4,66,404,759,155,8,1231,1,165,12,110,1108,165,1,900,180,41,18,4,86,165,3,389,336,404,98,167,21,151,526,372,158,172,2,330,876,15,187,7,247,937,17,1236,6,112,41,973,8,409,5,1291,5,94,5,672,14,304,405,1357,2,24,12,1280,6,106,3,196,14,5,31,131,302,716,196,8,8,39,142,269,733,210,10,456,516,116,87,210,4,65,139,263,714,210,5,155,315,287,423,930,38,313,114,930,78,144,243,930,57,214,194,220,4,589,582,813,1,253,328,1158,10,35,12,15,32,18,1,114,571,0,25,35,51,69,16,46,54,102,3,35,54,51,28,44,211,334,28,481,546,2,4,334,14,75,121,178,219,199,201,54,348,29,431,362,225,348,27,169,414,313,103,21,3.5026178010471205,3.4553207357473155,2.7375,1.76279230451598,14.673076923076922,3.511703040241734,2.3286991062562064,1.0109738803297255
HU,HUN,Hungary,2020-12-28,2020-12-27,100,0,0,0,0,20,98,382334.40004868514,78,0,0,100,2,15,83,3,2,95,1,19,80,1,19,80,2,12,86,2,7,91,2,1,97,1,4,95,2,2,96,3,5,92,2,10,88,2,1,97,2,5,93,100,0,0,0,85,1,0,14,98,1,0,1,81,0,4,15,81,1,0,18,88,0,5,7,93,0,0,7,99,1,0,0,96,0,1,3,98,0,1,1,95,0,1,4,90,0,1,9,99,0,1,0,95,1,1,3,2,0,7,91,93,0,4,3,3,2,30,65,70,0,12,18,88,1,11,0,88,0,3,9,0,97,1,2,0,17,1,12,70,100,0,0,0,0,0,4,1,35,27,15,18,6,5,25,53,11,6,8,40,36,10,6,9,31,43,11,6,10,14,44,26,6,10,8,25,51,0,88,1,4,7,88,2,3,7,88,0,3,9,88,1,2,9,88,2,2,8,88,2,1,9,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,7,1,15,77,7,0,47,46,7,3,9,81,7,1,45,47,7,2,5,86,7,2,14,77,8,1,49,42,51,0,39,3,4,3,11,0,0,5,31,53,11,0,89,0,12,0,10,78,12,0,61,14,0,4,0,9,12,0,31,24,26,7,13,0,8,43,21,15,13,0,24,62,1,13,1,17,68,1,85,0,9,6,53,0,46,1,91,0,9,0,55,0,25,20,95,0,4,1,86,0,14,0,13,0,0,3,11,17,56,13,0,0,1,9,20,57,14,0,33,32,11,10,14,0,3,7,18,58,14,0,10,22,21,33,68,2,24,6,68,6,10,16,68,5,13,14,15,0,40,45,55,0,24,21,78,1,6,1,1,1,3,0,9,38,0,0,1,5,8,0,2,5,5,1,1,4,3,4,5,18,21,4,42,32,0,1,21,0,2,7,10,19,14,22,5,22,0,34,31,13,22,1,13,30,29,3,2,3.2790697674418605,3.1872183826694616,3.166666666666666,2.6394443859772205,14.499999999999998,3.3758115907295383,2.103896103896104,0.9260046547628772
HU,HUN,Hungary,2020-12-30,2020-12-30,1516,2,5519.656918365401,2,5519.656918365401,225,1469,6161532.989529524,1150,6,5,1505,7,177,1332,7,36,1473,7,298,1211,5,258,1253,6,153,1357,6,77,1433,5,31,1480,8,50,1458,7,19,1490,5,73,1438,8,246,1262,8,29,1479,6,160,1350,1511,0,1,4,1339,8,22,147,1480,4,6,26,1218,17,40,241,1258,9,41,208,1363,11,29,113,1439,5,6,66,1485,1,8,22,1466,4,14,32,1497,1,11,7,1443,7,19,47,1270,12,32,202,1487,2,12,15,1356,9,55,96,42,5,93,1376,1424,1,24,67,46,19,444,1007,1073,10,136,297,1380,17,117,2,1380,0,26,110,0,1490,8,17,1,217,13,177,1109,1516,0,0,0,0,0,69,6,411,411,343,276,102,78,348,725,263,102,76,530,571,237,102,93,450,602,269,102,109,201,539,565,102,122,76,390,826,0,1339,45,29,103,1339,43,32,102,1339,36,67,74,1339,53,20,104,1339,51,18,108,1339,42,28,107,1516,0,0,0,1516,0,0,0,1516,0,0,0,1516,0,0,0,1516,0,0,0,1516,0,0,0,1516,0,0,0,1516,0,0,0,1516,0,0,0,1516,0,0,0,1516,0,0,0,1516,0,0,0,118,29,337,1032,118,13,967,418,118,43,275,1080,118,20,794,584,118,28,45,1325,118,22,212,1164,129,4,749,634,767,1,546,125,31,46,139,9,7,87,415,859,139,8,1362,7,147,16,136,1217,147,1,1071,167,39,11,11,69,147,0,438,348,428,155,149,26,169,588,395,189,155,3,346,998,14,175,10,243,1068,20,1182,7,273,54,553,16,943,4,1243,9,251,13,725,18,408,365,1472,1,31,12,1305,4,204,3,189,11,10,36,143,332,795,189,5,8,35,131,328,820,201,10,535,591,103,76,201,6,67,178,304,760,201,5,165,353,311,481,1006,31,345,134,1006,63,170,277,1006,45,277,188,217,7,624,668,848,0,319,349,1220,16,24,14,25,44,13,7,153,598,1,24,53,55,108,15,48,75,96,0,47,74,43,22,36,221,333,20,483,675,2,3,333,5,73,162,202,243,226,223,49,349,38,510,396,223,349,29,205,437,359,105,32,3.19265625,3.1260417316880282,2.688311688311688,1.8726546050975776,14.33362676056338,3.5530659909915143,2.2748878923766815,0.9891679314336836
HU,HUN,Hungary,2020-12-31,2020-12-31,1317,2,9552.693328536921,2,9552.693328536921,199,1272,6486654.327113806,990,8,4,1305,6,143,1168,10,34,1273,8,247,1062,8,200,1109,10,115,1192,9,50,1258,10,38,1269,10,37,1270,5,18,1294,6,62,1249,11,198,1108,13,16,1288,8,161,1148,1313,2,0,2,1174,8,20,115,1283,5,9,20,1070,13,35,199,1117,2,29,169,1202,9,29,77,1267,2,10,38,1279,4,9,25,1280,4,9,24,1299,2,9,7,1255,2,21,39,1119,7,29,162,1301,4,8,4,1156,9,65,87,38,7,94,1178,1226,0,22,69,46,19,392,860,926,6,97,288,1220,19,77,1,1220,0,26,70,1,1291,8,17,1,170,3,151,993,1317,0,0,0,0,0,57,4,390,376,275,215,89,76,315,624,213,89,83,461,482,202,89,108,376,500,244,89,124,186,463,455,89,139,80,327,682,0,1168,55,12,82,1168,46,33,70,1168,33,54,62,1168,55,12,82,1168,52,17,80,1168,52,19,78,1293,0,0,24,1293,0,1,23,1293,0,3,21,1293,0,0,24,1293,0,2,22,1293,0,1,23,1293,0,2,22,1310,0,0,7,1310,0,1,6,1310,0,0,7,1310,0,0,7,1310,0,3,4,104,35,285,893,104,16,847,350,104,34,223,956,104,28,657,528,104,29,44,1140,104,26,175,1012,114,6,632,565,685,1,446,113,37,35,123,7,7,62,373,745,123,14,1177,3,131,20,116,1050,131,1,910,146,35,14,11,69,131,5,431,277,337,136,137,18,144,520,338,160,142,2,285,874,14,162,12,212,912,19,1032,4,216,65,474,6,825,12,1094,7,204,12,662,12,349,294,1273,0,24,20,1143,0,163,11,168,18,8,21,164,259,679,168,12,11,23,140,259,704,181,8,476,493,83,76,181,4,75,140,262,655,181,3,163,311,256,403,851,29,316,121,851,55,170,241,851,41,236,189,196,10,518,593,724,1,290,302,1042,9,27,11,20,39,13,1,155,526,3,25,42,40,74,22,27,60,103,3,46,54,33,18,38,203,306,23,475,510,2,1,306,8,59,134,165,194,206,197,48,317,24,431,333,212,317,19,171,383,307,89,31,3.520669291338583,3.3830220528312687,2.5671641791044775,1.8275988602122013,14.576367389060888,3.4239598187029667,2.246603970741902,0.9776805566344443
