ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8..77,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AT,AUT,Austria,2020-12-21,2020-12-21,618,2,22107.01132533164,1,14905.6085182375,87,599,5559922.265169588,499,0,2,616,3,63,552,4,30,584,2,163,453,1,127,490,1,53,564,1,38,579,3,15,600,1,18,599,1,5,612,3,37,578,1,96,521,3,7,608,3,51,564,616,0,1,1,556,3,22,37,589,2,14,13,457,6,53,102,493,3,37,85,566,6,19,27,582,0,12,24,604,1,5,8,601,3,7,7,613,0,3,2,582,3,14,19,524,4,31,59,611,0,1,6,568,3,23,24,19,0,53,546,568,0,19,31,26,8,424,160,195,7,302,114,316,0,11,290,1,316,0,20,280,2,598,0,2,18,0,344,5,34,235,618,0,0,0,0,0,34,1,199,163,101,120,527,1,21,50,19,527,0,33,43,15,527,2,25,43,21,527,1,21,46,23,527,2,3,36,50,0,585,13,5,15,585,13,5,15,585,14,4,15,585,11,10,12,585,13,4,16,585,11,5,17,618,0,0,0,618,0,0,0,618,0,0,0,618,0,0,0,618,0,0,0,618,0,0,0,618,0,0,0,618,0,0,0,618,0,0,0,618,0,0,0,618,0,0,0,618,0,0,0,54,9,203,352,54,7,369,188,54,9,100,455,54,8,302,254,54,10,16,538,54,9,103,452,59,0,262,297,356,0,196,42,13,11,61,0,10,63,246,238,61,1,545,11,65,4,68,481,65,0,304,172,39,18,9,11,65,1,123,133,213,83,66,12,139,277,75,49,72,2,124,417,3,80,8,74,449,7,415,3,165,35,250,3,359,6,518,3,92,5,317,3,127,171,602,1,11,4,515,0,100,3,83,5,6,12,53,94,365,83,2,5,18,78,107,325,85,7,100,235,128,63,85,0,8,16,56,453,85,0,48,97,156,232,475,9,107,27,475,33,34,76,475,38,31,74,89,3,331,195,423,1,65,129,557,0,15,1,4,4,6,1,30,230,0,5,46,11,26,12,12,55,31,1,21,33,34,24,18,59,104,17,238,253,2,4,104,2,39,115,95,96,93,57,17,115,16,199,85,203,115,8,210,160,83,22,20,4.1643109540636045,4.1000819662434855,1.894736842105263,1.2689530411989787,13.329809725158562,4.2515076296221945,2.214583333333333,1.1012404437550074
AT,AUT,Austria,2020-12-22,2020-12-22,634,1,10208.7549456696,1,10208.7549456696,108,618,5513664.448007667,538,2,3,629,1,50,583,1,18,615,2,153,479,2,100,532,3,49,582,2,29,603,4,4,626,3,15,616,1,6,627,2,25,607,2,95,537,2,5,627,2,54,578,631,0,0,3,584,1,14,35,616,1,8,9,481,3,33,117,534,2,35,63,585,2,10,37,605,0,9,20,630,0,2,2,619,0,7,8,628,0,3,3,609,0,7,18,539,1,28,66,629,1,1,3,580,0,21,33,14,2,59,559,577,0,17,40,18,12,430,174,204,6,315,109,319,0,3,309,3,319,0,11,304,0,623,0,2,8,1,352,8,25,249,634,0,0,0,0,0,23,1,206,183,123,98,37,15,143,319,120,37,26,216,255,100,37,27,172,257,141,37,25,171,276,125,37,27,44,250,276,0,609,8,6,11,609,7,3,15,609,9,2,14,609,5,7,13,609,7,5,13,609,6,4,15,634,0,0,0,634,0,0,0,634,0,0,0,634,0,0,0,634,0,0,0,634,0,0,0,634,0,0,0,634,0,0,0,634,0,0,0,634,0,0,0,634,0,0,0,634,0,0,0,41,6,216,371,41,5,451,137,41,11,109,473,41,5,305,283,41,7,17,569,41,7,129,457,47,2,274,311,360,0,194,46,16,18,51,1,3,57,259,263,51,1,572,10,55,4,56,519,55,0,332,171,33,21,9,13,55,1,122,144,229,83,55,5,174,295,68,37,56,3,132,439,4,64,4,84,477,5,418,2,173,41,183,3,444,4,525,1,102,6,329,1,156,148,617,0,12,5,505,0,129,0,66,4,3,8,61,113,379,66,2,8,16,86,104,352,73,4,127,256,110,64,73,2,8,24,65,462,73,0,47,99,152,263,489,9,102,34,489,30,19,96,489,32,35,78,77,2,352,203,431,0,62,141,573,2,13,1,5,2,2,5,31,221,0,6,38,23,35,11,22,56,27,0,14,27,35,27,20,72,84,9,255,280,0,6,84,0,39,123,95,113,107,55,18,90,21,232,102,189,90,11,239,165,100,22,7,3.974169741697417,4.3206306073483205,2.0208333333333335,1.4364492768012016,13.310384615384615,4.124639044889857,2.2015655577299413,1.0830591636961973
AT,AUT,Austria,2020-12-23,2020-12-23,591,0,0,0,0,83,572,5366312.898791622,475,2,1,588,3,46,542,3,19,569,3,136,452,3,94,494,4,54,533,2,25,564,2,21,568,4,15,572,3,3,585,3,24,564,3,85,503,3,3,585,3,42,546,590,0,1,0,545,1,14,31,572,1,8,10,455,1,36,99,497,1,15,78,537,1,16,37,566,1,9,15,570,2,11,8,576,1,10,4,588,0,1,2,567,0,5,19,506,1,22,62,588,0,1,2,549,1,16,25,17,2,46,526,545,0,18,28,18,9,399,165,195,6,280,110,311,0,6,272,2,311,0,25,255,0,566,1,4,19,1,317,4,33,237,591,0,0,0,0,0,33,3,211,140,94,110,50,19,125,281,116,50,32,189,237,83,50,34,167,232,108,50,39,162,236,104,50,46,43,222,230,0,559,7,12,13,559,9,4,19,559,11,4,17,559,7,4,21,559,7,6,19,559,9,5,18,591,0,0,0,591,0,0,0,591,0,0,0,591,0,0,0,591,0,0,0,591,0,0,0,591,0,0,0,591,0,0,0,591,0,0,0,591,0,0,0,591,0,0,0,591,0,0,0,56,9,179,347,56,6,426,103,56,10,104,421,56,10,256,269,56,9,17,509,56,6,102,427,58,3,228,302,363,1,166,30,13,18,63,5,10,71,232,210,63,5,516,7,68,3,62,458,68,2,302,156,22,13,14,14,68,3,121,140,177,82,74,6,155,253,66,37,77,4,109,399,2,84,7,78,420,2,412,2,132,45,165,4,415,7,487,2,94,8,335,5,122,129,574,1,8,8,489,1,99,2,87,5,4,6,55,80,354,87,3,3,13,55,98,332,90,5,120,179,124,73,90,2,12,23,56,408,90,2,50,92,131,226,452,6,100,33,452,21,33,85,452,19,46,74,95,3,310,183,408,3,57,123,535,1,12,0,9,4,5,1,24,225,2,5,38,15,26,7,20,53,29,0,19,18,38,20,14,62,102,8,245,230,3,3,102,4,27,99,92,117,84,51,15,112,15,189,89,186,112,6,193,139,105,24,12,4.325892857142857,4.6381194104506385,2,1.3123346456686351,13.136877828054299,4.192226066296504,2.1831896551724137,1.097246582726636
AT,AUT,Austria,2020-12-24,2020-12-24,486,0,0,0,0,69,467,5634560.091186157,379,6,1,479,4,36,446,5,13,468,4,93,389,4,57,425,5,48,433,5,22,459,5,5,476,5,10,471,7,3,476,6,13,467,4,61,421,6,6,474,6,34,446,485,0,1,0,450,2,12,22,473,1,6,6,393,3,18,72,429,2,20,35,438,1,15,32,464,1,6,15,481,0,3,2,476,2,2,6,483,0,3,0,473,1,5,7,425,2,12,47,480,0,1,5,452,1,14,19,18,1,34,433,455,0,11,20,25,2,350,109,137,1,251,97,235,1,5,243,2,235,0,29,222,0,457,1,4,24,0,280,3,38,165,486,0,0,0,0,0,30,1,164,136,77,78,38,15,116,226,91,38,16,142,207,83,38,17,127,201,103,38,19,120,210,99,38,18,43,205,182,0,450,15,5,16,450,16,1,19,450,14,6,16,450,13,11,12,450,15,4,17,450,14,5,17,486,0,0,0,486,0,0,0,486,0,0,0,486,0,0,0,486,0,0,0,486,0,0,0,486,0,0,0,486,0,0,0,486,0,0,0,486,0,0,0,486,0,0,0,486,0,0,0,47,3,163,273,47,3,355,81,47,7,82,350,47,7,234,198,47,10,8,421,47,7,89,343,56,1,213,216,273,0,150,41,10,12,57,1,4,43,185,196,57,2,425,2,62,11,44,369,62,2,238,131,26,9,11,7,62,3,92,113,150,66,63,4,111,225,52,31,66,3,109,305,3,72,4,69,332,9,324,0,128,34,134,1,347,4,406,0,75,5,255,1,91,139,480,0,6,0,399,0,87,0,75,3,4,8,37,64,295,75,2,4,11,48,63,283,82,1,71,175,112,45,82,1,7,15,39,342,82,0,34,71,109,190,383,6,75,22,383,21,20,62,383,22,31,50,87,5,241,153,333,0,58,95,430,1,15,1,7,2,2,0,28,190,1,2,27,12,27,10,22,34,34,1,16,19,12,22,9,48,98,6,201,176,2,3,98,2,26,87,78,61,71,46,17,105,19,166,65,131,105,7,158,120,67,18,11,3.5921787709497206,4.097977748936999,2.25,1.3505828645714688,13.65983606557377,4.064176807637287,2.114206128133705,1.0361045825571185
AT,AUT,Austria,2020-12-25,2020-12-25,554,1,13674.8751240847,1,13674.8751240847,112,540,5469725.204893005,464,3,2,549,2,40,512,1,11,542,1,116,437,3,85,466,0,38,516,2,39,513,4,9,541,2,13,539,2,3,549,2,22,530,1,84,469,3,3,548,3,41,510,552,1,0,1,514,2,11,27,543,1,3,7,438,10,30,76,469,2,25,58,516,0,13,25,515,2,14,23,545,0,4,5,541,0,8,5,551,0,2,1,532,2,7,13,470,3,17,64,551,0,1,2,513,0,24,17,10,4,55,485,500,0,22,32,13,8,395,138,160,2,275,117,279,0,8,267,0,279,0,27,246,2,527,1,3,22,1,300,4,41,209,554,0,0,0,0,0,20,1,197,153,81,102,29,16,122,297,90,29,26,174,238,87,29,28,139,246,112,29,27,151,243,104,29,35,37,235,218,0,515,12,8,19,515,12,2,25,515,10,4,25,515,12,7,20,515,11,2,26,515,12,6,21,554,0,0,0,554,0,0,0,554,0,0,0,554,0,0,0,554,0,0,0,554,0,0,0,554,0,0,0,554,0,0,0,554,0,0,0,554,0,0,0,554,0,0,0,554,0,0,0,37,7,102,408,37,3,296,218,37,6,58,453,37,4,330,183,37,6,23,488,37,5,81,431,40,2,297,215,257,0,193,74,20,10,43,1,8,61,215,226,43,3,505,3,47,3,53,451,47,0,292,152,36,7,8,12,47,0,96,129,199,83,47,4,140,263,75,25,48,3,125,374,4,53,5,69,419,8,454,0,78,22,259,3,289,3,497,3,49,5,226,6,113,209,531,1,19,3,474,1,77,2,56,0,4,7,47,83,357,56,1,5,23,64,82,323,62,6,100,216,113,57,62,1,11,18,64,398,62,4,46,111,126,205,399,10,111,34,399,32,31,92,399,30,43,82,67,3,303,181,373,0,54,127,505,0,12,0,6,2,3,2,24,203,0,3,47,21,32,10,20,45,13,0,7,21,25,24,11,72,79,12,222,238,0,3,79,1,20,96,88,89,115,53,13,86,16,187,87,178,86,10,174,158,92,25,9,3.9144144144144146,4.292144710587454,2.163265306122449,1.3439205515876271,13.435691609977324,3.8627492017458933,2.2458426966292135,1.1136588599212058
AT,AUT,Austria,2020-12-26,2020-12-26,567,0,0,0,0,98,551,5257618.636906713,465,5,0,562,5,42,520,4,15,548,7,116,444,4,99,464,2,47,518,4,31,532,4,14,549,4,15,548,5,5,557,3,16,548,5,73,489,5,4,558,5,41,521,567,0,0,0,525,2,16,24,552,2,6,7,451,1,36,79,468,2,37,60,520,2,16,29,536,0,13,18,553,1,7,6,552,0,8,7,562,0,4,1,551,1,6,9,494,1,21,51,563,0,1,3,526,1,19,21,13,3,56,495,513,0,17,37,17,5,397,148,171,10,265,121,302,0,11,251,3,302,1,31,232,1,536,0,1,30,0,298,5,35,229,567,0,0,0,0,0,21,3,219,141,78,105,34,7,136,288,102,34,18,193,239,83,34,24,160,240,109,34,20,171,246,96,34,26,50,236,221,0,533,6,9,19,533,10,1,23,533,10,3,21,533,8,10,16,533,9,1,24,533,10,1,23,567,0,0,0,567,0,0,0,567,0,0,0,567,0,0,0,567,0,0,0,567,0,0,0,567,0,0,0,567,0,0,0,567,0,0,0,567,0,0,0,567,0,0,0,567,0,0,0,45,6,74,442,45,6,145,371,45,7,27,488,45,3,312,207,45,7,9,506,45,6,49,467,47,0,284,236,283,2,186,73,18,5,53,3,9,66,236,200,53,3,507,4,58,4,51,454,58,0,270,153,49,21,6,10,58,0,72,152,215,70,59,3,148,249,67,41,62,1,134,367,3,70,8,91,391,7,493,2,46,26,422,2,136,7,540,1,22,4,255,6,103,203,558,0,6,3,518,3,45,1,77,1,3,6,49,66,365,77,1,7,10,64,81,327,80,3,97,191,141,55,80,0,4,14,46,423,80,0,35,66,152,234,466,5,77,19,466,28,17,56,466,25,25,51,81,4,285,197,370,1,74,122,497,1,15,2,7,1,6,1,37,212,0,7,32,23,27,8,22,48,19,1,14,30,33,15,14,62,96,9,229,228,1,4,96,0,28,100,93,82,97,56,15,100,13,188,84,182,100,7,199,151,79,19,12,3.4504504504504503,3.4829610815689254,1.9333333333333333,1.3038404810405297,13.5501138952164,3.7203615643706813,2.2460496613995486,1.0827530969807375
AT,AUT,Austria,2020-12-27,2020-12-27,703,0,0,0,0,135,686,5460273.480294614,575,3,3,697,2,45,656,3,11,689,3,153,547,3,127,573,2,57,644,3,25,675,3,11,689,3,16,684,3,5,695,3,19,681,2,102,599,3,2,698,3,60,640,700,0,2,1,658,1,13,31,692,0,6,5,550,0,49,104,576,3,25,99,646,0,21,36,678,0,4,21,692,0,5,6,687,0,10,6,698,0,5,0,684,0,6,13,601,0,28,74,701,0,0,2,643,0,29,31,16,1,64,622,640,1,21,41,17,7,511,168,194,6,338,165,365,0,7,331,0,365,0,47,288,3,656,0,5,42,0,370,8,49,276,703,0,0,0,0,0,22,2,295,164,104,116,32,21,173,359,118,32,40,246,300,85,32,35,195,318,123,32,33,211,310,117,32,40,66,299,266,0,654,13,9,27,654,10,8,31,654,14,5,30,654,11,19,19,654,10,7,32,654,12,8,29,703,0,0,0,703,0,0,0,703,0,0,0,703,0,0,0,703,0,0,0,703,0,0,0,703,0,0,0,703,0,0,0,703,0,0,0,703,0,0,0,703,0,0,0,703,0,0,0,41,6,99,557,41,6,158,498,41,9,23,630,41,6,347,309,41,8,20,634,41,8,75,579,50,0,298,355,405,0,245,38,10,5,57,2,15,81,282,266,57,1,639,6,71,3,68,561,71,0,348,199,40,14,13,18,71,0,97,160,302,73,73,9,171,324,78,48,77,1,150,471,4,86,3,81,519,14,604,0,76,23,545,1,148,9,680,1,17,5,356,1,117,229,683,0,12,8,628,0,73,2,91,5,3,8,49,97,450,91,3,6,18,63,118,404,95,2,132,242,161,71,95,0,13,23,73,499,95,0,54,110,154,290,540,10,118,35,540,37,33,93,540,34,46,83,99,3,364,237,466,2,94,141,618,0,14,0,13,5,7,1,45,254,1,4,52,21,29,8,26,70,27,1,18,22,50,27,24,69,121,8,283,286,1,4,121,2,43,124,101,107,134,60,11,126,12,213,114,238,126,9,245,178,103,23,19,4.203125,4.617180153479655,2.392156862745098,1.4977106712920092,13.183520599250937,3.8474705955507194,2.254054054054054,1.0537695601418506
AT,AUT,Austria,2020-12-28,2020-12-27,100,0,0,0,0,11,96,716579.7460213975,69,0,0,100,0,11,89,0,0,100,0,21,79,0,21,79,0,9,91,0,5,95,0,1,99,0,1,99,0,1,99,0,5,95,0,14,86,0,0,100,0,9,91,100,0,0,0,89,0,3,8,100,0,0,0,79,0,6,15,79,0,5,16,91,0,5,4,95,0,0,5,99,0,1,0,99,0,1,0,99,0,1,0,95,0,1,4,86,0,3,11,100,0,0,0,91,0,6,3,4,0,7,89,94,0,4,2,5,0,68,27,32,0,36,32,64,0,1,35,0,64,0,5,29,2,95,0,1,4,0,41,2,3,54,100,0,0,0,0,0,6,0,41,16,20,17,7,2,24,50,17,7,4,36,42,11,7,3,27,43,20,7,4,30,38,21,7,4,11,36,42,0,97,0,1,2,97,0,1,2,97,0,1,2,97,0,2,1,97,0,0,3,97,0,1,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,9,1,10,80,9,1,21,69,9,2,2,87,9,1,44,46,9,2,4,85,9,2,8,81,12,1,35,52,65,0,28,2,4,1,14,1,5,10,32,38,14,0,86,0,16,0,7,77,16,0,43,26,8,1,3,3,16,0,20,19,32,13,17,0,28,39,7,9,19,1,13,67,0,20,0,8,71,1,90,0,7,3,79,0,19,2,98,0,1,1,56,0,10,34,96,0,2,2,92,0,8,0,21,2,0,0,7,11,59,21,1,0,0,12,16,50,21,0,21,30,16,12,21,0,3,4,4,68,21,0,7,15,17,40,78,4,11,7,78,7,4,11,78,6,7,9,21,0,45,34,66,0,13,21,90,0,0,0,3,1,0,0,6,45,0,1,5,3,7,0,3,11,4,0,2,2,5,1,1,10,27,1,36,35,0,1,27,0,5,16,15,12,17,7,1,29,2,27,15,27,29,1,32,18,11,5,4,5.194444444444445,5.312085651441811,1.8000000000000003,1.7888543819998315,12.911290322580646,4.407077200970576,2.298507462686567,1.0590865900607442
AT,AUT,Austria,2020-12-30,2020-12-30,702,0,0,0,0,118,680,5859593.205857999,571,3,0,699,2,56,644,2,13,687,2,143,557,3,135,564,2,55,645,2,34,666,3,11,688,2,16,684,2,4,696,3,36,663,2,97,603,2,8,692,2,52,648,702,0,0,0,646,2,12,42,689,1,4,8,559,3,36,104,567,3,37,95,647,1,14,40,668,1,12,21,691,0,8,3,686,0,11,5,698,1,3,0,666,0,15,21,605,1,29,67,694,0,4,4,650,4,17,31,19,3,60,620,644,0,23,35,22,8,500,172,202,2,316,182,386,0,4,312,0,386,0,56,260,0,646,1,7,47,1,348,7,54,293,702,0,0,0,0,0,29,1,310,164,101,97,43,18,159,365,117,43,31,239,301,88,43,31,194,323,111,43,30,211,312,106,43,36,54,292,277,0,649,12,18,23,649,18,5,30,649,17,6,30,649,13,17,23,649,17,3,33,649,16,5,32,702,0,0,0,702,0,0,0,702,0,0,0,702,0,0,0,702,0,0,0,702,0,0,0,702,0,0,0,702,0,0,0,702,0,0,0,702,0,0,0,702,0,0,0,702,0,0,0,48,12,145,497,48,5,471,178,48,12,51,591,48,10,291,353,48,12,13,629,48,11,89,554,54,2,261,385,441,1,218,25,9,8,56,2,6,91,281,266,56,2,637,7,63,6,52,581,63,1,346,179,47,24,14,28,63,2,140,183,238,76,64,6,184,335,64,49,67,2,163,466,4,78,8,98,508,10,561,1,108,32,235,3,454,10,651,1,43,7,414,3,118,167,690,0,7,5,615,0,82,5,79,4,5,13,69,92,440,79,2,4,19,86,123,389,84,4,135,255,160,64,84,1,12,21,57,527,84,1,48,106,162,301,548,12,116,26,548,28,32,94,548,27,45,82,86,3,332,281,421,0,110,171,602,5,15,5,11,3,4,2,55,274,1,5,45,17,45,8,21,58,38,0,23,15,36,23,20,73,112,11,264,310,4,1,112,0,42,117,97,112,131,75,16,125,26,229,110,212,125,15,248,201,88,15,10,3.8712280701754387,4.260018874427306,2.074074074074074,1.3437746308665182,13.344606946983545,3.9699631369316695,2.125912408759124,1.0370750986009865
AT,AUT,Austria,2020-12-31,2020-12-31,600,1,4317.40169372749,1,4317.40169372749,106,580,6225431.404140506,476,0,2,598,3,45,552,3,19,578,2,129,469,3,98,499,4,58,538,1,27,572,2,7,591,2,14,584,1,2,597,2,19,579,3,87,510,4,5,591,3,52,545,598,0,1,1,555,1,7,37,581,1,4,14,471,1,36,92,502,1,27,70,542,0,16,42,573,0,8,19,593,0,3,4,586,0,7,7,598,0,2,0,581,0,8,11,513,0,31,56,595,0,3,2,548,1,23,28,20,0,58,522,543,0,20,37,24,6,430,140,173,6,242,179,358,0,6,234,2,358,0,43,199,0,557,0,3,39,1,281,3,49,267,600,0,0,0,0,0,33,2,245,139,89,92,47,26,150,275,102,47,26,219,225,83,47,34,149,255,115,47,28,170,255,100,47,35,51,239,228,0,551,12,18,19,551,22,6,21,551,23,6,20,551,22,5,22,551,23,8,18,551,20,1,28,588,2,1,9,588,3,0,9,588,3,0,9,588,3,0,9,588,3,1,8,588,3,1,8,588,3,1,8,598,0,0,2,598,0,0,2,598,0,0,2,598,1,0,1,598,1,0,1,53,11,141,395,53,6,407,134,53,10,43,494,53,6,242,299,53,9,8,530,53,8,77,462,56,3,236,305,364,0,182,30,12,12,61,1,8,76,243,211,61,1,532,6,68,7,52,473,68,0,296,138,47,17,15,19,68,2,132,155,177,66,71,4,175,257,58,35,72,1,124,397,6,77,5,73,437,8,459,0,108,33,193,4,398,5,557,0,36,7,358,3,92,147,592,0,5,3,523,2,72,3,81,4,5,12,53,72,373,81,4,3,15,72,93,332,83,0,119,194,139,65,83,0,9,19,41,448,83,1,45,84,130,257,475,6,96,23,475,27,33,65,475,20,40,65,89,4,269,238,362,0,105,133,512,2,15,0,9,1,7,0,54,245,0,8,38,17,32,8,17,50,34,1,14,25,34,15,12,50,117,5,243,234,0,1,117,2,25,94,91,102,107,47,15,122,9,187,93,189,122,6,192,137,95,31,17,3.7131147540983607,3.860701034864583,2.021276595744681,1.1323189307620323,12.974040632054177,4.062284165451653,2.1518438177874186,1.0928333067872948
