ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1.1,B14_1.2,B14_2..99,B14_2.2,B14_3..99,B14_3.2,B14_4..99,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AM,ARM,Armenia,2020-12-23,2020-12-21,100,3,81893.82964022079,2,47447.2590108001,82,88,2974803.0559548596,56,7,6,87,6,15,79,6,6,88,7,28,65,8,12,80,6,24,70,7,9,84,7,8,85,7,4,89,6,12,82,8,10,82,7,23,70,8,4,88,6,28,66,94,1,3,2,85,2,5,8,94,1,2,3,72,1,12,15,88,0,8,4,76,5,13,6,91,0,7,2,92,1,5,2,96,1,3,0,88,1,8,3,90,2,6,2,77,2,12,9,96,0,3,1,72,4,16,8,11,1,35,53,67,0,14,19,14,1,32,53,68,0,12,20,88,7,4,1,88,9,3,91,2,6,1,27,3,14,56,100,20,0,13,18,21,28,21,6,28,8,37,21,11,18,15,35,21,9,21,15,34,21,12,13,18,36,21,13,6,5,55,88,6,2,4,88,5,2,5,88,1,8,3,88,6,4,2,88,6,2,4,88,5,2,5,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,100,0,100,0,0,100,0,0,25,5,24,46,25,4,48,23,25,7,24,44,25,4,39,32,25,4,13,58,25,5,27,43,28,0,37,35,63,0,26,4,2,5,28,1,0,5,30,36,28,2,70,0,31,0,21,48,31,0,41,8,7,3,7,3,31,0,26,15,16,12,32,0,15,28,15,10,32,0,9,56,3,34,1,11,51,3,76,3,15,6,54,4,38,4,77,2,16,5,63,3,30,4,87,1,10,2,76,1,19,4,35,1,4,3,11,12,34,35,1,3,4,13,14,30,35,0,17,25,14,9,35,1,7,13,22,22,35,23,21,14,7,56,7,30,7,56,20,9,15,56,14,18,12,36,34,30,70,1,13,16,88,0,1,1,0,1,3,2,4,54,1,3,4,1,9,1,1,5,1,0,3,1,1,1,1,13,41,3,27,29,0,0,41,0,12,10,10,13,9,5,0,44,2,26,18,10,44,0,11,20,18,2,5,11.416666666666666,11.140941045346507,3.6111111111111116,2.681941546252703,12.83,5.486169995952531,3.0833333333333335,2.0194093652345884
AM,ARM,Armenia,2020-12-24,2020-12-22,100,3,69999.7451424969,3,69999.7451424969,56,86,3234078.051291175,53,8,8,84,6,13,81,5,8,87,6,28,66,6,19,75,4,27,69,5,13,82,7,6,87,6,4,90,6,15,79,6,11,83,5,25,70,7,8,85,5,30,65,92,1,3,4,87,2,7,4,92,0,6,2,72,2,14,12,81,4,10,5,73,5,15,7,87,2,7,4,94,2,2,2,96,2,2,0,85,0,11,4,89,2,6,3,75,2,14,9,92,1,4,3,70,2,23,5,12,2,28,58,74,1,11,14,15,0,28,57,72,1,10,17,90,6,3,1,90,5,5,95,1,3,1,26,3,12,59,100,20,0,14,21,18,27,22,10,27,12,29,22,13,22,16,27,22,14,20,13,31,22,16,12,16,34,22,17,3,5,53,89,7,1,3,89,7,1,3,89,1,8,2,89,7,3,1,89,7,1,3,89,6,1,4,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,100,0,100,0,0,100,0,0,27,5,21,47,27,3,49,21,27,6,23,44,27,3,38,32,27,4,13,56,27,6,24,43,30,0,37,33,63,0,27,6,1,3,31,0,0,6,32,31,31,1,68,0,34,0,21,45,34,0,34,9,9,4,4,6,34,0,26,16,14,10,36,0,14,28,13,9,37,0,6,54,3,39,1,8,48,4,79,0,18,3,52,2,45,1,78,1,18,3,63,2,30,5,87,3,10,0,78,1,18,3,41,0,2,4,8,12,33,41,0,2,4,12,13,28,41,1,14,21,12,11,41,2,5,10,19,23,41,18,16,15,10,66,8,19,7,66,16,7,11,66,12,15,7,41,30,29,71,1,12,16,89,0,2,1,1,1,3,1,2,59,1,4,3,1,8,0,0,1,3,0,2,4,1,1,1,11,44,2,27,27,0,0,44,0,11,14,8,6,10,6,1,46,4,25,16,9,46,2,11,27,10,3,1,10.4375,10.618943830961081,3,1.4142135623730951,12.229166666666666,5.813555631282304,3.0416666666666665,1.97816090532997
AM,ARM,Armenia,2020-12-25,2020-12-23,100,2,33154.4061434049,1,22552.4861316968,77,86,3664015.4450727,52,7,8,85,4,10,86,2,11,87,3,24,73,5,15,80,4,26,70,3,15,82,5,7,88,4,7,89,5,16,79,4,11,85,2,26,72,6,8,86,4,31,65,92,2,2,4,90,2,6,2,89,1,7,3,76,3,11,10,85,4,7,4,74,5,10,11,85,2,7,6,93,2,4,1,93,2,2,3,84,0,13,3,89,2,4,5,74,4,10,12,92,1,3,4,69,2,20,9,12,2,25,61,76,1,7,16,13,2,34,51,66,2,10,22,90,5,5,0,90,5,5,95,1,2,2,27,4,6,63,100,18,0,11,18,21,32,23,10,21,15,31,23,14,19,18,26,23,16,18,15,28,23,17,12,13,35,23,18,2,5,52,95,3,2,0,95,4,1,0,95,1,4,0,95,3,2,0,95,3,1,1,95,3,0,2,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,100,0,100,0,0,100,0,0,25,7,22,46,25,5,48,22,25,8,18,49,25,4,34,37,25,5,13,57,25,5,27,43,27,0,38,35,62,0,24,9,3,2,29,1,0,9,26,35,29,0,70,1,33,0,20,47,33,0,37,9,8,3,3,7,33,0,27,14,16,10,35,1,16,29,13,6,36,1,7,54,2,38,1,6,51,4,78,0,18,4,53,2,44,1,83,1,15,1,67,3,22,8,87,3,9,1,74,2,21,3,39,0,2,3,12,14,30,39,0,3,4,12,16,26,39,1,20,17,11,12,39,1,4,10,19,27,39,19,17,12,13,64,7,22,7,64,15,9,12,64,10,18,8,39,27,34,66,1,12,21,89,0,3,0,1,1,2,1,3,62,0,4,6,0,1,1,2,3,2,0,2,3,2,1,0,11,42,2,25,31,0,0,42,0,11,15,11,7,9,4,1,46,3,31,12,8,46,3,11,26,13,1,0,8.402083333333334,9.860440833944308,4.0588235294117645,2.771971054937581,11.75,5.825918513900812,2.851063829787234,1.7442916016220917
AM,ARM,Armenia,2020-12-26,2020-12-24,100,5,144794.4239939863,2,57188.0096856387,78,86,3504034.3253610544,54,6,13,81,3,15,82,2,10,88,3,23,74,4,18,78,3,26,71,3,13,84,4,8,88,3,11,86,5,17,78,3,11,86,2,24,74,5,11,84,3,27,70,87,4,3,6,85,4,6,5,90,3,4,3,77,4,9,10,82,4,6,8,74,6,6,14,87,5,4,4,92,3,2,3,89,4,3,4,83,2,13,2,89,4,3,4,76,5,7,12,89,2,6,3,73,5,12,10,13,1,29,57,72,1,10,17,15,3,36,46,64,4,13,19,87,7,6,0,87,5,8,95,2,2,1,35,2,9,54,100,16,1,10,20,27,26,22,6,17,19,36,22,11,21,20,26,22,13,19,20,26,22,11,13,18,36,22,14,3,7,54,91,4,2,3,91,4,1,4,91,3,4,2,91,3,3,3,91,4,1,4,91,4,0,5,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,100,0,100,0,0,100,0,0,23,7,27,43,23,5,47,25,23,8,20,49,23,4,39,34,23,4,16,57,23,5,27,45,24,1,34,41,66,0,19,9,3,3,27,1,1,9,26,36,27,0,71,2,32,0,19,49,32,0,45,8,4,4,2,5,32,1,23,9,21,14,33,1,20,30,12,4,34,1,5,57,3,35,1,2,59,3,73,2,21,4,53,2,42,3,80,2,15,3,61,3,28,8,84,4,10,2,73,3,20,4,37,0,1,1,16,14,31,37,0,2,4,14,19,24,38,1,26,17,8,10,38,1,5,11,19,26,38,22,18,9,13,60,4,33,3,60,18,10,12,60,13,21,6,38,33,29,71,0,11,18,90,0,4,2,1,1,0,0,2,58,0,3,5,1,1,3,4,7,2,0,0,2,2,0,3,9,42,0,26,32,0,0,42,0,10,11,10,14,9,3,1,44,2,34,15,5,44,2,9,26,16,2,1,7.030232558139534,9.060708867562418,3.7222222222222228,2.7611923161083776,12.403703703703703,5.093723957931826,3.5490196078431375,1.836450113563623
AM,ARM,Armenia,2020-12-27,2020-12-25,100,5,181129.9344842307,3,104125.4401875912,61,86,3459261.782169744,57,3,11,86,1,16,83,3,7,90,2,23,75,2,18,80,1,23,76,2,10,88,2,10,88,2,9,89,2,14,84,3,12,85,1,25,74,2,11,87,3,22,75,89,3,4,4,84,4,6,6,93,3,1,3,77,3,8,12,82,2,9,7,77,5,7,11,90,4,2,4,90,3,3,4,91,3,4,2,86,3,9,2,88,2,7,3,75,4,8,13,89,2,7,2,78,3,11,8,13,1,26,60,74,0,9,17,14,3,36,47,64,2,14,20,86,6,7,1,86,7,7,94,1,4,1,33,3,9,55,100,15,1,11,29,25,19,21,3,20,21,35,21,5,25,21,28,21,9,19,23,28,21,7,18,19,35,21,10,5,13,51,91,4,1,4,91,4,1,4,91,3,3,3,91,3,2,4,91,3,2,4,91,4,0,5,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,100,0,100,0,0,100,0,0,22,5,28,45,22,2,52,24,22,6,24,48,22,2,39,37,22,4,13,61,22,3,29,46,23,1,32,44,68,2,19,6,2,3,24,0,2,9,25,40,24,0,75,1,29,0,21,50,29,0,44,11,3,7,2,4,29,1,25,8,19,18,29,1,22,28,14,6,30,0,4,63,3,32,2,5,60,1,72,2,22,4,49,1,42,8,77,2,15,6,61,1,28,10,87,2,7,4,72,3,20,5,34,2,0,0,15,13,36,34,2,1,5,12,17,29,35,0,28,24,7,6,35,0,5,10,20,30,35,18,21,10,16,61,2,31,6,61,15,9,15,61,10,21,8,36,30,34,66,0,16,18,86,2,2,3,1,1,0,1,4,57,0,1,3,3,4,3,3,5,3,0,0,6,1,0,4,7,42,1,26,31,0,0,42,0,9,11,11,15,9,2,1,43,1,30,22,4,43,1,10,22,16,5,3,8.35,10.432323728603249,2.9444444444444446,2.4608038433722332,13.130357142857143,4.746555483826031,3.7037037037037033,2.024655848972481
AM,ARM,Armenia,2020-12-28,2020-12-25,100,5,181129.9344842307,3,104125.4401875912,62,87,3404282.4411189696,57,2,11,87,1,16,83,3,7,90,2,22,76,1,19,80,1,22,77,1,11,88,1,10,89,2,9,89,1,14,85,2,12,86,1,24,75,1,11,88,2,23,75,89,3,4,4,84,4,6,6,93,2,1,4,78,2,8,12,81,2,10,7,78,4,7,11,89,4,2,5,90,3,3,4,91,3,4,2,86,3,9,2,88,2,7,3,76,3,8,13,89,2,7,2,77,3,11,9,12,1,27,60,73,0,10,17,13,3,36,48,64,2,14,20,86,6,7,1,86,7,7,94,1,4,1,32,3,10,55,100,14,1,12,29,25,19,20,3,20,22,35,20,6,25,21,28,20,10,19,23,28,20,8,18,19,35,20,11,5,13,51,90,4,1,5,90,4,1,5,90,3,3,4,90,3,3,4,90,3,2,5,90,4,0,6,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,100,0,100,0,0,100,0,0,21,6,28,45,21,3,52,24,21,7,24,48,21,3,39,37,21,5,13,61,21,4,29,46,22,1,33,44,67,2,20,6,2,3,23,0,2,9,26,40,23,0,76,1,28,0,21,51,28,1,44,11,3,7,2,4,28,1,25,8,19,19,29,1,22,28,14,6,30,0,4,63,3,32,2,5,60,1,72,2,22,4,49,1,42,8,77,2,15,6,61,1,28,10,87,2,7,4,72,3,20,5,34,2,0,0,15,13,36,34,2,1,5,12,17,29,35,0,28,24,7,6,35,0,5,10,20,30,35,18,21,10,16,61,2,31,6,61,15,9,15,61,10,21,8,36,30,34,66,0,16,18,86,2,2,3,1,1,0,1,4,57,0,1,3,3,4,3,3,5,3,0,0,6,1,0,4,7,42,1,26,31,0,0,42,0,9,11,11,15,9,2,1,43,1,30,22,4,43,1,10,22,16,5,3,8.238461538461538,10.317680670235703,2.9444444444444446,2.4608038433722332,13.130357142857143,4.746555483826031,3.7037037037037033,2.024655848972481
AM,ARM,Armenia,2020-12-30,2020-12-26,100,5,131920.9867218819,2,69489.9166336493,79,86,3448770.3341143723,54,3,10,87,1,19,80,3,9,88,3,26,71,1,23,76,2,21,77,2,9,89,1,11,88,2,10,88,3,11,86,2,15,83,2,24,74,3,11,86,2,24,74,90,3,5,2,81,5,9,5,91,2,2,5,74,1,11,14,77,4,11,8,79,4,9,8,91,4,2,3,89,4,4,3,90,2,6,2,89,3,6,2,85,2,10,3,76,2,10,12,89,2,7,2,76,3,13,8,14,0,29,57,72,1,11,16,16,1,36,47,64,1,14,21,86,5,8,1,86,6,8,95,2,3,0,32,4,9,55,100,18,1,11,26,20,24,25,2,21,19,33,25,5,20,20,30,25,8,25,17,25,25,6,19,17,33,25,9,7,10,49,91,4,0,5,91,3,1,5,91,1,5,3,91,2,3,4,91,3,1,5,91,4,0,5,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,100,0,100,0,0,100,0,0,28,6,26,40,28,3,51,18,28,6,21,45,28,4,35,33,28,5,10,57,28,4,23,45,29,0,36,35,64,2,22,5,3,4,29,0,2,7,22,40,29,0,70,1,31,0,18,51,31,1,42,11,2,7,2,4,31,0,28,6,14,21,33,0,20,24,15,8,34,0,6,56,4,35,1,7,56,1,74,1,22,3,50,1,42,7,80,1,13,6,65,1,28,6,90,1,6,3,78,1,18,3,37,2,0,1,15,13,32,37,2,2,6,10,15,28,38,0,23,22,11,6,38,0,6,9,17,30,38,16,21,8,17,63,2,29,6,63,12,12,13,63,9,21,7,39,31,30,70,0,15,15,87,2,2,1,2,0,0,2,4,56,0,1,3,2,6,2,3,3,6,0,1,6,1,0,3,7,45,1,26,27,0,1,45,0,7,10,11,16,7,2,2,46,2,28,21,3,46,2,8,22,13,6,3,6.155,7.560150249490535,3.6315789473684212,3.286513287763078,13.883018867924529,5.5235765952400175,3.313725490196079,1.8274593957561016
AM,ARM,Armenia,2020-12-31,2020-12-27,100,4,118469.2453066196,2,81182.2389779848,90,87,3768090.139597997,50,4,7,89,2,18,80,4,10,86,2,27,71,2,26,72,3,15,82,3,9,88,2,8,90,3,7,90,4,8,88,3,14,83,3,20,77,4,6,90,3,20,77,93,2,4,1,82,3,8,7,90,1,3,6,73,2,11,14,74,3,14,9,85,2,7,6,91,2,4,3,92,3,4,1,93,1,4,2,92,2,5,1,86,2,6,6,80,2,6,12,94,1,3,2,80,1,12,7,13,0,29,58,72,1,7,20,14,1,38,47,62,0,11,27,89,3,8,0,89,6,5,95,3,2,0,26,2,13,59,100,17,0,13,26,15,29,25,5,19,20,31,25,9,19,21,26,25,12,27,15,21,25,14,17,19,25,25,13,7,12,43,87,5,2,6,87,5,1,7,87,2,7,4,87,4,4,5,87,5,2,6,87,6,1,6,99,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,100,0,0,100,0,100,0,100,0,0,100,0,0,29,8,26,37,29,4,51,16,29,8,23,40,29,6,33,32,29,8,8,55,29,7,19,45,31,1,37,31,63,2,22,7,3,3,32,1,0,9,21,37,32,2,66,0,35,1,13,51,35,1,34,16,4,3,3,4,35,0,28,10,12,15,37,0,19,21,15,8,39,1,4,54,2,40,0,7,52,1,74,1,22,3,51,1,43,5,78,1,15,6,67,1,27,5,92,1,6,1,82,0,15,3,42,2,0,2,10,11,33,42,2,2,5,8,13,28,42,1,17,21,15,4,42,1,4,8,19,26,42,12,17,13,16,71,4,20,5,71,7,11,11,71,4,18,7,43,27,30,70,0,16,14,85,2,2,1,3,1,0,2,4,59,0,1,3,6,5,0,4,2,5,0,2,4,1,0,1,7,49,1,28,20,0,2,49,1,7,9,11,12,7,2,2,50,3,25,16,6,50,3,9,17,10,7,4,7.049999999999999,9.641878134133846,4.05,3.456115860631015,13.0625,5.5940935797252624,3.0416666666666665,1.809647118925527
AM,ARM,Armenia,2021-01-01,2020-12-30,100,3,80943.7052718059,1,43656.6989431711,83,83,3912528.0287408815,47,7,3,90,4,19,77,6,10,84,5,29,66,6,22,72,7,20,73,7,9,84,5,7,88,6,8,86,8,5,87,5,13,82,7,16,77,8,4,88,6,18,76,97,1,2,0,81,2,9,8,90,1,4,5,71,2,17,10,78,2,9,11,80,1,11,8,91,1,6,2,93,2,5,0,92,2,3,3,95,1,4,0,87,2,4,7,84,1,6,9,96,1,2,1,82,1,8,9,17,0,32,51,69,1,8,22,18,3,36,43,65,0,7,28,93,2,5,0,93,4,3,96,3,1,0,29,2,10,59,100,22,0,13,18,15,32,29,6,18,19,28,29,12,12,21,26,29,12,25,14,20,29,15,11,18,27,29,14,4,8,45,90,3,2,5,90,3,0,7,90,1,7,2,90,3,2,5,90,4,1,5,90,4,1,5,76,0,24,76,1,0,23,76,1,1,22,76,1,0,23,76,1,2,21,76,1,3,20,76,1,1,22,95,1,4,95,5,95,5,95,1,4,95,1,4,35,5,28,32,35,4,48,13,35,6,23,36,35,7,35,23,35,7,13,45,35,7,15,43,37,1,39,23,61,0,20,11,4,4,38,1,0,6,23,32,38,2,60,0,39,1,12,48,39,0,32,14,7,2,2,4,39,0,23,8,18,12,40,0,15,20,16,9,43,2,4,48,3,44,1,5,47,3,73,3,23,1,54,3,42,1,78,3,16,3,66,2,28,4,88,2,9,1,85,1,12,2,47,0,1,4,8,10,30,47,1,1,4,12,9,26,47,1,14,20,14,4,47,1,6,8,13,25,47,14,15,14,10,71,6,16,7,71,8,11,10,71,8,13,8,47,30,23,77,0,12,11,89,1,4,0,3,1,0,1,1,60,0,1,2,4,5,0,3,6,4,1,4,1,1,0,2,6,52,2,24,20,0,2,52,2,3,8,10,14,8,2,1,52,2,28,12,6,52,2,9,20,10,5,2,7.33,9.050122537773616,3.318181818181818,2.8683222844151817,13.761904761904765,5.630099959297711,2.977777777777778,1.777241080603827
AM,ARM,Armenia,2021-01-02,2020-12-30,100,3,80943.7052718059,1,43656.6989431711,81,83,3927756.582024857,45,7,3,90,4,20,76,6,10,84,5,29,66,6,22,72,7,20,73,7,9,84,5,7,88,6,8,86,8,5,87,5,13,82,7,17,76,8,3,89,6,18,76,97,1,2,0,80,2,9,9,90,1,4,5,71,2,16,11,78,2,9,11,80,1,11,8,91,1,6,2,93,2,5,0,92,2,3,3,95,1,4,0,87,2,4,7,83,1,7,9,97,1,1,1,82,1,8,9,17,0,31,52,70,1,7,22,18,3,36,43,65,0,7,28,93,2,5,0,93,4,3,96,3,1,0,29,2,10,59,100,22,0,13,19,16,30,30,6,19,19,26,30,13,12,21,24,30,12,25,14,19,30,15,12,18,25,30,14,5,8,43,90,3,2,5,90,3,0,7,90,1,7,2,90,3,2,5,90,4,1,5,90,4,1,5,75,1,24,75,1,1,23,75,1,2,22,75,1,1,23,75,1,3,21,75,1,4,20,75,1,2,22,95,1,4,95,5,95,5,95,1,4,95,1,4,37,5,27,31,37,4,46,13,37,6,23,34,37,7,35,21,37,7,13,43,37,7,15,41,39,1,38,22,62,0,19,11,4,4,40,1,0,5,22,32,40,2,58,0,41,1,12,46,41,0,32,13,7,1,2,4,41,0,22,8,18,11,42,0,15,20,15,8,45,2,4,46,3,46,1,5,45,3,74,3,23,0,56,3,41,0,78,3,16,3,66,2,28,4,88,2,9,1,85,1,12,2,49,0,1,4,8,8,30,49,1,1,4,12,8,25,49,1,14,19,13,4,49,1,6,8,12,24,49,13,15,14,9,72,6,16,6,72,8,11,9,72,8,12,8,49,29,22,78,0,12,10,89,1,4,0,3,1,0,1,1,61,0,1,2,4,5,0,3,6,3,1,4,1,1,0,2,6,54,2,23,19,0,2,54,2,3,8,9,14,7,2,1,54,2,27,11,6,54,2,8,19,10,5,2,7.151219512195123,8.998197651508315,3.380952380952381,2.9236311408279683,13.825,5.737360690448849,2.953488372093023,1.8120428930602455
