ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10.1,B11..99,B11..77,B11.1,B11.2,V1..99,V2..99,V2a..99,V3..99,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V4_6..99,V5a_1..99,V5a_2..99,V5a_3..99,V5a_4..99,V5a_5..99,V5a_6..99,V5a_7..99,V5a_8..99,V5a_9..99,V5b_1..99,V5b_2..99,V5b_3..99,V5b_4..99,V5b_5..99,V5b_6..99,V5b_7..99,V5b_8..99,V5b_9..99,V5c_1..99,V5c_2..99,V5c_3..99,V5c_4..99,V5c_5..99,V5c_6..99,V5c_7..99,V5c_8..99,V5c_9..99,V5d_1..99,V5d_2..99,V5d_3..99,V5d_4..99,V5d_5..99,V5d_6..99,V5d_7..99,V5d_8..99,V5d_9..99,V6_1..99,V6_2..99,V6_3..99,V6_4..99,V6_5..99,V6_6..99,V6_7..99,V9..99,V9.1,V9.2,V9.3,V9.4,V10_1..99,V10_2..99,V10_3..99,V10_4..99,V10_5..99,V10_6..99,V10_7..99,V10_8..99,V10_9..99,V10_10..99,V11..99,V12..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1.2,B13_2..99,B13_2.1,B13_3..99,B13_3.2,B13_4..99,B13_4.2,B13_5..99,B13_5.1,B13_6..99,B13_6.2,B13_7..99,B13_7.1,B14_1..99,B14_2..99,B14_3..99,B14_4..99,B14_5..99,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m.1,C1_m.2,C2..99,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5.1,C5.2,C5.3,C5.4,C5.6,C6..99,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C9a..99,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7.1,D7.2,D8..99,D8.1,D8.2,D9..99,D9.1,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10.1,D10.4,D10.7,D10.8,D10.10,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.4,E4..99,E4.1,E4.2,E4.3,E4.4,E4.5,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
DM,DMA,Dominica,2021-02-10,2021-01-14,100,12,412747.53159644204,7,143926.7603999812,36,84,2075352.563978609,38,7,15,78,5,16,79,6,10,84,6,15,79,5,23,72,11,17,72,7,14,79,9,9,82,5,9,86,6,11,83,11,9,80,5,25,70,7,16,77,5,21,74,85,1,12,2,84,4,7,5,90,2,6,2,85,2,11,2,77,2,15,6,83,2,9,6,86,2,9,3,91,3,4,2,91,8,1,89,1,9,1,91,2,6,1,75,3,14,8,84,4,9,3,79,3,13,5,14,2,15,69,87,8,5,18,2,29,51,72,1,11,16,89,4,6,1,89,1,2,7,1,98,2,33,4,14,49,100,100,1,22,16,27,15,20,32,13,23,18,14,32,12,25,21,10,32,16,28,14,10,32,16,28,15,9,32,17,9,11,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,41,8,7,8,1,1,1,1,1,1,1,1,1,1,1,1,86,4,6,4,86,8,2,4,86,5,6,3,86,9,2,3,86,9,2,3,86,8,2,4,99,1,99,1,99,1,99,1,99,1,99,1,99,1,100,100,100,100,100,37,4,29,30,37,6,34,23,37,7,19,37,37,6,29,28,37,8,17,38,37,7,22,34,40,30,30,70,19,5,3,3,41,1,4,15,17,22,41,3,52,4,46,4,10,40,46,34,10,2,2,6,46,20,12,10,12,46,1,25,16,9,3,46,1,5,39,9,1,48,5,10,28,9,71,1,26,2,66,1,29,4,81,1,15,3,71,1,23,5,83,1,13,3,78,2,17,3,53,1,3,1,3,9,30,53,3,4,4,7,7,22,57,1,22,12,3,5,57,11,15,8,9,57,1,21,12,5,4,68,5,27,68,14,8,10,68,12,14,6,59,12,29,71,9,20,91,2,1,1,1,1,3,79,3,2,4,1,1,1,1,1,7,60,1,17,19,3,60,6,19,7,5,3,60,2,14,10,14,60,1,14,10,11,3,1,4.3125,4.0276263721388545,3.3333333333333335,1.8027756377319946,11.064516129032258,10.45605242230855,2.9393939393939394,2.3175875649502697
DM,DMA,Dominica,2021-02-12,2021-01-14,100,12,412747.53159644204,7,143926.7603999812,36,84,2095216.306242287,38,7,14,79,5,17,78,6,11,83,6,16,78,5,24,71,11,18,71,7,14,79,9,9,82,5,9,86,6,11,83,11,10,79,5,25,70,7,16,77,5,22,73,86,1,12,1,83,4,8,5,89,2,7,2,84,2,11,3,76,2,16,6,82,2,9,7,86,2,9,3,91,3,4,2,91,8,1,89,1,9,1,90,2,6,2,75,3,13,9,84,4,9,3,78,3,13,6,14,2,15,69,87,8,5,18,2,30,50,71,1,12,16,88,4,7,1,88,1,2,8,1,98,2,34,4,14,48,100,100,2,22,16,27,15,20,32,14,23,17,14,32,12,26,20,10,32,17,28,13,10,32,17,28,14,9,32,18,9,10,31,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,36,41,8,7,8,2,2,2,2,2,2,2,2,2,2,2,2,86,4,6,4,86,8,2,4,86,5,6,3,86,9,2,3,86,9,2,3,86,8,2,4,99,1,99,1,99,1,99,1,99,1,99,1,99,1,100,100,100,100,100,37,4,28,31,37,6,35,22,37,7,19,37,37,6,29,28,37,8,17,38,37,7,21,35,40,29,31,71,18,5,3,3,41,1,4,15,17,22,41,3,52,4,46,4,10,40,46,35,9,2,2,6,46,20,11,11,12,46,1,25,16,9,3,46,1,5,40,8,2,48,5,10,29,8,72,1,25,2,65,1,30,4,81,1,15,3,71,1,23,5,83,1,13,3,79,2,16,3,53,1,3,1,4,9,29,53,3,4,5,7,6,22,57,1,22,12,3,5,57,11,15,8,9,57,1,21,12,5,4,68,5,27,68,15,7,10,68,13,13,6,59,12,29,71,9,20,91,2,0,1,2,1,3,79,3,3,4,1,1,1,1,1,6,60,1,17,19,3,60,6,19,7,5,3,60,2,14,10,14,60,1,14,10,11,3,1,4.354838709677419,4.086958013786245,3.3333333333333335,1.8027756377319946,11.064516129032258,10.45605242230855,2.9393939393939394,2.3175875649502697
