ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
CM,CMR,Cameroon,2020-12-22,2020-12-21,100,3,446839.016788685,1,96043.34114242301,12,87,14420250.777268842,51,7,5,88,5,14,81,5,4,91,6,34,60,5,16,79,7,17,76,5,9,86,5,7,88,5,7,88,5,3,92,5,12,83,5,21,74,6,2,92,4,20,76,95,1,2,2,86,2,7,5,96,0,1,3,66,1,11,22,84,1,3,12,83,1,9,7,91,1,3,5,93,0,3,4,93,1,3,3,97,1,2,0,88,0,4,8,79,1,9,11,98,0,2,0,80,0,8,12,13,0,10,77,90,0,6,4,13,4,32,51,68,1,11,20,89,0,10,1,89,1,9,1,99,1,0,29,2,13,56,100,15,0,11,23,22,29,40,12,14,8,26,40,10,20,9,21,40,9,16,11,24,40,9,15,14,22,40,13,8,7,32,87,7,2,4,87,6,3,4,87,5,5,3,87,6,4,3,87,5,4,4,87,7,1,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,21,3,45,31,21,7,47,25,21,6,43,30,21,7,45,27,21,4,34,41,21,5,48,26,25,1,45,29,55,0,19,9,6,11,26,0,5,16,24,29,26,1,68,5,27,2,13,58,27,0,16,15,21,10,9,2,27,0,21,15,20,17,29,1,12,27,24,7,31,0,3,60,6,33,0,5,56,6,57,3,28,12,55,3,29,13,59,5,21,15,56,3,18,23,67,3,18,12,54,1,28,17,35,1,0,6,11,14,33,35,0,2,5,8,19,31,36,3,17,16,15,13,36,1,21,9,13,20,36,2,31,9,8,14,62,3,26,9,62,13,10,15,62,10,21,7,40,1,42,17,83,8,9,92,0,3,0,0,1,0,0,4,50,0,8,4,1,3,0,1,3,1,4,1,4,1,5,14,48,1,36,12,0,3,48,0,9,22,10,7,2,2,49,1,31,13,6,49,0,14,15,12,4,6,3.84,3.776187473727264,1.1111111111111112,0.6009252125773316,9.622222222222222,6.627384266980618,4.104166666666667,3.1232796683173962
CM,CMR,Cameroon,2020-12-23,2020-12-22,100,7,1007648.7945887157,3,452745.52018489403,11,84,12393434.345295848,39,10,10,80,7,16,77,7,4,89,7,29,64,7,18,75,8,20,72,9,4,87,9,7,84,8,4,88,8,1,91,8,10,82,8,19,73,10,2,88,7,16,77,90,0,7,3,84,1,4,11,96,0,2,2,71,2,9,18,82,0,6,12,80,2,6,12,96,0,3,1,93,1,3,3,96,0,2,2,99,0,1,0,90,1,4,5,81,1,5,13,98,0,2,0,84,1,6,9,16,0,7,77,93,0,5,2,16,3,35,46,65,2,12,21,88,0,11,1,88,0,11,1,100,0,0,33,2,13,52,100,20,0,17,13,25,25,24,12,16,12,36,24,14,15,14,33,24,13,20,17,26,24,14,18,17,27,24,20,11,9,36,87,6,1,6,87,4,2,7,87,4,4,5,87,4,5,4,87,5,1,7,87,6,1,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,26,4,50,20,26,5,41,28,26,5,38,31,26,5,45,24,26,2,43,29,26,4,49,21,30,2,45,23,55,0,16,11,7,11,32,0,6,17,25,20,32,1,60,7,34,2,8,56,34,0,9,15,22,10,9,1,34,1,21,11,20,13,35,1,9,27,19,9,37,0,2,56,5,39,2,3,53,3,52,5,27,16,61,4,22,13,63,4,22,11,56,4,18,22,58,3,22,17,53,3,24,20,41,1,1,5,6,14,32,41,1,0,5,7,15,31,46,0,15,15,10,14,46,0,14,13,14,13,46,1,25,12,3,13,66,3,24,7,66,13,6,15,66,12,11,11,50,0,36,14,86,9,5,91,0,3,0,0,2,0,0,4,56,0,6,4,4,5,0,2,2,0,4,1,4,0,1,11,59,0,34,6,0,1,59,0,6,11,15,6,2,1,60,2,24,9,5,60,1,7,17,8,6,1,4.2,3.5393887505150845,1.4285714285714286,0.9759000729485332,10.153846153846153,6.72207072395209,4.17948717948718,3.417230294842477
CM,CMR,Cameroon,2020-12-24,2020-12-23,100,4,469287.178659619,2,232338.90721392,25,79,12391953.332345916,34,6,7,87,4,14,82,3,4,93,3,28,69,2,19,79,5,19,76,8,2,90,5,7,88,6,4,90,3,4,93,5,8,87,5,17,78,6,6,88,5,26,69,93,1,3,3,86,1,4,9,96,0,0,4,72,3,11,14,81,3,5,11,81,2,5,12,98,0,2,0,93,1,4,2,96,0,3,1,96,0,1,3,92,2,1,5,83,1,6,10,94,1,2,3,74,3,8,15,21,0,12,67,89,0,7,4,22,3,35,40,66,2,12,20,88,1,11,0,88,3,8,1,98,0,2,41,0,17,42,100,27,1,13,14,22,23,31,3,23,16,27,31,10,23,15,21,31,8,30,10,21,31,9,27,9,24,31,10,10,10,39,83,9,4,4,83,7,8,2,83,8,7,2,83,7,1,9,83,8,6,3,83,8,4,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,34,1,45,20,34,4,36,26,34,4,26,36,34,4,34,28,34,4,30,32,34,5,35,26,36,0,38,26,62,0,21,5,5,7,37,1,7,10,24,21,37,2,55,6,37,1,10,52,37,0,16,16,10,9,10,2,37,2,18,18,15,10,39,0,12,22,21,6,40,0,1,55,4,45,0,1,50,4,56,3,28,13,65,3,20,12,75,2,11,12,67,1,15,17,71,1,16,12,66,2,21,11,47,0,1,5,7,15,25,47,1,0,5,9,16,22,52,0,17,10,7,14,52,0,13,13,10,12,52,0,26,9,4,9,68,2,24,6,68,11,7,14,68,11,13,8,55,0,29,16,84,11,5,90,0,5,0,1,1,0,1,2,62,0,2,5,3,6,0,1,5,0,3,0,2,0,2,9,65,0,25,8,0,2,65,0,10,7,11,4,2,1,65,2,22,7,4,65,0,6,8,10,9,2,3.214285714285715,3.0725830420873326,2.3,0.9486832980505138,8.515151515151516,7.517152104193167,4.352941176470588,3.5919299525900734
CM,CMR,Cameroon,2020-12-25,2020-12-24,100,2,231180.209257518,1,115590.104628759,23,85,11901325.00780505,30,7,2,91,5,17,78,6,4,90,5,23,72,4,15,81,7,18,75,7,3,90,6,8,86,7,3,90,5,4,91,6,7,87,8,15,77,7,4,89,7,27,66,98,0,1,1,83,1,5,11,96,0,0,4,77,0,11,12,85,2,6,7,82,0,6,12,97,0,2,1,92,1,4,3,97,0,2,1,96,0,3,1,93,0,1,6,85,0,6,9,96,0,3,1,73,1,12,14,15,0,11,74,91,0,5,4,17,1,32,50,69,0,9,22,91,1,8,0,91,1,7,1,100,0,0,30,1,18,51,100,25,0,14,20,23,18,26,4,21,20,29,26,10,22,20,22,26,9,32,12,21,26,12,25,13,24,26,15,10,11,38,82,9,4,5,82,8,8,2,82,6,7,5,82,10,2,6,82,7,5,6,82,6,6,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,30,4,41,25,30,4,44,22,30,4,30,36,30,4,37,29,30,5,29,36,30,6,36,28,33,1,37,29,63,0,17,13,3,4,37,1,4,11,26,21,37,4,55,4,38,2,13,47,38,0,12,18,13,9,8,2,38,0,20,13,19,10,40,0,13,21,21,5,41,0,2,54,3,47,0,1,48,4,61,3,24,12,58,5,21,16,71,3,11,15,64,2,15,19,73,3,15,9,66,2,21,11,49,2,0,3,5,20,21,49,0,0,4,7,16,24,52,0,18,14,3,13,52,1,15,9,8,15,52,0,26,6,5,11,69,2,23,6,69,11,10,10,69,13,13,5,54,0,27,19,81,13,6,88,0,5,0,3,0,0,1,3,61,0,0,6,0,11,0,0,5,2,3,1,2,0,1,8,69,0,25,4,0,2,69,0,7,7,10,6,1,0,69,1,15,10,5,69,0,10,5,7,6,3,3.372093023255814,2.9922380206282093,2.5,0.9258200997725514,10.516129032258064,8.496552115385532,4.3,3.4154819925420936
CM,CMR,Cameroon,2020-12-26,2020-12-24,100,1,115590.104628759,0,0,15,88,13456918.528227214,35,6,2,92,3,19,78,5,2,93,3,27,70,4,12,84,5,17,78,4,6,90,4,5,91,5,4,91,3,3,94,5,6,89,5,14,81,5,4,91,5,21,74,98,0,1,1,81,1,6,12,98,0,0,2,73,0,14,13,88,0,6,6,83,0,4,13,94,0,3,3,95,0,3,2,96,0,3,1,97,0,2,1,94,0,1,5,86,0,5,9,96,1,1,2,79,0,11,10,12,0,8,80,93,0,5,2,13,2,34,51,66,0,7,27,93,0,7,0,93,1,6,0,99,1,0,24,1,14,61,100,17,0,15,22,22,24,19,7,21,22,31,19,10,24,23,24,19,10,29,19,23,19,11,25,23,22,19,14,11,13,43,86,8,0,6,86,6,6,2,86,4,6,4,86,8,4,2,86,6,3,5,86,3,6,5,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,24,5,40,31,24,2,52,22,24,4,35,37,24,3,41,32,24,4,34,38,24,4,36,36,27,1,43,29,57,0,18,14,2,9,30,1,4,12,36,17,30,4,65,1,32,2,13,53,32,0,10,16,16,13,9,4,32,1,21,19,19,8,33,0,10,24,25,8,35,0,1,60,4,42,0,1,53,4,62,2,21,15,50,4,25,21,66,3,15,16,60,4,11,25,68,4,12,16,66,3,18,13,43,2,0,1,3,22,29,43,0,0,2,4,19,32,46,0,19,13,8,14,46,1,14,9,10,20,46,0,25,4,9,16,72,2,21,5,72,8,9,11,72,9,11,8,48,0,28,24,76,14,10,87,0,4,0,3,0,0,0,6,59,0,0,7,1,10,0,0,4,2,3,2,4,0,1,7,64,0,31,4,0,1,64,0,6,12,10,7,1,0,64,0,21,12,3,64,0,13,8,8,4,3,3.8,3.5685702847990846,2.1666666666666665,1.1690451944500122,9.375,7.555173403786992,3.5555555555555554,2.655930769799592
CM,CMR,Cameroon,2020-12-27,2020-12-25,100,2,421197.23827587196,2,421197.23827587196,13,86,15713035.998846114,41,6,6,88,4,20,76,5,1,94,5,32,63,6,17,77,5,16,79,4,8,88,5,3,92,5,7,88,5,5,90,6,4,90,3,13,84,5,4,91,5,16,79,94,1,1,4,80,2,5,13,99,0,0,1,68,0,15,17,83,0,5,12,84,0,7,9,92,0,5,3,97,0,0,3,93,0,3,4,95,0,3,2,96,0,0,4,87,1,4,8,96,1,1,2,84,1,4,11,13,1,8,78,92,1,6,1,14,5,33,48,67,2,7,24,93,0,6,1,93,1,6,0,99,1,0,28,2,16,54,100,16,0,17,16,24,27,18,9,23,21,29,18,12,24,20,26,18,14,24,20,24,18,11,22,25,24,18,14,10,15,43,84,8,3,5,84,7,6,3,84,7,7,2,84,9,3,4,84,10,1,5,84,8,4,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,19,5,40,36,19,4,50,27,19,8,30,43,19,5,43,33,19,6,35,40,19,4,34,43,20,0,50,30,50,1,25,9,4,11,22,1,3,15,37,22,22,5,71,2,24,3,16,57,24,1,15,15,16,9,14,6,24,2,28,20,16,10,27,2,12,26,23,10,34,0,1,62,3,38,0,1,59,2,61,2,24,13,51,3,28,18,70,4,15,11,57,3,13,27,66,4,16,14,67,4,15,14,39,2,0,2,6,16,35,39,2,0,2,4,14,39,42,2,26,6,10,14,42,0,17,11,10,20,42,0,23,11,10,14,66,3,22,9,66,13,8,13,66,10,12,12,42,1,37,20,80,7,13,94,0,2,0,0,0,0,0,4,57,0,1,7,3,9,1,0,6,1,2,2,4,0,2,5,58,0,30,10,0,2,58,0,9,10,16,5,1,1,58,1,29,8,4,58,1,13,14,7,5,2,4.446808510638298,3.646371100377075,1.8333333333333333,1.1690451944500122,8.972222222222221,6.579127649994384,3.5641025641025643,2.6832312786017787
CM,CMR,Cameroon,2020-12-28,2020-12-25,100,2,421197.23827587196,2,421197.23827587196,12,85,15827572.036815435,42,6,6,88,5,21,74,5,1,94,4,33,63,6,19,75,5,15,80,5,7,88,5,3,92,5,7,88,5,6,89,6,3,91,3,12,85,5,4,91,4,15,81,94,1,1,4,79,3,6,12,99,0,0,1,67,1,16,16,81,1,6,12,85,0,7,8,93,0,4,3,97,0,0,3,93,0,3,4,94,1,3,2,97,0,0,3,88,1,4,7,96,1,1,2,85,1,5,9,14,1,8,77,93,1,5,1,16,5,34,45,66,2,8,24,92,0,7,1,92,1,7,0,99,1,0,31,2,18,49,100,17,0,17,17,22,27,20,9,24,20,27,20,12,24,19,25,20,14,23,19,24,20,11,22,24,23,20,13,10,14,43,82,9,4,5,82,8,7,3,82,7,9,2,82,11,3,4,82,11,2,5,82,10,4,4,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,21,5,38,36,21,4,47,28,21,8,28,43,21,5,42,32,21,6,35,38,21,4,31,44,21,1,47,31,53,1,24,7,4,11,22,1,3,15,37,22,22,4,71,3,24,3,16,57,24,1,15,15,14,9,15,7,24,2,29,20,15,10,27,2,12,26,23,10,34,0,1,62,3,37,0,1,60,2,62,2,23,13,53,3,26,18,72,4,15,9,58,3,13,26,65,4,17,14,69,4,14,13,38,2,0,3,7,15,35,38,2,0,3,5,14,38,41,2,26,7,10,14,41,0,17,11,11,20,41,0,24,11,10,14,65,3,24,8,65,14,8,13,65,10,12,13,42,1,36,21,79,8,13,93,1,2,0,0,0,0,0,4,57,1,1,7,3,8,1,0,6,1,2,2,4,0,2,5,57,0,30,11,0,2,57,0,9,11,16,5,1,1,57,1,30,8,4,57,1,13,14,8,5,2,4.511111111111111,3.696572258815789,1.8000000000000003,1.3038404810405297,8.972222222222221,6.579127649994384,3.5000000000000004,2.6794565082283346
CM,CMR,Cameroon,2020-12-30,2020-12-27,100,6,920279.390477418,4,660201.6550627099,14,85,15131226.261298798,39,8,9,83,8,24,68,8,4,88,8,36,56,9,23,68,8,17,75,9,5,86,9,8,83,8,7,85,8,8,84,9,4,87,7,15,78,10,4,86,8,18,74,91,2,2,5,76,2,8,14,96,0,2,2,64,2,16,18,77,2,7,14,83,0,8,9,95,0,3,2,92,0,2,6,93,0,2,5,92,1,5,2,96,0,0,4,85,1,5,9,96,0,1,3,82,1,8,9,14,1,9,76,92,1,6,1,16,6,29,49,71,2,9,18,91,0,8,1,91,1,7,1,99,1,0,33,3,17,47,100,19,2,21,17,14,27,25,11,26,18,20,25,20,21,11,23,25,20,24,12,19,25,19,19,15,22,25,21,9,9,36,84,7,6,3,84,8,6,2,84,5,9,2,84,9,2,5,84,9,2,5,84,10,3,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,28,6,41,25,28,9,37,26,28,10,28,34,28,6,45,21,28,7,38,27,28,7,33,32,30,3,41,26,59,1,16,7,9,8,32,1,4,14,25,24,32,3,59,6,33,2,12,53,33,2,11,9,15,9,16,5,33,2,22,8,19,16,37,4,7,21,19,12,42,2,1,52,3,43,2,3,51,1,59,1,22,18,63,2,17,18,72,3,13,12,55,1,19,25,62,2,22,14,67,2,16,15,43,2,0,3,10,10,32,43,3,0,2,8,12,32,47,3,22,9,8,11,47,1,15,9,12,16,47,1,20,12,8,12,68,4,21,7,68,13,7,12,68,9,12,11,49,2,34,15,85,6,9,95,1,2,0,0,0,0,0,2,61,2,3,8,3,5,2,1,4,0,0,2,1,0,3,5,60,2,28,9,0,1,60,1,8,7,14,4,3,3,60,2,26,7,5,60,2,8,15,5,7,3,3.727272727272727,2.8149405079725835,1.714285714285714,0.7559289460184544,10.057142857142857,7.087448960882134,3.5277777777777777,2.4783186825070525
CM,CMR,Cameroon,2020-12-31,2020-12-30,100,6,690461.5831748581,3,334694.1322734941,29,88,14198881.438162228,34,9,7,84,6,20,74,11,4,85,10,26,64,10,16,74,9,12,79,11,5,84,11,8,81,10,5,85,10,6,84,12,6,82,7,16,77,12,5,83,10,21,69,93,1,3,3,80,2,8,10,96,1,2,1,74,2,8,16,84,3,3,10,88,1,4,7,95,1,2,2,92,1,4,3,95,1,2,2,94,0,3,3,94,0,3,3,84,2,5,9,95,2,0,3,79,3,11,7,12,0,13,75,87,0,8,5,13,2,38,47,62,0,17,21,83,0,16,1,83,4,12,1,96,2,2,32,1,14,53,100,17,3,18,20,8,34,24,9,25,12,30,24,18,20,12,26,24,19,25,8,24,24,21,13,13,29,24,21,8,8,39,87,4,6,3,87,4,7,2,87,2,7,4,87,3,3,7,87,4,3,6,87,4,5,4,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,29,4,48,19,29,6,44,21,29,7,36,28,29,4,46,21,29,5,40,26,29,6,39,26,33,2,45,20,55,0,14,8,11,12,35,1,6,11,20,27,35,1,60,4,36,1,14,49,36,1,13,9,15,12,12,2,36,1,16,5,22,20,37,3,8,18,26,8,38,2,0,56,4,42,5,2,50,1,53,0,23,24,57,0,24,19,65,0,16,19,55,0,18,27,61,0,20,19,63,0,21,16,43,1,1,0,6,16,33,43,3,0,0,6,18,30,47,3,17,16,8,9,47,2,14,9,10,18,47,2,17,13,7,14,70,4,21,5,70,14,6,10,70,10,15,5,50,2,33,15,85,8,7,94,0,1,1,0,2,0,0,2,61,1,4,6,3,4,1,2,3,4,0,1,3,0,2,5,65,2,25,6,0,2,65,1,4,11,8,3,5,3,66,1,23,6,4,66,1,6,9,5,9,4,3.3255813953488373,2.2648549857137192,2.3333333333333335,1.6696942198734437,9.6,6.646751864243735,3.909090909090909,3.2534946246654957
CM,CMR,Cameroon,2021-01-01,2020-12-30,100,7,752810.7164151735,4,397043.2655138094,28,90,13708052.198411994,37,7,10,83,4,16,80,10,2,88,8,23,69,9,11,80,9,9,82,11,5,84,9,6,85,9,4,87,10,5,85,12,7,81,6,18,76,12,4,84,10,18,72,90,3,3,4,84,3,7,6,98,1,1,0,77,3,8,12,89,3,3,5,91,1,5,3,95,2,2,1,94,2,4,0,96,2,1,1,95,1,0,4,93,2,3,2,82,5,5,8,96,2,0,2,82,3,9,6,10,0,13,77,88,0,8,4,12,1,37,50,63,0,15,22,85,0,14,1,85,3,12,0,97,1,2,28,0,15,57,100,15,3,20,19,13,30,18,7,23,12,40,18,14,22,14,32,18,17,27,9,29,18,20,14,15,33,18,20,7,8,47,86,6,4,4,86,5,6,3,86,4,6,4,86,5,2,7,86,6,3,5,86,5,6,3,73,8,1,18,73,6,2,19,73,6,3,18,73,7,3,17,73,7,5,15,73,6,7,14,73,6,4,17,89,5,1,5,89,1,6,4,89,4,2,5,89,5,1,5,89,4,2,5,24,5,40,31,24,4,45,27,24,6,41,29,24,4,48,24,24,6,35,35,24,5,40,31,27,2,49,22,51,0,19,8,10,12,30,1,4,13,28,24,30,2,66,2,31,2,15,52,31,1,15,13,17,11,10,2,31,2,16,7,20,24,31,4,8,21,32,4,32,2,2,62,2,36,4,4,55,1,61,0,23,16,56,0,31,13,60,0,21,19,53,1,19,27,66,0,19,15,62,0,24,14,37,3,2,1,5,17,35,37,5,0,1,6,17,34,40,5,17,18,11,9,40,3,11,11,12,23,40,3,17,15,10,15,68,4,24,4,68,18,5,9,68,13,13,6,43,3,35,19,81,10,9,91,0,0,2,0,4,0,0,3,56,0,5,5,3,6,1,1,5,5,0,2,3,0,2,6,61,2,29,5,1,2,61,2,3,15,8,2,6,3,63,2,27,5,3,63,2,7,8,7,7,6,3.075,2.280210291696574,2.3636363636363638,1.747725795010606,10.612903225806452,7.130579309587866,3.942857142857143,3.5141968971491586
