ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B11..99,B11..77,B11.1,B11.2,V1..99,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
FI,FIN,Finland,2020-12-21,2020-12-21,337,1,19242.3315551993,0,0,50,326,3195894.109014918,281,4,1,332,4,39,294,3,5,329,2,55,280,2,89,246,3,58,276,3,33,301,4,4,329,3,15,319,3,3,331,3,15,319,4,68,265,4,19,314,5,47,285,336,0,0,1,299,0,15,23,334,0,0,3,284,1,8,44,249,1,25,62,281,0,13,43,306,0,15,16,334,0,2,1,324,1,4,8,335,0,0,2,324,1,7,5,270,1,17,49,319,0,9,9,290,1,24,22,10,1,28,298,310,0,8,19,12,5,132,188,205,0,31,101,306,1,26,4,306,1,30,0,336,0,1,48,2,11,276,337,0,0,0,0,15,0,165,92,38,27,294,1,12,29,1,294,0,21,22,0,294,1,18,22,2,294,1,21,20,1,294,1,5,26,11,0,326,1,3,7,326,1,1,9,326,1,3,7,326,1,1,9,326,0,1,10,326,2,1,8,337,0,0,0,337,0,0,0,337,0,0,0,337,0,0,0,337,0,0,0,337,0,0,0,337,0,0,0,337,0,0,0,337,0,0,0,337,0,0,0,337,0,0,0,337,0,0,0,23,2,94,218,23,0,228,86,23,1,94,219,23,1,150,163,23,1,14,299,23,2,38,274,25,0,140,172,197,109,19,4,8,29,0,3,17,103,185,29,2,304,2,33,2,52,250,33,0,157,89,27,12,14,5,33,1,71,85,93,54,34,1,72,148,65,17,34,1,127,170,5,38,2,128,160,9,245,0,70,22,111,0,208,18,245,2,73,17,189,1,57,90,323,0,11,3,300,0,31,6,39,1,1,4,28,49,215,39,0,2,9,25,63,199,40,1,38,135,103,20,40,0,2,12,38,245,40,0,13,49,81,154,275,2,41,19,275,6,6,50,275,3,17,42,42,1,193,101,236,1,33,67,305,0,5,2,7,5,0,2,11,114,0,4,14,10,24,2,13,35,14,1,8,31,9,3,11,44,49,2,105,176,1,4,49,0,23,58,70,65,37,29,6,55,5,135,74,68,55,2,112,64,62,28,14,6.453216374269006,7.863589111323805,1.9166666666666667,1.176459931750543,13.906716417910447,5.571687360138775,2.397810218978102,1.405951095877006
FI,FIN,Finland,2020-12-22,2020-12-22,356,1,4687.66440145983,1,4687.66440145983,49,347,2930658.4344367455,301,2,4,350,2,16,338,2,9,345,2,46,308,1,91,264,2,45,309,2,23,331,2,7,347,1,13,342,2,5,349,2,13,341,2,51,303,2,18,336,2,62,292,352,0,1,3,340,0,4,12,347,0,0,9,310,1,11,34,265,1,17,73,311,0,11,34,333,1,9,13,349,0,6,1,343,1,5,7,351,0,2,3,343,2,4,7,305,0,15,36,338,0,6,12,294,2,26,34,7,2,30,317,329,0,10,17,12,4,120,220,236,2,21,97,335,0,21,0,335,2,19,0,354,0,2,39,6,5,306,356,0,0,0,0,17,0,202,87,37,13,26,5,98,207,20,26,10,188,120,12,26,8,170,130,22,26,9,168,136,17,26,12,51,187,80,0,351,0,0,5,351,0,0,5,351,0,0,5,351,0,1,4,351,0,0,5,351,0,0,5,356,0,0,0,356,0,0,0,356,0,0,0,356,0,0,0,356,0,0,0,356,0,0,0,356,0,0,0,356,0,0,0,356,0,0,0,356,0,0,0,356,0,0,0,356,0,0,0,30,2,94,230,30,2,259,65,30,2,107,217,30,1,150,175,30,1,12,313,30,1,52,273,31,3,149,173,207,119,23,4,3,31,0,1,17,107,200,31,0,321,4,32,4,55,265,32,1,161,112,26,8,8,8,32,1,91,72,127,33,32,3,68,180,57,16,35,1,131,184,5,39,0,124,185,8,262,1,72,21,98,1,246,11,249,2,89,16,207,0,71,78,344,0,8,4,304,1,47,4,39,2,0,6,23,73,213,39,0,0,7,27,73,210,39,3,36,144,107,27,39,0,3,7,34,273,39,0,9,62,74,172,286,2,52,16,286,10,4,56,286,10,18,42,42,0,194,120,236,0,39,81,317,1,3,1,8,6,0,2,18,125,1,2,17,5,28,4,11,31,14,0,10,41,19,6,6,36,45,6,121,181,2,1,45,0,26,57,65,54,58,37,14,53,10,146,92,55,53,6,117,79,65,21,15,7.26969696969697,9.438261674916525,1.7307692307692308,1.0023050357128735,14.10204081632653,5.136511470547451,2.360544217687075,1.3112564811933516
FI,FIN,Finland,2020-12-23,2020-12-23,326,1,5483.78412160315,0,0,51,317,3406649.904801896,262,1,2,323,1,37,288,1,6,319,0,46,280,1,76,249,1,39,286,1,28,297,2,5,319,1,10,315,1,4,321,1,9,316,1,51,274,1,15,310,1,43,282,324,0,1,1,289,0,11,26,320,1,2,3,280,0,10,36,250,2,18,56,287,2,8,29,298,0,6,22,321,0,1,4,316,1,4,5,322,1,2,1,317,1,5,3,275,1,19,31,311,0,8,7,283,2,19,22,9,0,29,288,298,0,11,17,12,2,124,188,202,3,23,98,303,0,23,0,303,1,22,0,325,0,1,41,6,11,268,326,0,0,0,0,19,0,175,81,29,22,30,6,96,172,22,30,7,162,107,20,30,9,148,111,28,30,9,150,108,29,30,12,50,166,68,0,316,1,0,9,316,1,4,5,316,1,6,3,316,2,2,6,316,2,0,8,316,2,3,5,326,0,0,0,326,0,0,0,326,0,0,0,326,0,0,0,326,0,0,0,326,0,0,0,326,0,0,0,326,0,0,0,326,0,0,0,326,0,0,0,326,0,0,0,326,0,0,0,36,1,90,199,36,0,252,38,36,1,113,176,36,0,141,149,36,1,18,271,36,0,50,240,37,1,139,149,187,103,22,10,4,37,1,3,10,94,181,37,1,285,3,39,0,45,242,39,0,144,100,21,12,7,3,39,0,79,69,93,46,41,4,66,143,61,11,41,1,128,152,4,44,5,120,152,5,236,0,62,28,74,1,236,15,213,2,88,23,185,2,62,77,308,1,11,6,276,1,43,6,47,1,2,2,29,52,193,47,2,2,8,29,59,179,51,3,33,116,102,21,51,0,3,9,35,228,51,0,14,47,69,145,267,1,44,14,267,6,6,47,267,3,14,42,55,4,170,97,229,0,36,61,291,0,4,1,4,4,1,0,21,122,0,7,6,9,25,1,8,25,17,1,7,31,12,6,8,41,59,2,113,147,1,4,59,0,25,41,53,57,50,32,9,62,1,127,72,64,62,1,97,73,59,26,8,6.868120805369127,9.377438808487586,1.88,1.1298967504452195,13.829411764705883,4.975858811547959,2.367816091954023,1.290035263639084
FI,FIN,Finland,2020-12-24,2020-12-24,279,0,0,0,0,45,274,3410841.3665397703,231,1,1,277,1,26,252,1,5,273,2,34,243,2,68,209,0,27,252,1,21,257,1,4,274,2,10,267,1,6,272,1,10,268,1,40,238,1,11,267,0,39,240,278,0,1,0,253,1,11,14,274,0,1,4,245,0,8,26,211,1,19,48,252,1,6,20,258,0,10,11,275,0,2,2,269,0,3,7,273,0,3,3,269,0,3,7,239,0,14,26,268,0,2,9,240,0,17,22,5,0,23,251,256,0,9,14,5,2,101,171,178,0,21,80,258,2,19,0,258,0,21,0,279,0,0,29,3,5,242,279,0,0,0,0,8,0,142,85,30,14,21,4,86,151,17,21,6,154,89,9,21,7,130,104,17,21,6,141,91,20,21,10,41,146,61,0,274,0,1,4,274,0,2,3,274,0,0,5,274,0,1,4,274,0,0,5,274,0,0,5,279,0,0,0,279,0,0,0,279,0,0,0,279,0,0,0,279,0,0,0,279,0,0,0,279,0,0,0,279,0,0,0,279,0,0,0,279,0,0,0,279,0,0,0,279,0,0,0,27,2,59,191,27,0,188,64,27,1,85,166,27,2,135,115,27,2,9,241,27,3,29,220,29,0,118,132,161,81,28,8,1,30,1,1,23,87,137,30,1,248,0,35,4,40,200,35,0,116,80,20,9,12,7,35,0,67,65,76,36,35,0,54,129,48,13,36,1,104,135,3,36,1,100,139,3,221,0,38,20,92,2,168,17,195,1,69,14,145,1,34,99,270,0,5,4,250,0,24,5,36,1,4,5,24,54,155,36,0,3,8,28,52,152,37,2,27,118,72,23,37,0,0,5,29,208,37,1,15,42,61,123,222,2,44,11,222,3,5,49,222,3,16,38,40,0,137,102,177,0,30,72,251,0,8,2,2,2,1,0,13,114,1,5,16,6,20,2,4,17,4,0,11,25,9,6,4,35,46,7,94,127,2,3,46,0,26,41,60,45,25,26,10,48,5,111,62,53,48,3,67,59,58,28,16,6.2,8.33376342976124,2,1.2344267996967353,13.438356164383562,5.596492105856459,2.7410714285714284,1.4838172546170554
FI,FIN,Finland,2020-12-25,2020-12-25,326,0,0,0,0,49,320,3227824.0020598113,285,4,3,319,3,33,290,3,8,315,4,37,285,2,79,245,5,40,281,4,24,298,3,5,318,3,9,314,4,2,320,3,5,318,3,44,279,4,11,311,2,32,292,323,1,1,1,293,1,11,21,318,0,1,7,289,1,4,32,247,2,22,55,286,0,12,28,302,1,12,11,321,0,1,4,317,0,4,5,324,0,2,0,321,1,3,1,282,3,7,34,314,0,5,7,294,0,14,18,6,0,20,300,306,0,5,15,7,3,130,186,196,1,35,94,291,4,31,0,291,1,34,0,325,0,1,46,4,5,271,326,0,0,0,0,9,0,177,82,35,23,20,6,103,170,27,20,5,163,120,18,20,10,134,141,21,20,10,144,128,24,20,11,48,174,73,0,321,1,2,2,321,0,1,4,321,1,0,4,321,1,0,4,321,0,1,4,321,1,0,4,326,0,0,0,326,0,0,0,326,0,0,0,326,0,0,0,326,0,0,0,326,0,0,0,326,0,0,0,326,0,0,0,326,0,0,0,326,0,0,0,326,0,0,0,326,0,0,0,22,0,43,261,22,0,169,135,22,1,70,233,22,1,177,126,22,1,11,292,22,1,20,283,25,1,161,139,165,100,56,5,0,27,0,0,16,96,187,27,1,297,1,30,2,35,259,30,0,148,103,23,7,10,5,30,0,59,88,112,37,30,0,74,146,66,10,31,0,134,158,3,34,1,132,153,6,283,2,26,15,159,1,151,15,257,1,56,12,151,1,45,129,315,1,7,3,306,1,15,4,36,0,1,0,24,64,201,36,0,2,5,31,43,209,36,1,32,128,108,21,36,0,2,10,21,257,36,0,8,33,81,168,285,4,27,10,285,9,4,28,285,7,9,25,36,0,171,119,207,0,43,76,283,0,2,3,4,6,1,4,23,112,0,3,15,11,28,1,11,30,12,1,6,26,16,4,10,40,38,2,129,154,1,2,38,0,25,31,58,79,49,35,11,41,10,127,85,63,41,5,84,79,66,35,16,6.815436241610738,9.879741248610133,2.611111111111111,1.6138696240399015,13.899267399267398,5.181443081082669,2.740875912408759,1.4175795676785534
FI,FIN,Finland,2020-12-26,2020-12-26,364,0,0,0,0,35,358,3167509.3553275275,305,1,0,363,1,50,313,2,8,354,2,56,306,1,89,274,1,44,319,1,22,341,1,4,359,1,14,349,2,1,361,0,9,355,1,39,324,1,13,350,2,27,335,364,0,0,0,314,0,18,32,356,0,2,6,308,0,12,44,275,0,22,67,320,0,9,35,342,0,14,8,360,0,1,3,350,0,3,11,363,0,0,1,355,0,4,5,325,0,10,29,351,0,7,6,337,0,8,19,6,0,17,341,347,0,6,11,8,0,139,217,225,0,24,115,340,1,21,2,340,1,23,0,363,0,1,33,1,6,324,364,0,0,0,0,20,1,202,90,30,21,26,9,121,193,15,26,14,183,127,14,26,15,171,131,21,26,16,178,123,21,26,18,60,191,69,0,360,1,1,2,360,0,1,3,360,1,0,3,360,1,0,3,360,0,2,2,360,1,0,3,364,0,0,0,364,0,0,0,364,0,0,0,364,0,0,0,364,0,0,0,364,0,0,0,364,0,0,0,364,0,0,0,364,0,0,0,364,0,0,0,364,0,0,0,364,0,0,0,29,1,44,290,29,2,163,170,29,1,63,271,29,1,195,139,29,3,15,317,29,2,25,308,30,0,172,162,192,115,51,2,4,31,1,2,28,125,177,31,0,329,4,35,4,37,288,35,1,165,97,30,6,23,7,35,0,70,71,159,29,35,2,62,162,83,20,35,0,151,175,3,39,2,145,175,3,320,0,30,14,201,1,145,17,301,1,50,12,170,0,60,134,349,0,9,6,339,0,21,4,43,1,0,4,27,58,231,43,0,3,6,19,64,229,47,5,22,140,115,35,47,0,0,10,28,279,47,1,13,47,76,180,304,1,42,17,304,5,6,49,304,2,15,43,50,0,182,132,232,0,49,83,317,0,3,1,7,8,0,2,26,136,0,1,12,9,26,2,11,38,15,2,8,39,17,5,14,29,56,2,121,180,1,4,56,0,22,54,59,56,64,38,15,57,5,136,87,79,57,2,96,89,78,31,11,7.388888888888889,10.740444257903993,2.0588235294117645,1.6382379343098377,13.737201365187714,5.1812241721085535,2.6212624584717608,1.445480220394801
FI,FIN,Finland,2020-12-27,2020-12-27,388,1,2694.2177772889104,0,0,35,380,3333985.9515470727,336,1,1,386,1,30,357,1,7,380,1,47,340,1,94,293,1,46,341,1,29,358,1,8,379,1,8,379,1,3,384,1,16,371,2,60,326,1,24,363,1,59,328,387,0,0,1,358,0,10,20,381,0,2,5,341,1,9,37,294,2,22,70,342,0,12,34,359,0,11,18,380,0,4,4,380,0,2,6,385,1,0,2,372,1,2,13,328,0,9,51,364,1,12,11,329,1,20,38,8,0,20,360,368,0,7,13,9,5,144,230,244,1,19,124,369,0,18,1,369,1,17,1,387,0,1,34,2,5,347,388,0,0,0,0,13,1,214,103,41,16,21,4,125,218,20,21,6,187,156,18,21,10,162,172,23,21,8,171,164,24,21,9,58,223,77,0,383,0,1,4,383,0,0,5,383,0,2,3,383,0,0,5,383,0,0,5,383,0,3,2,388,0,0,0,388,0,0,0,388,0,0,0,388,0,0,0,388,0,0,0,388,0,0,0,388,0,0,0,388,0,0,0,388,0,0,0,388,0,0,0,388,0,0,0,388,0,0,0,23,3,48,314,23,4,192,169,23,3,77,285,23,3,212,150,23,3,13,349,23,3,31,331,25,2,176,185,212,134,34,7,1,26,2,2,30,148,180,26,3,357,2,29,4,33,322,29,1,178,118,25,16,15,6,29,1,65,84,169,40,29,3,60,204,80,12,30,1,163,187,7,35,2,156,188,7,341,1,34,12,196,2,165,25,311,1,57,19,176,2,47,163,375,0,4,9,357,0,28,3,40,2,2,1,24,70,249,40,2,1,12,37,61,235,44,5,33,147,130,29,44,2,0,8,30,304,44,1,17,43,77,206,328,2,38,20,328,3,5,52,328,0,10,50,44,3,214,127,261,0,53,74,337,1,3,3,8,5,0,1,30,125,0,1,26,12,23,5,16,41,16,0,8,41,7,4,6,57,50,6,121,205,1,5,50,2,24,66,63,83,46,46,8,51,8,148,106,75,51,3,122,83,78,30,21,6.178453038674033,8.392697211415683,1.7894736842105263,1.0841764600337107,13.648902821316614,5.600757225305871,2.4298780487804876,1.4037816935643501
FI,FIN,Finland,2020-12-28,2020-12-27,100,0,0,0,0,9,98,980393.4756452624,85,1,0,99,1,11,88,1,4,95,1,15,84,1,23,76,1,14,85,1,6,93,1,4,95,1,2,97,1,2,97,1,6,93,1,15,84,1,6,93,1,17,82,100,0,0,0,89,0,4,7,96,0,3,1,85,1,2,12,77,1,5,17,86,0,5,9,94,0,3,3,96,0,3,1,98,0,0,2,98,1,0,1,94,0,0,6,85,0,6,9,94,0,4,2,83,1,4,12,2,0,5,93,95,0,1,4,2,0,34,64,66,0,6,28,94,0,5,1,94,0,5,1,100,0,0,8,1,1,90,100,0,0,0,0,4,0,55,23,12,6,6,0,33,53,8,6,0,53,33,8,6,2,46,37,9,6,1,51,34,8,6,1,18,54,21,0,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,99,0,0,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,6,1,16,77,6,1,53,40,6,1,23,70,6,1,52,41,6,1,7,86,6,1,13,80,7,2,44,47,56,26,13,2,3,7,1,0,6,36,50,7,2,90,1,8,1,9,82,8,1,39,32,9,4,5,2,8,1,18,20,43,10,8,2,13,51,21,5,9,1,33,57,0,11,1,33,55,0,85,0,10,5,47,0,42,11,77,0,13,10,48,0,12,40,93,0,1,6,87,0,10,3,12,2,1,1,3,19,62,12,2,1,2,5,17,61,13,2,4,38,30,13,13,1,0,2,10,74,13,1,6,12,15,53,82,0,11,7,82,0,1,17,82,0,3,15,13,1,50,36,64,0,11,25,89,0,0,0,2,0,0,1,8,39,0,1,6,4,5,2,3,10,2,0,1,13,0,0,1,13,15,2,28,53,0,2,15,1,8,22,8,21,13,11,1,15,3,34,26,22,15,1,37,21,17,4,5,7.255319148936171,9.43966673395325,1.8000000000000003,0.8366600265340757,14.000000000000002,6.031296975765374,2.0365853658536586,1.1700492967478913
FI,FIN,Finland,2020-12-30,2020-12-30,431,6,47482.9077904144,2,11732.988062567529,78,418,3745700.0995725715,367,2,7,422,2,41,388,2,9,420,2,53,376,2,105,324,3,52,376,2,20,409,2,6,423,2,12,417,2,8,421,2,18,411,2,67,362,2,26,403,2,62,367,424,1,5,1,390,1,13,27,422,1,5,3,378,0,12,41,326,1,26,78,379,1,13,38,411,0,7,13,425,0,3,3,419,0,3,9,423,1,4,3,413,0,5,13,364,1,18,48,405,1,16,9,369,2,20,40,12,1,41,377,390,0,20,21,12,7,171,241,260,2,39,130,392,1,37,1,392,1,38,0,430,1,0,60,3,9,359,431,0,0,0,0,18,2,255,101,36,19,26,8,138,239,20,26,16,199,172,18,26,16,169,193,27,26,16,193,167,29,26,18,62,232,93,0,422,0,2,7,422,0,0,9,422,0,1,8,422,0,1,8,422,0,1,8,422,0,0,9,431,0,0,0,431,0,0,0,431,0,0,0,431,0,0,0,431,0,0,0,431,0,0,0,431,0,0,0,431,0,0,0,431,0,0,0,431,0,0,0,431,0,0,0,431,0,0,0,29,2,90,310,29,2,268,132,29,5,111,286,29,4,178,220,29,5,8,389,29,3,44,355,29,1,162,239,269,131,23,7,1,33,2,2,26,130,238,33,3,394,1,38,3,63,327,38,1,207,109,39,10,15,12,38,2,100,78,170,43,38,3,79,210,86,15,40,1,181,202,7,44,1,170,205,11,341,1,59,30,163,2,240,26,320,1,85,25,253,0,59,119,423,0,6,2,387,0,44,0,47,1,2,3,36,55,287,47,1,0,9,30,73,271,47,2,36,173,146,27,47,1,0,13,36,334,47,1,10,52,97,224,369,1,53,8,369,10,7,45,369,10,21,31,50,1,214,166,265,0,61,105,372,0,3,2,4,3,2,1,44,161,0,1,20,12,37,6,13,38,10,0,14,38,16,2,10,53,58,2,145,219,2,5,58,1,22,54,80,89,64,49,14,59,8,154,124,86,59,4,125,100,88,39,16,6.770334928229665,8.276756168677757,1.925,1.141018438467616,14.062322946175637,5.092086355535191,2.4722222222222223,1.3181000742101987
FI,FIN,Finland,2020-12-31,2020-12-31,345,0,0,0,0,32,336,3758987.3582890327,293,3,0,342,3,27,315,2,5,338,2,44,299,3,92,250,3,45,297,3,22,320,3,8,334,1,12,332,3,4,338,2,13,330,3,60,282,3,15,327,2,37,306,345,0,0,0,318,0,7,20,340,0,1,4,301,0,13,31,253,0,30,62,300,1,14,30,323,1,7,14,337,0,2,6,333,0,6,6,341,1,1,2,332,0,7,6,285,0,10,50,330,0,10,5,308,0,16,21,8,1,20,316,325,0,3,17,8,1,107,229,238,1,16,90,329,0,15,1,329,0,15,1,345,0,0,28,4,13,300,345,0,0,0,0,13,2,216,64,37,13,20,9,130,171,15,20,17,174,119,15,20,14,157,126,28,20,13,157,131,24,20,18,58,178,71,0,332,2,2,9,332,1,4,8,332,2,2,9,332,1,2,10,332,2,2,9,332,2,1,10,337,1,0,7,337,1,0,7,337,1,0,7,337,1,0,7,337,1,1,6,337,1,1,6,337,1,1,6,344,0,0,1,344,0,0,1,344,0,0,1,344,0,0,1,344,0,0,1,25,2,73,245,25,3,242,75,25,2,102,216,25,3,149,168,25,2,9,309,25,2,44,274,26,1,130,188,215,95,24,8,3,27,1,1,17,109,190,27,3,312,3,28,2,37,278,28,0,173,105,18,4,11,6,28,0,79,78,123,37,28,1,67,173,68,8,28,0,151,158,8,32,3,132,174,4,272,2,52,19,104,2,225,14,243,1,82,19,197,2,52,94,336,1,7,1,301,1,40,3,34,2,0,3,25,54,227,34,1,1,6,27,53,223,35,5,38,126,113,28,35,2,1,7,32,268,35,1,15,29,65,200,301,3,30,11,301,6,5,33,301,6,13,25,36,1,175,133,212,1,48,84,303,0,5,0,7,7,0,1,22,129,0,3,8,12,22,8,10,30,14,0,7,31,13,9,4,45,46,6,122,167,1,3,46,2,22,37,64,61,60,37,16,49,7,127,93,69,49,6,108,74,65,30,13,6.486486486486486,9.545620135000183,1.631578947368421,0.5972647203701474,13.329749103942651,5.480233638102635,2.373665480427046,1.3089869645688936
