ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C12..99,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
CL,CHL,Chile,2020-12-21,2020-12-21,1079,2,21227.80871038951,1,8775.74047429191,162,999,11427850.759077836,763,15,10,1054,11,80,988,15,16,1048,14,113,952,9,190,880,14,144,921,17,90,972,15,27,1037,14,43,1022,13,15,1051,13,83,983,11,229,839,15,20,1044,13,199,867,1069,0,4,6,999,4,35,41,1064,0,5,10,968,1,55,55,892,2,55,130,937,4,50,88,989,2,45,43,1054,0,16,9,1038,3,24,14,1064,1,10,4,996,2,43,38,853,4,81,141,1060,0,14,5,884,1,90,104,75,5,78,921,1005,0,18,56,82,17,345,635,735,6,91,247,988,4,80,7,988,23,67,1,1058,6,14,1,200,18,95,766,1079,0,0,0,0,91,2,374,348,156,108,705,25,167,107,75,705,28,208,84,54,705,28,193,88,65,705,32,151,101,90,705,33,32,42,267,985,24,31,39,985,26,34,34,985,27,32,35,985,26,31,37,985,32,18,44,985,28,22,44,1079,0,0,0,1079,0,0,0,1079,0,0,0,1079,0,0,0,1079,0,0,0,1079,0,0,0,1079,0,0,0,1079,0,0,0,1079,0,0,0,1079,0,0,0,1079,0,0,0,1079,0,0,0,135,20,329,595,135,6,601,337,135,26,186,732,135,20,420,504,135,26,66,852,135,17,261,666,149,5,497,428,582,0,334,98,33,32,163,5,5,57,298,551,163,4,910,2,174,14,176,715,174,1,818,35,3,8,3,37,174,1,184,267,303,150,177,12,317,436,102,35,1079,1079,754,5,314,6,481,7,582,9,894,0,179,6,661,2,264,152,1013,1,49,16,819,6,249,5,189,1,12,43,148,190,496,189,5,8,60,143,229,445,195,10,473,264,87,50,195,3,144,215,262,260,195,0,237,278,206,163,574,20,399,86,574,79,195,231,574,55,277,173,214,4,456,405,674,2,176,227,918,7,20,5,21,14,12,13,69,465,2,31,48,29,65,13,16,48,27,20,25,40,23,13,25,189,287,16,342,431,1,2,287,2,87,169,158,157,134,62,23,305,18,608,83,65,305,6,110,239,262,106,51,2.7045454545454546,1.8860420701596488,2.296875,1.454927996909289,10.944992947813823,5.966520852260442,3.2296395193591456,1.5306590462507603
CL,CHL,Chile,2020-12-22,2020-12-22,1185,3,33035.868840825424,0,0,172,1103,11576743.129267288,859,9,7,1169,11,89,1085,10,29,1146,10,140,1035,11,214,960,9,140,1036,8,103,1074,11,36,1138,9,45,1131,8,16,1161,8,99,1078,10,252,923,12,31,1142,11,235,939,1178,1,3,3,1096,5,38,46,1156,6,11,12,1045,4,64,72,971,7,77,130,1045,5,63,72,1082,6,49,48,1149,3,23,10,1140,2,22,21,1169,1,7,8,1086,6,42,51,933,8,80,164,1154,4,13,14,950,8,97,130,80,2,91,1012,1097,0,22,66,89,15,385,696,800,3,115,267,1070,5,106,4,1070,23,92,0,1162,4,18,1,222,10,107,846,1185,0,0,0,0,97,2,423,348,197,118,124,41,454,357,209,124,78,550,283,150,124,63,523,255,220,124,60,425,305,271,124,79,104,193,685,1082,25,36,42,1082,27,24,52,1082,34,28,41,1082,26,38,39,1082,37,12,54,1082,36,13,54,1185,0,0,0,1185,0,0,0,1185,0,0,0,1185,0,0,0,1185,0,0,0,1185,0,0,0,1185,0,0,0,1185,0,0,0,1185,0,0,0,1185,0,0,0,1185,0,0,0,1185,0,0,0,134,18,396,637,134,6,706,339,134,21,239,791,134,16,471,564,134,21,90,940,134,14,330,707,147,2,539,497,646,2,379,88,27,43,162,6,4,54,317,642,162,6,1017,0,180,6,222,777,180,0,898,47,4,4,3,49,180,3,226,313,279,184,187,7,363,459,135,34,1185,1185,793,3,376,13,483,7,691,4,949,4,227,5,718,4,321,142,1095,3,72,15,856,5,322,2,200,1,11,34,142,236,561,200,1,16,58,145,224,541,211,9,493,321,86,65,211,4,166,218,272,314,211,1,260,286,216,211,644,28,406,107,644,86,205,250,644,67,293,181,223,5,525,432,753,1,185,246,1009,9,29,3,30,18,6,12,69,491,1,33,49,34,79,14,19,68,27,16,27,48,23,20,29,207,294,14,370,501,3,3,294,3,108,190,194,159,149,74,14,317,18,666,90,94,317,8,120,236,344,120,40,2.763654618473895,1.8579711076900038,2.1739130434782608,1.514212295115948,11.177121771217712,5.964746025932095,3.1821428571428574,1.450466261336916
CL,CHL,Chile,2020-12-23,2020-12-23,1113,2,27057.99860754314,1,7277.47533980404,129,1046,11466153.307571456,775,12,7,1094,12,68,1033,9,23,1081,9,122,982,10,200,903,9,143,961,13,77,1023,11,30,1072,10,44,1059,7,16,1090,11,82,1020,7,201,905,12,21,1080,9,206,898,1106,0,5,2,1045,1,23,44,1090,1,12,10,991,2,46,74,913,1,61,138,970,4,54,85,1036,1,40,36,1083,1,18,11,1069,0,25,19,1097,0,6,10,1031,3,31,48,912,5,76,120,1092,1,13,7,907,8,100,98,66,1,77,969,1040,0,21,52,78,13,375,647,740,6,100,267,1013,4,92,4,1013,25,75,0,1088,8,16,1,201,13,112,787,1113,0,0,0,0,93,2,388,345,182,103,121,38,456,305,193,121,46,561,244,141,121,51,469,273,199,121,44,399,289,260,121,56,99,174,663,1003,22,34,54,1003,29,27,54,1003,28,25,57,1003,27,29,54,1003,33,15,62,1003,32,18,60,1113,0,0,0,1113,0,0,0,1113,0,0,0,1113,0,0,0,1113,0,0,0,1113,0,0,0,1113,0,0,0,1113,0,0,0,1113,0,0,0,1113,0,0,0,1113,0,0,0,1113,0,0,0,142,16,345,610,142,5,653,313,142,28,209,734,142,15,444,512,142,19,71,881,142,14,308,649,152,3,509,449,604,0,357,89,30,33,159,8,4,71,322,549,159,7,947,0,172,6,183,752,172,1,861,40,2,4,2,31,172,2,197,281,300,161,179,6,357,423,104,44,1113,1113,771,5,323,14,462,8,638,5,906,3,197,7,672,6,292,143,1042,2,58,11,805,5,300,3,192,2,12,40,139,187,541,192,0,13,64,142,192,510,207,12,452,313,68,61,207,6,145,194,298,263,207,0,219,300,228,159,597,32,374,110,597,83,177,256,597,58,293,165,222,3,464,424,689,1,191,232,931,5,35,7,27,23,6,11,68,469,2,28,46,46,76,10,18,62,22,19,27,44,22,8,32,182,296,5,340,466,1,5,296,0,109,173,176,138,135,69,17,325,16,625,71,76,325,6,117,250,263,102,50,2.806593406593407,1.8837235946427224,1.8253968253968254,1.157579266981142,10.897272727272725,5.9403676586694125,3.1148825065274153,1.5184660041585
CL,CHL,Chile,2020-12-24,2020-12-24,983,4,48844.27668921213,0,0,137,920,11791281.51157104,692,8,9,966,9,70,904,8,22,953,10,93,880,8,170,805,9,109,865,9,69,905,6,27,950,9,33,941,7,9,967,9,79,895,7,186,790,10,12,961,8,169,806,974,2,7,0,913,2,26,42,961,1,11,10,890,1,32,60,813,1,59,110,874,3,37,69,914,1,36,32,956,0,16,11,950,1,17,15,974,1,4,4,904,3,36,40,797,3,59,124,971,1,4,7,814,4,73,92,63,0,78,842,909,0,17,57,76,14,316,577,668,4,95,216,888,2,87,6,888,15,80,0,968,8,7,0,195,10,101,677,983,0,0,0,0,91,3,380,283,120,106,114,35,393,288,153,114,46,488,213,122,114,45,431,206,187,114,43,363,247,216,114,57,107,147,558,884,26,25,48,884,24,28,47,884,26,25,48,884,26,32,41,884,29,18,52,884,27,20,52,983,0,0,0,983,0,0,0,983,0,0,0,983,0,0,0,983,0,0,0,983,0,0,0,983,0,0,0,983,0,0,0,983,0,0,0,983,0,0,0,983,0,0,0,983,0,0,0,135,13,309,526,135,4,581,263,135,13,183,652,135,12,397,439,135,13,58,777,135,10,241,597,149,1,469,364,514,0,329,80,33,27,155,4,3,43,256,522,155,6,819,3,164,4,147,668,164,1,739,38,4,7,2,28,164,3,184,214,254,164,169,6,324,365,80,39,983,983,678,7,290,8,406,7,562,8,801,1,177,4,589,5,258,131,927,0,47,9,744,2,232,5,184,1,7,31,107,189,464,184,1,9,35,117,204,433,196,7,377,252,81,70,196,2,126,163,231,265,196,0,192,228,201,166,571,29,289,94,571,63,159,190,571,48,254,110,212,5,417,349,634,1,156,192,833,2,25,6,16,25,7,9,60,421,0,19,44,35,75,8,7,49,17,26,19,43,24,13,21,162,267,10,344,355,0,7,267,0,62,186,149,128,120,59,12,279,18,549,66,71,279,6,113,210,253,75,47,2.6904045801526717,1.8756790992454748,1.9218749999999998,1.145102580834975,11.297809239940387,6.148538921162395,3.1001472754050075,1.4959088679160313
CL,CHL,Chile,2020-12-25,2020-12-25,1030,0,0,0,0,160,971,11199988.545866717,722,3,7,1020,9,71,950,7,26,997,6,92,932,8,177,845,7,105,918,6,65,959,6,22,1002,7,36,987,6,12,1012,7,70,953,6,169,855,11,14,1005,9,161,860,1023,0,3,4,959,2,32,37,1004,2,10,14,938,4,30,58,853,5,63,109,925,5,33,67,965,1,30,34,1008,2,14,6,994,1,21,14,1018,2,6,4,960,3,40,27,861,4,52,113,1016,0,11,3,869,4,71,86,57,2,77,894,957,0,19,54,69,10,369,582,663,4,104,259,926,1,98,5,926,25,77,2,1005,7,16,2,194,9,92,735,1030,0,0,0,0,89,1,427,312,113,88,110,44,434,288,154,110,54,569,196,101,110,47,515,201,157,110,47,433,227,213,110,62,125,157,576,940,19,31,40,940,23,30,37,940,25,25,40,940,22,37,31,940,25,21,44,940,26,16,48,1030,0,0,0,1030,0,0,0,1030,0,0,0,1030,0,0,0,1030,0,0,0,1030,0,0,0,1030,0,0,0,1030,0,0,0,1030,0,0,0,1030,0,0,0,1030,0,0,0,1030,0,0,0,122,14,311,583,122,12,563,333,122,25,157,726,122,16,502,390,122,24,73,811,122,15,238,655,137,3,558,332,472,1,348,134,45,30,149,2,6,56,290,527,149,4,875,2,164,10,175,681,164,0,787,30,5,3,1,40,164,3,164,265,272,162,170,3,324,408,85,40,1030,1030,725,4,294,7,471,4,551,4,876,3,147,4,532,7,291,200,958,1,59,12,795,4,226,5,183,2,14,27,111,182,511,183,1,11,56,125,188,466,196,5,436,252,84,57,196,0,123,184,239,288,196,0,191,254,204,185,594,26,318,92,594,76,152,208,594,57,234,145,214,1,459,356,674,2,152,202,886,6,15,9,24,24,7,9,50,430,1,32,48,29,80,17,13,72,15,19,29,32,24,8,25,156,279,10,310,424,3,4,279,1,89,161,133,125,144,87,11,297,18,563,78,74,297,5,90,208,282,110,38,2.6989071038251367,1.9035364081362045,2.3442622950819674,1.5371537106140831,10.81021897810219,6.127880450174237,3.424715909090909,1.5208414340092977
CL,CHL,Chile,2020-12-26,2020-12-26,1300,6,36999.89070414539,0,0,196,1225,11602955.17482714,948,8,16,1276,7,98,1195,8,19,1273,9,122,1169,9,227,1064,12,116,1172,6,94,1200,10,33,1257,9,42,1249,9,15,1276,12,73,1215,11,233,1056,10,12,1278,9,203,1088,1284,0,7,9,1202,4,38,56,1281,1,9,9,1178,4,54,64,1073,5,85,137,1184,7,46,63,1206,1,53,40,1267,1,15,17,1258,3,24,15,1285,2,10,3,1227,3,42,28,1067,6,86,141,1288,1,9,2,1097,6,100,97,73,2,108,1117,1194,0,25,81,76,25,461,738,840,8,110,342,1190,4,104,2,1190,22,88,0,1278,7,14,1,220,8,114,958,1300,0,0,0,0,94,3,542,375,169,117,116,44,553,353,234,116,60,705,279,140,116,63,608,282,231,116,62,541,293,288,116,75,142,209,758,1188,17,43,52,1188,30,31,51,1188,29,32,51,1188,34,42,36,1188,33,16,63,1188,32,25,55,1300,0,0,0,1300,0,0,0,1300,0,0,0,1300,0,0,0,1300,0,0,0,1300,0,0,0,1300,0,0,0,1300,0,0,0,1300,0,0,0,1300,0,0,0,1300,0,0,0,1300,0,0,0,131,20,294,855,131,14,629,526,131,25,179,965,131,16,641,512,131,23,99,1047,131,20,253,896,150,2,692,456,608,1,444,178,52,17,159,9,7,82,392,651,159,6,1133,2,167,19,190,924,167,1,1035,35,6,2,1,53,167,1,192,360,398,182,173,7,371,587,123,39,1300,1300,1009,6,277,8,674,11,609,6,1122,7,164,7,662,10,355,273,1202,5,62,31,1050,7,237,6,185,3,16,37,132,266,661,185,0,22,54,153,291,595,202,9,550,339,110,90,202,5,149,249,340,355,202,2,272,332,265,227,708,34,443,115,708,107,219,266,708,82,329,181,221,0,592,487,813,3,200,284,1111,12,40,6,28,19,6,8,70,524,4,35,65,45,85,13,32,62,35,15,40,46,32,19,32,216,315,15,425,532,2,11,315,2,108,206,206,200,168,82,13,343,10,763,90,94,343,4,124,264,351,155,59,2.7820512820512815,1.8520023487350064,1.9886363636363638,1.02266631653943,11.069333333333331,6.067211024076757,3.342642320085929,1.5386410356037057
CL,CHL,Chile,2020-12-27,2020-12-27,1490,3,21158.52620818714,0,0,243,1416,12019371.477094794,1110,14,11,1465,14,115,1361,13,31,1446,15,115,1360,11,260,1219,10,170,1310,15,102,1373,14,29,1447,15,45,1430,15,13,1462,13,105,1372,15,280,1195,14,23,1453,18,251,1221,1479,0,7,4,1375,5,41,69,1459,3,14,14,1375,7,46,62,1230,6,88,166,1320,7,69,94,1388,2,52,48,1461,2,15,12,1445,1,25,19,1477,3,7,3,1385,6,50,49,1210,11,84,185,1467,2,13,8,1239,8,108,135,71,3,127,1289,1369,0,33,88,84,23,547,836,944,6,149,391,1341,7,137,5,1341,27,120,2,1463,4,20,3,265,11,115,1099,1490,0,0,0,0,104,3,593,447,221,122,135,50,652,426,227,135,66,844,303,142,135,49,736,329,241,135,64,590,402,299,135,81,170,244,860,1381,18,39,52,1381,24,32,53,1381,24,39,46,1381,18,34,57,1381,26,13,70,1381,23,23,63,1490,0,0,0,1490,0,0,0,1490,0,0,0,1490,0,0,0,1490,0,0,0,1490,0,0,0,1490,0,0,0,1490,0,0,0,1490,0,0,0,1490,0,0,0,1490,0,0,0,1490,0,0,0,154,15,358,963,154,9,757,570,154,22,181,1133,154,10,649,677,154,17,101,1218,154,15,258,1063,177,0,701,612,789,1,496,140,37,27,185,7,10,81,489,718,185,8,1297,0,195,20,229,1046,195,0,1176,53,7,2,3,54,195,2,220,384,478,211,198,10,461,637,149,35,1490,1490,1138,3,343,6,739,4,736,11,1313,3,167,7,847,4,355,284,1391,3,77,19,1237,1,246,6,217,4,11,38,176,305,739,217,1,19,66,177,325,685,228,11,630,423,114,84,228,4,191,308,355,404,228,1,322,420,293,226,757,37,548,148,757,101,265,367,757,60,408,265,243,3,660,584,906,1,275,308,1233,7,41,6,40,31,11,24,97,580,1,32,69,54,91,20,28,83,35,29,37,48,52,25,44,262,342,10,478,651,2,7,342,3,119,261,246,234,176,91,18,367,25,875,119,104,367,9,137,338,429,145,65,2.6658823529411766,1.7797104764751097,2.036363636363636,1.2629314430554872,11.140133460438513,6.037762873492339,3.3379816513761464,1.4996931304202794
CL,CHL,Chile,2020-12-28,2020-12-27,100,0,0,0,0,15,90,995235.4040614639,21,2,0,98,1,6,93,1,0,99,3,10,87,1,19,80,1,10,89,1,7,92,3,3,94,1,2,97,2,1,97,1,11,88,0,19,81,1,3,96,2,14,84,100,0,0,0,94,0,2,4,100,0,0,0,90,1,3,6,81,0,6,13,90,1,4,5,93,0,5,2,97,1,1,1,98,0,0,2,99,0,1,0,89,0,6,5,81,1,5,13,97,0,2,1,86,1,5,8,9,1,7,83,95,0,1,4,13,1,37,49,63,2,11,24,89,0,11,0,89,3,8,0,97,0,3,0,27,2,8,63,100,0,0,0,0,16,0,34,31,12,7,19,4,42,19,16,19,5,46,21,9,19,5,42,21,13,19,7,32,20,22,19,9,7,12,53,93,0,2,5,93,1,2,4,93,0,3,4,93,0,4,3,93,0,1,6,93,0,1,6,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,21,2,21,56,21,1,49,29,21,2,12,65,21,3,36,40,21,1,7,71,21,3,19,57,27,0,37,36,63,0,30,5,1,1,28,1,0,4,29,38,28,0,72,0,28,1,9,62,28,0,63,5,0,0,0,4,28,1,14,24,22,11,30,0,23,35,7,5,100,100,81,0,18,1,55,0,44,1,90,0,10,0,67,0,15,18,94,0,5,1,83,0,16,1,35,1,1,1,8,12,42,35,0,1,3,12,9,40,36,1,28,26,3,6,36,1,15,15,17,16,36,0,20,26,10,8,56,3,33,8,56,11,14,19,56,5,26,13,41,0,24,35,65,0,18,17,86,0,1,0,5,1,1,1,5,62,0,1,2,2,4,1,2,1,2,0,3,0,1,1,3,15,64,0,10,22,1,3,64,0,4,8,8,8,6,1,1,73,0,22,1,4,73,1,2,7,9,7,1,2.5428571428571427,1.4621269185848471,3,1.6329931618554518,12.678571428571427,7.418962548160307,3.5833333333333335,1.7424786610050556
CL,CHL,Chile,2020-12-30,2020-12-30,1232,1,12148.1299974778,0,0,196,1152,12517477.014568457,859,5,4,1223,7,89,1136,4,21,1207,5,115,1112,3,184,1045,5,121,1106,6,84,1142,4,32,1196,6,48,1178,3,17,1212,5,86,1141,5,215,1012,7,25,1200,6,203,1023,1228,0,2,2,1143,4,32,53,1211,2,8,11,1117,2,46,67,1048,2,67,115,1111,2,48,71,1148,2,40,42,1200,3,18,11,1184,2,28,18,1215,1,11,5,1146,5,42,39,1017,5,77,133,1207,2,14,9,1029,5,103,95,76,4,105,1047,1128,0,22,82,86,16,389,741,844,6,109,273,1123,9,96,4,1123,15,93,1,1217,6,9,0,223,24,117,868,1232,0,0,0,0,112,0,491,337,167,125,137,54,506,319,216,137,68,606,266,155,137,64,558,263,210,137,67,481,287,260,137,86,122,200,687,1120,46,34,32,1120,41,33,38,1120,43,30,39,1120,40,43,29,1120,51,15,46,1120,52,19,41,1232,0,0,0,1232,0,0,0,1232,0,0,0,1232,0,0,0,1232,0,0,0,1232,0,0,0,1232,0,0,0,1232,0,0,0,1232,0,0,0,1232,0,0,0,1232,0,0,0,1232,0,0,0,156,25,364,687,156,17,691,368,156,28,198,850,156,21,497,558,156,31,56,989,156,20,298,758,171,0,551,510,681,0,407,91,32,21,181,10,7,65,359,610,181,7,1042,2,194,9,194,835,194,0,929,47,2,6,2,52,194,0,225,304,341,168,203,5,368,503,111,42,1232,1232,870,2,349,11,544,10,672,6,1036,8,186,2,737,6,309,180,1176,1,45,10,935,6,288,3,215,1,9,38,136,235,598,215,5,7,61,141,251,552,235,7,530,299,104,57,235,1,158,238,319,281,235,0,258,296,250,193,682,38,409,103,682,104,203,243,682,65,306,179,249,7,503,473,759,0,222,251,1023,14,35,4,24,23,10,12,87,528,4,35,43,41,90,18,18,57,27,20,32,42,32,15,23,207,338,11,378,500,1,4,338,3,85,199,182,187,136,79,23,370,24,663,89,86,370,9,123,273,300,118,39,2.8202078521939957,1.8640890445353513,2.0348837209302326,1.3499252651959024,11.08757763975155,6.05684882033019,3.1684717208182906,1.4522164028910534
CL,CHL,Chile,2020-12-31,2020-12-31,1128,2,16099.63258827453,0,0,178,1054,12646996.637104783,815,9,12,1107,8,87,1033,7,19,1102,12,116,1000,7,215,906,7,122,999,11,88,1029,10,23,1095,7,46,1075,10,14,1104,12,83,1033,10,233,885,12,26,1090,13,224,891,1116,0,10,2,1041,1,52,34,1109,0,12,7,1012,3,43,70,913,4,72,139,1006,4,56,62,1040,2,48,38,1105,1,17,5,1082,1,32,13,1114,0,11,3,1045,4,42,37,895,3,91,139,1102,0,15,11,904,1,102,121,72,2,100,954,1032,0,24,72,82,23,411,612,718,6,118,286,1010,7,102,9,1010,25,93,0,1103,9,16,0,231,12,111,774,1128,0,0,0,0,99,2,428,332,151,116,123,44,472,301,188,123,56,577,230,142,123,53,506,251,195,123,49,421,278,257,123,60,139,174,632,1022,17,44,45,1022,27,32,47,1022,27,36,43,1022,29,29,48,1022,30,15,61,1022,32,13,61,1127,0,0,1,1127,0,0,1,1127,0,0,1,1127,0,0,1,1127,0,1,0,1127,0,1,0,1127,0,1,0,1127,1,0,0,1127,1,0,0,1127,1,0,0,1127,0,1,0,1127,1,0,0,141,14,347,626,141,9,692,286,141,20,194,773,141,16,461,510,141,20,62,905,141,11,299,677,160,1,523,444,605,0,355,100,33,35,171,8,2,65,325,557,171,8,947,2,188,16,182,742,188,1,833,47,5,8,2,44,188,0,200,267,307,166,193,13,328,459,99,36,1128,1128,786,3,328,11,442,5,670,11,937,1,175,15,671,2,297,158,1070,0,41,17,832,2,285,9,207,3,14,46,117,204,537,207,0,20,43,134,223,501,217,2,451,300,85,73,217,2,135,201,275,298,217,0,219,295,207,190,623,28,373,104,623,83,182,240,623,58,288,159,237,4,454,433,695,1,205,227,932,8,29,9,28,33,8,12,69,484,2,33,38,52,69,12,18,44,30,21,32,40,33,10,45,165,290,8,390,432,2,6,290,2,91,153,194,183,119,77,19,307,15,633,97,76,307,7,114,259,279,114,48,2.776086956521739,1.8878910993168028,1.9871794871794872,1.0870380313731813,11.411704095112285,6.03061456563994,3.1823899371069184,1.5601110287620101
