ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8..77,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
GR,GRC,Greece,2020-12-21,2020-12-21,623,1,6861.50799696452,1,6861.50799696452,97,603,6467095.9339124905,514,3,1,619,5,26,592,5,12,606,6,51,566,5,53,565,5,43,575,6,18,599,5,13,605,5,13,605,5,5,613,4,11,608,4,76,543,4,10,609,5,61,557,622,0,1,0,598,0,5,20,612,1,6,4,576,3,12,32,571,2,14,36,583,3,8,29,606,0,4,13,611,2,4,6,610,1,6,6,618,0,2,3,613,0,4,6,551,1,14,57,613,1,3,6,564,2,23,34,19,1,42,561,582,5,36,22,4,211,386,412,2,77,132,546,0,2,73,2,546,0,29,48,0,594,0,13,15,1,109,3,38,473,623,0,0,0,0,0,32,2,213,205,112,59,539,7,15,42,20,539,6,36,31,11,539,3,41,27,13,539,5,25,28,26,539,7,9,25,43,0,587,17,5,14,587,12,10,14,587,12,13,11,587,13,12,11,587,14,10,12,587,18,3,15,623,0,0,0,623,0,0,0,623,0,0,0,623,0,0,0,623,0,0,0,623,0,0,0,623,0,0,0,623,0,0,0,623,0,0,0,623,0,0,0,623,0,0,0,623,0,0,0,45,4,138,436,45,2,412,164,45,7,29,542,45,4,254,320,45,4,19,555,45,6,31,541,54,1,212,356,411,0,155,36,9,12,60,4,4,36,190,329,60,3,554,6,63,4,58,498,63,0,470,34,7,4,3,42,63,0,251,123,105,81,64,3,244,236,52,24,65,1,214,336,7,69,7,157,379,11,486,0,122,15,214,4,397,8,594,0,25,4,370,1,188,64,604,1,12,6,593,1,24,5,73,5,14,23,75,135,298,73,2,11,27,88,162,260,79,7,237,205,62,33,79,0,19,43,105,377,79,0,126,170,120,128,330,16,257,20,330,123,50,120,330,102,85,106,87,1,215,320,303,1,120,199,505,7,32,0,7,26,2,1,43,294,0,15,24,16,36,9,10,29,16,0,12,44,20,34,12,52,100,14,262,244,1,2,100,1,40,54,129,135,112,48,4,106,12,350,69,86,106,8,88,215,158,33,15,6.226744186046512,8.391779943744652,2.588235294117647,1.6165366469207525,14.334325396825399,4.534803817946951,2.4979591836734696,1.4217834642411329
GR,GRC,Greece,2020-12-22,2020-12-22,680,2,13221.38740546121,0,0,151,670,7226967.777093673,580,5,4,671,4,35,641,4,15,661,5,60,615,4,59,617,5,50,625,5,23,652,5,17,658,5,8,667,7,8,665,5,21,654,5,72,603,5,9,666,4,69,607,676,0,1,3,645,0,4,31,665,0,2,13,620,0,12,48,621,0,10,49,630,0,7,43,657,0,6,17,663,0,6,11,672,0,6,2,672,0,4,4,659,0,6,15,608,0,18,54,671,0,2,7,611,1,26,42,9,1,64,606,619,6,55,17,7,245,411,436,3,97,144,583,0,5,91,1,583,0,35,61,1,645,0,12,23,0,125,5,50,500,680,0,0,0,0,0,22,4,221,212,142,79,35,43,166,260,176,35,43,278,221,103,35,39,297,201,108,35,64,171,218,192,35,64,61,184,336,0,630,18,12,20,630,19,12,19,630,20,16,14,630,24,9,17,630,23,11,16,630,25,3,22,680,0,0,0,680,0,0,0,680,0,0,0,680,0,0,0,680,0,0,0,680,0,0,0,680,0,0,0,680,0,0,0,680,0,0,0,680,0,0,0,680,0,0,0,680,0,0,0,43,2,164,471,43,0,500,137,43,2,36,599,43,2,275,360,43,3,17,617,43,2,44,591,47,1,250,382,430,0,191,42,9,8,50,1,3,55,228,343,50,1,628,1,57,6,67,550,57,0,516,65,7,4,2,29,57,0,277,137,130,79,61,2,247,258,84,28,61,0,251,361,7,65,4,192,415,4,517,4,149,10,181,6,487,6,644,0,33,3,406,3,195,76,663,0,15,2,636,1,40,3,70,3,4,40,97,158,308,70,4,11,43,91,188,273,71,4,266,215,92,32,71,3,20,69,131,386,71,0,161,180,140,128,340,25,291,24,340,141,48,151,340,117,113,110,73,2,270,335,345,2,146,187,538,3,36,4,16,25,3,2,53,271,2,23,38,12,37,9,13,36,15,2,24,45,23,29,17,84,86,10,309,272,0,3,86,2,49,76,119,172,132,39,5,97,9,397,79,98,97,3,116,224,194,31,15,7.665158371040724,9.117720438658552,2.8125,1.566351635747386,14.488372093023257,4.655838901383463,2.608695652173913,1.421559597561231
GR,GRC,Greece,2020-12-23,2020-12-23,663,0,0,0,0,116,649,6905208.956383119,570,4,3,656,5,23,635,4,9,650,4,57,602,4,45,614,5,36,622,4,16,643,3,9,651,3,6,654,4,3,656,5,16,642,4,59,600,5,13,645,4,46,613,660,1,1,1,640,1,3,19,654,0,2,7,606,1,14,42,618,1,11,33,627,1,13,22,647,0,6,10,654,0,6,3,657,0,1,5,660,0,2,1,647,0,7,9,604,1,13,45,650,1,2,10,617,0,10,36,12,2,59,590,607,10,46,16,9,250,388,413,3,107,140,556,0,6,98,3,556,0,44,63,0,619,0,17,27,0,136,3,41,483,663,0,0,0,0,0,23,2,223,228,127,60,38,44,154,281,146,38,47,275,209,94,38,33,313,180,99,38,44,198,206,177,38,58,65,181,321,0,622,10,9,22,622,17,7,17,622,12,18,11,622,16,9,16,622,17,7,17,622,17,2,22,663,0,0,0,663,0,0,0,663,0,0,0,663,0,0,0,663,0,0,0,663,0,0,0,663,0,0,0,663,0,0,0,663,0,0,0,663,0,0,0,663,0,0,0,663,0,0,0,42,9,148,464,42,2,509,110,42,10,41,570,42,8,268,345,42,10,21,590,42,10,42,569,49,1,258,355,405,0,192,40,12,14,54,1,7,38,207,356,54,2,605,2,59,5,66,533,59,0,534,31,5,7,3,24,59,0,260,150,114,80,59,7,248,254,61,34,62,0,227,368,6,68,8,175,404,8,516,3,131,13,156,4,497,6,624,0,37,2,397,2,204,60,643,1,14,5,621,1,40,1,70,1,16,34,94,130,318,70,2,15,39,91,170,276,73,8,250,224,76,32,73,0,29,54,142,365,73,0,136,179,143,132,350,18,272,23,350,113,58,142,350,93,103,117,76,3,250,334,329,0,119,215,546,1,35,5,11,20,1,1,43,296,0,19,24,13,37,1,15,40,13,1,11,48,20,35,12,78,87,16,293,260,2,5,87,0,46,68,139,177,88,51,7,91,13,363,100,96,91,8,103,224,190,32,15,6.8047337278106506,8.674180424101609,2.217391304347826,1.547945498297819,14.383828996282528,4.707850195992856,2.5193370165745854,1.4086887476253531
GR,GRC,Greece,2020-12-24,2020-12-24,585,0,0,0,0,126,567,6970635.551237194,488,3,2,580,2,35,548,3,7,575,3,56,526,3,57,525,3,59,523,4,18,563,3,9,573,2,13,570,4,4,577,4,21,560,2,74,509,3,7,575,3,52,530,583,0,1,1,550,0,7,28,578,0,3,4,529,2,17,37,528,0,15,42,526,2,15,42,567,0,2,16,576,1,1,7,572,1,6,6,581,0,3,1,564,1,9,11,511,2,17,55,578,0,5,2,533,0,19,33,17,1,60,507,527,9,49,21,7,221,336,365,2,85,133,500,2,2,81,0,500,0,26,58,1,559,0,13,12,1,118,6,36,425,585,0,0,0,0,0,33,1,205,179,111,56,40,45,133,240,127,40,40,252,175,78,40,28,264,166,87,40,44,157,184,160,40,53,59,162,271,0,551,16,3,15,551,17,1,16,551,13,14,7,551,11,10,13,551,16,4,14,551,16,1,17,585,0,0,0,585,0,0,0,585,0,0,0,585,0,0,0,585,0,0,0,585,0,0,0,585,0,0,0,585,0,0,0,585,0,0,0,585,0,0,0,585,0,0,0,585,0,0,0,46,3,153,383,46,1,467,71,46,3,42,494,46,2,258,279,46,5,14,520,46,4,34,501,48,4,238,295,347,0,170,39,11,18,51,3,5,35,186,305,51,1,532,1,55,7,47,476,55,1,472,37,3,3,2,12,55,1,209,108,132,80,56,7,205,225,65,27,62,0,183,335,5,73,2,145,357,8,432,1,141,11,118,4,455,8,543,2,35,5,327,4,173,81,571,0,9,5,551,0,31,3,73,1,12,24,79,104,292,73,3,16,30,66,145,252,73,5,209,209,62,27,73,0,22,38,114,338,73,0,121,151,122,118,314,14,238,19,314,106,52,113,314,82,97,92,79,3,256,247,338,0,110,137,479,1,33,1,6,21,1,4,39,223,2,22,29,19,31,5,14,31,14,0,15,53,26,36,6,59,93,14,260,216,1,1,93,0,43,63,107,133,101,42,3,94,15,323,58,95,94,10,96,188,161,28,8,6.25,8.766922980583669,2.5714285714285716,1.6251507568771573,14.461373390557938,4.4281127126309165,2.541935483870968,1.418346732193948
GR,GRC,Greece,2020-12-25,2020-12-25,616,1,8563.15207395775,0,0,137,601,6880735.761288929,524,9,7,600,9,32,575,12,7,597,11,58,547,11,49,556,10,45,561,8,28,580,11,12,593,10,5,601,11,4,601,11,15,590,10,71,535,10,4,602,10,45,561,609,0,4,3,584,0,6,26,609,0,4,3,558,0,15,43,567,0,12,37,571,0,6,39,588,0,6,22,604,0,7,5,611,0,3,2,612,0,3,1,601,0,9,6,545,1,16,54,612,0,3,1,571,0,11,34,13,2,59,542,558,15,43,16,6,253,341,363,2,113,138,503,0,7,105,1,503,0,51,62,0,566,0,18,30,2,137,1,35,443,616,0,0,0,0,0,21,1,227,192,114,61,32,40,170,253,121,32,50,274,180,80,32,26,290,176,92,32,45,177,193,169,32,54,80,156,294,0,582,14,5,15,582,13,5,16,582,9,15,10,582,14,4,16,582,9,12,13,582,14,4,16,616,0,0,0,616,0,0,0,616,0,0,0,616,0,0,0,616,0,0,0,616,0,0,0,616,0,0,0,616,0,0,0,616,0,0,0,616,0,0,0,616,0,0,0,616,0,0,0,35,6,150,425,35,4,452,125,35,6,29,546,35,5,310,266,35,7,28,546,35,7,44,530,42,1,278,295,338,1,202,56,7,12,45,2,6,37,193,333,45,0,570,1,49,1,61,505,49,0,495,36,7,4,2,23,49,2,210,141,130,84,49,3,224,241,72,27,53,0,220,332,11,57,1,163,386,9,468,1,135,12,167,6,434,9,587,2,22,5,309,4,206,97,588,1,19,8,573,3,37,3,60,3,11,33,83,128,298,60,3,18,36,85,155,259,67,2,236,219,63,29,67,0,19,51,128,351,67,0,128,165,142,114,327,15,242,32,327,98,52,139,327,82,104,103,72,1,255,288,328,0,109,179,508,5,31,0,10,23,3,4,32,255,3,19,34,18,31,8,13,33,18,2,14,45,24,32,13,54,81,13,289,229,2,2,81,1,47,71,122,128,113,48,5,89,6,357,78,86,89,6,85,212,174,40,10,7.167597765363128,8.302217135523994,2.772727272727273,1.8907810169669625,14.869285714285715,4.554901002967385,2.6205533596837944,1.4726189004151675
GR,GRC,Greece,2020-12-26,2020-12-26,682,0,0,0,0,122,666,6727395.664720163,567,10,2,670,7,33,642,7,12,663,8,57,617,7,71,604,6,45,631,9,16,657,7,10,665,8,13,661,7,2,673,7,17,658,7,77,598,10,9,663,10,49,623,680,1,0,1,649,1,4,28,670,2,2,8,625,1,13,43,611,3,6,62,637,4,5,36,666,0,5,11,672,0,5,5,669,1,5,7,680,0,1,1,665,0,5,12,605,3,14,60,673,1,3,5,633,0,20,29,14,2,59,607,623,11,48,14,5,240,423,444,3,95,140,587,0,4,90,1,587,0,40,55,0,642,0,18,21,1,122,3,52,505,682,0,0,0,0,0,27,6,238,225,120,66,36,43,167,269,167,36,37,318,192,99,36,38,315,183,110,36,47,190,215,194,36,62,77,183,324,0,632,21,7,22,632,22,9,19,632,18,19,13,632,22,8,20,632,22,13,15,632,24,4,22,682,0,0,0,682,0,0,0,682,0,0,0,682,0,0,0,682,0,0,0,682,0,0,0,682,0,0,0,682,0,0,0,682,0,0,0,682,0,0,0,682,0,0,0,682,0,0,0,41,6,121,514,41,1,416,224,41,11,32,598,41,5,365,271,41,8,37,596,41,7,43,591,48,2,328,304,354,0,244,67,11,6,51,8,4,43,234,342,51,3,627,1,55,5,46,576,55,1,541,44,6,10,2,23,55,2,202,172,163,88,56,6,227,292,66,35,58,1,244,374,5,66,3,202,401,10,561,4,104,13,266,8,394,14,650,2,26,4,317,7,219,139,645,3,22,12,639,2,38,3,70,4,11,31,89,138,339,70,0,12,44,95,165,296,73,6,274,230,58,41,73,2,17,39,128,423,73,0,139,178,130,162,369,24,254,35,369,120,47,146,369,101,104,108,81,7,259,335,347,0,143,192,545,3,37,1,8,28,0,9,51,287,0,21,35,15,38,5,14,29,29,0,17,44,25,36,11,76,100,8,306,267,1,0,100,0,37,91,117,172,101,52,12,109,11,384,85,93,109,8,128,212,183,35,7,6.537634408602151,8.666255327461544,2.2857142857142856,1.7795130420052185,14.322610294117647,4.650121662873511,2.614678899082569,1.472219818050467
GR,GRC,Greece,2020-12-27,2020-12-27,738,0,0,0,0,173,725,7210421.009688325,632,9,1,728,8,40,690,8,15,715,10,54,674,8,51,679,8,49,681,9,23,706,11,9,718,9,7,722,9,2,727,9,13,716,6,78,654,10,7,721,8,64,666,737,0,0,1,698,1,6,33,723,0,4,11,684,3,13,38,687,1,9,41,689,0,10,39,715,0,6,17,729,0,4,5,731,0,2,5,736,0,1,1,725,0,6,7,660,1,19,58,731,0,2,5,674,3,22,39,12,1,76,649,663,9,66,15,8,239,476,500,0,91,147,647,0,2,88,1,647,0,33,58,0,705,0,10,23,0,115,3,61,559,738,0,0,0,0,0,25,2,279,238,124,70,33,44,201,306,154,33,60,338,217,90,33,42,351,212,100,33,70,206,237,192,33,75,88,198,344,0,679,21,10,28,679,19,15,25,679,14,26,19,679,25,14,20,679,20,16,23,679,24,5,30,738,0,0,0,738,0,0,0,738,0,0,0,738,0,0,0,738,0,0,0,738,0,0,0,738,0,0,0,738,0,0,0,738,0,0,0,738,0,0,0,738,0,0,0,738,0,0,0,39,8,120,571,39,4,447,248,39,8,47,644,39,6,345,348,39,6,17,676,39,6,54,639,46,0,301,391,437,0,233,55,7,6,48,3,3,51,277,356,48,3,687,0,52,7,55,624,52,0,589,53,6,5,2,31,52,1,233,209,161,82,54,4,252,324,85,19,60,0,263,405,10,66,5,204,453,10,618,2,112,6,293,4,435,6,691,0,45,2,393,4,207,134,721,0,13,4,684,0,47,7,70,2,11,23,110,151,371,70,1,10,45,123,186,303,74,4,319,232,82,27,74,2,29,57,139,437,74,2,160,174,171,157,405,14,292,27,405,126,53,154,405,99,124,110,76,1,256,405,333,1,167,237,573,4,47,4,15,27,3,4,61,320,3,21,37,17,46,5,14,41,13,3,18,51,29,34,15,71,89,14,343,289,0,3,89,1,51,79,150,173,129,54,12,99,14,428,98,99,99,12,120,258,208,35,6,6.795121951219511,8.985662632813524,2.57,1.7838541401191796,14.661525974025974,4.619273543980807,2.584843492586491,1.410346351752169
GR,GRC,Greece,2020-12-28,2020-12-27,100,0,0,0,0,12,95,1072213.2762163999,69,2,0,98,1,9,90,1,4,95,2,6,92,2,5,93,1,7,92,3,2,95,2,1,97,1,0,99,3,0,97,1,3,96,1,10,89,2,1,97,1,14,85,100,0,0,0,91,1,3,5,96,0,1,3,94,0,0,6,95,0,0,5,93,0,1,6,98,0,1,1,99,0,0,1,100,0,0,0,100,0,0,0,97,0,1,2,90,0,1,9,99,0,0,1,86,1,7,6,5,0,6,89,94,1,5,6,2,35,57,65,0,14,21,86,0,0,14,0,86,0,6,8,0,94,0,3,3,0,22,1,6,71,100,0,0,0,0,0,8,0,43,27,19,3,9,7,29,40,15,9,4,50,29,8,9,1,53,28,9,9,4,32,35,20,9,5,17,28,41,0,94,2,1,3,94,0,4,2,94,1,2,3,94,2,0,4,94,2,1,3,94,2,1,3,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,12,4,14,70,12,1,64,23,12,4,5,79,12,3,42,43,12,3,3,82,12,4,8,76,13,0,39,48,61,0,32,6,1,0,14,0,1,7,40,38,14,0,86,0,14,1,8,77,14,0,72,10,0,0,0,4,14,0,28,26,21,11,15,2,29,43,8,3,17,0,32,48,3,19,0,25,53,3,86,0,13,1,36,0,62,2,95,0,4,1,58,0,23,19,97,0,2,1,92,0,8,0,19,0,0,5,10,22,44,19,0,0,3,18,23,37,21,1,36,28,11,3,21,1,2,6,21,49,21,0,17,20,19,23,63,0,35,2,63,10,7,20,63,10,10,17,21,0,25,54,46,0,26,28,75,0,5,1,3,5,1,1,9,51,0,1,4,1,6,0,1,6,1,0,2,7,5,3,1,11,27,2,41,30,0,0,27,0,8,7,11,22,18,6,1,28,1,55,8,8,28,2,10,29,29,2,0,4.310344827586207,6.285490367708917,2.2,1.3038404810405297,14.373239436619716,4.422925914126429,2.6323529411764706,1.3260243774881038
GR,GRC,Greece,2020-12-30,2020-12-30,676,0,0,0,0,106,665,7500887.467582067,574,6,3,667,5,30,641,6,5,665,3,67,606,6,60,610,5,51,620,5,26,645,5,10,661,7,10,659,5,2,669,6,22,648,6,84,586,6,9,661,4,59,613,673,0,2,1,646,0,7,23,671,0,2,3,609,1,15,51,616,0,10,50,625,0,15,36,650,0,8,18,666,0,6,4,666,0,5,5,674,0,1,1,654,0,9,13,592,1,16,67,667,0,5,4,617,0,25,34,8,3,50,615,626,15,35,10,2,251,413,425,2,118,131,558,0,5,110,3,558,0,38,80,0,638,0,13,24,1,133,9,35,499,676,0,0,0,0,0,16,2,278,205,112,63,33,34,163,297,149,33,37,314,207,85,33,24,316,205,98,33,42,175,249,177,33,45,63,203,332,0,641,13,6,16,641,14,5,16,641,13,11,11,641,16,4,15,641,12,7,16,641,15,2,18,676,0,0,0,676,0,0,0,676,0,0,0,676,0,0,0,676,0,0,0,676,0,0,0,676,0,0,0,676,0,0,0,676,0,0,0,676,0,0,0,676,0,0,0,676,0,0,0,41,5,158,472,41,1,518,116,41,3,53,579,41,1,316,318,41,3,27,605,41,2,45,588,43,0,298,335,378,1,218,48,11,20,44,2,5,54,231,340,44,1,629,2,47,9,52,568,47,0,541,49,7,10,3,19,47,0,224,167,155,83,47,6,203,307,71,42,50,2,223,394,7,59,8,171,429,9,518,1,134,23,158,2,506,10,623,0,44,9,360,2,221,93,649,0,19,8,631,2,42,1,60,8,11,32,78,142,345,60,4,14,31,88,182,297,68,5,261,232,78,32,68,0,19,45,125,419,68,1,131,174,168,134,373,15,254,34,373,112,44,147,373,95,89,119,72,1,257,346,330,1,144,201,540,3,41,4,10,30,3,3,42,283,0,19,34,16,39,8,19,44,8,0,13,46,21,39,9,78,88,13,314,256,0,5,88,1,52,74,141,164,112,36,8,99,10,398,81,88,99,8,116,232,188,28,5,6.377,7.988035714295745,2.302325581395349,1.2254228370518099,14.377678571428572,4.645456930515965,2.549728752260398,1.4439293582127788
GR,GRC,Greece,2020-12-31,2020-12-31,597,0,0,0,0,103,580,8059610.318980635,492,7,4,586,8,31,558,8,11,578,9,57,531,8,45,544,9,41,547,10,19,568,8,13,576,8,12,577,8,3,586,4,21,572,9,75,513,10,8,579,7,55,535,593,0,4,0,566,0,4,27,586,0,5,6,540,1,14,42,552,0,5,40,556,0,7,34,578,0,6,13,584,0,6,7,585,0,6,6,594,0,1,2,576,0,11,10,522,2,14,59,589,0,6,2,542,0,14,41,15,2,56,524,541,11,45,18,11,228,340,369,1,96,131,501,0,3,92,1,501,0,33,63,0,564,0,8,24,1,126,4,45,422,597,0,0,0,0,0,24,1,258,166,87,61,33,39,153,245,127,33,52,271,171,70,33,41,274,147,102,33,56,157,186,165,33,68,60,148,288,0,553,16,5,23,553,17,7,20,553,14,12,18,553,19,3,22,553,16,8,20,553,19,4,21,581,0,0,16,581,0,0,16,581,0,0,16,581,0,0,16,581,0,1,15,581,0,1,15,581,0,0,16,595,0,0,2,595,0,0,2,595,0,0,2,595,0,0,2,595,0,0,2,36,6,138,417,36,3,463,95,36,5,49,507,36,4,263,294,36,6,19,536,36,5,47,509,42,1,261,293,336,0,180,53,11,17,45,1,5,43,201,302,45,3,548,1,53,7,56,481,53,1,462,41,6,4,3,27,53,2,198,137,129,78,56,9,209,220,68,35,61,2,215,312,7,69,9,161,354,4,459,1,125,12,134,2,456,5,548,0,43,6,334,1,182,80,578,1,15,3,550,0,44,3,73,2,6,31,84,105,296,73,1,8,39,84,135,257,79,4,209,212,64,29,79,1,19,40,112,346,79,0,115,146,139,118,336,18,215,28,336,103,51,107,336,91,87,83,81,7,228,281,316,0,99,182,500,1,31,1,7,19,2,4,32,273,1,18,29,17,32,11,9,29,10,1,9,45,17,28,14,54,91,9,289,207,0,1,91,2,43,70,108,130,93,49,11,99,7,338,77,76,99,6,91,204,155,36,6,5.746031746031746,7.672072011942643,2.0697674418604652,1.5795621580981487,14.743699788583509,4.794112213763539,2.49789029535865,1.3612718607422025
