ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9.1,B9.2,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
CR,CRI,Costa Rica,2020-12-21,2020-12-21,426,2,18889.30405755218,1,12187.7295223282,171,396,2835969.067817191,296,9,3,414,8,41,377,8,9,409,9,62,355,10,92,324,8,57,361,6,37,383,9,6,411,7,22,397,7,8,411,9,26,391,7,90,329,11,15,400,8,67,351,424,0,2,0,386,1,18,21,417,0,6,3,364,3,26,33,335,3,31,57,370,4,19,33,390,1,17,18,420,1,4,1,404,3,7,12,418,1,5,2,400,1,11,14,337,4,31,54,412,1,6,7,360,5,35,26,29,1,59,337,368,0,10,48,35,4,56,331,371,1,9,45,417,3,4,2,417,3,6,423,1,2,0,51,4,40,331,426,0,0,0,0,39,1,222,110,36,18,276,12,85,37,16,276,8,107,24,11,276,11,101,27,11,276,9,103,26,12,276,13,28,35,74,386,12,6,22,386,9,13,18,386,11,13,16,386,13,6,21,386,11,9,20,386,9,8,23,426,0,0,0,426,0,0,0,426,0,0,0,426,0,0,0,426,0,0,0,426,0,0,0,426,0,0,0,426,0,0,0,426,0,0,0,426,0,0,0,426,0,0,0,426,0,0,0,54,8,128,236,54,8,264,100,54,9,159,204,54,7,183,182,54,5,52,315,54,3,95,274,60,1,192,173,234,0,131,44,9,8,65,6,0,18,103,234,65,2,358,1,70,3,59,294,70,0,295,35,4,3,0,19,70,0,76,112,111,57,75,1,124,179,37,10,78,0,104,216,28,84,5,144,163,30,299,4,114,9,163,5,254,4,268,5,152,1,243,4,116,63,374,3,44,5,332,1,91,2,86,2,9,8,51,78,192,86,1,8,14,40,85,192,95,4,164,114,27,22,95,0,54,58,93,126,95,0,86,95,77,73,247,7,140,32,247,42,55,82,247,41,70,68,98,1,159,168,258,2,60,106,368,2,10,0,12,7,1,1,25,209,2,14,11,7,26,3,15,20,10,0,13,19,4,7,4,62,113,5,121,182,4,1,113,1,44,74,68,54,36,29,7,125,5,152,77,67,125,3,54,98,96,39,11,2.5828877005347595,1.9364434207406194,3.1132075471698113,1.6485468817963311,12.45,5.797661274529636,3.0547945205479454,1.5654377950845415
CR,CRI,Costa Rica,2020-12-22,2020-12-22,514,3,11083.45929314679,2,8091.14062187401,185,474,2975056.631474677,351,10,7,497,9,67,438,10,15,489,7,89,418,7,103,404,8,74,432,9,62,443,10,14,490,9,31,474,11,14,489,8,38,468,8,131,375,9,24,481,10,84,420,507,0,5,2,447,2,24,41,499,0,8,7,425,1,40,48,411,1,45,57,440,4,31,39,452,1,32,29,500,0,8,6,483,0,15,16,500,0,7,7,476,1,20,17,383,2,56,73,490,4,14,6,430,1,44,39,39,1,81,393,438,0,17,59,49,10,66,389,448,2,10,54,504,3,6,1,504,6,4,508,3,3,0,71,7,38,398,514,0,0,0,0,55,0,245,141,48,25,68,23,227,136,60,68,27,302,85,32,68,24,278,97,47,68,26,276,101,43,68,36,72,112,226,477,9,7,21,477,9,6,22,477,6,8,23,477,9,6,22,477,7,7,23,477,8,8,21,514,0,0,0,514,0,0,0,514,0,0,0,514,0,0,0,514,0,0,0,514,0,0,0,514,0,0,0,514,0,0,0,514,0,0,0,514,0,0,0,514,0,0,0,514,0,0,0,76,11,169,258,76,5,308,125,76,9,184,245,76,6,243,189,76,10,56,372,76,8,118,312,79,0,226,209,288,0,155,48,10,13,84,2,0,25,137,266,84,0,429,1,91,3,75,345,91,0,350,56,5,1,0,11,91,1,87,121,150,64,93,0,139,204,61,17,95,1,96,297,25,110,7,133,226,38,345,9,156,4,206,10,296,2,330,6,175,3,271,6,163,74,458,2,41,13,396,6,109,3,118,2,5,18,46,85,240,118,0,4,25,56,91,220,121,0,164,161,43,25,121,1,41,87,101,163,121,0,92,114,90,97,311,6,173,24,311,56,47,100,311,53,74,76,127,5,207,175,339,1,65,109,453,4,10,2,8,6,3,0,28,247,3,15,18,13,26,4,10,12,9,1,22,35,9,10,9,71,156,6,161,188,1,2,156,1,62,81,90,58,47,15,4,160,5,194,91,64,160,2,55,106,130,44,17,2.652892561983471,1.8023071604036787,2.609375,1.686709838521457,12.095808383233534,5.435102826805352,3.1412103746397695,1.5225479591738782
CR,CRI,Costa Rica,2020-12-23,2020-12-23,541,5,30945.928028861777,1,14558.9714668257,175,510,3047762.664062589,362,10,9,522,8,66,467,8,16,517,10,88,443,10,114,417,8,70,463,12,54,475,10,20,511,7,34,500,8,11,522,10,43,488,8,118,415,8,24,509,7,78,456,532,1,6,2,475,2,31,33,525,3,6,7,453,4,42,42,427,2,49,63,471,2,32,36,487,3,24,27,521,2,11,7,507,3,8,23,530,0,8,3,498,1,25,17,423,2,52,64,517,2,13,9,463,5,48,25,28,3,81,429,465,0,25,51,34,8,73,426,469,3,12,57,529,2,10,0,529,7,5,534,2,5,0,58,6,38,439,541,0,0,0,0,39,0,267,139,65,31,54,21,244,134,88,54,31,313,93,50,54,32,296,95,64,54,24,288,109,66,54,32,93,141,221,504,10,6,21,504,11,6,20,504,6,10,21,504,12,7,18,504,10,5,22,504,11,6,20,541,0,0,0,541,0,0,0,541,0,0,0,541,0,0,0,541,0,0,0,541,0,0,0,541,0,0,0,541,0,0,0,541,0,0,0,541,0,0,0,541,0,0,0,541,0,0,0,62,5,145,329,62,3,316,160,62,8,184,287,62,4,218,257,62,5,36,438,62,6,125,348,71,1,221,248,320,2,159,38,9,13,75,2,0,19,139,306,75,1,465,0,80,4,67,390,80,1,388,44,4,6,1,17,80,4,111,145,128,73,82,4,176,218,47,14,88,1,122,295,35,100,8,161,222,50,399,0,136,6,227,4,304,6,360,5,171,5,325,3,148,65,505,2,28,6,417,4,116,4,106,5,3,17,54,104,252,106,0,4,20,47,108,256,112,1,215,150,29,34,112,2,60,87,114,166,112,2,104,130,100,93,308,12,185,36,308,66,68,99,308,52,84,97,123,2,210,206,335,0,67,139,483,2,14,0,5,12,1,3,21,277,1,20,19,11,30,2,11,11,9,1,18,27,13,8,6,77,163,6,168,204,0,0,163,2,60,84,86,73,49,16,8,176,7,192,106,60,176,3,72,126,117,34,13,2.7532467532467533,1.7826885715670964,2.3823529411764706,1.5648128185682144,11.582386363636363,5.597010495146179,2.8403361344537816,1.4141134115157934
CR,CRI,Costa Rica,2020-12-24,2020-12-24,472,4,26849.54206586859,2,16808.4729164573,158,435,3005632.649701473,325,7,8,457,5,40,427,6,14,452,8,65,399,6,83,383,6,63,403,8,52,412,9,18,445,8,16,448,6,14,452,7,35,430,6,104,362,9,25,438,9,68,395,464,0,6,2,432,2,19,19,458,2,4,8,407,1,33,31,389,3,27,53,409,2,25,36,420,3,33,16,454,2,7,9,456,0,8,8,458,1,9,4,437,2,17,16,368,5,44,55,447,1,13,11,404,2,35,31,35,2,71,364,406,0,15,51,45,5,60,362,413,0,9,50,463,5,3,1,463,4,5,468,1,3,0,60,9,28,375,472,0,0,0,0,50,0,241,126,39,16,54,21,228,127,42,54,19,302,75,22,54,23,271,78,46,54,23,277,80,38,54,35,81,102,200,444,7,5,16,444,11,0,17,444,7,8,13,444,9,3,16,444,11,0,17,444,9,4,15,472,0,0,0,472,0,0,0,472,0,0,0,472,0,0,0,472,0,0,0,472,0,0,0,472,0,0,0,472,0,0,0,472,0,0,0,472,0,0,0,472,0,0,0,472,0,0,0,64,9,141,258,64,5,294,109,64,8,163,237,64,3,225,180,64,6,45,357,64,4,110,294,65,1,211,195,261,0,136,41,23,11,71,3,4,18,122,254,71,3,397,1,76,1,60,335,76,0,341,35,4,4,0,12,76,1,86,115,125,69,79,4,138,190,48,13,81,0,124,238,29,87,3,145,204,33,331,5,127,9,178,5,285,4,309,3,153,7,247,1,151,73,427,1,32,12,362,3,105,2,97,2,2,12,43,78,238,97,1,8,18,37,83,228,104,2,151,135,47,33,104,0,42,82,87,157,104,0,101,99,80,88,274,11,152,35,274,50,54,94,274,44,71,83,114,2,183,173,299,0,57,116,419,5,9,1,5,4,2,1,26,237,1,14,8,17,24,3,11,16,10,0,16,36,14,7,6,52,137,1,163,169,0,2,137,1,49,70,90,50,52,20,3,144,7,177,80,64,144,4,55,118,105,37,9,2.712041884816754,1.8934267232008652,2.526315789473684,1.6808295481472273,11.987138263665594,5.621946785146142,3.0537974683544302,1.4475874215320115
CR,CRI,Costa Rica,2020-12-25,2020-12-25,446,4,33226.944338673144,2,15345.81819434785,129,412,3044257.320738869,314,4,13,429,3,57,386,5,14,427,5,56,385,3,91,352,3,54,389,5,48,393,3,16,427,6,20,420,3,15,428,5,32,409,3,94,349,4,16,426,4,64,378,433,2,8,3,389,3,27,27,432,0,12,2,390,5,26,25,355,7,41,43,392,4,16,34,398,2,20,26,430,3,9,4,426,2,13,5,431,2,12,1,414,2,15,15,352,7,32,55,430,3,7,6,382,4,31,29,32,2,56,356,395,0,18,33,38,6,63,339,383,2,14,47,432,8,6,0,432,6,8,440,4,2,0,60,10,34,342,446,0,0,0,0,41,2,242,100,32,29,55,31,216,95,49,55,35,264,58,34,55,36,232,71,52,55,30,240,71,50,55,34,85,92,180,413,6,9,18,413,8,9,16,413,6,10,17,413,9,6,18,413,10,2,21,413,9,4,20,446,0,0,0,446,0,0,0,446,0,0,0,446,0,0,0,446,0,0,0,446,0,0,0,446,0,0,0,446,0,0,0,446,0,0,0,446,0,0,0,446,0,0,0,446,0,0,0,62,7,126,251,62,6,256,122,62,8,137,239,62,3,217,164,62,5,51,328,62,3,84,297,69,1,223,153,223,0,138,46,29,10,74,6,1,19,111,235,74,5,366,1,80,4,61,301,80,0,320,24,6,2,1,13,80,0,64,119,104,79,83,2,137,167,42,15,83,0,104,225,34,90,3,143,178,32,323,1,118,4,195,2,247,2,313,0,131,2,233,3,150,60,397,2,32,15,364,2,80,0,92,4,6,12,40,72,220,92,1,13,18,39,69,214,95,1,148,137,36,29,95,0,50,76,82,143,95,0,86,98,74,93,262,6,153,25,262,50,42,92,262,47,55,82,96,1,183,166,280,0,62,104,387,4,9,1,6,4,3,5,27,207,0,17,16,14,17,5,12,22,5,1,19,20,5,10,7,69,122,3,150,168,0,3,122,0,46,77,86,59,27,25,4,129,3,159,92,63,129,1,41,114,108,43,10,2.7580645161290325,1.9784144664909262,2.6363636363636362,1.9540168418367891,12.109477124183007,5.689675007671141,3.1826923076923075,1.5431484690805113
CR,CRI,Costa Rica,2020-12-26,2020-12-26,557,5,15668.98666745781,2,5826.155677793309,184,506,3132352.3748104787,401,5,9,543,7,58,492,6,19,532,9,77,471,7,112,438,6,67,484,6,71,480,7,22,528,6,28,523,10,10,537,7,39,511,7,124,426,8,21,528,5,78,474,548,0,6,3,499,3,29,26,538,2,10,7,480,5,33,39,445,7,45,60,490,6,26,35,486,4,35,32,535,2,6,14,529,0,15,13,547,2,4,4,518,2,20,17,433,8,46,70,536,2,13,6,479,3,48,27,50,1,75,431,486,0,15,56,60,8,77,412,480,3,21,53,536,6,13,2,536,7,14,550,1,6,0,94,13,41,409,557,0,0,0,0,66,2,280,123,52,34,75,20,260,132,70,75,23,325,93,41,75,25,292,101,64,75,21,300,111,50,75,33,94,114,241,518,12,13,14,518,12,8,19,518,12,15,12,518,14,10,15,518,12,6,21,518,12,4,23,557,0,0,0,557,0,0,0,557,0,0,0,557,0,0,0,557,0,0,0,557,0,0,0,557,0,0,0,557,0,0,0,557,0,0,0,557,0,0,0,557,0,0,0,557,0,0,0,77,10,110,360,77,8,297,175,77,15,156,309,77,7,261,212,77,14,61,405,77,12,103,365,82,1,244,230,313,1,153,54,26,10,87,5,4,23,139,299,87,4,463,3,93,4,76,384,93,2,401,36,5,4,0,16,93,2,100,144,163,55,97,4,163,227,48,18,98,4,126,291,38,106,8,164,230,49,447,3,100,7,261,3,286,7,401,1,148,7,297,3,143,114,496,0,43,18,455,3,95,4,114,4,6,14,44,79,296,114,1,6,15,50,98,273,117,3,195,162,44,36,117,1,56,88,108,187,117,0,109,128,108,95,323,11,195,28,323,47,70,117,323,38,90,106,126,2,204,225,332,1,92,132,468,5,16,2,12,9,3,3,39,270,3,9,16,12,24,2,13,22,12,0,28,23,20,10,10,83,153,9,186,203,2,4,153,3,58,94,94,73,63,15,4,155,7,211,112,72,155,3,45,130,159,53,12,2.62882096069869,1.7738967187188575,2.7301587301587302,1.8940173144144135,11.88126649076517,5.447599585955324,3.211734693877551,1.516681345185658
CR,CRI,Costa Rica,2020-12-27,2020-12-27,600,6,25769.24081571089,5,19292.025714154202,219,565,3138839.9156587697,426,7,16,577,6,62,532,11,25,564,9,84,507,7,130,463,6,83,511,10,77,513,9,20,571,10,36,554,8,14,578,10,56,534,6,125,469,9,35,556,8,104,488,584,2,11,3,538,2,34,26,575,1,14,10,516,2,46,36,470,1,55,74,517,3,36,44,523,3,49,25,580,0,14,6,564,3,19,14,586,0,10,4,544,5,25,26,475,2,46,77,565,4,19,12,496,7,56,41,33,2,88,477,519,0,23,58,43,12,89,456,511,2,15,72,585,3,12,0,585,6,9,594,2,4,0,74,13,58,455,600,0,0,0,0,51,1,317,150,53,28,63,29,286,146,76,63,43,359,95,40,63,44,319,115,59,63,39,332,112,54,63,52,110,156,219,543,20,14,23,543,20,11,26,543,13,21,23,543,21,7,29,543,22,7,28,543,22,10,25,600,0,0,0,600,0,0,0,600,0,0,0,600,0,0,0,600,0,0,0,600,0,0,0,600,0,0,0,600,0,0,0,600,0,0,0,600,0,0,0,600,0,0,0,600,0,0,0,67,10,141,382,67,7,329,197,67,13,199,321,67,10,267,256,67,12,63,458,67,3,123,407,76,4,263,257,337,1,180,49,16,17,83,2,2,25,167,321,83,3,513,1,89,6,61,444,89,0,444,40,3,2,3,19,89,1,107,174,169,60,92,5,169,268,52,14,96,1,153,315,35,109,16,197,226,52,461,3,132,4,274,6,316,4,403,5,188,4,336,4,179,81,539,2,49,10,480,4,113,3,112,1,9,10,48,113,307,112,2,10,12,58,107,299,125,3,202,187,39,44,125,1,60,112,109,193,125,1,112,149,92,121,341,17,213,29,341,65,73,121,341,56,103,100,130,0,238,232,368,2,86,144,523,5,8,4,12,11,3,2,32,287,4,26,20,10,35,1,14,21,17,0,17,17,15,11,9,96,161,6,182,249,0,2,161,2,49,89,111,87,68,26,7,166,8,221,112,93,166,6,77,121,169,47,14,2.8122605363984676,1.8395241507222677,2.767123287671233,1.8523299737928076,11.88449494949495,5.558103765295968,3.106280193236715,1.5335818519415
CR,CRI,Costa Rica,2020-12-28,2020-12-27,100,2,19917.41491855572,1,5178.179262477221,41,92,556509.5217456324,52,1,3,96,0,13,87,3,5,92,3,15,82,1,22,77,1,15,84,2,21,77,2,1,97,3,6,91,1,2,97,2,16,82,0,20,80,2,8,90,2,18,80,97,0,2,1,87,0,6,7,95,1,3,1,85,1,10,4,78,1,7,14,85,0,9,6,79,3,13,5,99,0,1,0,94,2,3,1,98,0,1,1,84,2,7,7,80,0,8,12,92,2,3,3,82,2,11,5,8,0,17,75,84,0,6,10,11,1,15,73,85,1,2,12,98,0,2,0,98,1,1,99,0,1,0,16,4,8,72,100,0,0,0,0,15,0,50,25,7,3,18,6,47,17,12,18,10,50,16,6,18,9,48,13,12,18,10,48,16,8,18,12,16,22,32,92,4,3,1,92,4,2,2,92,3,4,1,92,4,1,3,92,5,1,2,92,4,2,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,19,2,28,51,19,2,54,25,19,3,32,46,19,2,42,37,19,5,12,64,19,2,18,61,21,1,39,39,61,1,23,10,2,3,24,0,0,3,25,48,24,0,76,0,25,2,14,59,25,0,67,4,1,0,0,3,25,1,21,19,26,8,26,2,26,37,6,3,27,0,19,52,2,30,3,28,31,8,72,0,27,1,46,0,54,0,69,0,30,1,58,0,35,7,88,1,7,4,82,1,16,1,32,0,1,1,7,11,48,32,0,2,1,11,9,45,34,0,32,21,7,6,34,0,8,14,18,26,34,0,13,24,9,20,64,3,30,3,64,9,9,18,64,9,14,13,35,0,30,35,65,0,20,15,82,1,2,1,2,3,1,2,6,53,1,6,3,3,2,1,1,6,1,0,3,1,2,1,1,15,45,1,26,28,0,0,45,0,8,11,11,11,10,2,2,47,2,25,15,11,47,1,6,15,21,9,1,2.6956521739130435,1.547321200834114,2.533333333333333,1.9223002094465098,11.857142857142858,4.7302219821061255,3,1.5099668870541498
CR,CRI,Costa Rica,2020-12-30,2020-12-30,520,3,11289.82878781257,2,7589.429873846931,184,490,3146850.5629711174,363,8,8,504,6,57,457,9,20,491,8,83,429,6,110,404,7,71,442,7,68,445,8,23,489,7,30,483,8,15,497,8,32,480,5,120,395,10,23,487,8,79,433,512,2,3,3,463,4,35,18,500,3,9,8,437,6,34,43,410,5,36,69,449,5,29,37,452,4,37,27,497,2,13,8,490,2,15,13,505,4,10,1,488,2,16,14,400,6,50,64,497,3,11,9,441,5,42,32,29,1,80,410,444,0,26,50,34,12,66,408,454,3,17,46,503,6,11,0,503,4,13,516,2,2,0,67,4,43,406,520,0,0,0,0,38,3,276,122,52,29,54,24,234,142,66,54,33,306,87,40,54,29,274,102,61,54,28,285,99,54,54,37,97,106,226,477,15,13,15,477,21,7,15,477,14,16,13,477,19,12,12,477,20,7,16,477,19,10,14,520,0,0,0,520,0,0,0,520,0,0,0,520,0,0,0,520,0,0,0,520,0,0,0,520,0,0,0,520,0,0,0,520,0,0,0,520,0,0,0,520,0,0,0,520,0,0,0,67,13,116,324,67,6,294,153,67,14,160,279,67,9,243,201,67,15,43,395,67,6,102,345,74,1,222,223,298,2,150,45,13,12,76,3,3,23,149,266,76,6,436,2,77,6,73,364,77,1,366,42,4,5,2,23,77,1,89,125,171,57,81,3,150,225,47,14,88,0,111,291,30,101,9,143,219,48,404,1,104,11,229,3,282,6,361,0,154,5,280,2,152,86,478,1,36,5,420,2,96,2,106,1,5,14,48,78,268,106,0,3,24,56,88,243,114,3,182,145,41,35,114,1,51,80,114,160,114,0,100,119,92,95,301,8,172,39,301,66,52,101,301,46,86,87,117,1,170,232,288,0,99,133,431,1,17,2,13,12,5,1,38,261,2,13,13,8,23,5,17,21,12,0,24,23,8,9,7,74,146,5,163,201,0,5,146,1,50,88,77,82,50,20,6,151,8,193,104,64,151,4,58,112,136,40,19,2.9710743801652892,2.0194053607540376,2.4782608695652173,1.6234376711542584,11.740112994350282,5.514875684143634,3.217877094972067,1.5619832134442846
CR,CRI,Costa Rica,2020-12-31,2020-12-31,454,5,25117.36175863009,2,8691.668741543308,134,421,3163152.220257989,317,9,7,438,7,53,394,7,17,430,7,72,375,8,84,362,7,62,385,8,33,413,8,20,426,10,25,419,9,8,437,7,31,416,8,96,350,10,18,426,6,70,378,447,1,4,2,401,3,34,16,437,0,9,8,382,2,35,35,370,3,33,48,392,1,19,42,421,2,13,18,434,2,10,8,429,2,12,11,446,0,6,2,423,0,17,14,358,2,40,54,436,1,13,4,384,3,32,35,32,1,58,363,397,0,16,41,33,6,66,349,388,1,15,50,439,7,7,1,439,8,7,446,2,5,1,56,9,32,357,454,0,0,0,0,37,0,248,117,36,16,46,23,221,109,55,46,23,285,79,21,46,23,264,76,45,46,18,269,80,41,46,28,84,103,193,422,13,8,11,422,14,8,10,422,11,13,8,422,15,3,14,422,15,9,8,422,14,11,7,452,0,0,2,452,0,0,2,452,0,0,2,452,0,0,2,452,0,0,2,452,0,0,2,452,0,0,2,454,0,0,0,454,0,0,0,454,0,0,0,454,0,0,0,454,0,0,0,54,12,110,278,54,9,270,121,54,13,143,244,54,8,199,193,54,13,44,343,54,10,96,294,56,1,200,197,254,0,143,37,12,8,59,2,1,34,115,243,59,6,389,0,63,4,57,330,63,0,340,27,6,6,1,11,63,1,77,128,123,62,66,5,145,178,43,17,69,0,107,246,32,80,5,129,204,36,345,3,102,4,186,6,258,4,312,4,133,5,257,3,131,63,410,0,35,9,360,2,91,1,85,1,7,14,45,89,213,85,3,5,24,40,98,199,88,2,170,121,45,28,88,0,41,74,94,157,88,1,76,111,89,89,270,8,146,30,270,48,41,95,270,38,66,80,96,0,151,207,247,0,90,117,375,2,8,1,15,15,4,4,30,225,1,14,10,4,28,2,12,9,8,0,21,22,9,7,9,73,126,1,141,182,0,4,126,0,46,81,72,48,58,19,4,133,9,177,75,60,133,5,42,120,106,35,13,2.8947368421052633,2.01041565214825,2.423076923076923,1.6726889687337811,12.452768729641694,5.693725805736907,3.1693811074918568,1.485432731574898
