ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8..77,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10..77,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
AF,AFG,Afghanistan,2020-12-21,2020-12-21,123,7,479838.1176222207,6,415996.00098046823,106,92,6152312.434522389,58,24,12,87,21,21,81,26,15,82,26,24,73,23,25,75,22,24,77,26,14,83,24,11,88,28,10,85,27,13,83,24,14,85,24,16,83,31,7,85,27,18,78,115,3,4,1,106,3,7,7,111,3,5,4,102,3,10,8,102,4,9,8,103,3,9,8,112,2,3,6,115,2,3,3,114,3,3,3,113,3,4,3,113,2,4,4,111,3,6,3,117,2,3,1,106,2,11,4,27,4,25,67,101,0,11,11,30,4,20,69,103,0,10,10,113,0,3,7,0,113,0,3,7,0,120,0,2,1,0,44,4,11,64,123,30,3,33,23,19,15,95,5,12,4,7,95,6,14,3,5,95,5,17,3,3,95,7,10,3,8,95,7,4,0,17,112,3,5,3,112,3,3,5,112,4,3,4,112,3,2,6,112,4,2,5,112,3,3,5,123,0,0,0,123,0,0,0,123,0,0,0,123,0,0,0,123,0,0,0,123,0,0,0,123,0,0,0,123,0,0,0,123,0,0,0,123,0,0,0,123,0,0,0,123,0,0,0,38,6,51,28,38,5,56,24,38,7,34,44,38,8,45,32,38,9,34,42,38,8,30,47,40,5,43,35,80,0,17,6,10,10,41,2,7,19,22,32,41,5,74,3,44,5,20,54,44,4,22,7,11,12,17,6,44,2,23,15,18,21,45,4,16,19,25,14,46,3,13,52,9,55,2,15,42,9,73,5,26,19,68,6,30,19,90,2,17,14,79,3,16,25,90,2,13,18,94,4,14,11,56,2,2,5,10,18,30,56,2,4,2,13,15,31,57,2,12,28,15,9,57,2,1,13,22,28,57,2,16,21,11,16,86,3,27,7,86,8,23,6,86,6,29,2,59,2,41,21,102,0,7,14,117,0,1,0,0,0,2,1,2,76,0,3,5,6,3,1,0,2,1,1,3,3,3,1,3,12,62,1,54,6,0,0,62,1,12,25,13,4,2,4,0,65,1,35,11,11,65,1,14,12,13,9,9,9.674358974358974,14.585640341909428,5.2631578947368425,4.6409063442291565,12.962962962962964,4.629531794913154,3.36,2.0874747951551806
AF,AFG,Afghanistan,2020-12-22,2020-12-22,161,11,651093.3984574026,9,600019.917577485,330,131,7483293.246721189,75,38,17,106,25,34,102,34,16,111,32,29,100,30,31,100,35,24,102,36,20,105,33,18,110,33,15,113,31,17,113,32,20,109,30,37,94,35,16,110,32,24,105,144,2,11,4,127,3,23,8,145,1,10,5,132,4,15,10,130,5,19,7,137,2,16,6,141,3,8,9,143,3,9,6,146,1,11,3,144,4,10,3,141,1,14,5,124,4,22,11,145,0,10,6,137,1,18,5,30,0,50,81,114,1,29,17,33,4,30,94,132,1,14,14,147,0,4,9,1,147,0,7,7,0,154,0,5,1,1,54,1,16,90,161,38,2,58,23,20,20,46,9,57,20,29,46,18,43,23,31,46,15,65,18,17,46,18,45,24,28,46,22,20,16,57,146,3,6,6,146,4,6,5,146,6,3,6,146,5,4,6,146,6,6,3,146,6,4,5,161,0,0,0,161,0,0,0,161,0,0,0,161,0,0,0,161,0,0,0,161,0,0,0,161,0,0,0,161,0,0,0,161,0,0,0,161,0,0,0,161,0,0,0,161,0,0,0,51,10,66,34,51,13,67,30,51,14,44,52,51,15,49,46,51,14,49,47,51,15,42,53,55,2,61,43,100,0,26,13,11,11,57,3,13,22,32,34,57,7,85,12,62,3,25,71,62,1,33,20,13,5,21,6,62,3,32,26,14,24,62,2,15,30,29,23,65,2,19,64,11,70,2,19,62,8,96,2,41,22,95,0,40,26,118,0,24,19,113,0,32,16,113,0,25,23,120,0,27,14,73,3,6,9,14,18,38,73,2,6,8,11,23,38,74,1,33,18,19,16,74,4,18,21,13,31,74,3,35,14,12,23,112,3,43,3,112,13,25,11,112,15,23,11,74,5,48,34,127,0,11,23,150,2,1,0,1,1,0,1,5,102,0,4,6,5,6,0,1,7,1,0,2,4,6,1,0,16,82,2,67,7,2,1,82,2,21,35,9,4,4,4,0,85,4,42,14,16,85,2,27,17,12,12,6,6.370967741935483,7.006399582788328,9.235294117647058,20.388735487012386,13.830882352941178,5.01684497848911,3.712121212121212,2.51007294724002
AF,AFG,Afghanistan,2020-12-23,2020-12-23,127,15,820565.8399480925,8,412150.0233783652,233,110,5483142.013387918,60,15,18,94,14,25,88,14,17,96,15,29,83,15,28,84,13,27,87,16,21,90,15,16,96,14,19,94,16,17,94,16,21,90,15,32,80,18,17,92,16,31,80,109,7,6,5,102,6,11,8,110,5,8,4,98,6,15,8,99,6,14,8,100,7,12,8,106,3,11,7,111,6,9,1,108,9,7,3,110,7,7,3,106,6,13,2,95,7,17,8,110,6,10,1,96,7,15,9,15,2,47,63,85,0,26,16,21,3,26,77,101,2,8,16,119,0,2,5,1,119,0,6,2,0,121,0,4,2,0,34,5,8,80,127,26,1,48,22,12,18,31,9,58,13,16,31,12,52,16,16,31,15,60,9,12,31,16,44,14,22,31,18,24,14,40,119,4,3,1,119,2,5,1,119,4,4,0,119,1,4,3,119,3,2,3,119,3,4,1,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,37,12,51,27,37,12,56,22,37,16,35,39,37,14,42,34,37,14,41,35,37,12,35,43,39,4,50,34,77,1,21,10,7,11,41,3,9,23,34,17,41,5,75,6,45,4,13,65,45,3,22,15,12,11,15,4,45,3,18,21,20,20,46,2,10,26,24,19,48,3,6,63,7,54,2,8,56,7,76,3,31,17,71,4,35,17,92,2,19,14,85,2,18,22,86,1,23,17,92,1,24,10,56,3,1,8,13,16,30,56,3,5,8,14,19,22,60,1,22,12,19,13,60,1,10,16,18,22,60,1,21,19,12,14,88,1,33,5,88,5,20,14,88,5,24,10,61,2,34,30,97,0,18,12,109,0,6,1,0,1,2,2,6,77,0,4,6,2,8,1,0,4,2,0,3,3,7,0,2,8,64,1,57,4,0,1,64,1,18,24,13,2,3,1,1,66,2,37,8,14,66,2,19,14,17,6,3,6.041666666666667,6.80099596377551,8.44,19.95219286193876,13.293103448275861,4.9346914466176335,4.074074074074074,2.6339714748376757
AF,AFG,Afghanistan,2020-12-24,2020-12-24,127,23,1127478.5531392703,8,315115.18410540686,138,99,7960269.642074285,44,14,31,82,13,29,85,17,17,93,14,23,90,15,27,85,20,20,87,16,26,85,16,21,90,17,13,97,20,18,89,19,24,84,15,32,80,22,12,93,20,31,76,96,6,17,8,98,5,13,11,110,4,7,6,104,4,11,8,100,4,12,11,107,3,7,10,101,4,14,8,106,4,10,7,114,3,5,5,109,2,9,7,103,4,14,6,95,5,16,11,115,0,5,7,96,4,13,14,28,0,30,69,102,1,13,11,35,2,24,66,103,0,10,14,117,0,3,6,1,117,0,4,5,1,123,0,3,1,0,48,1,7,71,127,38,0,37,22,7,23,45,6,42,6,28,45,19,26,16,21,45,16,37,13,16,45,18,27,15,22,45,18,7,17,40,121,2,2,2,121,2,2,2,121,2,3,1,121,1,4,1,121,1,4,1,121,1,4,1,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,127,0,0,0,48,4,46,29,48,8,43,28,48,8,31,40,48,8,38,33,48,9,31,39,48,6,31,42,54,0,43,30,84,2,12,14,9,6,56,1,7,17,24,22,56,1,63,7,62,0,10,55,62,0,26,13,7,5,9,5,62,0,29,9,14,13,62,0,14,19,19,13,63,0,5,52,7,66,3,6,40,12,82,4,30,11,85,2,26,14,97,3,17,10,89,2,17,19,96,2,15,14,96,1,20,10,67,1,2,7,6,7,37,67,0,2,6,11,8,33,73,1,18,13,7,15,73,0,8,12,10,24,73,0,19,9,6,20,100,2,24,1,100,5,15,7,100,4,15,8,77,0,28,22,105,0,8,14,120,0,2,1,0,0,1,1,2,92,0,7,1,4,3,1,2,0,2,1,3,1,2,1,1,6,80,1,34,9,1,2,80,1,11,18,7,3,4,2,1,83,2,23,6,13,83,1,18,8,10,3,4,5.978260869565218,7.398165329427688,8.133333333333333,15.72471515375292,12.463414634146341,5.065064466399266,3.8055555555555554,2.583678932335987
AF,AFG,Afghanistan,2020-12-25,2020-12-25,142,7,492834.05271412653,4,390393.1199101199,225,117,6530504.294950901,65,27,14,101,30,30,82,33,12,97,25,33,84,28,34,80,31,20,91,24,32,86,27,24,91,28,16,98,30,11,101,32,17,93,27,28,87,34,17,91,25,33,84,128,4,6,4,112,7,13,10,130,3,6,3,109,6,16,11,108,7,19,8,122,5,10,5,110,9,15,8,118,6,12,6,126,10,3,3,131,4,5,2,125,3,5,9,114,5,18,5,125,4,9,4,109,6,19,8,23,2,45,72,101,2,24,15,30,3,29,80,115,2,9,16,133,0,2,6,1,133,1,4,3,1,138,0,3,1,0,46,1,13,82,142,37,1,53,26,12,13,48,8,48,18,20,48,16,37,18,23,48,16,52,12,14,48,22,37,15,20,48,21,18,14,41,130,4,6,2,130,6,2,4,130,6,5,1,130,7,3,2,130,6,4,2,130,7,2,3,142,0,0,0,142,0,0,0,142,0,0,0,142,0,0,0,142,0,0,0,142,0,0,0,142,0,0,0,142,0,0,0,142,0,0,0,142,0,0,0,142,0,0,0,142,0,0,0,50,7,61,24,50,8,61,23,50,11,43,38,50,9,50,33,50,8,46,38,50,10,40,42,51,3,57,31,85,2,23,12,5,15,53,3,9,19,30,28,53,7,75,7,58,4,18,62,58,4,27,15,12,7,17,2,58,6,18,16,21,23,59,5,18,20,24,16,59,3,9,63,8,61,5,7,61,8,81,5,38,18,81,4,31,26,99,4,20,19,92,4,21,25,96,4,18,24,102,4,17,19,63,4,4,5,11,22,33,63,3,4,13,15,13,31,70,3,23,18,8,20,70,3,11,19,17,22,70,1,29,13,12,17,100,1,39,2,100,15,20,7,100,15,23,4,70,1,41,30,112,0,17,13,125,2,7,1,1,2,1,2,1,84,0,3,9,3,9,1,3,4,0,0,1,4,4,0,3,14,74,0,61,6,0,1,74,1,15,33,14,1,4,0,0,77,1,43,11,10,77,0,15,20,9,6,15,5.3478260869565215,6.0215937087152325,6.966666666666667,6.195010970090387,14.415384615384616,4.038456959704364,3.596774193548387,2.6455014549562375
AF,AFG,Afghanistan,2020-12-26,2020-12-26,173,14,1098193.5644675135,6,401175.0085602775,269,139,8720087.635868067,78,21,21,131,25,24,124,21,21,131,22,44,107,21,41,111,22,28,123,24,31,118,26,19,128,26,14,133,26,13,134,25,26,122,26,34,113,30,12,131,28,28,117,152,8,7,6,149,5,12,7,152,6,12,3,129,8,18,18,132,9,22,10,145,7,15,6,142,7,16,8,154,6,7,6,159,6,3,5,160,4,7,2,147,10,8,8,139,7,15,12,161,3,4,5,145,3,16,9,30,4,45,94,133,2,23,15,37,4,30,102,145,2,7,19,166,0,1,6,0,166,1,4,2,0,169,0,1,2,1,53,5,14,101,173,44,3,56,24,14,32,59,9,53,23,29,59,27,33,29,25,59,25,53,19,17,59,23,39,24,28,59,28,20,18,48,162,4,5,2,162,5,1,5,162,3,6,2,162,5,1,5,162,4,4,3,162,5,4,2,173,0,0,0,173,0,0,0,173,0,0,0,173,0,0,0,173,0,0,0,173,0,0,0,173,0,0,0,173,0,0,0,173,0,0,0,173,0,0,0,173,0,0,0,173,0,0,0,63,7,62,41,63,14,62,34,63,20,36,54,63,16,55,39,63,18,36,56,63,13,45,52,64,1,60,48,113,2,20,17,11,10,67,1,7,31,36,31,67,2,96,8,71,1,22,79,71,2,38,21,13,6,14,8,71,2,31,19,19,31,71,4,19,42,24,13,71,1,13,77,11,73,6,14,69,11,111,1,43,18,111,0,40,22,137,0,17,19,118,0,27,28,137,0,20,16,128,3,26,16,80,3,5,10,18,18,39,80,4,5,8,24,15,37,83,2,34,23,14,17,83,2,14,26,16,32,83,2,38,22,10,18,113,4,49,7,113,18,31,11,113,15,31,14,85,0,53,35,138,0,15,20,159,0,4,3,1,0,0,0,6,107,1,1,5,5,9,2,1,6,3,1,4,2,5,0,6,15,93,1,63,14,1,1,93,1,20,38,11,5,4,1,0,94,2,46,15,16,94,2,23,12,15,17,10,5.540983606557378,6.65726112474643,8.466666666666667,18.852848194834415,14.492537313432836,3.7713960694921127,3.5342465753424657,2.363390877183917
AF,AFG,Afghanistan,2020-12-27,2020-12-27,139,7,499296.7983192554,6,491735.1990616233,321,112,6652835.284144943,69,22,14,103,21,25,93,23,12,104,20,25,94,23,26,90,21,22,96,21,18,100,25,8,106,21,16,102,23,15,101,22,18,99,18,28,93,29,9,101,26,27,86,125,2,6,6,114,4,11,10,127,4,4,4,114,6,11,8,113,5,11,10,117,5,9,8,121,4,6,8,131,1,3,4,123,0,9,7,124,5,7,3,121,5,6,7,111,4,15,9,130,2,4,3,112,1,19,7,27,0,43,69,97,2,25,15,32,5,14,88,125,0,7,7,132,0,1,5,1,132,0,4,3,0,135,0,2,1,1,44,3,15,77,139,38,0,50,23,15,13,43,7,44,16,29,43,19,43,11,23,43,16,59,5,16,43,19,45,11,21,43,19,23,10,44,126,4,4,5,126,5,2,6,126,5,4,4,126,4,4,5,126,5,3,5,126,5,2,6,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,139,0,0,0,47,6,64,22,47,9,69,14,47,10,40,42,47,9,52,31,47,8,48,36,47,7,42,43,49,1,59,30,80,0,18,12,10,19,50,1,16,17,32,23,50,2,76,11,53,3,18,65,53,1,24,12,8,10,26,5,53,3,22,15,24,22,53,2,18,19,29,18,54,0,9,64,12,59,6,9,58,7,75,3,36,25,70,3,42,24,99,3,21,16,87,3,24,25,91,4,22,22,97,3,22,17,60,2,4,7,15,15,36,60,3,4,7,17,15,33,61,0,30,20,11,17,61,2,16,16,20,24,61,2,27,18,14,17,95,6,30,8,95,12,18,14,95,8,25,11,65,0,44,30,109,1,9,20,131,0,2,1,0,2,0,1,2,87,0,2,7,2,9,0,0,7,2,0,2,4,2,2,3,10,69,1,64,4,1,0,69,0,16,33,11,6,1,2,1,70,2,49,11,7,70,1,32,16,9,6,5,6.816326530612245,7.944268031595053,10.586206896551724,20.349652930313983,13.754098360655737,5.074957266502901,3.933333333333333,2.4897530111433097
AF,AFG,Afghanistan,2020-12-28,2020-12-27,100,6,302344.19009627675,4,284098.1451637756,237,74,4153375.5317749428,37,22,11,67,19,20,61,23,6,71,16,22,62,19,18,63,19,19,62,20,15,65,23,7,70,19,15,66,22,10,68,21,13,66,20,18,62,27,7,66,26,15,59,89,2,7,2,80,5,10,5,94,3,0,3,78,7,11,4,82,3,10,5,81,5,7,7,85,3,6,6,93,2,4,1,85,2,9,4,90,4,4,2,87,4,5,4,82,4,7,7,93,2,4,1,85,1,10,4,26,0,30,44,71,2,13,14,31,4,14,51,87,2,6,5,94,0,0,4,2,94,0,2,3,1,98,0,1,1,0,44,1,8,47,100,37,0,33,11,9,10,42,2,26,8,22,42,11,27,6,14,42,10,33,2,13,42,11,28,5,14,42,13,13,7,25,94,1,4,1,94,2,1,3,94,3,1,2,94,2,1,3,94,3,1,2,94,3,1,2,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,44,4,35,17,44,7,38,11,44,8,26,22,44,9,29,18,44,8,23,25,44,7,24,25,45,0,36,19,64,0,12,7,8,9,47,0,7,7,26,13,47,3,41,9,49,2,11,38,49,0,18,6,6,6,12,3,49,1,14,12,9,15,49,2,12,11,18,8,49,1,7,38,5,52,3,6,34,5,66,0,22,12,63,1,27,9,75,0,18,7,72,0,17,11,78,0,14,8,77,0,18,5,53,2,2,5,6,10,22,53,2,4,6,8,7,20,55,0,24,6,6,9,55,1,13,8,9,14,55,1,21,8,5,10,72,2,20,6,72,8,11,9,72,8,14,6,58,0,25,17,83,0,7,10,93,0,1,1,0,1,0,1,3,68,0,2,3,2,7,0,0,5,1,0,1,3,0,1,1,6,61,0,36,2,1,0,61,0,9,19,8,2,1,0,0,63,2,23,7,5,63,0,16,10,3,3,5,8.689655172413794,10.092796045680524,11.894736842105264,23.004576203785835,13.794117647058822,5.1802621424526025,4.46875,2.850968992035583
AF,AFG,Afghanistan,2020-12-30,2020-12-30,128,8,250450.86674242961,3,80597.9182604773,253,98,5382534.622642256,56,26,17,85,30,22,76,30,16,82,28,27,73,28,24,76,23,28,77,30,18,80,28,18,82,32,12,84,30,13,85,24,17,87,32,19,77,33,13,82,29,28,71,111,7,6,4,106,2,13,7,112,7,6,3,101,5,15,7,104,5,9,10,100,7,12,9,110,5,7,6,110,9,6,3,116,6,4,2,115,6,4,3,111,5,10,2,109,5,8,6,115,4,3,6,100,2,17,9,29,1,31,67,99,1,23,5,33,2,34,59,95,2,17,14,111,0,5,11,1,111,0,8,9,0,120,1,4,2,1,55,3,6,64,128,38,1,35,19,14,21,46,5,39,13,25,46,14,34,10,24,46,15,43,8,16,46,18,25,13,26,46,18,16,10,38,122,4,2,0,122,4,1,1,122,2,4,0,122,5,0,1,122,5,1,0,122,5,1,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,128,0,0,0,49,5,56,18,49,9,54,16,49,15,32,32,49,13,40,26,49,14,35,30,49,14,33,32,52,0,40,36,88,1,12,10,6,11,54,2,3,18,25,26,54,4,67,3,55,3,24,46,55,2,26,10,12,5,15,3,55,2,22,14,14,21,59,2,15,19,19,14,61,1,6,47,13,63,4,9,43,9,73,2,36,17,75,3,30,20,97,1,13,17,89,3,19,17,94,3,16,15,96,2,16,14,63,2,2,4,8,17,32,63,1,4,7,11,12,30,66,4,16,20,8,14,66,3,8,13,13,25,66,1,14,18,11,18,96,7,24,1,96,8,19,5,96,8,18,6,68,0,39,21,107,0,6,15,122,0,3,0,0,1,0,0,2,84,0,3,6,3,5,2,1,6,1,0,0,3,1,1,2,10,69,2,51,5,1,0,69,0,19,19,11,6,4,0,0,71,1,37,4,15,71,2,20,13,10,7,5,6.75,9.937035818143348,12.1,22.247176047877698,13.075471698113208,4.97628629140158,4.061224489795919,2.786935019465127
AF,AFG,Afghanistan,2020-12-31,2020-12-31,164,15,1113810.656921615,7,707000.9535664569,417,135,8693383.050350433,71,23,23,118,24,36,104,29,22,113,27,36,101,25,38,101,27,28,109,27,31,106,29,20,115,29,13,122,24,27,113,27,30,107,27,32,105,34,16,114,28,46,90,141,9,9,5,128,8,20,8,142,3,13,6,128,6,15,15,126,10,18,10,136,8,15,5,133,10,17,4,144,6,11,3,151,5,4,4,137,8,10,9,134,11,9,10,132,7,18,7,148,3,9,4,118,8,24,14,27,2,54,81,115,2,22,25,33,8,29,94,136,1,13,14,151,1,4,7,1,151,1,9,3,0,155,1,7,0,1,56,3,8,97,164,40,5,61,28,9,21,45,16,53,20,30,45,24,49,21,25,45,27,57,17,18,45,29,46,18,26,45,30,27,12,50,156,3,2,3,156,3,3,2,156,3,2,3,156,3,2,3,156,3,1,4,156,3,2,3,162,0,1,1,162,0,1,1,162,0,1,1,162,0,1,1,162,0,2,0,162,0,1,1,162,0,1,1,162,0,2,0,162,0,2,0,162,0,2,0,162,0,2,0,162,0,2,0,51,9,63,41,51,11,75,27,51,15,47,51,51,13,55,45,51,14,45,54,51,13,44,56,55,2,69,38,95,1,33,15,8,12,62,3,11,23,27,38,62,4,85,13,65,3,24,72,65,2,39,24,14,4,10,6,65,3,30,17,23,26,67,4,25,28,21,19,69,3,13,62,17,70,6,12,66,10,102,2,47,13,90,1,54,19,118,1,28,17,110,3,27,24,119,1,29,15,120,2,34,8,73,2,4,7,17,20,41,73,1,4,7,16,25,38,78,2,26,27,11,20,78,2,12,18,24,30,78,3,26,24,8,25,116,5,38,5,116,14,22,12,116,12,25,11,81,1,44,38,126,1,10,27,154,0,1,2,2,2,0,0,3,112,0,4,5,4,6,1,2,5,2,0,1,3,3,2,3,11,92,1,62,7,0,2,92,0,20,28,13,6,2,3,0,92,4,42,16,10,92,0,24,21,10,7,10,6.758064516129032,8.838599184076232,12.34375,25.009171704693436,14.416666666666666,4.2318071896526055,3.4098360655737703,2.27579326228847
