ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.1,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9..77,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13..77,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5..77,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8..77,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B10..99,B10.1,B10.2,B10.3,B11..99,B11..77,B11.1,B11.2,V1..99,V1..77,V1.1,V1.2,V1.3,V2..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,V9..99,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.1,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1..77,B14_1.1,B14_1.2,B14_2..99,B14_2..77,B14_2.1,B14_2.2,B14_3..99,B14_3..77,B14_3.1,B14_3.2,B14_4..99,B14_4..77,B14_4.1,B14_4.2,B14_5..99,B14_5..77,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m..77,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5..77,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6..77,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1..77,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7..77,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.6,D9.7,D10..99,D10..77,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.13,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.3,E3.4,E4..99,E4..77,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7..77,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
DK,DNK,Denmark,2020-12-21,2020-12-21,1300,6,22760.388281583542,2,12578.24948092459,374,1269,3528941.3847175455,1093,9,12,1279,9,168,1123,10,40,1250,8,118,1174,8,250,1042,9,127,1164,8,95,1197,8,25,1267,10,50,1240,12,15,1273,10,29,1261,8,213,1079,12,25,1263,12,114,1174,1288,0,11,1,1133,4,50,113,1261,2,10,27,1182,6,39,73,1052,8,62,178,1174,4,29,93,1205,4,34,57,1276,2,9,13,1250,3,25,22,1285,1,10,4,1271,3,17,9,1088,7,47,158,1275,3,14,8,1186,7,43,64,27,4,182,1087,1121,0,50,129,33,19,938,310,363,14,410,513,890,0,18,362,30,890,0,9,401,1291,0,9,0,478,13,115,694,1300,0,0,0,0,0,42,2,733,381,101,41,1112,7,49,119,13,1112,10,75,95,8,1112,9,80,89,10,1112,8,105,70,5,1112,11,35,113,29,0,1189,18,49,44,1189,34,8,69,1189,37,3,71,1189,31,20,60,1189,31,14,66,1189,31,9,71,1300,0,0,0,1300,0,0,0,1300,0,0,0,1300,0,0,0,1300,0,0,0,1300,0,0,0,1300,0,0,0,1300,0,0,0,1300,0,0,0,1300,0,0,0,1300,0,0,0,1300,0,0,0,75,7,251,967,75,2,817,406,75,4,46,1175,75,3,634,588,75,4,26,1195,75,8,88,1129,83,1,602,614,698,1,467,102,22,10,89,6,3,46,295,861,89,11,1198,2,105,7,203,985,105,0,199,373,418,163,24,18,105,0,192,332,486,185,106,11,209,611,321,42,109,0,439,742,10,124,8,335,813,20,1049,1,145,105,484,2,807,7,1255,1,39,5,668,4,210,418,1274,1,18,7,1212,2,83,3,134,11,3,5,50,191,906,134,2,4,22,67,237,834,139,10,224,521,330,76,139,3,5,12,120,1021,139,1,30,47,246,837,1225,6,59,10,1225,20,8,47,1225,19,12,44,148,9,391,752,548,2,123,627,1191,1,16,6,8,8,3,3,64,803,1,8,59,26,51,8,15,73,27,0,16,36,32,7,24,114,185,20,436,654,2,3,185,6,69,112,126,226,246,238,92,200,37,490,304,269,200,15,482,280,221,72,30,6.22378277153558,7.537586611788231,2.1575757575757577,1.3295493237510108,8.47546992481203,5.882078091663094,2.172185430463576,1.2007976561592413
DK,DNK,Denmark,2020-12-22,2020-12-22,1410,3,9163.95493549406,2,5801.850241368309,397,1379,3725409.205714475,1175,7,9,1394,8,178,1224,5,42,1363,6,140,1264,7,252,1151,9,147,1254,8,98,1304,10,23,1377,9,62,1339,8,24,1378,7,34,1369,8,242,1160,9,29,1372,9,135,1266,1401,0,6,3,1232,6,48,124,1368,0,11,31,1270,2,44,94,1158,5,63,184,1263,5,37,105,1312,1,36,61,1387,1,10,12,1348,2,22,38,1386,1,16,7,1376,0,16,18,1168,2,59,181,1381,1,14,14,1275,3,53,79,29,2,189,1190,1226,0,47,137,37,26,998,349,413,14,477,506,933,0,18,423,36,933,0,17,460,1393,3,14,0,555,12,121,722,1410,0,0,0,0,0,58,4,826,382,99,41,95,41,308,851,115,95,65,590,592,68,95,71,547,609,88,95,59,672,525,59,95,77,210,807,221,0,1296,12,53,49,1296,26,9,79,1296,29,5,80,1296,24,9,81,1296,25,9,80,1296,26,10,78,1410,0,0,0,1410,0,0,0,1410,0,0,0,1410,0,0,0,1410,0,0,0,1410,0,0,0,1410,0,0,0,1410,0,0,0,1410,0,0,0,1410,0,0,0,1410,0,0,0,1410,0,0,0,109,8,273,1020,109,3,911,387,109,8,55,1238,109,3,700,598,109,4,16,1281,109,2,99,1200,119,3,616,672,794,0,486,97,21,12,124,7,1,34,274,970,124,5,1279,2,133,11,225,1041,133,0,217,420,414,185,28,13,133,1,245,334,522,175,140,11,267,633,297,62,147,1,473,778,11,164,6,345,874,21,1138,1,171,100,502,8,884,16,1355,1,47,7,712,9,244,445,1395,0,9,6,1312,0,91,7,167,12,3,10,59,162,997,167,3,3,20,72,256,889,175,13,210,586,348,78,175,5,3,18,120,1089,175,2,23,63,236,911,1324,3,60,23,1324,20,9,57,1324,20,13,53,183,5,452,770,640,6,159,605,1263,2,23,2,17,15,12,5,71,815,1,7,48,32,63,9,29,76,39,2,17,59,44,12,29,128,213,22,478,694,1,2,213,3,64,119,149,238,276,269,79,223,36,522,317,312,223,17,549,268,217,91,45,6.426850258175559,8.13953115823108,2.2621951219512195,1.3378070366145196,8.331551270815075,5.838376077560171,2.178633975481611,1.224765862902905
DK,DNK,Denmark,2020-12-23,2020-12-23,1121,4,6590.0684503088105,3,5124.18534467105,280,1093,3593297.9605424223,916,5,8,1108,6,153,962,4,40,1077,3,122,996,2,200,919,3,111,1007,3,80,1038,3,14,1104,5,46,1070,5,22,1094,4,33,1084,3,190,928,3,16,1102,3,103,1015,1113,1,5,2,968,2,42,109,1081,1,11,28,999,4,43,75,921,3,47,150,1010,2,30,79,1041,2,31,47,1107,0,7,7,1075,2,25,19,1099,1,11,10,1088,1,14,18,931,1,43,146,1105,2,4,10,1018,4,33,66,27,1,144,949,978,0,34,109,29,20,775,297,347,9,379,386,742,0,11,336,32,742,0,8,371,1113,1,7,0,438,11,75,597,1121,0,0,0,0,0,44,3,680,282,88,24,65,41,302,653,60,65,61,474,483,38,65,73,429,500,54,65,50,525,439,42,65,75,176,639,166,0,1050,11,24,36,1050,12,10,49,1050,13,6,52,1050,12,13,46,1050,14,4,53,1050,13,3,55,1121,0,0,0,1121,0,0,0,1121,0,0,0,1121,0,0,0,1121,0,0,0,1121,0,0,0,1121,0,0,0,1121,0,0,0,1121,0,0,0,1121,0,0,0,1121,0,0,0,1121,0,0,0,81,6,215,819,81,4,753,283,81,9,46,985,81,5,583,452,81,6,12,1022,81,5,70,965,89,1,539,492,582,0,428,92,8,11,95,1,4,29,227,765,95,5,1017,4,109,6,175,831,109,1,152,336,366,130,14,13,109,1,172,259,416,164,111,17,178,542,223,50,117,0,384,611,9,134,9,280,677,21,907,4,129,81,372,6,735,8,1076,1,40,4,540,6,183,392,1109,0,6,6,1051,2,63,5,146,7,1,6,40,141,780,146,4,1,16,52,187,715,150,6,200,437,276,52,150,3,4,13,90,861,150,3,26,54,161,727,1041,6,49,25,1041,13,6,61,1041,10,18,52,157,2,373,589,532,5,102,482,1034,3,19,3,8,3,7,3,41,664,0,7,42,38,42,14,18,52,27,0,11,39,36,11,30,90,190,23,368,539,1,0,190,2,40,96,121,175,208,223,66,198,27,407,230,259,198,12,396,238,188,66,23,6.694564755838641,8.401129570173305,2.014925373134328,1.0898373654407165,8.666666666666666,6.070013379644059,2.1780515117581185,1.2495244878649068
DK,DNK,Denmark,2020-12-24,2020-12-24,868,3,14496.010068423979,3,14496.010068423979,244,843,3505910.6853879415,717,3,10,855,3,111,754,4,32,832,3,70,795,3,174,691,3,67,798,3,60,805,2,13,853,2,28,838,3,16,849,3,25,840,2,134,732,3,10,855,2,82,784,858,1,3,6,757,7,25,79,836,4,11,17,798,5,26,39,694,6,28,140,801,3,14,50,808,2,25,33,855,0,7,6,840,0,13,15,852,4,5,7,843,2,12,11,734,5,32,97,858,1,8,1,786,4,32,46,21,4,122,721,748,0,30,90,24,13,622,209,247,6,304,311,564,0,12,283,9,564,0,8,296,860,1,7,0,348,14,56,450,868,0,0,0,0,0,33,3,530,220,55,27,54,30,238,491,55,54,39,379,359,37,54,52,348,357,57,54,34,427,317,36,54,52,148,473,141,0,814,10,20,24,814,12,7,35,814,18,2,34,814,17,9,28,814,15,7,32,814,16,4,34,868,0,0,0,868,0,0,0,868,0,0,0,868,0,0,0,868,0,0,0,868,0,0,0,868,0,0,0,868,0,0,0,868,0,0,0,868,0,0,0,868,0,0,0,868,0,0,0,65,10,147,646,65,3,580,220,65,9,30,764,65,1,505,297,65,8,12,783,65,6,61,736,73,1,447,347,421,0,314,114,13,6,75,5,0,19,181,588,75,3,789,1,84,9,104,671,84,0,143,234,246,138,15,8,84,1,140,200,328,115,85,11,153,387,198,34,87,1,322,445,13,95,7,232,520,14,723,1,82,62,290,6,562,10,838,0,27,3,366,5,154,343,856,2,6,4,808,2,55,3,102,9,4,4,31,111,607,102,1,3,6,39,158,559,106,9,145,317,242,49,106,0,3,10,59,690,106,1,14,37,143,567,818,3,37,10,818,14,2,34,818,11,5,34,109,4,276,479,389,3,91,385,788,1,17,3,12,3,4,3,37,513,0,4,30,23,30,7,12,49,32,0,5,38,20,4,20,81,138,15,324,388,0,3,138,2,35,65,91,141,158,174,64,148,29,327,193,171,148,20,306,162,129,80,23,7.502915451895044,9.274012153151801,2.198019801980198,1.2963009062729072,8.457184325108853,5.78069246998529,2.355783308931186,1.38728233659262
DK,DNK,Denmark,2020-12-25,2020-12-25,1119,2,4387.602138713411,0,0,379,1092,3467805.5702963653,930,6,8,1105,6,132,981,7,30,1082,7,121,991,4,199,916,7,122,990,7,69,1043,6,19,1094,6,41,1072,6,12,1101,7,30,1082,6,162,951,8,24,1087,7,99,1013,1110,1,4,4,987,6,42,84,1089,2,6,22,998,3,32,86,920,6,39,154,997,4,26,92,1050,4,29,36,1100,2,12,5,1078,2,17,22,1107,2,6,4,1089,0,12,18,957,3,33,126,1095,2,11,11,1020,3,28,68,20,7,167,925,958,1,46,114,28,14,798,279,324,11,384,400,735,0,13,368,3,735,0,11,373,1109,3,7,0,441,6,81,591,1119,0,0,0,0,0,42,3,684,261,88,41,69,42,264,665,79,69,60,452,488,50,69,74,435,473,68,69,63,514,424,49,69,85,179,606,180,0,1042,25,24,28,1042,25,15,37,1042,34,2,41,1042,30,9,38,1042,30,7,40,1042,28,6,43,1119,0,0,0,1119,0,0,0,1119,0,0,0,1119,0,0,0,1119,0,0,0,1119,0,0,0,1119,0,0,0,1119,0,0,0,1119,0,0,0,1119,0,0,0,1119,0,0,0,1119,0,0,0,72,4,115,928,72,3,425,619,72,4,20,1023,72,2,808,237,72,2,16,1029,72,3,44,1000,76,1,741,301,378,0,431,277,27,6,82,6,1,22,249,759,82,5,1031,1,95,9,134,881,95,0,158,273,371,182,23,17,95,1,112,284,461,166,96,9,183,510,278,43,104,0,395,611,9,117,9,274,699,20,1004,4,62,49,694,6,400,19,1099,0,16,4,312,6,196,605,1103,0,10,6,1075,2,40,2,120,3,2,5,48,106,835,120,1,3,15,42,175,763,128,7,174,415,324,71,128,0,3,16,83,889,128,0,17,54,186,734,1048,5,42,24,1048,11,6,54,1048,11,10,50,134,5,380,600,519,3,116,481,1024,1,17,1,14,2,5,2,53,647,2,11,44,24,36,4,30,71,35,0,8,45,35,7,26,94,173,12,347,586,0,1,173,0,45,74,119,215,229,191,73,184,30,379,276,250,184,17,343,211,239,96,29,6.852747252747252,8.993283600830395,2.422818791946309,1.4481171748435653,8.470191226096738,5.961537763734827,2.5365853658536586,1.4742678850233193
DK,DNK,Denmark,2020-12-26,2020-12-26,1276,2,6096.1193653298305,1,2698.50234368718,399,1251,3618604.4187158886,1055,4,4,1268,4,173,1099,5,35,1236,4,136,1136,4,242,1030,3,148,1125,5,92,1179,5,25,1246,5,49,1222,5,19,1252,6,36,1234,5,204,1067,5,28,1243,4,109,1163,1272,0,2,2,1103,8,41,124,1241,1,10,24,1140,6,33,97,1034,6,57,179,1128,4,38,106,1184,7,36,49,1251,1,13,11,1227,1,22,26,1257,1,12,6,1240,2,21,13,1072,2,44,158,1248,2,13,13,1167,5,36,68,23,2,172,1079,1109,0,44,123,38,16,896,326,383,5,439,449,837,0,11,420,8,837,0,8,431,1268,0,8,0,501,15,91,669,1276,0,0,0,0,0,51,1,767,320,102,35,75,40,302,767,92,75,57,518,578,48,75,67,491,583,60,75,46,614,502,39,75,69,181,756,195,0,1188,20,31,37,1188,30,6,52,1188,31,5,52,1188,26,26,36,1188,29,11,48,1188,30,6,52,1276,0,0,0,1276,0,0,0,1276,0,0,0,1276,0,0,0,1276,0,0,0,1276,0,0,0,1276,0,0,0,1276,0,0,0,1276,0,0,0,1276,0,0,0,1276,0,0,0,1276,0,0,0,87,7,116,1066,87,4,439,746,87,7,28,1154,87,2,824,363,87,3,17,1169,87,4,64,1121,94,2,720,460,556,1,444,241,26,8,102,8,4,29,294,839,102,8,1164,2,114,5,170,987,114,2,172,318,443,187,21,19,114,1,94,282,643,142,115,12,192,592,317,48,118,1,457,695,5,131,4,300,820,21,1160,4,73,39,837,6,419,14,1248,2,22,4,452,9,174,641,1259,2,7,8,1212,2,57,5,131,6,4,8,47,140,940,131,1,1,11,63,208,861,139,6,196,493,371,71,139,0,2,9,108,1018,139,0,23,51,217,846,1202,1,52,21,1202,15,3,56,1202,12,10,52,144,10,393,729,547,8,157,564,1147,5,25,2,13,7,7,4,66,757,3,10,53,28,54,12,26,78,34,0,10,51,35,11,15,99,201,18,406,647,2,2,201,3,53,104,121,224,267,229,74,211,34,422,295,314,211,13,389,279,233,99,52,7.354596622889305,8.92112273758248,2.523489932885906,1.4265053339554583,8.76922320550639,6.0218309114352975,2.4899315738025414,1.4012457049518314
DK,DNK,Denmark,2020-12-27,2020-12-27,1374,5,15376.3494567835,2,8730.25440442143,375,1341,3780245.9330820255,1136,8,10,1356,7,190,1177,7,37,1330,7,143,1224,7,286,1081,4,123,1247,7,80,1287,8,21,1345,7,52,1315,8,23,1343,7,46,1321,5,194,1175,8,39,1327,8,128,1238,1364,0,7,3,1184,4,57,129,1337,1,10,26,1231,1,51,91,1088,2,74,210,1251,1,35,87,1294,3,30,47,1353,2,13,6,1322,1,18,33,1351,2,13,8,1328,1,26,19,1180,1,52,141,1335,1,16,22,1246,2,43,83,28,5,186,1155,1193,1,48,132,41,17,991,325,385,16,493,480,881,0,21,463,9,881,0,15,478,1359,3,11,1,571,13,97,693,1374,0,0,0,0,0,53,0,908,279,85,49,81,62,325,826,80,81,64,574,611,44,81,73,540,606,74,81,48,685,513,47,81,88,224,785,196,0,1277,18,32,47,1277,31,9,57,1277,34,2,61,1277,27,20,50,1277,29,10,58,1277,33,9,55,1374,0,0,0,1374,0,0,0,1374,0,0,0,1374,0,0,0,1374,0,0,0,1374,0,0,0,1374,0,0,0,1374,0,0,0,1374,0,0,0,1374,0,0,0,1374,0,0,0,1374,0,0,0,96,6,103,1169,96,2,560,716,96,5,27,1246,96,2,806,470,96,5,20,1253,96,5,68,1205,105,2,713,554,661,0,491,186,32,4,108,3,4,34,378,847,108,7,1257,2,125,8,122,1119,125,0,187,337,461,219,22,23,125,1,117,303,682,146,128,4,178,670,347,47,134,0,486,744,10,148,10,332,865,19,1272,2,64,36,816,5,535,18,1347,1,20,6,571,11,162,630,1355,1,6,12,1306,1,61,6,155,8,2,7,45,154,1003,155,1,1,16,68,207,926,160,11,191,521,418,73,160,3,6,12,120,1073,160,0,20,68,228,898,1288,8,45,33,1288,22,6,58,1288,20,12,54,169,4,409,792,582,4,183,605,1222,3,30,5,13,6,5,0,90,815,1,7,60,37,49,14,27,79,39,1,9,45,47,12,28,104,217,16,469,670,0,2,217,2,62,112,133,251,259,234,104,230,33,482,299,330,230,19,478,275,246,101,25,7.215970961887478,8.46890563452138,2.1490683229813663,1.3472712241983036,8.411517367458867,5.836674196280925,2.339366515837104,1.2937060419477056
DK,DNK,Denmark,2020-12-28,2020-12-27,100,0,0,0,0,22,91,243980.74297124063,70,0,0,100,0,21,79,0,4,96,0,8,92,0,21,79,0,6,94,0,10,90,0,1,99,0,4,96,0,1,99,0,3,97,0,14,86,0,2,98,0,16,84,100,0,0,0,79,0,6,15,96,1,2,1,92,0,5,3,79,0,7,14,94,0,2,4,90,1,4,5,99,1,0,0,96,1,1,2,99,0,1,0,97,0,2,1,86,0,5,9,98,0,0,2,84,1,5,10,9,0,16,75,84,0,6,10,10,0,69,21,31,1,26,42,74,0,0,25,1,74,0,1,25,99,0,1,0,37,0,5,58,100,0,0,0,0,0,12,0,62,18,4,4,15,3,21,50,11,15,1,41,37,6,15,3,32,44,6,15,0,44,35,6,15,4,15,53,13,0,96,1,3,0,96,3,0,1,96,3,0,1,96,3,0,1,96,2,0,2,96,3,0,1,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,16,1,9,74,16,0,36,48,16,0,3,81,16,0,42,42,16,0,0,84,16,0,2,82,17,0,37,46,63,0,34,3,0,0,17,0,0,4,30,49,17,0,83,0,18,0,6,76,18,0,15,17,30,15,2,3,18,0,9,25,39,9,18,0,13,48,20,1,19,0,28,51,2,20,2,23,54,1,91,0,4,5,64,0,36,0,97,0,3,0,59,0,8,33,100,0,0,0,98,0,2,0,21,2,0,0,2,11,64,21,1,0,1,6,10,61,21,0,11,41,22,5,21,0,0,0,6,73,21,0,3,4,18,54,93,0,5,2,93,1,0,6,93,0,3,4,23,1,31,45,55,0,12,33,92,0,1,0,1,0,0,0,6,61,0,0,3,1,1,1,3,4,5,0,0,5,4,0,2,10,28,1,25,46,0,0,28,0,1,3,7,17,27,11,6,29,2,31,15,23,29,0,33,13,16,5,4,7.567567567567568,6.743476438342057,1.4615384615384615,0.6602252917735247,8.927536231884059,6.244571384951587,2.2714285714285714,1.3288485652311064
DK,DNK,Denmark,2020-12-30,2020-12-30,1471,5,12945.87906759185,2,6379.99853913689,398,1435,4053783.840478584,1225,1,10,1460,2,185,1284,1,41,1429,3,148,1320,1,302,1168,2,139,1330,1,95,1375,2,29,1440,1,52,1418,2,23,1446,2,47,1422,1,255,1215,3,26,1442,3,152,1316,1461,3,5,2,1286,3,53,129,1430,2,10,29,1323,5,51,92,1169,4,72,226,1332,3,36,100,1376,4,33,58,1442,0,6,23,1419,3,25,24,1448,2,17,4,1424,3,25,19,1216,4,56,195,1445,1,14,11,1319,3,61,88,33,3,188,1247,1284,0,55,132,40,15,1070,346,401,12,538,520,933,0,17,511,10,933,0,12,526,1459,0,12,0,605,18,107,741,1471,0,0,0,0,0,48,1,986,320,78,38,75,68,393,853,82,75,98,607,642,49,75,114,589,619,74,75,77,734,533,52,75,109,250,820,217,0,1366,23,29,53,1366,33,10,62,1366,35,3,67,1366,32,23,50,1366,31,19,55,1366,33,10,62,1471,0,0,0,1471,0,0,0,1471,0,0,0,1471,0,0,0,1471,0,0,0,1471,0,0,0,1471,0,0,0,1471,0,0,0,1471,0,0,0,1471,0,0,0,1471,0,0,0,1471,0,0,0,88,11,186,1186,88,8,956,419,88,14,34,1335,88,9,677,697,88,14,17,1352,88,12,92,1279,97,2,635,737,836,0,508,101,20,6,100,7,5,43,367,949,100,3,1365,3,112,8,162,1189,112,1,232,363,474,230,38,21,112,0,196,337,669,157,116,6,244,733,323,49,119,3,524,817,8,139,8,377,922,25,1287,3,131,50,520,3,930,18,1437,0,29,5,797,4,194,476,1454,0,10,7,1380,2,85,4,144,12,1,5,54,157,1098,144,7,3,18,62,248,989,158,15,253,577,383,85,158,5,2,17,121,1168,158,0,17,72,255,969,1383,5,59,24,1383,19,6,63,1383,20,11,57,168,2,396,905,566,8,203,694,1308,5,33,5,15,4,3,2,96,914,1,7,50,22,59,10,36,76,29,0,8,63,43,11,33,109,226,18,482,742,2,1,226,2,60,111,145,241,325,259,102,235,39,550,333,314,235,18,518,301,263,98,38,6.866013071895424,9.071367616221607,2.245508982035928,1.332933470570467,8.705060034305317,5.927782854255733,2.1786621507197292,1.23002765788049
DK,DNK,Denmark,2020-12-31,2020-12-31,1138,4,10201.48028964992,0,0,290,1122,4074080.983847069,944,8,10,1120,5,148,985,2,29,1107,6,105,1027,3,228,907,4,114,1020,7,68,1063,7,15,1116,6,36,1096,6,23,1109,5,44,1089,6,178,954,5,22,1111,5,119,1014,1128,0,6,4,990,5,43,100,1109,1,9,19,1033,3,34,68,910,5,56,167,1024,4,28,82,1070,3,20,45,1123,1,8,6,1102,0,16,20,1115,1,15,7,1094,0,22,22,960,2,50,126,1116,1,7,14,1019,3,45,71,16,0,144,978,997,0,38,103,24,11,863,240,277,11,412,438,726,0,15,389,8,726,0,7,405,1131,0,7,0,461,12,72,593,1138,0,0,0,0,0,34,1,788,223,63,29,56,51,288,675,68,56,73,467,504,38,56,81,426,520,55,56,64,539,442,37,56,88,212,635,147,0,1069,9,25,35,1069,17,7,45,1069,19,0,50,1069,13,11,45,1069,19,8,42,1069,18,9,42,1131,0,0,7,1131,0,0,7,1131,0,0,7,1131,0,0,7,1131,0,1,6,1131,0,0,7,1131,0,1,6,1137,0,0,1,1137,0,0,1,1137,0,0,1,1137,0,0,1,1137,0,0,1,76,8,168,886,76,3,774,285,76,7,33,1022,76,4,532,526,76,5,16,1041,76,5,62,995,81,2,490,565,648,1,396,67,17,9,84,6,2,34,301,711,84,3,1049,2,94,11,119,914,94,1,170,298,363,164,29,19,94,1,181,265,474,123,95,11,166,565,253,48,99,0,435,597,7,114,11,293,707,13,970,3,104,61,365,4,761,8,1105,1,25,7,608,5,159,366,1122,0,4,12,1076,1,57,4,118,11,2,11,49,113,834,118,3,0,17,62,169,769,124,8,144,483,308,71,124,4,1,12,75,922,124,3,21,55,159,776,1062,8,50,18,1062,17,5,54,1062,16,10,50,128,0,295,715,423,2,164,549,1012,2,17,5,5,5,7,1,84,719,1,4,39,22,34,7,18,69,34,0,7,37,38,9,23,77,185,17,402,533,0,1,185,0,38,74,112,197,223,221,88,192,28,423,230,265,192,10,426,220,191,66,33,6.897750511247444,8.353472764336582,2.183333333333333,1.414114524342064,8.501328903654485,5.729880292426568,2.1323851203501096,1.1696141041919272
