ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,weight,Finished,B1_1..77,B1_1.1,B1_1.2,B1_2..77,B1_2.1,B1_2.2,B1_3..77,B1_3.1,B1_3.2,B1_4..77,B1_4.1,B1_4.2,B1_5..77,B1_5.1,B1_5.2,B1_6..77,B1_6.1,B1_6.2,B1_7..77,B1_7.1,B1_7.2,B1_8..77,B1_8.1,B1_8.2,B1_9..77,B1_9.1,B1_9.2,B1_10..77,B1_10.1,B1_10.2,B1_11..77,B1_11.1,B1_11.2,B1_12..77,B1_12.1,B1_12.2,B1_13..77,B1_13.1,B1_13.2,B1_14..77,B1_14.1,B1_14.2,B1b_x1..99,B1b_x1..77,B1b_x1.1,B1b_x1.2,B1b_x2..99,B1b_x2..77,B1b_x2.1,B1b_x2.2,B1b_x3..99,B1b_x3..77,B1b_x3.2,B1b_x4..99,B1b_x4..77,B1b_x4.1,B1b_x4.2,B1b_x5..99,B1b_x5..77,B1b_x5.1,B1b_x5.2,B1b_x6..99,B1b_x6..77,B1b_x6.1,B1b_x6.2,B1b_x7..99,B1b_x7..77,B1b_x7.1,B1b_x7.2,B1b_x8..99,B1b_x8..77,B1b_x8.1,B1b_x8.2,B1b_x9..99,B1b_x9.1,B1b_x9.2,B1b_x10..99,B1b_x10..77,B1b_x10.1,B1b_x10.2,B1b_x11..99,B1b_x11..77,B1b_x11.1,B1b_x11.2,B1b_x12..99,B1b_x12..77,B1b_x12.1,B1b_x12.2,B1b_x13..99,B1b_x13.1,B1b_x13.2,B1b_x14..99,B1b_x14..77,B1b_x14.1,B1b_x14.2,B3..99,B3..77,B3.1,B3.2,B5..99,B5.1,B5.2,B6..99,B6..77,B6.1,B6.2,B7..99,B7..77,B7.1,B7.2,B8..99,B8.1,B8.2,B8.3,B9..99,B9..77,B9.1,B9.2,B9.3,B10..99,B10.1,B10.2,B11..99,B11..77,B11.1,B11.2,V1..99,V3..99,V3..77,V3.1,V3.2,V3.3,V3.4,V4_1..99,V4_1..77,V4_1.1,V4_1.2,V4_1.3,V4_2..99,V4_2..77,V4_2.1,V4_2.2,V4_2.3,V4_3..99,V4_3..77,V4_3.1,V4_3.2,V4_3.3,V4_4..99,V4_4..77,V4_4.1,V4_4.2,V4_4.3,V4_5..99,V4_5..77,V4_5.1,V4_5.2,V4_5.3,B12_1..99,B12_1..77,B12_1.1,B12_1.2,B12_2..99,B12_2..77,B12_2.1,B12_2.2,B12_3..99,B12_3..77,B12_3.1,B12_3.2,B12_4..99,B12_4..77,B12_4.1,B12_4.2,B12_5..99,B12_5..77,B12_5.1,B12_5.2,B12_6..99,B12_6..77,B12_6.1,B12_6.2,B13_1..99,B13_1..77,B13_1.1,B13_1.2,B13_2..99,B13_2..77,B13_2.2,B13_3..99,B13_3..77,B13_3.1,B13_3.2,B13_4..99,B13_4..77,B13_4.1,B13_4.2,B13_5..99,B13_5..77,B13_5.1,B13_5.2,B13_6..99,B13_6..77,B13_6.1,B13_6.2,B13_7..99,B13_7..77,B13_7.1,B13_7.2,B14_1..99,B14_1.1,B14_1.2,B14_2..99,B14_2.1,B14_2.2,B14_3..99,B14_3.1,B14_3.2,B14_4..99,B14_4.1,B14_4.2,B14_5..99,B14_5.1,B14_5.2,C0_1..99,C0_1..77,C0_1.1,C0_1.2,C0_2..99,C0_2..77,C0_2.1,C0_2.2,C0_3..99,C0_3..77,C0_3.1,C0_3.2,C0_4..99,C0_4..77,C0_4.1,C0_4.2,C0_5..99,C0_5..77,C0_5.1,C0_5.2,C0_6..99,C0_6..77,C0_6.1,C0_6.2,C1_m..99,C1_m.1,C1_m.2,C2..99,C2..77,C2.1,C2.2,C2.3,C2.4,C7..99,C7..77,C7.1,C7.2,C7.3,C7.4,C8..99,C8..77,C8.1,C8.2,C3..99,C3..77,C3.1,C3.2,C5..99,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C6..99,C6.1,C6.2,C6.3,C6.4,C14..99,C14..77,C14.1,C14.2,C14.3,C14.4,C9..99,C9..77,C9.1,C9.2,C9.3,C12..99,C12..77,C12.1,C12.2,C12.3,C13_1..99,C13_1..77,C13_1.1,C13_1.2,C13_2..99,C13_2..77,C13_2.1,C13_2.2,C13_3..99,C13_3..77,C13_3.1,C13_3.2,C13_4..99,C13_4..77,C13_4.1,C13_4.2,C13_5..99,C13_5..77,C13_5.1,C13_5.2,C13_6..99,C13_6..77,C13_6.1,C13_6.2,D1..99,D1.1,D1.2,D1.3,D1.4,D1.5,D2..99,D2..77,D2.1,D2.2,D2.3,D2.4,D2.5,D3..99,D3..77,D3.1,D3.2,D3.3,D3.4,D4..99,D4..77,D4.1,D4.2,D4.3,D4.4,D5..99,D5..77,D5.1,D5.2,D5.3,D5.4,D6_1..99,D6_1..77,D6_1.1,D6_1.2,D6_2..99,D6_2..77,D6_2.1,D6_2.2,D6_3..99,D6_3..77,D6_3.1,D6_3.2,D7..99,D7.1,D7.2,D8..99,D8..77,D8.1,D8.2,D9..99,D9..77,D9.1,D9.2,D9.3,D9.4,D9.5,D9.7,D10..99,D10.1,D10.2,D10.3,D10.4,D10.5,D10.6,D10.7,D10.8,D10.9,D10.10,D10.11,D10.12,D10.14,D10.15,E3..99,E3..77,E3.1,E3.2,E3.4,E4..99,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E2..99,E2..77,E2.1,E2.2,E2.3,E7..99,E7.1,E7.2,E7.3,E7.4,E7.5,B2.mean,B2.sd,B4.mean,B4.sd,E6.mean,E6.sd,E5.mean,E5.sd
BJ,BEN,Benin,2020-12-25,2020-12-21,100,2,89387.4913173165,2,89387.4913173165,6,83,7148670.685786192,42,2,4,94,0,9,91,3,1,96,2,31,67,3,12,85,3,13,84,2,2,96,1,8,91,2,4,94,2,4,94,2,7,91,2,10,88,3,3,94,3,14,83,96,0,0,4,91,0,4,5,99,0,1,69,1,6,24,88,1,3,8,87,1,3,9,98,0,1,1,92,0,4,4,96,3,1,96,0,3,1,93,0,5,2,90,0,4,6,97,1,2,86,0,4,10,16,1,5,78,95,3,2,16,1,31,52,69,0,12,19,88,0,10,2,88,1,3,7,1,97,2,1,30,2,18,50,100,20,0,29,18,14,19,32,4,31,17,16,32,6,31,13,18,32,5,29,16,18,32,6,33,14,15,32,7,18,10,33,83,10,2,5,83,6,7,4,83,6,8,3,83,10,3,4,83,11,2,4,83,11,2,4,100,0,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,29,4,45,22,29,4,30,37,29,5,23,43,29,4,32,35,29,3,16,52,29,3,15,53,31,25,44,75,1,12,7,1,4,31,1,4,18,18,28,31,0,57,12,34,0,7,59,34,32,20,6,4,3,1,34,26,14,13,13,35,0,25,21,15,4,36,0,2,60,2,44,1,2,49,4,56,4,36,4,70,3,24,3,78,2,15,5,68,3,16,13,84,1,13,2,85,2,11,2,46,0,2,7,19,26,46,1,1,2,7,15,28,47,1,23,9,11,9,47,1,15,4,19,14,47,2,23,10,12,6,67,4,23,6,67,12,8,13,67,9,14,10,50,31,19,81,0,9,10,91,1,2,0,1,2,1,2,60,2,9,2,1,1,1,1,2,0,1,4,3,4,9,57,0,42,1,0,57,9,16,12,4,1,1,0,58,1,24,10,7,58,10,13,8,2,9,4.527777777777778,3.541477585989144,1.3333333333333333,0.5773502691896257,7.305555555555555,6.168210874866828,4.125,2.523606495393001
BJ,BEN,Benin,2020-12-26,2020-12-22,100,1,42372.8718249293,1,42372.8718249293,6,81,7689550.908306705,38,2,3,95,0,9,91,3,0,97,2,30,68,3,15,82,3,16,81,2,2,96,1,5,94,2,3,95,2,6,92,2,5,93,2,14,84,4,2,94,3,9,88,97,0,0,3,91,0,5,4,100,0,0,70,2,5,23,85,1,5,9,84,1,5,10,98,0,1,1,95,0,2,3,97,3,0,94,0,4,2,95,1,3,1,86,1,3,10,98,0,2,91,0,1,8,18,1,6,75,95,3,2,20,1,28,51,72,0,9,19,91,0,7,2,91,1,3,4,1,97,2,1,31,1,18,50,100,24,0,24,17,15,20,30,6,29,19,16,30,5,32,14,19,30,6,25,19,20,30,7,30,17,16,30,8,15,12,35,83,11,2,4,83,8,6,3,83,4,11,2,83,12,1,4,83,9,5,3,83,11,2,4,100,0,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,33,4,39,24,33,3,27,37,33,3,26,38,33,4,31,32,33,3,16,48,33,3,8,56,34,24,42,76,1,13,7,1,2,34,0,4,15,20,27,34,1,54,11,38,0,7,55,38,27,20,6,3,3,3,38,25,15,11,11,39,0,24,18,17,2,41,0,0,57,2,47,0,0,49,4,62,2,31,5,73,1,23,3,75,2,17,6,69,2,14,15,84,0,13,3,92,1,5,2,48,0,2,6,16,28,48,0,0,1,8,13,30,49,1,21,11,12,6,49,0,13,6,20,12,49,1,21,14,11,4,65,4,24,7,65,11,8,16,65,9,12,14,52,31,17,83,0,8,9,92,1,2,0,1,3,0,1,61,3,12,1,3,0,1,1,2,0,0,5,2,3,6,61,0,34,4,1,61,10,15,10,2,1,1,0,62,0,26,9,3,62,7,14,7,2,8,4.54054054054054,4.272616909489459,1,0,8.181818181818182,6.649504424459699,4.45945945945946,2.703851107367196
BJ,BEN,Benin,2020-12-27,2020-12-23,100,0,0,0,0,4,78,7494457.612353052,38,2,2,96,0,11,89,3,1,96,3,28,69,3,18,79,3,14,83,3,3,94,2,3,95,3,3,94,3,5,92,3,4,93,2,16,82,4,3,93,3,12,85,98,0,0,2,89,0,6,5,99,0,1,72,1,9,18,82,0,7,11,86,0,4,10,97,0,2,1,97,0,0,3,97,3,0,95,0,2,3,96,1,2,1,84,1,4,11,97,1,2,88,0,4,8,20,2,4,74,97,2,1,22,1,22,55,79,0,9,12,91,0,8,1,91,0,2,6,1,98,0,2,34,2,18,46,100,26,0,28,15,15,16,31,5,28,18,18,31,4,29,18,18,31,7,26,17,19,31,6,32,19,12,31,8,13,14,34,83,10,3,4,83,7,6,4,83,3,10,4,83,11,2,4,83,8,4,5,83,10,2,5,100,0,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,33,2,39,26,33,2,33,32,33,2,33,32,33,3,38,26,33,2,22,43,33,3,11,53,36,27,37,73,0,12,7,3,5,36,0,3,8,21,32,36,1,54,9,38,0,10,52,38,33,20,2,1,3,3,38,22,16,14,10,39,0,23,15,21,2,41,0,0,58,1,46,0,1,49,4,63,2,29,6,67,1,27,5,68,2,23,7,63,3,19,15,79,0,16,5,89,1,8,2,47,0,1,9,14,29,47,0,0,1,7,14,31,47,1,23,10,11,8,47,1,14,9,18,11,47,0,24,14,7,8,63,3,25,9,63,12,9,16,63,10,15,12,52,32,16,84,0,7,9,93,1,2,0,1,1,0,2,61,2,11,2,6,1,1,1,1,0,1,5,1,3,4,62,0,32,5,1,62,7,14,10,3,1,2,1,62,0,25,11,2,62,8,11,9,4,6,5.475,5.124038371320928,1,0,9.911764705882353,7.370570666031159,4.54054054054054,2.6935581031890243
BJ,BEN,Benin,2020-12-30,2020-12-24,100,2,264210.611261142,1,132105.305630571,2,79,8061663.815188072,37,2,3,95,1,15,84,2,1,97,1,31,68,2,18,80,2,13,85,2,5,93,2,4,94,2,3,95,2,6,92,1,5,94,2,16,82,3,5,92,2,11,87,97,0,1,2,85,2,7,6,99,0,1,69,1,13,17,82,0,5,13,87,0,5,8,95,1,3,1,96,0,1,3,97,3,0,94,0,2,4,95,2,2,1,84,1,7,8,95,2,3,89,0,5,6,19,2,2,77,99,1,0,21,1,22,56,79,0,10,11,90,0,10,0,90,0,3,7,0,97,0,3,33,2,20,45,100,24,1,28,16,16,15,31,4,25,20,20,31,5,27,20,17,31,6,30,17,16,31,5,30,20,14,31,7,11,16,35,81,12,3,4,81,9,7,3,81,3,14,2,81,13,1,5,81,10,5,4,81,12,1,6,100,0,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,32,2,44,22,32,1,40,27,32,1,34,33,32,2,44,22,32,3,28,37,32,3,17,48,35,31,34,69,0,13,10,4,4,35,0,4,8,21,32,35,1,58,6,37,0,9,54,37,31,21,4,1,4,2,37,24,16,13,10,39,0,19,16,23,3,42,1,1,55,1,48,0,2,47,3,58,2,34,6,61,1,30,8,67,2,25,6,58,3,21,18,74,0,21,5,84,1,14,1,48,0,1,7,13,31,48,0,0,2,5,12,33,48,0,18,10,14,10,48,1,12,10,16,13,48,0,20,14,8,10,67,2,24,7,67,10,8,15,67,9,12,12,52,30,18,82,0,9,9,91,1,3,0,1,1,0,3,61,1,9,2,7,1,1,0,1,1,1,5,2,2,6,62,0,32,5,1,62,6,14,9,5,0,3,1,63,0,24,12,1,63,7,11,10,3,6,5.238095238095238,5.102890256150747,1,0,11.1875,7.018121704420957,4.305555555555555,2.627540342976346
BJ,BEN,Benin,2020-12-31,2020-12-25,100,2,264210.611261142,1,132105.305630571,4,80,8244883.793860048,35,2,5,93,2,14,84,3,1,96,2,34,64,2,20,78,3,12,85,3,6,91,2,3,95,3,2,95,3,6,91,2,4,94,3,20,77,4,5,91,3,13,84,95,1,2,2,86,2,6,6,99,0,1,66,1,13,20,80,1,6,13,88,0,4,8,94,1,4,1,97,0,2,1,98,2,0,94,0,2,4,96,2,2,0,80,1,9,10,95,2,3,87,0,7,6,18,2,3,77,98,1,1,21,2,23,54,78,1,8,13,92,0,8,0,92,0,2,6,0,98,0,2,33,2,19,46,100,23,1,30,15,17,14,30,5,24,18,23,30,7,24,20,19,30,8,33,14,15,30,7,25,21,17,30,9,12,14,35,81,12,1,6,81,10,7,2,81,1,16,2,81,11,3,5,81,10,5,4,81,11,1,7,100,0,0,0,100,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,32,3,42,23,32,2,41,25,32,1,34,33,32,2,44,22,32,4,28,36,32,4,19,45,35,32,33,68,0,15,9,4,4,35,0,4,13,18,30,35,2,57,6,38,0,11,51,38,32,21,5,0,2,2,38,27,14,13,8,40,0,17,19,22,2,42,1,2,55,0,45,0,4,48,3,60,0,35,5,60,0,33,7,67,1,28,4,58,2,25,15,74,0,22,4,82,0,17,1,45,0,1,9,14,31,45,0,0,3,8,10,34,47,0,23,9,11,10,47,1,13,12,14,13,47,0,22,15,7,9,64,4,28,4,64,14,7,15,64,11,14,11,51,35,14,86,0,6,8,94,0,2,1,0,1,0,2,59,2,7,1,9,1,1,2,0,1,2,4,4,1,6,62,0,32,5,1,62,5,17,5,6,2,2,1,65,0,23,11,1,65,7,11,9,3,5,4.5476190476190474,5.071211819156274,1.5,0.7071067811865476,11.766666666666667,6.911675944936663,4.114285714285714,2.676382859398863
BJ,BEN,Benin,2021-01-01,2020-12-26,100,2,264210.611261142,1,132105.305630571,6,85,8431791.080348963,34,5,5,90,5,15,80,7,1,92,4,31,65,3,23,74,4,13,83,5,8,87,5,3,92,6,2,92,7,5,88,5,5,90,5,17,78,8,4,88,6,12,82,95,1,3,1,85,2,5,8,99,0,1,69,0,15,16,77,1,7,15,87,0,6,7,92,1,4,3,97,0,2,1,98,2,0,95,0,2,3,95,1,2,2,83,0,10,7,96,2,2,88,0,8,4,13,2,5,80,96,3,1,16,2,24,58,77,1,8,14,92,0,8,0,92,0,2,6,0,98,0,2,29,2,16,53,100,19,1,31,14,22,13,26,6,28,15,25,26,9,26,19,20,26,8,37,14,15,26,9,26,20,19,26,11,14,13,36,84,9,1,6,84,7,7,2,84,2,12,2,84,8,3,5,84,9,3,4,84,8,1,7,89,4,0,7,89,3,8,89,3,1,7,89,4,1,6,89,4,2,5,89,4,4,3,89,4,0,7,96,0,4,96,3,1,96,1,3,96,1,3,96,0,4,29,4,44,23,29,2,44,25,29,2,35,34,29,3,46,22,29,5,28,38,29,5,18,48,32,37,31,63,0,19,10,4,4,32,0,3,17,19,29,32,1,60,7,34,0,10,56,34,34,21,8,0,2,1,34,28,16,14,8,36,1,13,24,24,2,39,1,3,57,0,43,1,5,48,3,58,0,37,5,57,1,34,8,66,1,29,4,56,2,26,16,74,0,21,5,83,0,16,1,43,1,1,9,14,32,43,0,0,3,8,13,33,45,0,24,9,11,11,45,1,11,13,15,15,45,0,21,13,12,9,68,4,24,4,68,14,5,13,68,11,12,9,51,33,16,84,0,5,11,95,0,1,1,0,1,0,2,62,1,5,2,8,1,1,3,0,1,2,3,4,0,7,63,0,33,4,0,63,6,14,5,6,3,2,1,66,0,23,10,1,66,7,10,10,3,4,5.441860465116279,5.6158887079487645,1.3333333333333333,0.5773502691896257,11.35483870967742,7.054777988931918,4,2.6400183654090306
BJ,BEN,Benin,2021-01-02,2020-12-26,100,2,264210.611261142,1,132105.305630571,5,85,8369040.507972822,35,5,5,90,5,17,78,8,1,91,4,30,66,3,22,75,4,13,83,5,8,87,5,3,92,6,2,92,7,5,88,5,5,90,5,16,79,7,4,89,6,13,81,95,1,3,1,83,2,6,9,99,0,1,70,0,15,15,78,1,6,15,87,0,6,7,92,1,4,3,97,0,2,1,98,2,0,95,0,2,3,95,1,2,2,84,0,10,6,96,2,2,87,0,9,4,13,2,4,81,96,3,1,14,2,24,60,77,2,8,13,92,0,8,0,92,0,2,6,0,98,0,2,28,2,17,53,100,17,1,31,14,22,15,24,6,29,15,26,24,9,27,19,21,24,7,39,15,15,24,8,28,21,19,24,10,16,13,37,83,9,1,7,83,7,8,2,83,2,13,2,83,8,4,5,83,9,3,5,83,8,1,8,87,4,1,8,87,3,10,87,3,2,8,87,4,1,8,87,4,3,6,87,4,4,5,87,4,1,8,95,1,4,95,3,2,95,2,3,95,1,4,95,1,4,28,4,45,23,28,2,45,25,28,2,36,34,28,3,46,23,28,5,27,40,28,5,18,49,31,39,30,61,0,19,10,4,6,31,0,3,17,19,30,31,1,61,7,33,1,10,56,33,34,22,8,0,2,1,33,28,15,15,9,35,1,14,24,24,2,37,1,3,59,0,41,1,5,50,3,57,0,38,5,56,1,35,8,65,1,30,4,56,2,26,16,75,0,20,5,83,0,16,1,42,1,1,9,14,33,42,0,0,3,8,13,34,44,0,24,9,11,12,44,1,11,13,15,16,44,0,21,13,12,10,68,4,24,4,68,14,5,13,68,11,12,9,50,34,16,84,0,5,11,95,0,1,1,0,1,0,2,61,1,5,2,8,1,1,3,0,1,2,4,4,0,7,62,0,34,4,0,62,6,14,5,7,3,2,1,65,0,24,10,1,65,7,11,10,3,4,5.906976744186046,5.979385035620987,1.3333333333333333,0.5773502691896257,11.09375,7.095475046043941,4.085714285714285,2.649877117810522
BJ,BEN,Benin,2021-01-03,2020-12-27,100,3,374406.49346819404,2,242301.187837623,9,86,8683687.10125714,32,5,7,88,5,19,76,8,0,92,4,28,68,3,17,80,4,12,84,5,9,86,5,2,93,6,2,92,7,3,90,5,4,91,5,18,77,7,2,91,6,14,80,93,1,5,1,81,2,7,10,100,0,0,72,0,12,16,83,1,5,11,88,0,7,5,91,1,4,4,98,0,2,0,98,2,0,97,0,1,2,96,1,1,2,82,0,12,6,98,1,1,86,0,9,5,13,1,6,80,94,5,1,14,2,20,64,80,3,6,11,94,0,6,0,94,0,1,5,0,99,0,1,26,1,18,55,100,19,1,26,17,21,16,26,5,31,14,24,26,10,25,22,17,26,7,38,18,11,26,10,25,24,15,26,11,18,15,30,82,10,1,7,82,7,8,3,82,3,13,2,82,9,4,5,82,10,2,6,82,9,2,7,87,4,1,8,87,3,10,87,3,2,8,87,4,1,8,87,4,3,6,87,4,4,5,87,4,1,8,95,1,4,95,3,2,95,2,3,95,1,4,95,1,4,30,4,44,22,30,2,46,22,30,2,36,32,30,3,44,23,30,5,27,38,30,4,21,45,32,39,29,61,0,20,12,3,4,32,0,6,20,17,25,32,1,59,8,34,1,10,55,34,32,21,10,0,3,0,34,30,13,14,9,36,1,15,25,20,3,39,1,3,57,0,43,3,4,48,2,57,0,38,5,55,1,36,8,65,1,31,3,57,2,26,15,74,0,22,4,80,0,18,2,46,2,3,6,14,29,46,0,1,3,9,10,31,48,1,22,6,12,11,48,1,10,15,10,16,48,1,20,12,10,9,71,3,23,3,71,13,6,10,71,11,11,7,54,27,19,81,1,5,13,95,0,1,2,0,0,0,2,68,1,3,1,5,1,2,4,0,1,1,2,4,1,6,65,1,30,4,0,65,9,12,3,5,3,2,1,68,1,21,9,1,68,8,10,9,3,2,4.390243902439025,5.132631141921694,1.6,0.5477225575051661,9.827586206896552,6.703245298879179,3.7000000000000006,2.4374944739106237
BJ,BEN,Benin,2021-01-04,2020-12-27,100,3,374406.49346819404,2,242301.187837623,11,88,8765119.690663718,32,4,7,89,5,17,78,7,0,93,3,28,69,2,17,81,3,12,85,4,9,87,4,2,94,5,2,93,6,3,91,4,4,92,4,17,79,6,2,92,5,14,81,93,1,5,1,83,2,6,9,100,0,0,72,0,12,16,83,1,5,11,88,0,7,5,91,1,4,4,98,0,2,0,98,2,0,97,0,1,2,96,1,1,2,83,0,12,5,98,1,1,86,0,9,5,11,1,7,81,93,6,1,12,2,20,66,80,3,6,11,94,0,6,0,94,0,1,5,0,99,0,1,24,1,16,59,100,17,1,24,17,23,18,25,6,31,15,23,25,11,25,21,18,25,8,37,18,12,25,11,24,24,16,25,12,18,14,31,84,9,0,7,84,7,7,2,84,3,12,1,84,8,4,4,84,9,2,5,84,8,2,6,87,4,1,8,87,3,10,87,3,2,8,87,4,1,8,87,4,3,6,87,4,4,5,87,4,1,8,95,1,4,95,3,2,95,2,3,95,1,4,95,1,4,29,4,43,24,29,2,45,24,29,2,37,32,29,3,43,25,29,5,26,40,29,4,21,46,31,40,29,60,0,20,12,3,5,31,0,8,20,16,25,31,1,59,9,33,1,10,56,33,33,21,9,1,3,0,33,31,13,14,9,35,1,16,25,19,4,38,1,3,58,0,42,3,4,48,3,58,0,37,5,56,1,35,8,64,1,32,3,58,1,26,15,75,0,21,4,80,0,18,2,45,3,3,6,13,30,45,0,2,3,9,9,32,47,2,21,6,11,13,47,1,10,14,10,18,47,2,20,11,10,10,72,3,22,3,72,13,6,9,72,11,11,6,53,27,20,80,1,7,12,93,0,1,2,0,0,0,4,66,1,3,1,6,1,2,4,0,1,2,2,4,1,6,65,1,30,4,0,65,8,13,3,5,3,2,1,68,1,20,10,1,68,8,10,9,2,3,4.073170731707317,4.854844198851489,1.6666666666666667,0.5163977794943222,9.827586206896552,6.703245298879179,3.8,2.3838537330737504
BJ,BEN,Benin,2021-01-13,2020-12-30,100,2,242301.187837623,1,110195.882207052,11,87,9079456.342225011,27,4,7,89,5,16,79,7,0,93,3,28,69,2,12,86,3,13,84,4,8,88,5,2,93,6,1,93,6,4,90,4,5,91,4,19,77,6,4,90,5,12,83,93,1,6,0,84,1,6,9,100,0,0,72,0,11,17,88,1,4,7,87,0,9,4,92,2,2,4,98,0,1,1,99,1,0,96,0,2,2,95,1,2,2,81,1,13,5,96,3,1,88,0,9,3,12,1,7,80,93,6,1,14,3,21,62,79,3,4,14,96,0,4,0,96,0,1,3,0,99,0,1,25,2,19,54,100,19,0,22,15,23,21,27,4,30,18,21,27,10,21,25,17,27,8,32,19,14,27,10,22,25,16,27,11,15,16,31,81,11,0,8,81,8,7,4,81,5,12,2,81,9,5,5,81,11,2,6,81,10,3,6,87,4,1,8,87,3,10,87,3,2,8,87,4,1,8,87,4,3,6,87,4,4,5,87,4,1,8,95,1,4,95,3,2,95,2,3,95,1,4,95,1,4,31,4,41,24,31,2,42,25,31,2,34,33,31,3,38,28,31,5,22,42,31,4,19,46,33,39,28,61,0,23,11,1,4,33,0,8,20,19,20,33,1,60,6,35,2,11,52,35,30,24,9,1,1,0,35,30,13,13,9,36,2,16,28,14,4,39,1,3,56,1,43,3,3,47,4,60,0,37,3,59,1,33,7,67,1,29,3,63,1,25,11,79,0,19,2,82,0,17,1,46,3,4,5,15,27,46,0,2,3,8,12,29,48,2,24,6,10,10,48,1,13,14,7,17,48,3,21,10,10,8,71,5,22,2,71,15,5,9,71,13,11,5,52,26,22,78,1,7,14,93,1,1,2,0,0,0,3,67,1,3,3,5,1,2,4,0,0,2,1,3,1,7,70,1,24,5,0,70,9,11,2,4,3,1,0,73,1,18,7,1,73,6,9,7,2,3,3.8205128205128203,4.604756093156606,1.6666666666666667,0.5163977794943222,8.304347826086957,6.8915942383635045,3.64,2.5800516790689807
