"","date","p_w_country","p_m_country"
"1","2020/03/23",0.0100361961171438,0.0120062847474015
"2","2020/03/24",0.0100660066006601,0.011060382916053
"3","2020/03/25",0.0100471489671367,0.0111495963801767
"4","2020/03/26",0.0100671786306859,0.0111460556797817
"5","2020/03/27",0.0108476731176207,0.0143757892836317
"6","2020/03/28",0.0108000692981568,0.0141863262967013
"7","2020/03/29",0.0101235123659924,0.0128818530531703
"8","2020/03/30",0.0098725316956178,0.0109302431058117
"9","2020/04/01",0.00986520333602914,0.0107455932510464
"10","2020/04/02",0.00994687835819659,0.010913382736957
"11","2020/04/06",0.00994687835819659,0.010913382736957
"12","2020/04/07",0.0154864369706821,0.0195554697335545
"13","2020/04/08",0.0149521451614767,0.0172969537766575
"14","2020/04/09",0.0201329311100015,0.0202312394823509
"15","2020/04/10",0.0217148894967676,0.0233826346683811
"16","2020/04/11",0.0202596913352842,0.0236174511986037
"17","2020/04/12",0.0206898019815548,0.0237403304187132
"18","2020/04/13",0.0212430840856877,0.0248053171630547
"19","2020/04/15",0.0210543265647306,0.0239622347267917
"20","2020/04/16",0.0208366406160944,0.0223858266633971
"21","2020/04/17",0.0208366406160944,0.0223858266633971
"22","2020/04/18",0.0206631251683588,0.0214076774872772
"23","2020/04/19",0.0214817206159213,0.0229758523536788
"24","2020/04/20",0.0212885674252374,0.0234360966171781
"25","2020/04/23",NA,NA
"26","2020/04/27",NA,NA
"27","2020/04/29",NA,NA
"28","2020/04/30",NA,NA
"29","2020/05/02",NA,NA
"30","2020/05/10",NA,NA
"31","2020/05/14",NA,NA
"32","2020/05/15",NA,NA
"33","2020/05/26",NA,NA
"34","2020/05/31",NA,NA
"35","2020/06/01",NA,NA
"36","2020/06/02",NA,NA
"37","2020/06/05",NA,NA
"38","2020/06/06",NA,NA
"39","2020/06/07",NA,NA
"40","2020/06/08",NA,NA
"41","2020/06/09",NA,NA
"42","2020/06/10",NA,NA
"43","2020/06/11",NA,NA
"44","2020/06/12",NA,NA
"45","2020/06/13",NA,NA
"46","2020/06/14",NA,NA
"47","2020/06/15",NA,NA
"48","2020/06/20",NA,NA
"49","2020/06/23",NA,NA
"50","2020/06/26",NA,NA
"51","2020/07/03",NA,NA
"52","2020/07/04",NA,NA
"53","2020/07/05",NA,NA
"54","2020/07/06",NA,NA
"55","2020/07/11",NA,NA
"56","2020/07/17",NA,NA
"57","2020/07/30",NA,NA
"58","2020/07/31",NA,NA
"59","2020/08/17",NA,NA
"60","2020/08/24",NA,NA
"61","2020/09/10",NA,NA
"62","2020/09/14",NA,NA
"63","2020/09/15",NA,NA
"64","2020/09/18",NA,NA
"65","2020/10/07",NA,NA
"66","2020/11/10",NA,NA
"67","2020/11/20",NA,NA
"68","2020/12/07",NA,NA
