"","countrycode","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","sumreach_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","population_country","p_w_country_only","p_m_country_only","recent_p_w_country_only","recent_p_m_country_only","sumreach_country","p_w_country_rhs","p_m_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","recent_p_m_country_rhs","recent_sumreach_country_rhs","p_w_country","p_m_country","recent_p_w_country","recent_p_m_country"
"1","BR","BRAC",803513,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"2","BR","BRAL",3340932,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"3","BR","BRAM",3938336,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"4","BR","BRAP",766679,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"5","BR","BRBA",15203934,0.02,0.02,0,0,50,0.02,0.02,0,0,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"6","BR","BRCE",8904459,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"7","BR","BRDF",2914830,0.15,0.15,0,0,100,0.15,0.15,0,0,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"8","BR","BRES",3929911,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"9","BR","BRFN",3061,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"10","BR","BRGO",6610681,0.183333333333333,0.183333333333333,0.336666666666667,0.336666666666667,300,0.183333333333333,0.183333333333333,0.336666666666667,0.336666666666667,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"11","BR","BRMA",6904241,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"12","BR","BRMG",20869101,0,0,0,0,20,0,0,0,0,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"13","BR","BRMS",2651235,0.1,0.1,0,0,200,0.1,0.1,0,0,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"14","BR","BRMT",3265486,0.3,0.3,0,0,100,0.3,0.3,0,0,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"15","BR","BRPA",8175113,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"16","BR","BRPB",3972202,0.254545454545455,0.254545454545455,0.0272727272727273,0.0272727272727273,110,0.254545454545455,0.254545454545455,0.0272727272727273,0.0272727272727273,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"17","BR","BRPE",9345173,0.2,0.2,0.01,0.01,100,0.2,0.2,0.01,0.01,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"18","BR","BRPI",3204028,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"19","BR","BRPR",11163018,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,30,0.0333333333333333,0.0333333333333333,0.0333333333333333,0.0333333333333333,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"20","BR","BRRJ",16550024,0.2,0.2,0.05,0.05,100,0.2,0.2,0.05,0.05,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"21","BR","BRRN",3442175,0.3,0.3,0.03,0.03,100,0.3,0.3,0.03,0.03,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"22","BR","BRRO",1768204,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"23","BR","BRRR",505665,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"24","BR","BRRS",11247972,0.12,0.12,0.02,0.02,50,0.12,0.12,0.02,0.02,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"25","BR","BRSC",6819190,0.166666666666667,0.166666666666667,0,0,60,0.166666666666667,0.166666666666667,0,0,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"26","BR","BRSE",2242937,0.0857142857142857,0.0857142857142857,NA,NA,35,0.0857142857142857,0.0857142857142857,NA,NA,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"27","BR","BRSP",44396484,0.24,0.24,0.08,0.08,50,0.24,0.24,0.08,0.08,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
"28","BR","BRTO",1515126,NA,NA,NA,NA,0,NA,NA,NA,NA,204453710,0.1,0.1,0,0,100,0.150139762372699,0.150139762372699,1405,0.0473768025017172,0.0473768025017172,1370,0.146808216700095,0.146808216700095,0.0441538907669065,0.0441538907669065
