"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_active","p_cum_cases","p_cum_deaths","p_cases_infected","p_cases_daily","p_cases_active","p_infected","p_daily","p_active"
"2020/03/22","FK",3398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/23","FK",3398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/24","FK",3398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/25","FK",3398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/26","FK",3398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/27","FK",3398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/28","FK",3398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/29","FK",3398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/30","FK",3398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/31","FK",3398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/04/01","FK",3398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/04/02","FK",3398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/04/03","FK",3398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/04/04","FK",3398,1,0,1,0,0,0,0,0.000294290759270159,0,0,0,0,0,0,0
"2020/04/05","FK",3398,1,0,2,0,0,0,0,0.000588581518540318,0,0,0,0,0,0,0
"2020/04/06","FK",3398,0,0,2,0,0,0,0,0.000588581518540318,0,0,0,0,0,0,0
"2020/04/07","FK",3398,0,0,2,0,0,0,0,0.000588581518540318,0,0,0,0,0,0,0
"2020/04/08","FK",3398,3,0,5,0,0,0,0,0.00147145379635079,0,0,0,0,0,0,0
"2020/04/09","FK",3398,0,0,5,0,0,0,0,0.00147145379635079,0,0,0,0,0,0,0
"2020/04/10","FK",3398,0,0,5,0,0,0,0,0.00147145379635079,0,0,0,0,0,0,0
"2020/04/11","FK",3398,0,0,5,0,0,0,0,0.00147145379635079,0,0,0,0,0,0,0
"2020/04/12","FK",3398,0,0,5,0,0,0,0,0.00147145379635079,0,0,0,0,0,0,0
"2020/04/13","FK",3398,0,0,5,0,0,0,0,0.00147145379635079,0,0,0,0,0,0,0
"2020/04/14","FK",3398,6,0,11,0,0,0,0,0.00323719835197175,0,0,0,0,0,0,0
"2020/04/15","FK",3398,0,0,11,0,0,0,0,0.00323719835197175,0,0,0,0,0,0,0
"2020/04/16","FK",3398,0,0,11,0,0,0,0,0.00323719835197175,0,0,0,0,0,0,0
"2020/04/17","FK",3398,0,0,11,0,0,0,0,0.00323719835197175,0,0,0,0,0,0,0
"2020/04/18","FK",3398,0,0,11,0,0,0,0,0.00323719835197175,0,0,0,0,0,0,0
"2020/04/19","FK",3398,0,0,11,0,0,0,0,0.00323719835197175,0,0,0,0,0,0,0
"2020/04/20","FK",3398,0,0,11,0,0,0,0,0.00323719835197175,0,0,0,0,0,0,0
"2020/04/21","FK",3398,0,0,11,0,0,0,0,0.00323719835197175,0,0,0,0,0,0,0
"2020/04/22","FK",3398,0,0,11,0,0,0,0,0.00323719835197175,0,0,0,0,0,0,0
"2020/04/23","FK",3398,1,0,12,0,0,0,0,0.00353148911124191,0,0,0,0,0,0,0
"2020/04/24","FK",3398,1,0,13,0,0,0,0,0.00382577987051207,0,0,0,0,0,0,0
