"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_active","p_cum_cases","p_cum_deaths","p_cases_infected","p_cases_daily","p_cases_active","p_infected","p_daily","p_active"
"2021/06/08","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/09","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/10","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/11","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/12","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/13","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/14","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/15","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/16","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/17","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/18","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/19","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/20","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/21","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/22","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/23","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/24","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/25","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/26","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/27","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/28","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/29","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/30","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/01","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/02","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/03","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/04","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/05","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/06","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/07","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/08","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/09","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/10","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/11","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/12","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/13","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/14","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/15","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/16","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/17","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/18","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/19","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/20","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/21","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/22","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/23","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/24","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/25","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/26","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/27","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/28","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/29","TK",1501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
