"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_active","p_cum_cases","p_cum_deaths","p_cases_infected","p_cases_daily","p_cases_active","p_infected","p_daily","p_active"
"2020/01/09","MO",683100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/10","MO",683100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/11","MO",683100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/12","MO",683100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/13","MO",683100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/14","MO",683100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/15","MO",683100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/16","MO",683100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/17","MO",683100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/18","MO",683100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/19","MO",683100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/20","MO",683100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/21","MO",683100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/22","MO",683100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/23","MO",683100,1,0,1,0,0,0,0,1.46391450739277e-06,0,0,0,0,0,0,0
"2020/01/24","MO",683100,0,0,1,0,0,0,0,1.46391450739277e-06,0,0,0,0,0,0,0
"2020/01/25","MO",683100,0,0,1,0,0,0,0,1.46391450739277e-06,0,0,0,0,0,0,0
"2020/01/26","MO",683100,3,0,4,0,0,0,0,5.85565802957107e-06,0,0,0,0,0,0,0
"2020/01/27","MO",683100,1,0,5,0,0,0,0,7.31957253696384e-06,0,0,0,0,0,0,0
"2020/01/28","MO",683100,1,0,6,0,0,0,0,8.78348704435661e-06,0,0,0,0,0,0,0
"2020/01/29","MO",683100,0,0,6,0,0,0,0,8.78348704435661e-06,0,0,0,0,0,0,0
"2020/01/30","MO",683100,0,0,6,0,0,0,0,8.78348704435661e-06,0,0,0,0,0,0,0
"2020/01/31","MO",683100,0,0,6,0,0,0,0,8.78348704435661e-06,0,0,0,0,0,0,0
"2020/02/01","MO",683100,0,0,6,0,0,0,0,8.78348704435661e-06,0,0,0,0,0,0,0
"2020/02/02","MO",683100,1,0,7,0,0,0,0,1.02474015517494e-05,0,0,0,0,0,0,0
"2020/02/03","MO",683100,0,0,7,0,0,0,0,1.02474015517494e-05,0,0,0,0,0,0,0
"2020/02/04","MO",683100,2,0,9,0,0,0,0,1.31752305665349e-05,0,0,0,0,0,0,0
"2020/02/05","MO",683100,0,0,9,0,0,0,0,1.31752305665349e-05,0,0,0,0,0,0,0
"2020/02/06","MO",683100,0,0,9,0,0,0,0,1.31752305665349e-05,0,0,0,0,0,0,0
"2020/02/07","MO",683100,0,0,9,0,0,0,0,1.31752305665349e-05,0,0,0,0,0,0,0
