"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_active","p_cum_cases","p_cum_deaths","p_cases_infected","p_cases_daily","p_cases_active","p_infected","p_daily","p_active"
"2020/01/10","HK",7496981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/11","HK",7496981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/12","HK",7496981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/13","HK",7496981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/14","HK",7496981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/15","HK",7496981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/16","HK",7496981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/17","HK",7496981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/18","HK",7496981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/19","HK",7496981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/20","HK",7496981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/21","HK",7496981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2020/01/22","HK",7496981,0,0,0,0,72.463768115942,72.463768115942,72.463768115942,0,0,9.66572652590983e-06,9.66572652590983e-06,9.66572652590983e-06,9.66572652590983e-06,9.66572652590983e-06,9.66572652590983e-06
"2020/01/23","HK",7496981,2,0,2,0,72.463768115942,0,72.463768115942,2.66774052115111e-07,0,9.66572652590983e-06,0,9.66572652590983e-06,9.66572652590983e-06,0,9.66572652590983e-06
"2020/01/24","HK",7496981,0,0,2,0,72.463768115942,0,72.463768115942,2.66774052115111e-07,0,9.66572652590983e-06,0,9.66572652590983e-06,9.66572652590983e-06,0,9.66572652590983e-06
"2020/01/25","HK",7496981,3,0,5,0,72.463768115942,0,72.463768115942,6.66935130287778e-07,0,9.66572652590983e-06,0,9.66572652590983e-06,9.66572652590983e-06,0,9.66572652590983e-06
"2020/01/26","HK",7496981,3,0,8,0,72.463768115942,0,72.463768115942,1.06709620846045e-06,0,9.66572652590983e-06,0,9.66572652590983e-06,9.66572652590983e-06,0,9.66572652590983e-06
