"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_active","p_cum_cases","p_cum_deaths","p_cases_infected","p_cases_daily","p_cases_active","p_infected","p_daily","p_active"
"2021/06/02","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/03","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/04","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/05","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/06","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/07","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/08","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/09","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/10","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/11","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/12","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/13","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/14","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/15","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/16","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/17","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/18","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/19","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/20","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/21","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/22","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/23","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/24","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/25","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/26","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/27","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/28","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/29","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/06/30","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/01","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/02","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/03","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/04","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/05","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/06","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2021/07/07","PN",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
