"date","countrycode","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_daily","cases_active","p_cum_cases","p_cum_deaths","p_cases_infected","p_cases_daily","p_cases_active"
"2020/03/02","RK",1873000,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/03","RK",1873000,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/04","RK",1873000,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/05","RK",1873000,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/06","RK",1873000,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/07","RK",1873000,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/08","RK",1873000,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/09","RK",1873000,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/10","RK",1873000,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/11","RK",1873000,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/12","RK",1873000,0,0,0,0,0,0,0,0,0,0,0,0
"2020/03/13","RK",1873000,0,0,0,0,72.463768115942,72.463768115942,72.463768115942,0,0,3.86886108467389e-05,3.86886108467389e-05,3.86886108467389e-05
"2020/03/14","RK",1873000,0,0,0,0,72.463768115942,0,72.463768115942,0,0,3.86886108467389e-05,0,3.86886108467389e-05
"2020/03/15","RK",1873000,0,0,0,0,72.463768115942,0,72.463768115942,0,0,3.86886108467389e-05,0,3.86886108467389e-05
"2020/03/16","RK",1873000,0,0,0,0,72.463768115942,0,72.463768115942,0,0,3.86886108467389e-05,0,3.86886108467389e-05
"2020/03/17","RK",1873000,0,0,0,0,72.463768115942,0,72.463768115942,0,0,3.86886108467389e-05,0,3.86886108467389e-05
"2020/03/18","RK",1873000,0,0,0,0,72.463768115942,0,72.463768115942,0,0,3.86886108467389e-05,0,3.86886108467389e-05
"2020/03/19","RK",1873000,0,0,0,0,72.463768115942,0,72.463768115942,0,0,3.86886108467389e-05,0,3.86886108467389e-05
"2020/03/20","RK",1873000,0,0,0,0,72.463768115942,0,72.463768115942,0,0,3.86886108467389e-05,0,3.86886108467389e-05
"2020/03/21","RK",1873000,0,0,0,0,72.463768115942,0,72.463768115942,0,0,3.86886108467389e-05,0,3.86886108467389e-05
"2020/03/22","RK",1873000,0,0,0,0,72.463768115942,0,72.463768115942,0,0,3.86886108467389e-05,0,3.86886108467389e-05
"2020/03/23","RK",1873000,0,0,0,0,72.463768115942,0,0,0,0,3.86886108467389e-05,0,0
"2020/03/24","RK",1873000,0,0,0,0,72.463768115942,0,0,0,0,3.86886108467389e-05,0,0
"2020/03/25","RK",1873000,0,0,0,0,289.855072463768,217.391304347826,217.391304347826,0,0,0.000154754443386956,0.000116065832540217,0.000116065832540217
"2020/03/26","RK",1873000,69,1,69,1,362.31884057971,72.463768115942,289.855072463768,3.68392952482648e-05,5.33902829684997e-07,0.000193443054233695,3.86886108467389e-05,0.000154754443386956
"2020/03/27","RK",1873000,15,0,84,1,362.31884057971,0,289.855072463768,4.48478376935398e-05,5.33902829684997e-07,0.000193443054233695,0,0.000154754443386956
"2020/03/28","RK",1873000,5,0,89,1,507.246376811594,144.927536231884,434.782608695652,4.75173518419648e-05,5.33902829684997e-07,0.000270820275927173,7.73772216934779e-05,0.000232131665080434
"2020/03/29","RK",1873000,3,0,92,1,507.246376811594,0,434.782608695652,4.91190603310198e-05,5.33902829684997e-07,0.000270820275927173,0,0.000232131665080434
"2020/03/30","RK",1873000,0,0,92,1,507.246376811594,0,434.782608695652,4.91190603310198e-05,5.33902829684997e-07,0.000270820275927173,0,0.000232131665080434
"2020/03/31","RK",1873000,18,0,110,1,507.246376811594,0,434.782608695652,5.87293112653497e-05,5.33902829684997e-07,0.000270820275927173,0,0.000232131665080434
"2020/04/01","RK",1873000,13,0,123,1,579.710144927536,72.4637681159421,507.246376811594,6.56700480512547e-05,5.33902829684997e-07,0.000309508886773912,3.8688610846739e-05,0.000270820275927173
"2020/04/02","RK",1873000,0,0,123,1,579.710144927536,0,507.246376811594,6.56700480512547e-05,5.33902829684997e-07,0.000309508886773912,0,0.000270820275927173
"2020/04/03","RK",1873000,1,0,124,1,797.101449275362,217.391304347826,724.63768115942,6.62039508809397e-05,5.33902829684997e-07,0.000425574719314128,0.000116065832540217,0.000386886108467389
"2020/04/04","RK",1873000,9,0,133,1,869.565217391304,72.463768115942,579.710144927536,7.10090763481046e-05,5.33902829684997e-07,0.000464263330160867,3.86886108467389e-05,0.000309508886773912
"2020/04/05","RK",1873000,10,0,143,1,869.565217391304,0,507.246376811594,7.63481046449546e-05,5.33902829684997e-07,0.000464263330160867,0,0.000270820275927173
"2020/04/06","RK",1873000,0,0,143,1,869.565217391304,0,507.246376811594,7.63481046449546e-05,5.33902829684997e-07,0.000464263330160867,0,0.000270820275927173
"2020/04/07","RK",1873000,25,3,168,4,869.565217391304,0,362.31884057971,8.96956753870796e-05,2.13561131873999e-06,0.000464263330160867,0,0.000193443054233695
"2020/04/08","RK",1873000,14,1,182,5,869.565217391304,0,362.31884057971,9.71703150026695e-05,2.66951414842499e-06,0.000464263330160867,0,0.000193443054233695
"2020/04/09","RK",1873000,0,0,182,5,869.565217391304,0,362.31884057971,9.71703150026695e-05,2.66951414842499e-06,0.000464263330160867,0,0.000193443054233695
"2020/04/10","RK",1873000,66,2,248,7,869.565217391304,0,362.31884057971,0.000132407901761879,3.73731980779498e-06,0.000464263330160867,0,0.000193443054233695
"2020/04/11","RK",1873000,33,0,281,7,869.565217391304,0,289.855072463768,0.000150026695141484,3.73731980779498e-06,0.000464263330160867,0,0.000154754443386956
"2020/04/12","RK",1873000,0,0,281,7,869.565217391304,0,289.855072463768,0.000150026695141484,3.73731980779498e-06,0.000464263330160867,0,0.000154754443386956
"2020/04/13","RK",1873000,0,0,281,7,869.565217391304,0,72.463768115942,0.000150026695141484,3.73731980779498e-06,0.000464263330160867,0,3.86886108467389e-05
"2020/04/14","RK",1873000,104,1,385,8,869.565217391304,0,0,0.000205552589428724,4.27122263747998e-06,0.000464263330160867,0,0
"2020/04/15","RK",1873000,0,0,385,8,869.565217391304,0,0,0.000205552589428724,4.27122263747998e-06,0.000464263330160867,0,0
"2020/04/16","RK",1873000,62,3,447,11,869.565217391304,0,0,0.000238654564869194,5.87293112653497e-06,0.000464263330160867,0,0
"2020/04/17","RK",1873000,31,1,478,12,1594.20289855072,724.63768115942,724.63768115942,0.000255205552589429,6.40683395621997e-06,0.000851149438628257,0.000386886108467389,0.000386886108467389
"2020/04/18","RK",1873000,30,0,508,12,1594.20289855072,0,724.63768115942,0.000271222637479979,6.40683395621997e-06,0.000851149438628257,0,0.000386886108467389
"2020/04/19","RK",1873000,0,0,508,12,1594.20289855072,0,724.63768115942,0.000271222637479979,6.40683395621997e-06,0.000851149438628257,0,0.000386886108467389
"2020/04/20","RK",1873000,0,0,508,12,1594.20289855072,0,724.63768115942,0.000271222637479979,6.40683395621997e-06,0.000851149438628257,0,0.000386886108467389
"2020/04/21","RK",1873000,0,0,508,12,1884.05797101449,289.855072463768,1014.49275362319,0.000271222637479979,6.40683395621997e-06,0.00100590388201521,0.000154754443386956,0.000541640551854345
"2020/04/22","RK",1873000,0,0,508,12,1884.05797101449,0,1014.49275362319,0.000271222637479979,6.40683395621997e-06,0.00100590388201521,0,0.000541640551854345
"2020/04/23","RK",1873000,0,0,508,12,1884.05797101449,0,1014.49275362319,0.000271222637479979,6.40683395621997e-06,0.00100590388201521,0,0.000541640551854345
"2020/04/24","RK",1873000,0,0,508,12,1956.52173913043,72.463768115942,1086.95652173913,0.000271222637479979,6.40683395621997e-06,0.00104459249286195,3.86886108467389e-05,0.000580329162701084
