people_vaccinated
2.8
3.03
3.26
3.49
3.72
4.1
4.47
4.635
4.8
4.8
5.25
5.36
5.59
5.94
6.32
6.83
7.3
7.68
7.82
8.15
8.51
8.95
9.37
9.69
10.05
10.05
10.05
10.64
10.94
11.27
11.51
11.705
11.9
12.07
12.3
14.85
15.22
15.53
15.91
15.99
16.15
16.47
16.81
17.16
17.52
17.7
17.76
17.92
18.31
18.71
19.17
19.22
19.84
20.28
20.83
21.51
22.18
22.76
23.26
23.57
23.99
24.67
25.38
26.12
26.74
27.34
27.57
27.99
28.55
29.02
29.72
29.79
29.83
31.02
31.37
31.82
32.18
32.62
32.99
33.63
33.9
34.16
34.63
35.01
35.49
35.55
36.03
36.65
37.05
37.69
38.19
38.77
39.17
39.6
39.77
46.49
47.09
47.75
48.32
49.08
49.87
50.32
50.92
51.49
52.07
52.65
53.22
53.69
53.8
53.92
54.11
54.13
58.25
58.51
58.81
58.82
59.18
59.35
59.74
60.13
60.87
60.92
62.21
62.42
62.96
63.48
63.98
64.38
64.42
64.98
65.33
65.56
65.58
65.82
66.45
66.47
66.67
66.87
66.88
67.04
67.06
67.42
67.58
67.62
67.69
67.8
67.95
68.08
68.11
68.12
68.37
68.49
68.63
68.74
68.85
68.96
69.05
69.07
69.11
69.18
69.25
69.33
69.42
69.5
69.72
69.8
69.82
69.88
70.0
70.07
70.13
70.13499999999999
70.14
70.17
70.22
70.27
70.35
70.41
70.42
70.45
70.49
70.54
70.56200000000001
70.584
70.60600000000001
70.628
70.65
70.74
70.8
70.88
70.89
70.98
71.06
71.06
71.18
71.26
71.33
71.42
71.5
71.51
71.58
71.67
71.76
71.86
71.99
72.1
72.13
72.2
72.3
72.42
72.53
72.65
72.77
72.81
72.89
72.91
73.1
73.22
73.32
73.38
73.4
73.46
73.55
73.66
73.77
73.88
74.0
74.04
74.09
74.22
74.25
74.46
74.66
74.72666666666666
74.79333333333334
74.86
74.91
75.05
75.22
75.39
75.52
75.57
75.66
75.77
75.9
76.01
76.11
76.13
76.15
76.17
76.19
76.28
76.36
76.44
76.52
76.54
76.59
76.67
76.73
76.83
76.9
76.91
76.98
77.03
77.11
77.18
77.25
77.27
77.32333333333334
77.37666666666667
77.43
77.48
77.56
77.62
77.69
77.75
77.77
77.93
78.0
78.07
78.2
78.27
78.32
78.35
78.39
78.48
78.57
78.58
78.75
78.82
78.84
78.96
79.06
79.14
79.26
79.4
79.54
79.6
79.6
79.73
79.95
80.17
80.29
80.3
80.48
80.61
80.76
80.88
81.05
81.18
81.35
81.39
81.53
81.67
81.732
81.794
81.85600000000001
81.918
81.98
82.09
82.12
82.36
82.5
82.63
82.75
82.79
82.88
83.01
83.14
83.28
83.39
83.48
83.52
83.61
83.613
83.616
83.619
83.622
83.625
83.628
83.631
83.634
83.637
83.64
83.643
83.646
83.649
83.652
83.655
83.658
83.661
83.664
83.667
83.67
83.673
83.676
83.679
83.682
83.685
83.688
83.691
83.694
83.697
83.7
83.83
83.91
83.978
84.04599999999999
84.114
84.182
84.25
84.35
84.43
84.54
84.59
84.62
84.71
84.73
84.74
84.9
84.96
85.0
85.02
85.13
85.17
85.26
85.33
85.41
85.45
85.47
85.54
85.6
85.63
85.66
85.72
85.77
85.8
85.81
85.92
85.95
85.99
86.01666666666667
86.04333333333332
86.07
86.11
86.13
86.17
86.19
86.225
86.26
86.27
86.31
86.34
86.39
86.45
86.5
86.51
86.52
86.56
86.59
86.6
86.65
86.68
86.69
86.69
86.75
86.77
86.8
86.81
86.84
86.84
86.84
86.87
86.88
86.9
86.91
86.92
86.93
86.93
86.95
86.96
86.99
86.99
86.99
87.0
87.02
87.03
87.05
87.07
87.1
87.1
87.11
87.13
87.15
87.17
87.19
87.19999999999999
87.21
87.22
87.24
87.25
87.27
87.285
87.3
87.3
87.3
87.33
87.34
87.36
87.38
87.39
87.4
87.4
87.42
87.44
87.46
87.48
87.49
87.5
87.5
87.52
87.535
87.55
87.56
87.57
87.58
87.58
87.61
87.63
87.64
87.65
87.69
87.69
87.69
87.72
87.73
87.75
87.76
87.76750000000001
87.775
87.7825
87.79
87.82
87.84
87.85
87.86
87.87
87.87
87.9
87.92
87.97
87.99
88.0
88.0
88.0
88.02
88.03
88.04
88.05333333333334
88.06666666666668
88.08000000000001
88.09333333333333
88.10666666666667
88.12
88.17857142857143
88.23714285714286
88.29571428571428
88.35428571428572
88.41285714285715
88.47142857142858
88.53
88.54428571428572
88.55857142857143
88.57285714285715
88.58714285714285
88.60142857142857
