"Country","Cookie","Count"
"United Kingdom","wwcx42jj3nd62oo3tq",173
"United States","uozirs82ypkb86698d",43
"Russia","uozirs82ypkb86698d",40
"Spain","75qmcw22r2kpvkoya5",29
"Spain","kuotb4ejplkcvvzib5",27
"Spain","u6sw0qo00qk9x3gy8u",27
"United Kingdom","oqulese1vd5l2rued7",26
"Brazil","he6diq9pc2ka8zdi5g",25
"Brazil","wd14gs3w4vxj9nxmmq",25
"Spain","8hqhi98agokc29bylg",25
"United Kingdom","sntu285qqgkb83uo7g",25
"Japan","xrm9qzkr1zk6m3nh7n",25
"United States","qr0us32v15ffiitkkf",25
"United States","yy9ff884ugmptqa1oe",25
"Spain","7ggtjeju9mkb590sao",24
"Italy","n3pt84hbu076xto3pv",24
"United Kingdom","v7zy54zv1zik4v3hiw",23
"Japan","9016dpluwduh8fzx09",23
"Brazil","vdgzsvwsee095aoavm",22
"Japan","m7tiyyeky924x4rd24",22
"Japan","miq1ndpvpdu7dfiyzy",21
"Spain","4umvar1o48a3a3mr84",20
"Chile","2dvnyvkr2by6ew35tr",19
"Spain","vchx7le9tv11swe9nl",19
"Japan","et89od7y0afzvk17pz",19
"Japan","pg32btoagn9kmlnd3f",19
"Japan","zpx2v36463ibcv4xg5",19
"Brazil","f9me4ijpd3kb2su7iy",18
"Germany","v436wxfnuckbhthkzv",18
"United States","7ne8x7p0750qlsb2hy",18
"Greece","c8zo8oy4iwkbtpikiu",17
"Spain","38pua3wx5jkb89n2rl",16
"Spain","2x2yms0kzinxtdcl0h",15
"France","1kwa1lr1jtzyrlcoww",15
"Hungary","jzrnlptnt1ka06ae0i",15
"Japan","88tyq54hpiih7n4iih",15
"Japan","j2ymi4trs8pha3omf7",15
"Japan","lrpg8tjas6izl5f3ac",15
"United States","ezuco26kyivxo1xnyq",15
"Chile","264sj21zejq5fpdm6q",14
"Chile","6f7pguak08ahop3w33",14
"Chile","70dpz8g42iaeylkz3k",14
"Chile","7aopk9p2b51h4srxo1",14
"Chile","b7ikh3nuggu90wvru6",14
"Chile","d6lfxk82lk8jhqfye8",14
"Chile","dud114xj5mkhd8l9d3",14
"Chile","eao1fnp68n10vrfx22",14
"Chile","g7vp39h6rap3028u8j",14
"Chile","pktd5pprf9w5ihprv4",14
"Chile","qgogu9ufek38uq8gg3",14
"Chile","vgj5usk2tvpke2t1sk",14
"Chile","wpfp8aiblxl2o90bhx",14
"Chile","zl694yjhu2xpw3kn79",14
"Germany","6w6l7hbxaapihc2ae2",14
"Spain","b0vzz14jzp0h75ugaa",14
"Spain","buq7h56nsak9wdhjbs",14
"Spain","qc9je50a9tw528rg3b",14
"Spain","vsuk1inaelcaci2h0j",14
"France","60dm2un3j5ljq8xyec",14
"France","bf2xz4fv5i85ut8g6p",14
"France","jn5qy5ydaibej7seft",14
"France","xy4i8zrvenirigrf5f",14
"France","y0cag2u0n11rgg7mpn",14
"United Kingdom","q5rtc9yrteeil4a9wx",14
"Greece","5qdjczaqyz13tagmfp",14
