ISO2,ISO_3,country_agg,age,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B1_1.1,B1_1.2,B1_1.NA,B1_2.1,B1_2.2,B1_2.NA,B1_3.1,B1_3.2,B1_3.NA,B1_4.1,B1_4.2,B1_4.NA,B1_5.1,B1_5.2,B1_5.NA,B1_6.1,B1_6.2,B1_6.NA,B1_7.1,B1_7.2,B1_7.NA,B1_8.1,B1_8.2,B1_8.NA,B1_9.1,B1_9.2,B1_9.NA,B1_10.1,B1_10.2,B1_10.NA,B1_11.1,B1_11.2,B1_11.NA,B1_12.1,B1_12.2,B1_12.NA,B3.1,B3.2,B3.NA,B5.1,B5.2,B5.NA,B6.1,B6.2,B6.NA,B7.1,B7.2,B7.NA,B8.1,B8.2,B8.3,B8.NA,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C1_m.1,C1_m.2,C1_m.NA,C2.1,C2.2,C2.3,C2.4,C2.NA,C3.1,C3.2,C3.NA,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C5.NA,C6.1,C6.2,C6.3,C6.4,C6.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D3.1,D3.2,D3.3,D3.4,D3.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,E3.1,E3.2,E3.3,E3.4,E3.NA,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E4.NA,E2.1,E2.2,E2.3,E2.NA,B2.mean,B2.sd,B4.mean,B4.sd,E5.mean,E5.sd,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
TL,TLS,Timor-Leste,4,2020-09-11,2020-05-15,100,0,0,0,0,28,99,3,0,3586653.97354476,97,0,97,3,3,94,3,1,96,3,10,87,3,8,90,2,9,88,3,2,95,3,2,95,3,2,95,3,2,95,3,3,94,3,10,86,4,5,95,0,2,3,95,9,89,2,3,4,93,0,2,1,97,57,40,3,66,30,4,36,61,3,39,58,3,33,64,3,18,80,2,29,71,0,14,8,1,6,71,26,74,0,63,20,9,2,1,5,0,47,12,17,24,0,1,4,19,20,54,2,2,5,20,30,42,1,20,18,31,30,1,10,14,24,51,1,55,43,0,2,0,0,0,0,100,0,0,0,0,41,21,32,6,26.6528925619835,56.3953174219814,168.75,226.729464340213,3.74952657492741,3.26240388240982,0,0,0,0,0,0,0,0,0.00398349694124342,0.00147253908374592
TL,TLS,Timor-Leste,4,2020-09-12,2020-05-15,100,0,0,0,0,28,99,3,0,3586653.97354476,97,0,97,3,3,94,3,1,96,3,10,87,3,8,90,2,9,88,3,2,95,3,2,95,3,2,95,3,2,95,3,3,94,3,10,86,4,5,95,0,2,3,95,9,89,2,3,4,93,0,2,1,97,57,40,3,66,30,4,36,61,3,39,58,3,33,64,3,18,80,2,29,71,0,14,8,1,6,71,26,74,0,63,20,9,2,1,5,0,47,12,17,24,0,1,4,19,20,54,2,2,5,20,30,42,1,20,18,31,30,1,10,14,24,51,1,55,43,0,2,0,0,0,0,100,0,0,0,0,41,21,32,6,26.6528925619835,56.3953174219814,168.75,226.729464340213,3.74952657492741,3.26240388240982,0,0,0,0,0,0,0,0,0.00398349694124342,0.00147253908374592
TL,TLS,Timor-Leste,4,2020-09-13,2020-05-15,100,0,0,0,0,28,99,3,0,3586653.97354476,97,0,97,3,3,94,3,1,96,3,10,87,3,8,90,2,9,88,3,2,95,3,2,95,3,2,95,3,2,95,3,3,94,3,10,86,4,5,95,0,2,3,95,9,89,2,3,4,93,0,2,1,97,57,40,3,66,30,4,36,61,3,39,58,3,33,64,3,18,80,2,29,71,0,14,8,1,6,71,26,74,0,63,20,9,2,1,5,0,47,12,17,24,0,1,4,19,20,54,2,2,5,20,30,42,1,20,18,31,30,1,10,14,24,51,1,55,43,0,2,0,0,0,0,100,0,0,0,0,41,21,32,6,26.6528925619835,56.3953174219814,168.75,226.729464340213,3.74952657492741,3.26240388240982,0,0,0,0,0,0,0,0,0.00398349694124342,0.00147253908374592
TL,TLS,Timor-Leste,4,2020-09-14,2020-05-15,100,0,0,0,0,28,99,3,0,3586653.97354476,97,0,97,3,3,94,3,1,96,3,10,87,3,8,90,2,9,88,3,2,95,3,2,95,3,2,95,3,2,95,3,3,94,3,10,86,4,5,95,0,2,3,95,9,89,2,3,4,93,0,2,1,97,57,40,3,66,30,4,36,61,3,39,58,3,33,64,3,18,80,2,29,71,0,14,8,1,6,71,26,74,0,63,20,9,2,1,5,0,47,12,17,24,0,1,4,19,20,54,2,2,5,20,30,42,1,20,18,31,30,1,10,14,24,51,1,55,43,0,2,0,0,0,0,100,0,0,0,0,41,21,32,6,26.6528925619835,56.3953174219814,168.75,226.729464340213,3.74952657492741,3.26240388240982,0,0,0,0,0,0,0,0,0.00398349694124342,0.00147253908374592
TL,TLS,Timor-Leste,4,2020-09-15,2020-05-15,100,0,0,0,0,28,99,3,0,3586653.97354476,97,0,97,3,3,94,3,1,96,3,10,87,3,8,90,2,9,88,3,2,95,3,2,95,3,2,95,3,2,95,3,3,94,3,10,86,4,5,95,0,2,3,95,9,89,2,3,4,93,0,2,1,97,57,40,3,66,30,4,36,61,3,39,58,3,33,64,3,18,80,2,29,71,0,14,8,1,6,71,26,74,0,63,20,9,2,1,5,0,47,12,17,24,0,1,4,19,20,54,2,2,5,20,30,42,1,20,18,31,30,1,10,14,24,51,1,55,43,0,2,0,0,0,0,100,0,0,0,0,41,21,32,6,26.6528925619835,56.3953174219814,168.75,226.729464340213,3.74952657492741,3.26240388240982,0,0,0,0,0,0,0,0,0.00398349694124342,0.00147253908374592
TL,TLS,Timor-Leste,4,2020-09-16,2020-05-15,100,0,0,0,0,28,99,3,0,3586653.97354476,97,0,97,3,3,94,3,1,96,3,10,87,3,8,90,2,9,88,3,2,95,3,2,95,3,2,95,3,2,95,3,3,94,3,10,86,4,5,95,0,2,3,95,9,89,2,3,4,93,0,2,1,97,57,40,3,66,30,4,36,61,3,39,58,3,33,64,3,18,80,2,29,71,0,14,8,1,6,71,26,74,0,63,20,9,2,1,5,0,47,12,17,24,0,1,4,19,20,54,2,2,5,20,30,42,1,20,18,31,30,1,10,14,24,51,1,55,43,0,2,0,0,0,0,100,0,0,0,0,41,21,32,6,26.6528925619835,56.3953174219814,168.75,226.729464340213,3.74952657492741,3.26240388240982,0,0,0,0,0,0,0,0,0.00398349694124342,0.00147253908374592
TL,TLS,Timor-Leste,4,2020-09-17,2020-05-15,100,0,0,0,0,28,99,3,0,3586653.97354476,97,0,97,3,3,94,3,1,96,3,10,87,3,8,90,2,9,88,3,2,95,3,2,95,3,2,95,3,2,95,3,3,94,3,10,86,4,5,95,0,2,3,95,9,89,2,3,4,93,0,2,1,97,57,40,3,66,30,4,36,61,3,39,58,3,33,64,3,18,80,2,29,71,0,14,8,1,6,71,26,74,0,63,20,9,2,1,5,0,47,12,17,24,0,1,4,19,20,54,2,2,5,20,30,42,1,20,18,31,30,1,10,14,24,51,1,55,43,0,2,0,0,0,0,100,0,0,0,0,41,21,32,6,26.6528925619835,56.3953174219814,168.75,226.729464340213,3.74952657492741,3.26240388240982,0,0,0,0,0,0,0,0,0.00398349694124342,0.00147253908374592
TL,TLS,Timor-Leste,4,2020-09-18,2020-05-15,100,0,0,0,0,28,99,3,0,3586653.97354476,97,0,97,3,3,94,3,1,96,3,10,87,3,8,90,2,9,88,3,2,95,3,2,95,3,2,95,3,2,95,3,3,94,3,10,86,4,5,95,0,2,3,95,9,89,2,3,4,93,0,2,1,97,57,40,3,66,30,4,36,61,3,39,58,3,33,64,3,18,80,2,29,71,0,14,8,1,6,71,26,74,0,63,20,9,2,1,5,0,47,12,17,24,0,1,4,19,20,54,2,2,5,20,30,42,1,20,18,31,30,1,10,14,24,51,1,55,43,0,2,0,0,0,0,100,0,0,0,0,41,21,32,6,26.6528925619835,56.3953174219814,168.75,226.729464340213,3.74952657492741,3.26240388240982,0,0,0,0,0,0,0,0,0.00398349694124342,0.00147253908374592
TL,TLS,Timor-Leste,4,2020-09-19,2020-05-15,100,0,0,0,0,28,99,3,0,3586653.97354476,97,0,97,3,3,94,3,1,96,3,10,87,3,8,90,2,9,88,3,2,95,3,2,95,3,2,95,3,2,95,3,3,94,3,10,86,4,5,95,0,2,3,95,9,89,2,3,4,93,0,2,1,97,57,40,3,66,30,4,36,61,3,39,58,3,33,64,3,18,80,2,29,71,0,14,8,1,6,71,26,74,0,63,20,9,2,1,5,0,47,12,17,24,0,1,4,19,20,54,2,2,5,20,30,42,1,20,18,31,30,1,10,14,24,51,1,55,43,0,2,0,0,0,0,100,0,0,0,0,41,21,32,6,26.6528925619835,56.3953174219814,168.75,226.729464340213,3.74952657492741,3.26240388240982,0,0,0,0,0,0,0,0,0.00398349694124342,0.00147253908374592
TL,TLS,Timor-Leste,4,2020-09-20,2020-05-15,100,0,0,0,0,28,99,3,0,3586653.97354476,97,0,97,3,3,94,3,1,96,3,10,87,3,8,90,2,9,88,3,2,95,3,2,95,3,2,95,3,2,95,3,3,94,3,10,86,4,5,95,0,2,3,95,9,89,2,3,4,93,0,2,1,97,57,40,3,66,30,4,36,61,3,39,58,3,33,64,3,18,80,2,29,71,0,14,8,1,6,71,26,74,0,63,20,9,2,1,5,0,47,12,17,24,0,1,4,19,20,54,2,2,5,20,30,42,1,20,18,31,30,1,10,14,24,51,1,55,43,0,2,0,0,0,0,100,0,0,0,0,41,21,32,6,26.6528925619835,56.3953174219814,168.75,226.729464340213,3.74952657492741,3.26240388240982,0,0,0,0,0,0,0,0,0.00398349694124342,0.00147253908374592
