ISO2,ISO_3,country_agg,region_agg,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cli_smooth_slope,p_cli_weight_smooth_slope,p_cliWHO_smooth_slope,p_cliWHO_weight_smooth_slope,p_cli_local_smooth_slope
PY,PRY,Paraguay,Caaguazú,2020-07-07,2020-07-01,100,11,7,0.01,0.0195013954179879,0.00759410359452628,0.000113640315607483,0.01,0.0195013954179879,0.00759410359452628,0.000113640315607483,0.00186835297499281,0.00101468036298029,0.0148954281641705,0.0218073852342244,0.0109527473284221,0.000132458363561275,0.00929370570092012,0.0156378245524028,0.00606469711574395,8.95879275371559e-05,0.00284060684973704,0.00117156533878475,-0.000529217533023699,6.68719775688044e-05,-0.000235919113272007,-8.60658301598717e-05,-6.72462321958428e-06
PY,PRY,Paraguay,Caaguazú,2020-07-08,2020-07-01,115,15,8,0.00869565217391304,0.0169689025724735,0.00667369775623127,9.99134022218655e-05,0.00869565217391304,0.0169689025724735,0.00667369775623127,9.99134022218655e-05,0.00224354979434127,0.001035284765739,0.0139376478207489,0.0210775216890436,0.0108866982650354,0.000130229588579594,0.00853713373767934,0.01450038199405,0.0056308940220342,8.28428208046137e-05,0.00289420571033617,0.0011795885610618,-0.000691097031120793,1.15143301633721e-05,-0.00039790587395942,-0.000188777276065266,3.71644324519651e-06
PY,PRY,Paraguay,Caaguazú,2020-07-09,2020-07-01,122,7,9,0.00819672131147541,0.0159993017797116,0.00624442473360216,9.35068593254393e-05,0.00819672131147541,0.0159993017797116,0.00624442473360216,9.35068593254393e-05,0.00223004694835681,0.0010016142795266,0.012976274355494,0.0202929526166096,0.0108201584956378,0.000127843920989933,0.0077006978015729,0.0132127497427168,0.00512986551327051,7.52558633022224e-05,0.00298213492769314,0.00119459149989109,-0.000808059652731807,-2.60798443465724e-05,-0.000541629787617942,-0.000285213811114045,2.15383700395608e-05
PY,PRY,Paraguay,Caaguazú,2020-07-10,2020-07-02,106,8,9,0.00943396226415094,0.0184028015418055,0.00638005412543102,9.5531315794019e-05,0.00943396226415094,0.0184028015418055,0.00638005412543102,9.5531315794019e-05,0.000938967136150235,0.000695257165211799,0.012039138143137,0.0194657548334483,0.0107494724034663,0.000125290440630784,0.00681741304871043,0.0118212850663244,0.00458217829928457,6.71010572782747e-05,0.00310530084471156,0.00121678780807608,-0.000881409608532724,-4.95305886447419e-05,-0.000661658562520444,-0.00037103023651811,4.55967623005451e-05
PY,PRY,Paraguay,Caaguazú,2020-07-11,2020-07-03,101,9,9,0.0099009900990099,0.0193092777830645,0.00629842127440776,9.43128657258253e-05,0.0099009900990099,0.0193092777830645,0.00629842127440776,9.43128657258253e-05,0.00153395621252266,0.000905798007453933,0.0111440821256624,0.0186006372465102,0.0106624839955854,0.000122488453626849,0.00591996507353338,0.0103754944224576,0.00401002751081372,5.86718539302973e-05,0.00326066470395368,0.00124558372759259,-0.000915870190693788,-6.4670029250341e-05,-0.000754097778635337,-0.000442422465497279,7.3969716987594e-05
PY,PRY,Paraguay,Caaguazú,2020-07-12,2020-07-04,100,11,9,0.01,0.0195013954179879,0.0142041842947828,0.000141953864770367,0,0,0,0,0.00154929577464789,0.000914848959976437,0.0102999308224764,0.0176979897853085,0.0105406132666262,0.000119311330165938,0.00503891039876646,0.00892529461293924,0.00343561892728476,5.02626873552562e-05,0.00344104740644981,0.00127955468146309,-0.000918590366856613,-7.86042965058584e-05,-0.000816667031633235,-0.000496353684128497,0.000103996685471205
PY,PRY,Paraguay,Caaguazú,2020-07-13,2020-07-05,100,18,9,0.01,0.0195013954179879,0.0142640361770104,0.000142547685343756,0,0,0,0,0.00295774647887324,0.00126315362128419,0.00951068059962046,0.0167591302270507,0.0103639265166144,0.000115627956273879,0.00420104801278679,0.00751792056762659,0.0028795394963789,4.21489225549921e-05,0.00363554246216628,0.001316548996243,-0.000897457927425015,-9.81368019679592e-05,-0.000848776281355556,-0.000530859603227509,0.000132489268738206
PY,PRY,Paraguay,Caaguazú,2020-07-14,2020-07-06,103,13,9,0.00970873786407767,0.018936178546626,0.0143072487639548,0.000142976396457014,0,0,0,0,0.00314508409681389,0.00128331246618085,0.00877884877323992,0.0157909863111523,0.0101161445551809,0.000111347378517629,0.00342810028927341,0.00619485774095887,0.00235932641206399,3.45679698012256e-05,0.00383038245772104,0.0013538661224457,-0.000859799841251495,-0.000128425618309084,-0.000851505574734322,-0.000545261268328369,0.000156029457897478
PY,PRY,Paraguay,Caaguazú,2020-07-15,2020-07-08,105,24,8,0.00952380952380953,0.0185772237565978,0.0165313604088645,0.00016501608885486,0,0,0,0,0.00568797399783315,0.00171530911046873,0.0081091757657864,0.0148102567859566,0.00978945221285006,0.00010645944651873,0.0027358302631293,0.0049892335214146,0.00188841347808048,2.77042742968693e-05,0.00401028854331443,0.00138853906272694,-0.000811183098284598,-0.000171784380464618,-0.000827477923073933,-0.000540242005865006,0.000171358935936882
PY,PRY,Paraguay,Caaguazú,2020-07-16,2020-07-09,103,13,8,0.00970873786407767,0.018936178546626,0.0165830914431795,0.000165528114583218,0,0,0,0,0.00676056338028169,0.0019060633836692,0.00751224467197619,0.0138464872068788,0.00938929618326964,0.000101070098076082,0.00213392555267032,0.00392452689510813,0.00147580470818723,2.16831663304934e-05,0.00416012826538045,0.00141764773591731,-0.000754482245193465,-0.000226696036699445,-0.000780581249340018,-0.000517728931849556,0.000175804570111482
