"date","pct_cli_weighted","pct_cli","population"
2020-04-25,0,0,6415851
2020-04-28,0,0,6415851
2020-05-03,0.654,0.8475,6415851
2020-05-04,0,0,6415851
2020-05-05,1.5122,2.1127,6415851
2020-05-06,1.7752,1.3423,6415851
2020-05-07,0,0,6415851
2020-05-08,0,0,6415851
2020-05-09,0.4955,0.6329,6415851
2020-05-10,0,0,6415851
2020-05-11,0.5724,0.6173,6415851
2020-05-12,2.8648,1.9868,6415851
2020-05-13,0,0,6415851
2020-05-14,0.4954,0.6757,6415851
2020-05-15,0,0,6415851
2020-05-16,0.7168,0.6849,6415851
2020-05-17,2.0296,1.2121,6415851
2020-05-18,0.4991,0.578,6415851
2020-05-19,0,0,6415851
2020-05-20,0.7328,0.5682,6415851
2020-05-21,0,0,6415851
2020-05-22,0,0,6415851
2020-05-23,0.4375,0.5848,6415851
2020-05-24,1.7349,1.3793,6415851
2020-05-25,1.1901,1.227,6415851
2020-05-26,0.39,0.5618,6415851
2020-05-27,2.9693,1.7143,6415851
2020-05-28,1.4528,1.7647,6415851
2020-05-29,3.4935,2.6178,6415851
2020-05-30,0,0,6415851
2020-05-31,0.4277,0.6098,6415851
2020-06-01,0,0,6415851
2020-06-02,1.9203,2.0134,6415851
2020-06-03,0.4855,0.6711,6415851
2020-06-04,2.645,2.459,6415851
2020-06-08,0.4684,0.7092,6415851
2020-06-09,0,0,6415851
2020-06-10,0,0,6415851
2020-06-11,0.614,0.8403,6415851
2020-06-12,0.4845,0.6623,6415851
2020-06-13,1.076,1.3333,6415851
2020-06-14,1.0407,1.3514,6415851
2020-06-15,0.7384,0.7937,6415851
2020-06-16,0.6224,0.8403,6415851
2020-06-17,0,0,6415851
2020-06-18,1.9001,2.1583,6415851
2020-06-19,2.3734,3.0303,6415851
2020-06-20,2.7263,2.907,6415851
2020-06-21,4.1687,5.5866,6415851
2020-06-22,5.7063,5.8511,6415851
2020-06-23,6.8613,6.3291,6415851
2020-06-24,5.3244,5.5249,6415851
2020-06-25,4.7452,6.2176,6415851
2020-06-26,7.2902,7.3529,6415851
2020-06-27,7.4653,8.8398,6415851
2020-06-28,8.1862,8.4677,6415851
2020-06-29,6.4537,6.5306,6415851
2020-06-30,11.1574,12.1457,6415851
2020-07-01,8.0752,8.7379,6415851
2020-07-02,5.7745,7.4349,6415851
2020-07-03,8.3209,8.0645,6415851
2020-07-04,13.553,11.9454,6415851
2020-07-05,9.7228,10.0746,6415851
2020-07-06,6.9874,9.7902,6415851
2020-07-07,12.1042,9.622,6415851
2020-07-08,11.3229,10.3448,6415851
2020-07-09,4.8964,7.0707,6415851
2020-07-10,6.9405,8.1169,6415851
2020-07-11,6.5178,6.8592,6415851
2020-07-12,8.1065,7.767,6415851
2020-07-13,6.8822,8.3636,6415851
2020-07-14,12.1295,11.1486,6415851
2020-07-15,7.4206,8.5174,6415851
2020-07-16,11.2907,10.9541,6415851
2020-07-17,9.0991,9.6899,6415851
2020-07-18,4.9648,5.303,6415851
2020-07-19,6.5782,7.1186,6415851
2020-07-20,9.0386,9.7561,6415851
2020-07-21,3.822,4.9107,6415851
2020-07-22,6.7377,7.6531,6415851
2020-07-23,10.2749,10.3004,6415851
2020-07-24,7.1559,6.5116,6415851
2020-07-25,2.4455,2.7027,6415851
2020-07-26,4.0582,4.5249,6415851
2020-07-27,5.972,7.2727,6415851
2020-07-28,5.2542,5.0505,6415851
2020-07-29,5.964,3.9801,6415851
2020-07-30,6.2718,5.4187,6415851
2020-07-31,4.3953,4.5714,6415851
2020-08-01,5.4404,4.5752,6415851
2020-08-02,4.8847,4.6784,6415851
2020-08-03,2.0232,2.8169,6415851
2020-08-04,1.1698,1.6,6415851
2020-08-05,10.5476,7.6923,6415851
2020-08-06,6.3306,6.3694,6415851
2020-08-07,4.932,3.5211,6415851
2020-08-08,2.438,3.0303,6415851
2020-08-09,1.4615,1.4925,6415851
2020-08-10,2.1738,2.8777,6415851
2020-08-11,6.1166,5.7377,6415851
2020-08-12,4.3773,4.065,6415851
2020-08-13,3.2672,3.5088,6415851
2020-08-14,4.1965,4,6415851
2020-08-15,5.3893,6.422,6415851
2020-08-16,4.5803,3.6765,6415851
2020-08-17,1.5098,2.1127,6415851
2020-08-18,1.877,2.5641,6415851
2020-08-19,2.512,3.4188,6415851
2020-08-20,2.062,1.8182,6415851
2020-08-21,3.1949,3.8462,6415851
2020-08-22,2.0693,2.9412,6415851
2020-08-23,3.8029,4.2373,6415851
2020-08-24,2.035,2.3438,6415851
2020-08-25,9.8161,6.4516,6415851
2020-08-26,2.4339,2.6549,6415851
2020-08-27,2.1347,2.7273,6415851
2020-08-28,5.6025,4.5045,6415851
2020-08-30,0,0,6415851
2020-09-17,3.4426,4.3165,6415851
2020-09-29,2.7262,2.8037,6415851
2020-11-29,2.5642,2.9412,6415851
2020-12-05,7.0625,5.9829,6415851
2020-12-06,0.7715,0.9259,6415851
2020-12-14,2.9625,2.8037,6415851
2021-01-20,0.648,0.9804,6415851
