"date","region","population","sample_size","reach","p_cases","p_cases_error"
"2020/04/13","INAP",53903393,0,0,NA,NA
"2020/04/14","INAP",53903393,0,0,NA,NA
"2020/04/15","INAP",53903393,0,0,NA,NA
"2020/04/16","INAP",53903393,0,0,NA,NA
"2020/04/17","INAP",53903393,0,0,NA,NA
"2020/04/18","INAP",53903393,0,0,NA,NA
"2020/04/19","INAP",53903393,0,0,NA,NA
"2020/04/20","INAP",53903393,0,0,NA,NA
"2020/04/21","INAP",53903393,0,0,NA,NA
"2020/04/22","INAP",53903393,0,0,NA,NA
"2020/04/23","INAP",53903393,0,0,NA,NA
"2020/04/24","INAP",53903393,0,0,NA,NA
"2020/04/25","INAP",53903393,0,0,NA,NA
"2020/04/26","INAP",53903393,0,0,NA,NA
"2020/04/27","INAP",53903393,0,0,NA,NA
"2020/04/13","INAR",1570458,0,0,NA,NA
"2020/04/14","INAR",1570458,0,0,NA,NA
"2020/04/15","INAR",1570458,0,0,NA,NA
"2020/04/16","INAR",1570458,0,0,NA,NA
"2020/04/17","INAR",1570458,0,0,NA,NA
"2020/04/18","INAR",1570458,0,0,NA,NA
"2020/04/19","INAR",1570458,0,0,NA,NA
"2020/04/20","INAR",1570458,0,0,NA,NA
"2020/04/21","INAR",1570458,0,0,NA,NA
"2020/04/22","INAR",1570458,0,0,NA,NA
"2020/04/23","INAR",1570458,0,0,NA,NA
"2020/04/24","INAR",1570458,0,0,NA,NA
"2020/04/25","INAR",1570458,0,0,NA,NA
"2020/04/26","INAR",1570458,0,0,NA,NA
"2020/04/27","INAR",1570458,0,0,NA,NA
"2020/04/13","INAS",35607039,0,0,NA,NA
"2020/04/14","INAS",35607039,0,0,NA,NA
"2020/04/15","INAS",35607039,0,0,NA,NA
"2020/04/16","INAS",35607039,0,0,NA,NA
"2020/04/17","INAS",35607039,0,0,NA,NA
"2020/04/18","INAS",35607039,0,0,NA,NA
"2020/04/19","INAS",35607039,0,0,NA,NA
"2020/04/20","INAS",35607039,0,0,NA,NA
"2020/04/21","INAS",35607039,0,0,NA,NA
"2020/04/22","INAS",35607039,0,0,NA,NA
"2020/04/23","INAS",35607039,0,0,NA,NA
"2020/04/24","INAS",35607039,0,0,NA,NA
"2020/04/25","INAS",35607039,0,0,NA,NA
"2020/04/26","INAS",35607039,0,0,NA,NA
"2020/04/27","INAS",35607039,0,0,NA,NA
"2020/04/13","INBR",124799926,0,0,NA,NA
"2020/04/14","INBR",124799926,0,0,NA,NA
"2020/04/15","INBR",124799926,0,0,NA,NA
"2020/04/16","INBR",124799926,0,0,NA,NA
"2020/04/17","INBR",124799926,0,0,NA,NA
"2020/04/18","INBR",124799926,0,0,NA,NA
"2020/04/19","INBR",124799926,0,0,NA,NA
"2020/04/20","INBR",124799926,0,0,NA,NA
"2020/04/21","INBR",124799926,0,0,NA,NA
"2020/04/22","INBR",124799926,0,0,NA,NA
"2020/04/23","INBR",124799926,0,0,NA,NA
"2020/04/24","INBR",124799926,0,0,NA,NA
"2020/04/25","INBR",124799926,0,0,NA,NA
"2020/04/26","INBR",124799926,0,0,NA,NA
"2020/04/27","INBR",124799926,0,0,NA,NA
"2020/04/13","INCT",29436231,0,0,NA,NA
"2020/04/14","INCT",29436231,0,0,NA,NA
"2020/04/15","INCT",29436231,0,0,NA,NA
"2020/04/16","INCT",29436231,0,0,NA,NA
"2020/04/17","INCT",29436231,0,0,NA,NA
"2020/04/18","INCT",29436231,0,0,NA,NA
"2020/04/19","INCT",29436231,0,0,NA,NA
"2020/04/20","INCT",29436231,0,0,NA,NA
"2020/04/21","INCT",29436231,0,0,NA,NA
"2020/04/22","INCT",29436231,0,0,NA,NA
"2020/04/23","INCT",29436231,0,0,NA,NA
"2020/04/24","INCT",29436231,0,0,NA,NA
"2020/04/25","INCT",29436231,0,0,NA,NA
"2020/04/26","INCT",29436231,0,0,NA,NA
