"","date","ccaa","reg_code","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"386",2021-01-20,"Galicia","ESGA",2699499,1702,19,85158,1577,138271.439559968,137842.840067321,138701.371711787,2355.80500499505,21570.4111954124,19408.0965272854,0.0512211486501635,0.0510623786366732,0.051380412332728,0.000872682303269997,0.00799052386958187,0.00718951795399272
"387",2021-01-21,"Galicia","ESGA",2699499,1834,10,86992,1587,139930.694680962,139497.983947563,140364.747645794,1659.25512099444,21913.8792128577,19217.3444921778,0.0518358016361415,0.0516755086582965,0.0519965918290001,0.00061465298597793,0.0081177578553864,0.00711885594037182
"388",2021-01-22,"Galicia","ESGA",2699499,1818,25,88810,1612,142769.300997882,142330.475690284,143209.479266958,2838.60631691993,23905.9579651998,20443.9087034346,0.0528873324264548,0.0527247743712013,0.05305039167155,0.00105153079031329,0.00885570173028394,0.00757322329196439
"389",2021-01-23,"Galicia","ESGA",2699499,1572,18,90382,1630,144481.493272187,144039.274778545,144925.069431622,1712.19227430475,23768.1430834025,20482.0253131704,0.0535215954042535,0.0533577803801908,0.0536859133608205,0.00063426297779875,0.00880464970848386,0.00758734317485223
"390",2021-01-24,"Galicia","ESGA",2699499,1322,21,91704,1651,145963.78251414,145519.187313566,146409.736057184,1482.28924195268,23638.390219692,20262.963726458,0.0540706933079581,0.053905997858701,0.0542358919403874,0.000549097903704604,0.00875658417346775,0.00750619419620383
"391",2021-01-25,"Galicia","ESGA",2699499,1604,10,93308,1661,146857.494986044,146411.15863625,147305.191998092,893.712471904379,22858.0270270275,18861.9649244851,0.0544017593583269,0.0542364189193069,0.0545676038398578,0.000331066050368746,0.00846750712892558,0.00698720945052587
"392",2021-01-26,"Galicia","ESGA",2699499,1418,25,94726,1686,148743.809209267,148294.26957902,149194.711575106,1886.31422322325,23042.9904215857,19035.5114040571,0.0551005239154626,0.0549339968560906,0.0552675557853906,0.000698764557135694,0.00853602480370827,0.00705149785351175
"393",2021-01-27,"Galicia","ESGA",2699499,1386,22,96112,1708,150285.438958044,149833.419437132,150738.822137666,1541.62974877722,22289.9088964856,18682.2487561902,0.0556716038635482,0.0555041581556919,0.0558395547239194,0.000571079948085635,0.0082570539557472,0.0069206355535565
"394",2021-01-28,"Galicia","ESGA",2699499,1302,35,97414,1743,152820.530362965,152364.333153302,153278.093482155,2535.09140492073,23112.2325577551,18463.5921006409,0.0566107008607765,0.0564417075736283,0.0567802001342304,0.000939096997228276,0.00856167479882566,0.00683963657724669
"395",2021-01-29,"Galicia","ESGA",2699499,1266,28,98680,1771,154677.988240303,154218.925547038,155138.417423158,1857.45787733779,23074.7980384487,18762.3536853302,0.0572987758988994,0.0571287211245636,0.0574693368744192,0.000688075038122921,0.00854780758890769,0.00695030955200584
