"","date","ccaa","reg_code","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"153",2020-06-01,"Extremadura","ESEX",1067710,3,0,3305,510,37778.4562972974,37585.2850312475,37972.6203757736,0,1.13686837721616e-13,0,0.0353826940810682,0.0352017729825959,0.0355645450316786,0,1.06477262291836e-19,0
"154",2020-06-02,"Extremadura","ESEX",1067710,5,1,3310,511,37854.0861397383,37660.7761412384,38048.3883842657,0,1.13686837721616e-13,0,0.0354535277741505,0.0352724767410986,0.0356355081288605,0,1.06477262291836e-19,0
"155",2020-06-03,"Extremadura","ESEX",1067710,0,1,3310,512,37874.1758120628,37681.0173639074,38068.3244188897,0,1.13686837721616e-13,0,0.0354723434378837,0.035291434344445,0.0356541798979963,0,1.06477262291836e-19,0
"156",2020-06-04,"Extremadura","ESEX",1067710,3,0,3313,512,37855.8917464381,37662.7914845416,38049.9820494248,0,1.13686837721616e-13,0,0.0354552188763223,0.0352743642791971,0.0356370007299967,0,1.06477262291836e-19,0
"157",2020-06-05,"Extremadura","ESEX",1067710,0,0,3313,512,37805.2127636189,37612.343076762,37999.0714533687,0,1.13686837721616e-13,0,0.0354077537567494,0.0352271151124949,0.0355893186851942,0,1.06477262291836e-19,0
"158",2020-06-06,"Extremadura","ESEX",1067710,0,0,3313,512,37756.6238508584,37563.9672712174,37950.268519894,0,1.13686837721616e-13,0,0.0353622461631514,0.0351818071116852,0.0355436106432402,0,1.06477262291836e-19,0
"159",2020-06-07,"Extremadura","ESEX",1067710,1,0,3314,512,37722.2167674272,37529.7149568351,37915.7059808579,0,1.13686837721616e-13,0,0.0353300210426306,0.0351497269453644,0.0355112399255022,0,1.06477262291836e-19,0
"160",2020-06-08,"Extremadura","ESEX",1067710,1,0,3315,512,37690.8040866745,37498.4349337162,37884.16010458,0,1.13686837721616e-13,0,0.0353006004314603,0.0351204305791986,0.0354816945655468,0,1.06477262291836e-19,0
"161",2020-06-09,"Extremadura","ESEX",1067710,3,0,3318,512,37684.8189181564,37492.4527391249,37878.1720890791,0,1.13686837721616e-13,0,0.0352949948189643,0.0351148277520347,0.0354760862866125,0,1.06477262291836e-19,0
"162",2020-06-10,"Extremadura","ESEX",1067710,1,1,3319,513,37731.6791698909,37539.3332522758,37925.0106391613,0,1.13686837721616e-13,0,0.0353388833764701,0.0351587352860569,0.0355199545187001,0,1.06477262291836e-19,0
"163",2020-06-11,"Extremadura","ESEX",1067710,0,0,3319,513,37694.9668631202,37502.7874911415,37888.1310395223,0,1.13686837721616e-13,0,0.0353044992208748,0.0351245071144239,0.0354854136792971,0,1.06477262291836e-19,0
"164",2020-06-12,"Extremadura","ESEX",1067710,1,0,3320,513,37671.2516455624,37479.1726272155,37864.3150599538,0,1.13686837721616e-13,0,0.0352822879298333,0.0351023898129787,0.0354631080161784,0,1.06477262291836e-19,0
"165",2020-06-13,"Extremadura","ESEX",1067710,1,0,3321,513,37649.435619489,37457.4473335735,37842.4079420795,0,1.13686837721616e-13,0,0.0352618553909666,0.0350820422526468,0.0354425901621971,0,1.06477262291836e-19,0
"166",2020-06-14,"Extremadura","ESEX",1067710,1,0,3322,513,37629.371329584,37437.4649036371,37822.2614780242,0,1.13686837721616e-13,0,0.035243063499999,0.0350633270304082,0.035423721308243,0,1.06477262291836e-19,0
"167",2020-06-15,"Extremadura","ESEX",1067710,5,0,3327,513,37656.1327955182,37464.0762627706,37849.1738904238,0,1.13686837721616e-13,0,0.035268127858237,0.0350882508010326,0.0354489270405108,0,1.06477262291836e-19,0
"168",2020-06-16,"Extremadura","ESEX",1067710,2,0,3329,513,37649.5669372189,37457.5234882149,37842.5949864547,0,1.13686837721616e-13,0,0.0352619783810388,0.0350821135778582,0.0354427653449482,0,1.06477262291836e-19,0
"169",2020-06-17,"Extremadura","ESEX",1067710,7,0,3336,513,37699.0961141073,37506.7796324771,37892.3987009023,0,1.13686837721616e-13,0,0.0353083666108844,0.0351282460897408,0.0354894107022527,0,1.06477262291836e-19,0
"170",2020-06-18,"Extremadura","ESEX",1067710,4,0,3340,513,37713.4631243542,37521.0597713212,37906.8530979807,0,1.13686837721616e-13,0,0.0353218225214283,0.0351416206379272,0.0355029484578965,0,1.06477262291836e-19,0
