"","date","ccaa","reg_code","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"194",2020-07-12,"Castilla y León","ESCL",2399548,9,0,21137,2852,208629.74408049,208112.333882653,209148.440666826,0,52.1922150454766,364.002305296249,0.0869454347570834,0.0867298065646752,0.0871615990456644,0,2.17508526795366e-05,0.000151696196657141
"195",2020-07-13,"Castilla y León","ESCL",2399548,21,0,21158,2852,208695.417135999,208177.831044923,209214.290085336,0,-8.5265128291212e-13,364.002305296249,0.0869728036846934,0.0867571021896302,0.0871890414717005,0,-3.55338289924653e-19,0.000151696196657141
"196",2020-07-14,"Castilla y León","ESCL",2399548,20,0,21178,2852,208751.240483655,208233.502009001,209270.266230173,0,-8.5265128291212e-13,364.002305296249,0.086996067794291,0.08678030279411,0.0872123692587825,0,-3.55338289924653e-19,0.000151696196657141
"197",2020-07-15,"Castilla y León","ESCL",2399548,12,1,21190,2853,208798.612838857,208280.794052024,209317.719004574,0,-8.5265128291212e-13,225.945946008403,0.0870158099937393,0.086800011523847,0.0872321449725421,0,-3.55338289924653e-19,9.41618779905227e-05
"198",2020-07-16,"Castilla y León","ESCL",2399548,21,0,21211,2853,208858.270786122,208340.290143506,209377.539244675,0,-8.5265128291212e-13,225.945946008403,0.0870406721541397,0.0868248062316345,0.0872570747676958,0,-3.55338289924653e-19,9.41618779905227e-05
"199",2020-07-17,"Castilla y León","ESCL",2399548,18,0,21229,2853,208885.670641017,208367.608158623,209405.021177432,0,-8.5265128291212e-13,146.50353854426,0.0870520909108786,0.0868361908820423,0.087268527729986,0,-3.55338289924653e-19,6.10546396839154e-05
"200",2020-07-18,"Castilla y León","ESCL",2399548,27,0,21256,2853,208997.980129604,208479.625231501,209517.623843341,0,-8.5265128291212e-13,52.1922150454766,0.0870988953459585,0.0868828734542925,0.0873154543452939,0,-3.55338289924653e-19,2.17508526795366e-05
"201",2020-07-19,"Castilla y León","ESCL",2399548,24,1,21280,2854,209149.068106565,208630.373913544,209669.051870518,0,-8.5265128291212e-13,-8.5265128291212e-13,0.0871618605281348,0.0869456972369563,0.0873785612417499,0,-3.55338289924653e-19,-3.55338289924653e-19
"202",2020-07-20,"Castilla y León","ESCL",2399548,35,0,21315,2854,209327.894636721,208808.741248996,209848.338776156,401.145817053359,401.145817053358,401.145817053358,0.087236385617925,0.0870200309595789,0.0874532781907911,0.000167175575172224,0.000167175575172223,0.000167175575172223
"203",2020-07-21,"Castilla y León","ESCL",2399548,20,0,21335,2854,209350.232363573,208831.007898729,209870.747795922,239.046041577036,640.191858630394,640.191858630394,0.0872456947573349,0.0870293104779436,0.0874626170411768,9.96212793313723e-05,0.000266796854503596,0.000266796854503596
