"","date","ccaa","reg_code","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"172",2020-06-20,"Canarias","ESCN",2153389,11,0,2436,166,12292.9804610726,12135.7280164376,12452.2705528361,0,0,0,0.00570866687861442,0.00563564131535806,0.00578263869316509,0,0,0
"173",2020-06-21,"Canarias","ESCN",2153389,2,0,2438,166,12285.6415384058,12128.47044152,12444.8493928378,0,0,0,0.00570525879829691,0.00563227101165653,0.00577919242312363,0,0,0
"174",2020-06-22,"Canarias","ESCN",2153389,0,0,2438,166,12267.1584249412,12110.2071483539,12426.1438288494,0,0,0,0.00569667553096129,0.00562378982541191,0.0057705058532617,0,0,0
"175",2020-06-23,"Canarias","ESCN",2153389,6,0,2444,166,12278.5841028385,12121.474189519,12437.7303629321,0,0,0,0.0057019814361634,0.00562902206220937,0.00577588645754764,0,0,0
"176",2020-06-24,"Canarias","ESCN",2153389,1,0,2445,166,12265.0164044375,12108.0635603038,12424.003776649,0,0,0,0.00569568081031223,0.00562279437681894,0.00576951204666179,0,0,0
"177",2020-06-25,"Canarias","ESCN",2153389,1,0,2446,166,12251.5432309006,12094.7463378283,12410.3728466931,0,0,0,0.00568942408032202,0.0056166100680501,0.00576318205707054,0,0,0
"178",2020-06-26,"Canarias","ESCN",2153389,1,0,2447,166,12238.600160514,12081.9566168116,12397.2746004165,0,0,0,0.00568341352190152,0.00561067072266629,0.0057570994374061,0,0,0
"179",2020-06-27,"Canarias","ESCN",2153389,0,0,2447,166,12221.5004475488,12065.0635154621,12379.9657579932,0,0,0,0.00567547268401053,0.00560282583196168,0.00574906148308235,0,0,0
"180",2020-06-28,"Canarias","ESCN",2153389,0,0,2447,166,12205.4595062376,12049.2116359475,12363.7335171341,0,0,0,0.00566802352303165,0.00559546446830901,0.00574152348560065,0,0,0
"181",2020-06-29,"Canarias","ESCN",2153389,0,0,2447,166,12190.6531606563,12034.5826851497,12348.7476359943,0,0,0,0.00566114768890169,0.00558867101352783,0.00573456427797964,0,0,0
"182",2020-06-30,"Canarias","ESCN",2153389,5,0,2452,166,12202.015168946,12045.791142052,12360.2652932786,0,0,0,0.00566642402693893,0.00559387604471465,0.00573991289696315,0,0,0
"183",2020-07-01,"Canarias","ESCN",2153389,7,0,2459,166,12224.1290395516,12067.6097545398,12382.6784106433,0,0,0,0.00567669336081479,0.00560400826536208,0.00575032119632976,0,0,0
