"","date","ccaa","reg_code","population","cases","deaths","cum_cases","cum_deaths","cases_infected","cases_infected_low","cases_infected_high","cases_daily","cases_contagious","cases_active","p_cases_infected","p_cases_infected_low","p_cases_infected_high","p_cases_daily","p_cases_contagious","p_cases_active"
"294",2020-10-20,"Baleares","ESIB",1149460,118,1,16318,386,30059.9655388567,29855.1127762952,30266.2239117283,0,0,0,0.0261513802471218,0.0259731637258323,0.0263308196124514,0,0,0
"295",2020-10-21,"Baleares","ESIB",1149460,159,2,16477,388,30347.0571985326,30141.0159597303,30554.5069164699,0,0,0,0.0264011424482214,0.0262218919838275,0.0265816182524576,0,0,0
"296",2020-10-22,"Baleares","ESIB",1149460,182,3,16659,391,30750.9687691483,30543.3477661461,30960.0010935688,0,0,0,0.026752534902605,0.0265719100848626,0.0269343875329014,0,0,0
"297",2020-10-23,"Baleares","ESIB",1149460,186,0,16845,391,30916.1474774459,30707.3886333371,31126.3255322702,0,0,0,0.0268962360390495,0.0267146213294391,0.0270790854246952,0,0,0
"298",2020-10-24,"Baleares","ESIB",1149460,183,0,17028,391,31060.3948234568,30850.6380054571,31271.5778007044,0,0,0,0.0270217274402387,0.0268392445195632,0.0272054510819902,0,0,0
"299",2020-10-25,"Baleares","ESIB",1149460,176,1,17204,392,31254.6657561269,31043.9681644911,31466.7933671109,0,0,0,0.0271907380475413,0.0270074366785196,0.0273752834958249,0,0,0
"300",2020-10-26,"Baleares","ESIB",1149460,252,0,17456,392,31490.0633465595,31277.7514754996,31703.8163803777,3050.54178283682,3050.54178283682,3050.54178283682,0.0273955277665682,0.0272108220168597,0.0275814872900125,0.00265389120355368,0.00265389120355368,0.00265389120355368
"301",2020-10-27,"Baleares","ESIB",1149460,196,3,17652,395,31847.60695414,31634.0561933472,32062.599323532,626.013911519727,3676.55569435654,3676.55569435654,0.0277065813113462,0.0275207977601197,0.0278936190241783,0.000544615655629363,0.00319850685918304,0.00319850685918304
"302",2020-10-28,"Baleares","ESIB",1149460,194,1,17846,396,32021.8649152397,31807.5130371903,32237.6613176557,174.257961099713,3850.81365545626,3850.81365545626,0.0278581811591876,0.0276717006569958,0.028045918359626,0.000151599847841345,0.00335010670702439,0.00335010670702439
"303",2020-10-29,"Baleares","ESIB",1149460,149,2,17995,398,32179.9418434092,31965.2938008469,32396.0312549282,158.076928169514,4008.89058362577,4008.89058362577,0.0279957039335073,0.0278089657759704,0.028183696044167,0.000137522774319693,0.00348762948134408,0.00348762948134408
"304",2020-10-30,"Baleares","ESIB",1149460,139,0,18134,398,32146.8109046035,31932.3502205179,32362.711926926,0,4008.89058362577,4008.89058362577,0.0279668808872022,0.0277803057266176,0.0281547091042106,0,0.00348762948134408,0.00348762948134408
"305",2020-10-31,"Baleares","ESIB",1149460,99,1,18233,399,32117.8370054172,31903.9294299158,32333.1787757553,0,4008.89058362577,4008.89058362577,0.0279416743561474,0.0277555803854991,0.0281290160386227,0,0.00348762948134408,0.00348762948134408
"306",2020-11-01,"Baleares","ESIB",1149460,246,1,18479,400,32346.0131219452,32130.946865409,32562.5189095009,70.8355017381291,4079.7260853639,4079.7260853639,0.0281401815826085,0.0279530795899022,0.0283285359294807,6.16250254364041e-05,0.00354925450678049,0.00354925450678049
"307",2020-11-02,"Baleares","ESIB",1149460,339,2,18818,402,32814.4881078349,32597.0679201646,33033.3584731139,563.710762687533,4643.43684805143,4643.43684805143,0.0285477425119925,0.0283585926610448,0.0287381539793589,0.000490413553048852,0.00403966805982934,0.00403966805982934
"308",2020-11-03,"Baleares","ESIB",1149460,329,4,19147,406,33417.2728765347,33197.4182973747,33638.583473616,602.784768699814,5246.22161675125,5246.22161675125,0.0290721494236726,0.0288808817160881,0.0292646838285943,0.000524406911680105,0.00456407497150944,0.00456407497150944
"309",2020-11-04,"Baleares","ESIB",1149460,280,2,19427,408,33748.6631663697,33527.3846451274,33971.4021112173,331.390289834962,5577.61190658621,5577.61190658621,0.0293604502691435,0.029167943769359,0.0295542272990947,0.000288300845470884,0.00485237581698033,0.00485237581698033
"310",2020-11-05,"Baleares","ESIB",1149460,252,4,19679,412,34172.0232077232,33949.5126603488,34395.9921248889,423.360041353539,6000.97194793975,6000.97194793975,0.0297287623820953,0.0295351840519451,0.0299236094556478,0.000368312112951767,0.0052206879299321,0.0052206879299321
"311",2020-11-06,"Baleares","ESIB",1149460,208,0,19887,412,34165.9179459399,33943.4059590576,34389.8885838594,0,6000.97194793975,6000.97194793975,0.0297234509647486,0.0295298713822643,0.0299182995353117,0,0.0052206879299321,0.0052206879299321
"312",2020-11-07,"Baleares","ESIB",1149460,227,4,20114,416,34508.7884437654,34285.5694852172,34733.4606873021,330.659974258851,3281.09013936178,6331.6319221986,0.0300217392895493,0.0298275446602903,0.030217198238566,0.000287665490107399,0.00285446221648581,0.0055083534200395
"313",2020-11-08,"Baleares","ESIB",1149460,151,0,20265,416,34381.0337216608,34158.5986772557,34604.9172256308,0,2655.07622784206,6331.6319221986,0.0299105960378445,0.029717083393294,0.0301053688041609,0,0.00230984656085645,0.0055083534200395
"314",2020-11-09,"Baleares","ESIB",1149460,246,0,20511,416,34410.963358098,34188.2926995032,34635.0842857261,0,2480.81826674234,6331.6319221986,0.0299366340351974,0.0297429164124921,0.0301316133538584,0,0.0021582467130151,0.0055083534200395
"315",2020-11-10,"Baleares","ESIB",1149460,215,2,20726,418,34553.0191814885,34330.1617679117,34777.3232945339,0,2322.74133857283,6331.6319221986,0.0300602188692851,0.0298663387746522,0.0302553575544464,0,0.00202072393869541,0.0055083534200395
"316",2020-11-11,"Baleares","ESIB",1149460,183,3,20909,421,34722.6773244655,34499.8374748332,34946.9565315621,56.9608577845574,2379.70219635739,6388.59277998316,0.0302078169962117,0.030013952181749,0.0304029340138518,4.95544497281832e-05,0.0020702783884236,0.00555790786976768
"317",2020-11-12,"Baleares","ESIB",1149460,194,2,21103,423,34827.701571885,34604.90927656,35051.9282419242,268.057532118321,2647.75972847571,6656.65031210148,0.0302991853321429,0.0301053618886782,0.0304942566439234,0.00023320301021203,0.00230348139863563,0.00579111087997971
"318",2020-11-13,"Baleares","ESIB",1149460,197,5,21300,428,35185.8079873809,34962.5776866652,35410.463576804,358.10641549596,2935.03064223354,3964.21494476062,0.0306107285050205,0.0304165240083737,0.0308061729653959,0.000311543172877665,0.00255339954607689,0.00344876284930369
"319",2020-11-14,"Baleares","ESIB",1149460,188,2,21488,430,35284.2241876812,35061.0775164937,35508.791078679,98.4162003002639,2469.73607984627,3436.61723354116,0.0306963480135726,0.0305022162724181,0.0308917153086484,8.56195085520713e-05,0.00214860550158011,0.0029897667022264
"320",2020-11-15,"Baleares","ESIB",1149460,145,2,21633,432,35314.9429988073,35092.3047782826,35538.9937163896,30.7188111261712,1897.67012227263,3293.07808356762,0.0307230725721707,0.0305293831697341,0.0309179908099365,2.67245585980993e-05,0.0016509231484981,0.00286489141298315
"321",2020-11-16,"Baleares","ESIB",1149460,245,0,21878,432,35349.174354137,35126.2834508883,35573.4795930305,34.2313553296844,1600.51118776735,3169.23251072779,0.0307528529519401,0.0305589437221724,0.0309479926165595,2.97803797693564e-05,0.00139240268279657,0.00275714901843282
"322",2020-11-17,"Baleares","ESIB",1149460,187,3,22065,435,35538.1324356511,35315.1192875147,35762.5539002606,188.958081514102,1366.10922792791,3358.19059224189,0.0309172415183226,0.0307232259387145,0.0311124822962614,0.000164388566382564,0.00118847913622737,0.00292153758481538
"323",2020-11-18,"Baleares","ESIB",1149460,254,0,22319,435,35589.9954833331,35366.6215807768,35814.7802048512,51.8630476819308,1417.97227560984,3410.05363992382,0.0309623610071973,0.0307680315807221,0.0311579178091027,4.51194888747157e-05,0.00123359862510208,0.0029666570736901
"324",2020-11-19,"Baleares","ESIB",1149460,273,0,22592,435,35669.668697672,35445.760063137,35894.9917489533,79.6732143389163,1166.98551568991,3418.89135252461,0.0310316746104014,0.0308368799811538,0.0312276997450571,6.93136032040404e-05,0.00101524673819873,0.00297434565145773
"325",2020-11-20,"Baleares","ESIB",1149460,275,2,22867,437,35910.3162768531,35685.598158032,36136.4494828671,240.647579181088,1407.63309487099,3095.82816901816,0.0312410316817054,0.0310455328223966,0.0314377616296932,0.000209357071303993,0.00122460380950272,0.00269328916971288
"326",2020-11-21,"Baleares","ESIB",1149460,207,2,23074,439,36035.8548451675,35811.0480093537,36262.0729246126,125.538568314478,1533.17166318547,2618.58196863283,0.0313502469378382,0.0311546708970766,0.0315470507234811,0.00010921525613286,0.00133381906563558,0.00227809751416563
