Country;Area;City;Gender;Age;Think of your 15 closest contacts in the last month. The rest of the questions below are with respect to this group of people. These contacts can be family, friends, or colleagues whose health status you know. From the above 15 closest contacts in the last month, how many have had COVID-19 in the last month?;From the above 15 closest contacts in the last month, how many have been hospitalized for COVID-19 in the last month?;From the above 15 closest contacts in the last month, how many died from COVID-19 in the last month?;From the above 15 closest contacts in the last month, how many have COVID-19 today?;From the above 15 closest contacts in the last month, how many started with COVID-19 in the latest 7 days?;From the above 15 closest contacts in the last month, how many have (ever) been vaccinated for COVID-19?;Education;Race
AU;Queensland;Brisbane;female;25 - 34;0;0;0;0;0;15;vocational_technical_college;other
AU;New South Wales;Sydney;male;35 - 44;0;0;0;0;0;15;high_school;white
AU;Queensland;Brisbane;male;> 54;3;0;0;0;0;0;high_school;other
AU;Victoria;Unknown;male;35 - 44;0;0;0;0;0;15;university;white
AU;Australian Capital Territory;Canberra;male;> 54;0;1;0;0;0;15;university;white
AU;New South Wales;Sydney;female;25 - 34;4;0;1;3;3;3;high_school;other
AU;Victoria;Warragul;female;35 - 44;2;0;0;0;0;15;high_school;white
AU;Queensland;Brisbane;female;25 - 34;3;0;0;0;0;15;postgraduate;white
AU;Queensland;Mackay;male;25 - 34;6;1;0;0;0;15;university;asian
AU;Tasmania;Launceston;male;35 - 44;0;0;0;0;0;15;university;white
AU;Western Australia;Perth;female;25 - 34;0;0;0;0;0;11;high_school;white
AU;Victoria;Melbourne;male;35 - 44;14;11;12;14;14;15;university;white
AU;Victoria;Melbourne;male;35 - 44;1;0;0;0;1;14;high_school;white
AU;New South Wales;Sydney;male;18 - 24;3;0;6;3;1;3;university;asian
AU;Queensland;Sunshine Coast;male;> 54;0;0;0;0;0;14;high_school;white
AU;Victoria;Melbourne;female;> 54;3;1;0;5;0;15;high_school;multiracial
AU;New South Wales;Sydney;female;25 - 34;2;0;0;0;0;15;university;white
AU;Victoria;Melbourne;female;25 - 34;4;0;0;0;0;3;university;white
AU;Queensland;Brisbane;female;35 - 44;2;0;0;0;0;0;high_school;white
AU;South Australia;Adelaide;female;25 - 34;15;1;0;7;5;11;university;white
AU;New South Wales;Sydney;male;45 - 54;0;0;0;0;0;0;vocational_technical_college;white
AU;New South Wales;Sydney;male;25 - 34;2;0;0;1;1;2;high_school;asian
AU;New South Wales;Sydney;male;45 - 54;7;4;1;7;2;1;university;white
AU;New South Wales;Sydney;male;45 - 54;7;4;1;7;7;2;university;white
AU;New South Wales;Sydney;male;45 - 54;7;4;1;7;3;2;university;white
AU;New South Wales;Sydney;male;45 - 54;7;4;1;7;2;1;university;white
AU;Western Australia;Perth;male;45 - 54;6;6;4;6;6;6;university;white
AU;Western Australia;Perth;male;45 - 54;6;6;3;6;6;6;university;white
AU;New South Wales;Sydney;male;45 - 54;6;6;3;6;6;6;university;white
AU;New South Wales;Sydney;male;45 - 54;6;6;4;6;5;7;university;white
AU;Victoria;Melbourne;male;45 - 54;6;6;4;6;6;6;university;white
AU;Western Australia;Perth;male;45 - 54;6;6;3;6;6;6;university;white
AU;New South Wales;Sydney;female;> 54;0;0;0;0;0;1;middle_school;white
AU;Victoria;Unknown;male;25 - 34;15;15;15;15;15;15;elementary_school;other
AU;Tasmania;Hobart;female;45 - 54;1;0;0;0;0;8;high_school;asian
AU;Queensland;Brisbane;female;18 - 24;3;1;0;0;1;3;vocational_technical_college;white
AU;Queensland;Brisbane;male;> 54;0;0;0;0;0;15;vocational_technical_college;white
AU;New South Wales;Sydney;female;18 - 24;5;0;0;0;3;13;high_school;white
AU;South Australia;Adelaide;male;35 - 44;0;1;0;3;2;15;university;white
AU;Tasmania;Hobart;male;35 - 44;3;0;0;1;8;14;vocational_technical_college;white
AU;New South Wales;Unknown;female;18 - 24;6;1;0;0;0;15;high_school;white
AU;Western Australia;Perth;female;> 54;3;0;0;0;0;15;high_school;white
AU;Queensland;Unknown;male;35 - 44;0;0;0;0;0;15;high_school;white
AU;Queensland;Brisbane;female;> 54;0;0;0;0;0;15;high_school;white
AU;New South Wales;Sydney;female;25 - 34;3;0;0;0;0;3;high_school;white
AU;Victoria;Pakenham;male;> 54;6;0;0;0;1;15;vocational_technical_college;white
AU;New South Wales;Sydney;female;25 - 34;4;0;0;0;0;4;vocational_technical_college;white
AU;New South Wales;Newcastle;female;35 - 44;3;0;0;0;0;3;university;white
AU;Victoria;Melbourne;male;> 54;1;0;0;0;0;15;high_school;white
AU;South Australia;Adelaide;male;35 - 44;1;0;0;0;1;1;middle_school;white
AU;Victoria;Geelong;female;25 - 34;2;0;0;0;0;15;university;white
AU;New South Wales;Sydney;female;> 54;0;0;0;0;0;11;high_school;asian
AU;Victoria;Unknown;female;35 - 44;4;0;0;0;4;3;university;white
AU;Queensland;Brisbane;male;> 54;2;0;1;0;0;1;university;white
AU;Victoria;Unknown;male;35 - 44;2;0;0;0;0;15;university;white
AU;Queensland;Brisbane;female;25 - 34;0;0;0;0;0;4;university;white
AU;Queensland;Brisbane;female;25 - 34;0;0;0;0;0;15;high_school;white
AU;New South Wales;Sydney;male;35 - 44;4;1;0;2;1;15;university;white
AU;Australian Capital Territory;Canberra;female;25 - 34;0;0;0;0;0;10;university;asian
AU;New South Wales;Sydney;female;35 - 44;0;0;0;0;0;0;vocational_technical_college;white
AU;South Australia;Adelaide;male;> 54;0;0;0;0;0;9;university;white
AU;Victoria;Melbourne;female;> 54;1;1;0;1;1;15;high_school;white
AU;New South Wales;Sydney;female;18 - 24;0;0;0;0;0;15;university;white
AU;New South Wales;Lower Bucca;male;35 - 44;2;2;1;2;1;3;high_school;multiracial
AU;South Australia;Adelaide;female;25 - 34;0;0;0;0;0;15;university;white
AU;Victoria;Melbourne;male;25 - 34;5;0;0;3;0;10;university;other
AU;Victoria;Ross Creek;male;45 - 54;1;0;0;0;1;14;postgraduate;white
AU;New South Wales;Sydney;male;25 - 34;10;11;15;4;5;1;postgraduate;white
AU;Queensland;Gladstone;female;25 - 34;10;0;0;1;1;15;high_school;white
AU;Victoria;Melbourne;female;45 - 54;0;0;0;0;0;15;university;white
AU;New South Wales;Port Macquarie;female;25 - 34;4;0;0;0;0;2;vocational_technical_college;white
AU;South Australia;Adelaide;female;18 - 24;2;0;0;0;0;2;high_school;white
AU;Victoria;Melbourne;female;35 - 44;15;1;1;0;0;3;postgraduate;asian
AU;New South Wales;Sydney;female;25 - 34;1;0;0;0;0;0;postgraduate;white
AU;Queensland;Brisbane;female;18 - 24;1;0;0;0;0;11;high_school;white
AU;Unknown;Unknown;female;45 - 54;1;0;0;0;0;0;university;white
AU;New South Wales;Unknown;female;35 - 44;1;0;0;0;0;15;high_school;white
AU;South Australia;Adelaide;female;45 - 54;2;0;1;1;1;11;high_school;white
AU;Victoria;Melbourne;female;35 - 44;3;0;0;0;0;15;university;white
AU;New South Wales;Wollongong;female;25 - 34;1;0;0;0;0;1;high_school;white
AU;Victoria;Melbourne;female;18 - 24;3;0;0;2;2;15;university;white
AU;Queensland;Toowoomba;female;35 - 44;1;0;0;0;0;15;vocational_technical_college;white
AU;New South Wales;Sydney;female;35 - 44;1;1;0;0;0;15;high_school;white
AU;New South Wales;Sydney;female;25 - 34;0;0;0;0;0;15;university;multiracial
AU;Western Australia;Perth;male;18 - 24;0;0;0;0;0;5;high_school;asian
AU;Victoria;Melbourne;female;25 - 34;0;0;0;0;0;14;university;white
AU;New South Wales;Sydney;female;25 - 34;5;0;0;1;2;15;high_school;white
AU;Victoria;Romsey;female;35 - 44;1;0;0;0;0;15;postgraduate;white
AU;Australian Capital Territory;Canberra;female;18 - 24;14;0;0;1;1;15;vocational_technical_college;white
AU;New South Wales;Sydney;female;35 - 44;0;0;0;0;0;15;vocational_technical_college;white
AU;New South Wales;Sydney;female;35 - 44;6;1;0;2;1;7;university;other
AU;Victoria;Melbourne;female;35 - 44;0;0;0;0;0;0;high_school;white
AU;New South Wales;Sydney;female;18 - 24;9;2;1;2;4;9;university;white
AU;Western Australia;Quinns Rocks;female;35 - 44;9;3;1;2;2;9;university;white
AU;Western Australia;Unknown;male;45 - 54;9;2;1;2;2;13;high_school;white
AU;Victoria;Brookfield;male;25 - 34;9;12;2;3;2;14;vocational_technical_college;white
AU;New South Wales;Sydney;male;18 - 24;13;3;1;11;6;9;university;white
AU;Western Australia;Perth;female;18 - 24;12;7;9;10;8;9;university;white
AU;Victoria;Melbourne;male;35 - 44;14;2;1;6;12;8;vocational_technical_college;white
AU;Victoria;Melbourne;male;35 - 44;1;2;3;2;2;3;postgraduate;white
