Country;Area;County;City;Gender;Age;Think of your 15 closest contacts in the last month. The rest of the questions below are with respect to this group of people. These contacts can be family, friends, or colleagues whose health status you know. From the above 15 closest contacts in the last month, how many have had COVID-19 in the last month?;From the above 15 closest contacts in the last month, how many have been hospitalized for COVID-19 in the last month?;From the above 15 closest contacts in the last month, how many died from COVID-19 in the last month?;From the above 15 closest contacts in the last month, how many have COVID-19 today?;From the above 15 closest contacts in the last month, how many started with COVID-19 in the latest 7 days?;From the above 15 closest contacts in the last month, how many have (ever) been vaccinated for COVID-19?;Education;Race
GB;England;Essex, East of England, England, United Kingdom;Braintree;female;45 - 54;0;0;0;1;1;15;vocational_technical_college;white
GB;England;Unknown;Bedford;female;18 - 24;0;0;0;0;0;4;vocational_technical_college;white
GB;Scotland;Unknown;Edinburgh;male;18 - 24;9;9;9;9;9;9;middle_school;asian
GB;Scotland;Unknown;Falkirk;female;45 - 54;15;15;15;15;15;15;high_school;white
GB;England;Unknown;London;female;45 - 54;2;0;0;0;0;15;vocational_technical_college;white
GB;England;Unknown;London;male;25 - 34;2;2;0;0;1;15;postgraduate;white
GB;England;Derbyshire, East Midlands, England, United Kingdom;Ripley;female;35 - 44;1;0;0;0;0;10;vocational_technical_college;white
GB;England;Unknown;London;female;35 - 44;2;1;0;1;1;2;high_school;white
GB;England;Unknown;Flitwick;female;> 54;0;0;0;0;0;15;vocational_technical_college;white
GB;Scotland;Unknown;Glasgow;female;35 - 44;2;0;0;0;0;15;university;white
GB;England;Unknown;London;female;35 - 44;1;0;0;0;0;0;vocational_technical_college;other
GB;England;Hampshire, South East England, England, United Kingdom;Aldershot;male;18 - 24;3;1;0;1;2;15;vocational_technical_college;white
GB;Scotland;Unknown;Falkirk;male;> 54;1;1;1;3;1;9;high_school;white
GB;England;Unknown;Northampton;male;45 - 54;0;0;0;0;0;9;vocational_technical_college;white
GB;England;Unknown;Chatham;female;45 - 54;7;0;0;2;2;15;university;asian
GB;England;Nottinghamshire, East Midlands, England, United Kingdom;Mansfield;female;18 - 24;1;0;0;0;0;15;vocational_technical_college;white
GB;England;Lincolnshire, East Midlands, England, United Kingdom;Mablethorpe;male;> 54;4;1;0;2;2;3;vocational_technical_college;white
GB;England;Unknown;London;female;45 - 54;8;6;6;13;0;4;elementary_school;asian
GB;England;West Yorkshire, Yorkshire and the Humber, England, United Kingdom;Leeds;male;18 - 24;2;1;0;1;1;2;university;white
GB;England;Unknown;Winscombe;male;45 - 54;1;0;0;0;0;5;vocational_technical_college;white
GB;England;Unknown;Milton Keynes;female;18 - 24;2;1;0;1;1;13;university;white
GB;England;West Midlands, West Midlands, England, United Kingdom;Birmingham;female;> 54;1;1;1;1;1;1;vocational_technical_college;white
GB;Northern Ireland;Unknown;Belfast;female;35 - 44;3;0;0;0;0;15;high_school;white
GB;England;Somerset, South West England, England, United Kingdom;Taunton;female;18 - 24;1;0;0;0;0;6;university;white
