"Timestamp,""Country"",""ISO.3166.1.a2"",""Region"",""ISO.3166.2"",""Language"",""Reach"",""Cases"",""Visibility"",""Recovered"",""Fatalities"",""RecentCases"",""RecentCases14"",""PositiveTest14Days"",""PositiveTest07Days"",""LongCovid"",""StillSick"",""Tested"",""Positive"",""Hospital"",""Severe"",""ICU"",""Vaccinated"",""RecentVaccinated"",""VaccineSideEffects"",""RefuseVaccine"",""ContactsDoctors"",""Surveyfirst"",""Surveyknown"",""Surveyforward"",""Dataset"",""Cookie"",""Campaign"""
"2021-08-19,""Namibia"",""NA"",""Karas"",""NAKA"",""en"",5000,150,10,,50,10,,,,,15,,,30,,,,,5,25,,,,,""limesurvey-18257"",""4zjl2hqillbgnz8110"","
"2021-08-19,""Namibia"",""NA"",""Karas"",""NAKA"",""en"",5000,150,10,,50,10,,,,,15,,,30,,,,,5,25,,,,,""limesurvey-18258"",""4zjl2hqillbgnz8110"","
