Timestamp,Country,ISO-3166-1-a2,Region,ISO-3166-2,Language,Reach,Cases,Recovered,Fatalities,RecentCases,RecentHospital,RecentCasesNursing,StillSick,Tested,Positive,Hospital,Severe,ICU,Surveyfirst,Surveyknown,Surveyforward,Dataset,Cookie,Campaign
2020/08/18,Spain,ES,,ESMRO,en,40,7,,,0,0,,,,,,,,,,,limesurvey-5185,mcx7qbgv5wkd9aofhk,
2020/08/18,Spain,ES,,ESMRO,en,51,7,,,0,0,,,,,,,,,,,limesurvey-5192,nyic6kw2jmkdw1hz8r,
2020/08/18,Spain,ES,,ESMRO,en,50,6,,,0,0,,,,,,,,,,,limesurvey-5195,sc2ldf898mke0j2oy4,
2020/08/18,Spain,ES,,ESMRC,en,20,2,,,0,0,,,,,,,,,,,limesurvey-5197,hlpgw68sddkd9267wh,
2020/08/18,Spain,ES,,ESMRC,en,20,2,,,0,0,,,,,,,,,,,limesurvey-5191,cgaguydbfokdef3k01,
2020/08/18,Spain,ES,,ESMRE,en,20,6,,,0,0,,,,,,,,,,,limesurvey-5194,dbzikkd5qikda2rajt,
2020/08/18,Spain,ES,,ESMRO,en,40,7,,,0,0,,,,,,,,,,,limesurvey-5186,mcx7qbgv5wkd9aofhk,
2020/08/18,Spain,ES,,ESMRC,en,20,2,,,0,0,,,,,,,,,,,limesurvey-5190,cgaguydbfokdef3k01,
2020/08/18,Spain,ES,,ESMRO,en,14,0,,,0,0,,,,,,,,,,,limesurvey-5198,uqq5a86tdgkdxnsp5d,
2020/08/18,Spain,ES,,ESMRE,en,50,1,,,0,0,,,,,,,,,,,limesurvey-5188,mkzgd1jji1ke0gybac,
2020/08/18,Spain,ES,,ESMRC,en,20,4,,,0,,,,,,,,,,,,limesurvey-5187,8klyh206fjke0gxxbi,
2020/08/18,Spain,ES,,ESMRO,en,50,6,,,0,0,,,,,,,,,,,limesurvey-5196,sc2ldf898mke0j2oy4,
2020/08/18,Spain,ES,,ESMRC,en,10,0,,,0,0,,,,,,,,,,,limesurvey-5189,b4zq4vxg8dkdbrmeae,
2020/08/19,Spain,ES,,ESMRE,en,25,1,,,0,0,,,,,,,,,,,limesurvey-5230,nftb1xf21ikdg25yt0,
2020/08/19,Spain,ES,,ESMRO,en,20,7,,,0,0,,,,,,,,,,,limesurvey-5219,rvnb3qt84kdbx4p6w,
2020/08/19,Spain,ES,,ESMRO,en,40,4,,,0,0,,,,,,,,,,,limesurvey-5231,8ob9ii1a9ekdahgw3a,
2020/08/19,Spain,ES,,ESMRC,en,10,0,,,0,0,,,,,,,,,,,limesurvey-5242,3i9shft1ngkddmhm4j,
2020/08/19,Spain,ES,,ESMAR,en,50,5,,,1,0,,,,,,,,,,,limesurvey-5265,psdwq2hxq4kd8yh21a,
2020/08/19,Spain,ES,,ESMRE,en,100,10,,,0,0,,,,,,,,,,,limesurvey-5246,gohko7deybke1fpqlz,
2020/08/19,Spain,ES,,ESMAR,en,50,2,,,0,0,,,,,,,,,,,limesurvey-5216,svm21x4y9tkdgc2n6e,
2020/08/19,Spain,ES,,ESMRC,en,20,2,,,0,0,,,,,,,,,,,limesurvey-5249,cgaguydbfokdef3k01,
2020/08/19,Spain,ES,,ESMAR,en,15,3,,,0,,,,,,,,,,,,limesurvey-5209,okunxhkhy4kdka6tz9,
2020/08/19,Spain,ES,,ESMRO,en,100,3,,,0,0,,,,,,,,,,,limesurvey-5248,f9iv69to24ke1ftisn,
2020/08/19,Spain,ES,,ESMRO,en,8,2,,,2,0,,,,,,,,,,,limesurvey-5199,grbekj1wlvkdg5h9o9,
2020/08/19,Spain,ES,,ESMRC,en,20,0,,,0,0,,,,,,,,,,,limesurvey-5245,nyxh0akuwake1evw31,
2020/08/19,Spain,ES,,ESMRO,en,20,7,,,0,0,,,,,,,,,,,limesurvey-5220,rvnb3qt84kdbx4p6w,
