"CountryName","RegionName","SumCases","SumCost","AvgCases","AvgCost","PrescriptionIndex"
"Afghanistan","",6526181.8037654,627.3,72513.1311529489,6.97,4
"Albania","",310248.776196747,198,3447.2086244083,2.2,4
"Algeria","",5873907.61109471,328.5,65265.6401232745,3.65,4
"Andorra","",1165.47507082272,495.9,12.9497230091414,5.51,4
"Angola","",4924463.60310258,687.6,54716.2622566953,7.64,4
"Argentina","",4031190.23248266,586.8,44791.0025831407,6.52,4
"Aruba","",4482.46939064119,747.9,49.8052154515688,8.31,4
"Australia","",3438091.09674327,422.1,38201.0121860363,4.69,4
"Austria","",543018.082715506,362.7,6033.53425239451,4.03,4
"Azerbaijan","",1214776.36277812,503.1,13497.5151419791,5.59,4
"Bahamas","",35629.2213744304,377.1,395.880237493671,4.19,4
"Bahrain","",114758.33244668,456.3,1275.09258274088,5.07,4
"Bangladesh","",26862962.7876028,1017.9,298477.364306698,11.31,4
"Barbados","",23606.6988829304,508.5,262.296654254782,5.65,4
"Belarus","",1037228.7293099,692.1,11524.7636589989,7.69,4
"Belgium","",701011.632493553,631.8,7789.01813881726,7.02,4
"Belize","",46635.9043417312,487.8,518.176714908124,5.42,4
"Benin","",1806651.2363161,774,20073.9026257344,8.6,4
"Bermuda","",8993.90837241239,629.1,99.9323152490266,6.99,4
"Bhutan","",121139.342938068,614.7,1345.99269931187,6.83,4
"Bolivia","",1392658.53794462,384.3,15473.9837549403,4.27,4
"Bosnia and Herzegovina","",303407.762335007,836.1,3371.19735927786,9.29,4
"Botswana","",290488.954192775,861.3,3227.65504658639,9.57,4
"Brazil","",19485811.7374971,771.3,216509.019305523,8.57,4
"Brunei","",63639.6938518911,509.4,707.107709465457,5.66,4
"Bulgaria","",793224.893212416,303.3,8813.6099245824,3.37,4
"Burkina Faso","",3516882.71359913,505.8,39076.4745955459,5.62,4
"Burundi","",2064511.27441509,901.8,22939.0141601676,10.02,4
"Cambodia","",1645461.9572976,700.2,18282.91063664,7.78,4
"Cameroon","",0,270,0,3,4
"Canada","",4075110.51080701,544.5,45279.0056756334,6.05,4
"Cape Verde","",56436.1860120141,579.6,627.068733466824,6.44,4
"Central African Republic","",495932.540734583,771.3,5510.36156371759,8.57,4
"Chad","",2368410.51916974,706.5,26315.6724352194,7.85,4
"Chile","",1938699.0693434,639.9,21541.1007704822,7.11,4
"China","",60657780.8879985,315.9,673975.343199983,3.51,4
"Colombia","",4153075.95186224,739.8,46145.2883540249,8.22,4
"Comoros","",126606.089850342,724.5,1406.73433167047,8.05,4
"Congo","",458907.925321549,828.9,5098.97694801721,9.21,4
"Costa Rica","",442437.817011293,596.7,4915.97574456992,6.63,4
"Cote d'Ivoire","",4007562.59228222,693,44528.4732475802,7.7,4
"Croatia","",222704.96019813,427.5,2474.499557757,4.75,4
"Cuba","",1596845.40832861,669.6,17742.7267592068,7.44,4
"Cyprus","",120614.75661942,514.8,1340.163962438,5.72,4
"Czech Republic","",227721.562475151,481.5,2530.23958305723,5.35,4
"Democratic Republic of Congo","",13588001.960546,350.1,150977.799561622,3.89,4
"Denmark","",438961.914239077,715.5,4877.35460265642,7.95,4
"Djibouti","",139862.075164745,594,1554.02305738606,6.6,4
"Dominica","",11707.7827248531,468,130.08647472059,5.2,4
