ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B1_1.1,B1_1.2,B1_1.NA,B1_2.1,B1_2.2,B1_2.NA,B1_3.1,B1_3.2,B1_3.NA,B1_4.1,B1_4.2,B1_4.NA,B1_5.1,B1_5.2,B1_5.NA,B1_6.1,B1_6.2,B1_6.NA,B1_7.1,B1_7.2,B1_7.NA,B1_8.1,B1_8.2,B1_8.NA,B1_9.1,B1_9.2,B1_9.NA,B1_10.1,B1_10.2,B1_10.NA,B1_11.1,B1_11.2,B1_11.NA,B1_12.1,B1_12.2,B1_12.NA,B3.1,B3.2,B3.NA,B5.1,B5.2,B5.NA,B6.1,B6.2,B6.NA,B7.1,B7.2,B7.NA,B8.1,B8.2,B8.NA,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C1_m.1,C1_m.2,C1_m.NA,C2.1,C2.2,C2.3,C2.4,C2.NA,C3.1,C3.2,C3.NA,C5.1,C5.2,C5.3,C5.5,C5.6,C5.NA,C6.1,C6.2,C6.3,C6.4,C6.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D3.1,D3.2,D3.3,D3.4,D3.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,E3.1,E3.2,E3.4,E3.NA,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E4.NA,E2.1,E2.2,E2.3,E2.NA,B2.mean,B2.sd,B4.mean,B4.sd,E5.mean,E5.sd,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
MC,MCO,Monaco,2021-01-08,2020-12-01,100,9,403814.453565781,4,145582.06874324,35,84,9,2,4077364.83080195,49,11,81,8,13,80,7,11,81,8,23,71,6,21,72,7,13,81,6,7,85,8,8,86,6,7,85,8,11,81,8,13,79,8,18,73,9,12,76,12,6,5,89,30,54,16,9,21,70,2,7,91,29,46,25,49,26,25,33,39,28,34,40,26,17,57,26,33,41,26,35,40,25,15,9,3,8,65,10,56,34,46,12,3,3,2,34,27,9,18,11,35,1,2,9,9,37,42,3,2,6,13,36,40,16,23,9,8,44,4,7,8,36,45,21,25,4,50,7,12,11,9,4,8,1,48,33,8,5,54,21.8522372528616,24.2359438924403,54.6875,41.1538381303268,9.4320987654321,16.1374257794383,0.09,0.0560905943465434,0.0990380969873518,0.000289943022431706,0.04,0.0384072934108425,0.0357049405153686,0.000180105689579166,0.00586854460093897,0.00193850259267506
MC,MCO,Monaco,2021-01-09,2020-12-05,100,9,403814.453565781,4,145582.06874324,28,84,9,2,3990048.58755144,50,11,82,7,13,81,6,11,82,7,23,72,5,22,72,6,13,82,5,7,86,7,8,87,5,7,86,7,11,82,7,13,80,7,19,73,8,11,76,13,5,5,90,30,54,16,9,20,71,2,7,91,29,47,24,47,28,25,31,40,29,33,41,26,16,58,26,33,41,26,34,40,26,15,8,3,8,66,10,56,34,48,10,3,3,2,34,28,8,18,11,35,1,2,10,9,37,41,3,3,6,13,36,39,16,24,8,9,43,4,7,8,37,44,23,24,4,49,7,12,13,9,4,7,1,47,33,8,6,53,20.703125,23.2468726217861,43.75,29.8807152333598,9.07372400756144,15.6448207890921,0.09,0.0560905943465434,0.101205397554717,0.000295931410662261,0.04,0.0384072934108425,0.0364862897152284,0.000183972453168751,0.00469483568075117,0.00173487265065376
MC,MCO,Monaco,2021-01-10,2020-12-08,100,10,408086.071080439,4,145582.06874324,28,82,9,2,4094874.11996625,46,12,80,8,16,78,6,11,81,8,23,71,6,24,69,7,14,81,5,8,84,8,10,85,5,7,85,8,12,81,7,15,77,8,21,71,8,13,74,13,6,5,89,29,54,17,9,19,72,2,6,92,28,44,28,44,27,29,28,40,32,30,39,31,13,57,30,30,41,29,33,38,29,16,8,2,7,67,11,53,36,46,10,3,2,2,37,29,8,16,9,38,1,2,9,8,37,43,4,2,5,13,34,42,15,21,7,9,48,4,7,6,34,49,21,22,4,53,6,10,12,8,4,8,1,51,29,9,6,56,16.9753086419753,19.8958684412309,43.75,29.8807152333598,10.1473922902494,17.879850245487,0.1,0.0587989195362016,0.0996577816862909,0.000290126386365736,0.04,0.0384072934108425,0.0355522696127323,0.000179349770904247,0.00480934386808657,0.00177708438363472
MC,MCO,Monaco,2021-01-11,2020-12-09,100,10,408086.071080439,4,145582.06874324,28,82,9,2,4121974.95659723,46,12,80,8,16,78,6,11,81,8,22,72,6,24,69,7,14,81,5,8,84,8,10,85,5,8,84,8,12,81,7,15,77,8,21,71,8,13,74,13,6,5,89,28,55,17,9,17,74,2,6,92,26,46,28,45,26,29,27,41,32,29,40,31,13,57,30,30,41,29,31,40,29,15,7,2,7,69,12,52,36,46,10,3,2,2,37,30,7,16,9,38,1,2,9,9,37,42,4,2,5,14,34,41,17,20,7,9,47,4,8,7,33,48,20,23,4,53,6,9,12,8,4,9,1,51,29,9,6,56,16.2162162162162,19.1745915799935,43.75,29.8807152333598,9.78907517577069,17.2735186575928,0.1,0.0587989195362016,0.0990025595442534,0.000288323742495741,0.04,0.0384072934108425,0.0353185233477062,0.000178192185796994,0.00480934386808657,0.00177708438363472
MC,MCO,Monaco,2021-01-12,2020-12-11,100,10,408086.071080439,4,145582.06874324,28,83,10,3,4103949.16134712,47,11,81,8,16,78,6,11,81,8,22,72,6,24,69,7,14,81,5,9,83,8,10,85,5,8,84,8,12,81,7,14,78,8,21,71,8,13,75,12,6,5,89,30,54,16,10,18,72,3,6,91,27,46,27,45,26,29,27,41,32,30,39,31,13,57,30,29,42,29,33,39,28,17,8,1,7,67,12,53,35,46,11,3,2,2,36,30,7,17,9,37,3,2,9,10,35,41,5,2,6,14,33,40,18,20,7,9,46,4,9,7,33,47,20,24,4,52,6,11,12,8,4,8,1,50,31,8,6,55,16.2162162162162,19.1745915799935,43.75,29.8807152333598,9.65909090909091,16.6659659344011,0.1,0.0587989195362016,0.0994374089533031,0.000289520257185704,0.04,0.0384072934108425,0.0354736530643212,0.000178960469188594,0.00475139996606143,0.00175572483877038
MC,MCO,Monaco,2021-01-13,2020-12-11,100,10,408086.071080439,4,145582.06874324,28,82,10,3,4246051.95786461,44,11,81,8,16,78,6,10,82,8,23,71,6,25,68,7,14,81,5,9,83,8,10,85,5,8,84,8,12,81,7,14,78,8,21,71,8,13,74,13,6,5,89,30,53,17,10,18,72,3,6,91,26,45,29,43,26,31,25,41,34,29,38,33,12,56,32,28,41,31,33,37,30,18,8,1,6,67,11,52,37,46,10,3,1,2,38,29,7,17,8,39,3,2,9,10,32,44,5,2,6,14,30,43,17,20,6,8,49,4,8,7,31,50,20,22,3,55,5,11,11,8,4,7,1,53,30,7,5,58,16.8736303871439,19.1152978794634,43.75,29.8807152333598,10.5294467578822,18.4581058868421,0.1,0.0587989195362016,0.0961095330745011,0.000280347427683345,0.04,0.0384072934108425,0.0342864548498023,0.000173077610805088,0.00480934386808657,0.00177708438363472
MC,MCO,Monaco,2021-01-14,2020-12-12,100,11,456564.619699632,5,162063.360219104,24,81,12,4,4191800.82203902,43,12,80,8,17,76,7,11,81,8,23,71,6,25,68,7,16,79,5,11,81,8,11,84,5,9,82,9,12,80,8,15,77,8,21,70,9,14,73,13,7,5,88,32,51,17,12,18,70,4,7,89,26,45,29,43,26,31,25,41,34,29,38,33,13,55,32,29,40,31,34,36,30,18,8,1,7,66,12,50,38,47,9,2,1,2,39,30,7,15,8,40,4,0,9,10,32,45,6,1,6,13,30,44,18,19,5,8,50,4,7,7,30,52,19,22,3,56,4,11,10,8,4,7,2,54,29,6,6,59,21.5485756026297,35.6595564098849,37.5,14.9403576166799,11.439842209073,19.8339603595654,0.11,0.0613252654740242,0.108918490902329,0.000298234097438987,0.05,0.042716424707947,0.0386619897030964,0.000184555898186339,0.00417318727177882,0.00166610455623734
MC,MCO,Monaco,2021-01-15,2020-12-12,100,11,456564.619699632,5,162063.360219104,39,81,12,4,4163086.83674387,42,12,80,8,17,76,7,11,81,8,23,71,6,26,67,7,15,80,5,11,81,8,11,84,5,9,82,9,13,79,8,15,77,8,21,70,9,15,72,13,8,5,87,32,51,17,12,18,70,4,7,89,27,44,29,44,25,31,25,41,34,30,37,33,13,55,32,29,40,31,35,35,30,18,9,1,7,65,12,49,39,46,9,2,1,2,40,29,7,15,8,41,4,0,9,10,31,46,6,1,6,13,29,45,17,19,5,8,51,4,7,7,29,53,19,21,3,57,4,11,10,7,4,7,2,55,28,6,6,60,21.8407596785975,35.5449555849272,48.1481481481482,46.1479103495449,11.9113573407202,20.6009225357246,0.11,0.0613252654740242,0.109669732485506,0.000300164492732299,0.05,0.042716424707947,0.0389286523616837,0.000185803057284673,0.00678142931664058,0.0021210916901445
MC,MCO,Monaco,2021-01-16,2020-12-12,100,11,456564.619699632,5,162063.360219104,39,81,12,4,4122627.16121578,42,12,80,8,16,77,7,11,81,8,23,71,6,27,66,7,15,80,5,12,80,8,11,84,5,9,82,9,12,80,8,15,77,8,21,70,9,15,72,13,8,5,87,32,50,18,12,18,70,4,7,89,27,44,29,44,25,31,25,41,34,29,38,33,13,55,32,28,41,31,35,36,29,18,9,1,7,65,12,50,38,47,9,2,1,2,39,30,7,15,8,40,4,0,9,10,32,45,6,1,6,13,30,44,17,19,5,8,51,4,7,7,29,53,19,21,3,57,4,11,10,7,4,7,2,55,28,6,6,60,21.9138056975895,35.5244301956942,48.1481481481482,46.1479103495449,11.9113573407202,20.6009225357246,0.11,0.0613252654740242,0.11074603689483,0.000302927054800578,0.05,0.042716424707947,0.0393107001631723,0.000187589241446021,0.00678142931664058,0.0021210916901445
MC,MCO,Monaco,2021-01-17,2020-12-13,100,11,456564.619699632,5,162063.360219104,39,81,12,4,4136438.10503164,41,12,80,8,16,77,7,11,81,8,22,72,6,27,66,7,15,80,5,12,80,8,11,84,5,9,82,9,12,80,8,15,77,8,21,70,9,15,72,13,8,5,87,33,49,18,12,19,69,4,7,89,27,43,30,44,25,31,26,40,34,28,39,33,13,55,32,29,40,31,36,35,29,19,9,1,7,64,12,50,38,47,9,2,1,2,39,30,7,15,8,40,4,0,9,10,32,45,6,1,6,13,30,44,17,18,6,8,51,4,7,7,29,53,19,22,2,57,4,11,10,6,4,7,3,55,27,6,6,61,21.9138056975895,35.5244301956942,48.1481481481482,46.1479103495449,12.417823228634,21.4185230252957,0.11,0.0613252654740242,0.110376272557846,0.000301978390854105,0.05,0.042716424707947,0.0391794476561771,0.000186975680528085,0.00678142931664058,0.0021210916901445
