ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B1_1.1,B1_1.2,B1_1.NA,B1_2.1,B1_2.2,B1_2.NA,B1_3.1,B1_3.2,B1_3.NA,B1_4.1,B1_4.2,B1_4.NA,B1_5.1,B1_5.2,B1_5.NA,B1_6.1,B1_6.2,B1_6.NA,B1_7.1,B1_7.2,B1_7.NA,B1_8.1,B1_8.2,B1_8.NA,B1_9.1,B1_9.2,B1_9.NA,B1_10.1,B1_10.2,B1_10.NA,B1_11.1,B1_11.2,B1_11.NA,B1_12.1,B1_12.2,B1_12.NA,B3.1,B3.2,B3.NA,B5.1,B5.2,B5.NA,B6.1,B6.2,B6.NA,B7.1,B7.2,B7.NA,B8.1,B8.2,B8.3,B8.NA,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C1_m.1,C1_m.2,C1_m.NA,C2.1,C2.2,C2.3,C2.4,C2.NA,C3.1,C3.2,C3.NA,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C5.NA,C6.1,C6.2,C6.3,C6.4,C6.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D3.1,D3.2,D3.3,D3.4,D3.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,E3.1,E3.2,E3.3,E3.4,E3.NA,E4.1,E4.2,E4.3,E4.4,E4.5,E4.7,E4.NA,E2.1,E2.2,E2.3,E2.NA,B2.mean,B2.sd,B4.mean,B4.sd,E5.mean,E5.sd,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
TJ,TJK,Tajikistan,2021-04-05,2021-01-01,100,7,923775.060370129,4,82622.4404428899,80,73,9,3,4947347.69172111,38,10,83,7,15,80,5,10,84,6,26,70,4,24,74,2,21,74,5,11,84,5,9,85,6,9,85,6,10,85,5,8,86,6,19,76,5,14,65,21,6,7,87,33,45,22,9,24,67,3,5,1,91,34,23,43,34,19,47,20,34,46,26,28,46,20,34,46,24,32,44,24,32,44,10,3,6,5,76,9,45,46,32,4,3,3,3,9,46,24,10,7,13,46,2,2,5,12,27,52,3,4,6,12,22,53,14,17,4,10,55,8,6,12,19,55,31,7,0,3,59,7,12,10,7,2,2,60,19,10,8,63,30.321046373365,61.2935923182047,125,150.297324375006,9.87755102040816,8.43996828515565,0.07,0.0500078962992033,0.186721273282647,0.000343382755131326,0.04,0.0384072934108425,0.0167003504890409,0.000112919152408632,0.0154350762106888,0.00335609352899766
TJ,TJK,Tajikistan,2021-04-07,2021-01-02,100,7,923775.060370129,4,82622.4404428899,80,72,9,3,4952370.51271138,37,10,83,7,15,80,5,10,84,6,27,69,4,24,74,2,21,74,5,11,84,5,9,85,6,9,85,6,10,85,5,8,86,6,19,76,5,14,64,22,6,7,87,32,45,23,9,23,68,3,5,1,91,33,23,44,33,19,48,20,33,47,26,27,47,19,34,47,24,31,45,24,31,45,10,3,6,5,76,8,45,47,31,4,3,3,3,9,47,23,10,7,13,47,2,2,5,11,27,53,3,4,6,12,21,54,13,17,4,10,56,8,6,12,18,56,31,6,0,3,60,7,12,9,7,2,2,61,18,10,8,64,30.321046373365,61.2935923182047,125,150.297324375006,10.121107266436,8.81434984386644,0.07,0.0500078962992033,0.186531895785877,0.000343074424182945,0.04,0.0384072934108425,0.0166834125659259,0.000112805598472033,0.0156494522691706,0.00340233547173059
TJ,TJK,Tajikistan,2021-04-11,2021-01-06,100,7,923775.060370129,4,82622.4404428899,80,71,9,3,4973265.53697644,38,10,83,7,14,80,6,11,83,6,27,68,5,24,73,3,21,73,6,10,83,7,9,84,7,10,84,6,9,86,5,9,84,7,19,76,5,14,63,23,6,7,87,33,43,24,9,24,67,3,5,1,91,31,24,45,33,17,50,19,33,48,26,26,48,18,34,48,23,31,46,24,30,46,11,3,5,5,76,8,45,47,31,4,3,3,3,9,47,22,10,8,13,47,2,2,5,12,27,52,3,4,7,12,21,53,14,17,4,10,55,8,6,12,19,55,31,7,0,3,59,8,12,9,7,2,2,60,19,10,8,63,32.1428571428572,64.5204415450878,125,150.297324375006,9.71428571428571,8.46431673929711,0.07,0.0500078962992033,0.185748187685098,0.000341797535115586,0.04,0.0384072934108425,0.0166133177142038,0.000112335652832263,0.0158698670898631,0.00344986937906035
TJ,TJK,Tajikistan,2021-04-12,2021-01-07,100,7,923775.060370129,4,82622.4404428899,80,71,8,2,5001416.0082183,38,10,83,7,14,80,6,11,83,6,27,68,5,24,73,3,20,74,6,10,83,7,9,84,7,10,84,6,9,86,5,9,84,7,19,76,5,14,63,23,6,7,87,32,44,24,8,24,68,2,5,1,92,30,25,45,34,17,49,18,35,47,26,27,47,17,36,47,22,33,45,24,30,46,11,3,5,5,76,9,44,47,31,4,3,3,3,9,47,21,10,10,12,47,1,3,4,13,27,52,2,4,6,14,21,53,13,17,5,10,55,6,7,13,19,55,30,8,0,3,59,8,12,11,6,2,1,60,20,10,7,63,34.5679012345679,67.8589180062643,125,150.297324375006,8.97959183673469,8.14463660765536,0.07,0.0500078962992033,0.184702703964675,0.000340091853285614,0.04,0.0384072934108425,0.0165198096513318,0.000111708682269384,0.0158698670898631,0.00344986937906035
TJ,TJK,Tajikistan,2021-04-13,2021-01-07,100,8,942414.715887366,4,82622.4404428899,80,71,8,2,5018759.56726855,38,11,82,7,14,79,7,12,82,6,27,68,5,23,73,4,19,74,7,10,82,8,8,84,8,11,83,6,9,86,5,9,83,8,19,75,6,15,63,22,7,7,86,32,44,24,8,24,68,2,5,1,92,30,25,45,34,17,49,18,35,47,26,27,47,17,36,47,22,33,45,24,30,46,11,3,5,5,76,9,44,47,31,4,3,3,3,9,47,21,10,10,12,47,1,3,4,13,27,52,2,4,6,14,21,53,13,17,5,10,55,6,7,13,19,55,30,8,0,3,59,8,12,11,6,2,1,60,20,10,7,63,32.5255102040816,64.3543085373378,125,150.297324375006,8.97959183673469,8.14463660765536,0.08,0.0531724899927667,0.187778414816606,0.000341672474884321,0.04,0.0384072934108425,0.0164627213827374,0.00011132587635765,0.0158698670898631,0.00344986937906035
TJ,TJK,Tajikistan,2021-04-15,2021-01-08,100,8,942414.715887366,4,82622.4404428899,80,70,7,2,5025951.64636656,37,11,82,7,14,79,7,12,82,6,27,68,5,23,73,4,19,74,7,11,81,8,8,84,8,11,83,6,9,86,5,9,83,8,19,75,6,15,62,23,7,7,86,31,44,25,7,24,69,2,4,1,93,29,25,46,33,17,50,18,34,48,25,27,48,17,35,48,22,32,46,24,29,47,11,3,5,5,76,9,43,48,31,4,3,3,3,8,48,21,9,10,12,48,1,3,4,13,26,53,2,4,6,14,20,54,13,17,5,9,56,6,7,13,18,56,29,8,0,3,60,8,11,11,6,2,1,61,20,9,7,64,32.5255102040816,64.3543085373378,125,150.297324375006,8.65051903114187,7.72893154044855,0.08,0.0531724899927667,0.187509706061074,0.00034123997801762,0.04,0.0384072934108425,0.0164391634174636,0.000111167901645544,0.0160965794768612,0.00349875015712513
TJ,TJK,Tajikistan,2021-04-16,2021-01-09,100,8,942414.715887366,4,82622.4404428899,81,71,7,2,5046109.10241122,37,11,82,7,14,79,7,11,83,6,26,69,5,22,74,4,18,75,7,11,81,8,8,84,8,11,83,6,9,86,5,8,84,8,18,76,6,16,62,22,7,8,85,32,44,24,7,24,69,2,4,1,93,28,25,47,32,17,51,18,33,49,25,26,49,16,35,49,22,31,47,24,30,46,11,3,5,5,76,10,43,47,32,4,3,3,3,8,47,21,9,10,12,48,1,3,4,13,27,52,2,4,6,14,21,53,13,18,5,9,55,6,7,13,19,55,29,8,0,3,60,8,11,11,6,2,1,61,20,9,7,64,32.5255102040816,64.3543085373378,98.7654320987654,130.341958183465,8.65051903114187,7.72893154044855,0.08,0.0531724899927667,0.186760669807366,0.000340033473078986,0.04,0.0384072934108425,0.016373494660155,0.000110727520678291,0.0160682404284864,0.00347101421729087
TJ,TJK,Tajikistan,2021-04-17,2021-01-10,100,8,942414.715887366,4,82622.4404428899,81,71,7,2,5031099.21521014,38,11,82,7,15,78,7,11,83,6,27,68,5,23,73,4,18,75,7,11,81,8,8,84,8,11,83,6,9,86,5,8,84,8,18,76,6,16,62,22,7,8,85,33,44,23,7,25,68,2,4,1,93,28,26,46,33,17,50,19,33,48,26,26,48,16,36,48,22,32,46,25,30,45,11,4,5,5,75,10,44,46,32,4,3,3,4,8,46,21,9,11,12,47,1,3,5,13,27,51,2,4,6,15,21,52,14,18,5,9,54,7,7,13,19,54,30,8,0,3,59,8,12,11,6,2,1,60,21,9,7,63,30.6777645659929,61.1407387377752,98.7654320987654,130.341958183465,8.16326530612245,7.53201592763485,0.08,0.0531724899927667,0.187317855517187,0.000340931082671867,0.04,0.0384072934108425,0.0164223436884536,0.000111055109770372,0.0160682404284864,0.00347101421729087
TJ,TJK,Tajikistan,2021-04-18,2021-01-11,100,8,942414.715887366,4,82622.4404428899,181,72,7,2,5014126.31044031,39,11,83,6,15,79,6,11,84,5,26,69,5,23,74,3,18,76,6,11,82,7,8,84,8,11,84,5,9,87,4,9,84,7,18,77,5,17,62,21,8,8,84,34,44,22,7,25,68,2,4,1,93,29,26,45,34,17,49,20,33,47,27,26,47,17,36,47,23,32,45,26,30,44,11,4,5,6,74,11,44,45,32,4,3,3,5,8,45,21,9,11,13,46,2,3,5,13,27,50,3,4,6,15,21,51,15,18,5,9,53,8,7,13,19,53,30,8,0,4,58,8,12,12,6,2,1,59,21,10,7,62,29.6666666666667,58.0747965328951,180,308.616986642739,10.0308641975309,14.4913429392933,0.08,0.0531724899927667,0.187951929716068,0.000341951662739494,0.04,0.0384072934108425,0.0164779336074672,0.000111427884270062,0.0354068857589984,0.00506603997039365
TJ,TJK,Tajikistan,2021-04-19,2021-01-11,100,8,942414.715887366,4,82622.4404428899,181,73,8,2,5021962.41764123,40,11,83,6,16,78,6,11,84,5,27,68,5,24,73,3,18,76,6,11,82,7,8,84,8,12,83,5,9,87,4,10,83,7,18,77,5,17,63,20,8,8,84,35,44,21,8,25,67,2,5,1,92,30,26,44,35,17,48,21,33,46,28,26,46,18,36,46,24,32,44,27,30,43,11,4,6,6,73,11,45,44,32,4,3,3,6,8,44,21,9,11,14,45,2,4,5,13,27,49,3,4,7,15,21,50,16,18,5,9,52,8,7,13,20,52,30,9,0,4,57,8,13,12,6,2,1,58,22,10,7,61,28.8241415192508,55.2604622186055,180,308.616986642739,9.56902848794741,13.9508016227664,0.08,0.0531724899927667,0.187658655623713,0.000341479739083694,0.04,0.0384072934108425,0.0164522219745517,0.00011125547002943,0.0349218599266834,0.00499789823413633
