ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B1_1.1,B1_1.2,B1_1.NA,B1_2.1,B1_2.2,B1_2.NA,B1_3.1,B1_3.2,B1_3.NA,B1_4.1,B1_4.2,B1_4.NA,B1_5.1,B1_5.2,B1_5.NA,B1_6.1,B1_6.2,B1_6.NA,B1_7.1,B1_7.2,B1_7.NA,B1_8.1,B1_8.2,B1_8.NA,B1_9.1,B1_9.2,B1_9.NA,B1_10.1,B1_10.2,B1_10.NA,B1_11.1,B1_11.2,B1_11.NA,B1_12.1,B1_12.2,B1_12.NA,B3.1,B3.2,B3.NA,B5.1,B5.2,B5.NA,B6.1,B6.2,B6.NA,B7.1,B7.2,B7.NA,B8.1,B8.2,B8.3,B8.NA,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C1_m.1,C1_m.2,C1_m.NA,C2.1,C2.2,C2.3,C2.4,C2.NA,C3.1,C3.2,C3.NA,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C5.NA,C6.1,C6.2,C6.3,C6.4,C6.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D3.1,D3.2,D3.3,D3.4,D3.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,E3.1,E3.2,E3.3,E3.4,E3.NA,E4.1,E4.2,E4.3,E4.4,E4.5,E4.7,E4.NA,E2.1,E2.2,E2.3,E2.NA,B2.mean,B2.sd,B4.mean,B4.sd,E5.mean,E5.sd,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
CC,CCK,Cocos (Keeling) Islands,2021-05-25,2021-01-03,100,13,507329.86177906,10,325893.219229047,114,79,16,2,3573709.20889945,40,16,80,4,20,74,6,16,76,8,25,69,6,30,65,5,19,74,7,13,80,7,15,78,7,11,82,7,13,82,5,13,75,12,22,70,8,17,67,16,9,6,85,28,46,26,16,10,74,2,10,3,85,32,23,45,36,20,44,26,29,45,26,28,46,15,39,46,22,32,46,28,27,45,13,7,1,7,72,6,47,47,32,8,3,3,7,5,42,25,8,9,11,47,6,2,5,7,30,50,3,4,7,9,27,50,12,14,7,15,52,9,7,5,29,50,30,9,4,2,55,8,11,3,14,7,2,55,24,12,5,59,35.6481481481482,62.5427543359697,79.1666666666667,70.3975005295506,13.7959183673469,16.9666817667219,0.13,0.0659142619332497,0.141961707604994,0.000361849042430023,0.1,0.0587989195362016,0.0911918682184574,0.00029847134598668,0.0203244785166696,0.00369280355352068
CC,CCK,Cocos (Keeling) Islands,2021-05-26,2021-01-04,100,13,507329.86177906,10,325893.219229047,114,80,15,1,3914685.12978691,41,16,80,4,20,74,6,16,76,8,26,68,6,30,65,5,19,74,7,13,80,7,15,78,7,11,82,7,13,82,5,13,74,13,22,70,8,16,68,16,9,5,86,27,46,27,15,11,74,1,10,3,86,32,23,45,36,20,44,26,29,45,26,28,46,15,39,46,22,32,46,28,27,45,13,7,1,7,72,6,47,47,32,8,3,3,7,6,41,25,8,9,11,47,6,2,5,8,30,49,3,4,8,9,27,49,12,14,7,15,52,9,7,6,29,49,31,9,4,2,54,8,12,3,14,7,2,54,24,12,6,58,33.8203067932798,60.2312105673699,79.1666666666667,70.3975005295506,13.2716049382716,16.2800544362597,0.13,0.0659142619332497,0.129596594607004,0.000332703031904257,0.1,0.0587989195362016,0.0832488970183883,0.000273662088857969,0.0200704225352113,0.00364711631439272
CC,CCK,Cocos (Keeling) Islands,2021-05-27,2021-01-05,100,13,507329.86177906,10,325893.219229047,114,80,15,1,4034188.37870578,41,16,80,4,20,74,6,17,75,8,27,67,6,30,65,5,19,74,7,14,79,7,14,79,7,11,82,7,13,82,5,13,73,14,22,70,8,16,68,16,9,5,86,27,45,28,15,11,74,1,10,3,86,32,22,46,36,19,45,26,28,46,26,27,47,15,38,47,22,31,47,28,26,46,13,7,1,7,72,6,46,48,31,8,3,3,7,6,42,24,8,9,11,48,6,2,5,8,30,49,3,4,8,9,27,49,12,14,7,15,52,9,7,6,29,49,31,9,4,2,54,8,12,3,14,7,2,54,24,12,6,58,35.6481481481482,62.5427543359697,79.1666666666667,70.3975005295506,13.2716049382716,16.2800544362597,0.13,0.0659142619332497,0.125757603303051,0.000323558685208123,0.1,0.0587989195362016,0.0807828461727902,0.000265912430343295,0.0200704225352113,0.00364711631439272
