ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B1_1.1,B1_1.2,B1_1.NA,B1_2.1,B1_2.2,B1_2.NA,B1_3.1,B1_3.2,B1_3.NA,B1_4.1,B1_4.2,B1_4.NA,B1_5.1,B1_5.2,B1_5.NA,B1_6.1,B1_6.2,B1_6.NA,B1_7.1,B1_7.2,B1_7.NA,B1_8.1,B1_8.2,B1_8.NA,B1_9.1,B1_9.2,B1_9.NA,B1_10.1,B1_10.2,B1_10.NA,B1_11.1,B1_11.2,B1_11.NA,B1_12.1,B1_12.2,B1_12.NA,B3.1,B3.2,B3.NA,B5.1,B5.2,B5.NA,B6.1,B6.2,B6.NA,B7.1,B7.2,B7.NA,B8.1,B8.2,B8.NA,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C1_m.1,C1_m.2,C1_m.NA,C2.1,C2.2,C2.3,C2.4,C2.NA,C3.1,C3.2,C3.NA,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C5.NA,C6.1,C6.2,C6.3,C6.4,C6.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D3.1,D3.2,D3.3,D3.4,D3.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,E3.1,E3.2,E3.3,E3.4,E3.NA,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E4.NA,E2.1,E2.2,E2.3,E2.NA,B2.mean,B2.sd,B4.mean,B4.sd,E5.mean,E5.sd,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
LT,LTU,Lithuania,2021-01-04,2020-12-04,100,3,110388.748121738,3,110388.748121738,42,92,12,2,1777771.56222284,78,5,93,2,14,84,2,3,94,3,16,83,1,23,75,2,12,85,3,8,90,2,5,92,3,3,94,3,4,93,3,6,92,2,14,85,1,18,76,6,7,11,82,49,44,7,12,37,51,2,10,88,23,65,12,52,36,12,17,72,11,27,62,11,11,77,12,15,73,12,29,60,11,21,4,3,1,71,4,82,14,57,16,5,1,4,5,12,45,14,16,12,13,0,2,9,21,53,15,0,3,17,19,47,14,23,43,9,9,16,2,10,19,53,16,45,30,2,3,20,10,27,22,12,10,0,0,19,40,26,11,23,28.9113622843546,49.8646620941261,16.015625,9.40100559780708,4.01753104455807,3.57864735344002,0.03,0.0334344809563718,0.0620938879142118,0.000354743317643403,0.03,0.0334344809563718,0.0620938879142118,0.000354743317643403,0.00642988364972443,0.00193832153352041
LT,LTU,Lithuania,2021-01-05,2020-12-06,100,3,110388.748121738,3,110388.748121738,42,92,12,2,1744125.7958682,76,5,93,2,12,86,2,3,94,3,14,85,1,21,77,2,12,85,3,8,90,2,5,92,3,3,94,3,4,93,3,7,91,2,15,84,1,18,76,6,7,11,82,47,46,7,12,35,53,2,10,88,23,65,12,49,39,12,17,72,11,26,63,11,11,77,12,15,73,12,29,60,11,21,4,3,1,71,4,82,14,58,15,4,1,4,5,13,45,15,15,12,13,0,3,8,19,54,16,0,4,15,17,49,15,21,44,8,10,17,3,10,18,52,17,43,30,2,3,22,9,25,21,14,10,0,0,21,38,27,11,24,32.1875,59.571621136845,16.015625,9.40100559780708,4.05329330080691,3.64895867419675,0.03,0.0334344809563718,0.063291735253986,0.000361355663488043,0.03,0.0334344809563718,0.063291735253986,0.000361355663488043,0.00642988364972443,0.00193832153352041
LT,LTU,Lithuania,2021-01-07,2020-12-09,100,3,110388.748121738,3,110388.748121738,42,93,12,2,1717839.40779523,76,6,92,2,12,86,2,3,94,3,15,84,1,23,75,2,12,85,3,9,89,2,6,91,3,3,94,3,4,93,3,8,90,2,16,83,1,18,77,5,7,11,82,47,47,6,12,35,53,2,10,88,23,65,12,50,38,12,17,72,11,27,62,11,11,77,12,16,72,12,29,60,11,21,4,3,1,71,5,81,14,58,15,4,1,4,5,13,45,15,15,12,13,0,3,9,19,53,16,0,4,16,17,48,15,21,43,8,10,18,4,9,18,52,17,43,30,2,3,22,9,24,21,14,11,0,0,21,38,28,10,24,31.0529446757882,57.4311899536268,16.015625,9.40100559780708,3.99926953981008,3.5749141061437,0.03,0.0334344809563718,0.0642602257351964,0.000366695414075362,0.03,0.0334344809563718,0.0642602257351964,0.000366695414075362,0.00636074511585643,0.00191754608015736
LT,LTU,Lithuania,2021-01-08,2020-12-09,100,3,110388.748121738,3,110388.748121738,42,93,12,2,1716338.521538,76,6,92,2,11,87,2,3,94,3,15,84,1,22,76,2,11,86,3,9,89,2,6,91,3,3,94,3,4,93,3,8,90,2,16,83,1,18,77,5,7,11,82,47,47,6,12,35,53,2,10,88,24,64,12,50,38,12,18,71,11,27,62,11,11,77,12,17,71,12,29,60,11,21,4,3,1,71,5,81,14,57,16,4,1,4,5,13,45,15,15,12,13,0,3,9,18,54,16,0,4,16,17,48,15,21,42,8,10,19,4,9,18,52,17,42,31,2,3,22,9,24,21,14,11,0,0,21,38,28,10,24,30.75,59.2046645771455,16.015625,9.40100559780708,4.03579254930606,3.56127115410621,0.03,0.0334344809563718,0.0643164193639488,0.000367005057847506,0.03,0.0334344809563718,0.0643164193639488,0.000367005057847506,0.00636074511585643,0.00191754608015736
LT,LTU,Lithuania,2021-01-09,2020-12-09,100,3,110388.748121738,3,110388.748121738,42,92,12,2,1687702.19836468,75,6,92,2,11,87,2,3,94,3,15,84,1,22,76,2,11,86,3,9,89,2,6,91,3,3,94,3,4,93,3,8,90,2,16,83,1,18,76,6,7,11,82,46,48,6,12,34,54,2,10,88,23,64,13,49,38,13,18,70,12,26,62,12,11,76,13,17,70,13,28,60,12,20,4,3,1,72,5,80,15,56,16,4,1,4,5,14,45,15,14,12,14,0,3,9,18,53,17,0,4,16,16,48,16,20,42,8,10,20,4,9,17,52,18,41,31,2,3,23,9,24,21,13,11,0,0,22,37,28,10,25,30.75,59.2046645771455,16.015625,9.40100559780708,4.10958904109589,3.63150084944906,0.03,0.0334344809563718,0.06540771720787,0.000373014551605795,0.03,0.0334344809563718,0.06540771720787,0.000373014551605795,0.00642988364972443,0.00193832153352041
LT,LTU,Lithuania,2021-01-10,2020-12-11,100,2,105939.471334836,2,105939.471334836,41,92,11,1,1755755.29111579,74,5,93,2,10,88,2,2,95,3,15,84,1,21,77,2,10,87,3,9,89,2,5,92,3,2,95,3,3,94,3,8,90,2,15,84,1,18,76,6,7,11,82,45,49,6,11,34,55,1,10,89,26,61,13,50,37,13,19,69,12,27,61,12,13,74,13,18,69,13,30,58,12,20,6,3,1,70,4,80,16,56,15,5,2,3,4,15,46,17,12,10,15,0,3,8,18,53,18,0,4,16,16,47,17,19,43,9,8,21,4,7,18,52,19,43,28,2,3,24,10,26,18,12,11,0,0,23,38,27,9,26,31.6239316239316,61.5618863798307,15.625,9.68245836551854,3.96746677246578,1.99625374129333,0.02,0.0274394957835608,0.060338403575313,0.00035220761760108,0.02,0.0274394957835608,0.060338403575313,0.00035220761760108,0.00627679118187385,0.0019152548018052
LT,LTU,Lithuania,2021-01-11,2020-12-12,100,2,105939.471334836,2,105939.471334836,41,92,11,1,1754927.25081506,73,5,93,2,11,87,2,2,95,3,16,83,1,22,76,2,11,86,3,9,89,2,4,93,3,2,95,3,3,94,3,9,89,2,15,84,1,18,76,6,7,11,82,46,48,6,11,34,55,1,10,89,24,61,15,49,37,14,19,67,14,25,61,14,13,72,15,18,67,15,28,59,13,19,5,3,1,72,4,79,17,55,15,5,2,3,4,16,46,18,12,8,16,0,3,8,18,52,19,0,4,16,16,46,18,20,41,9,8,22,4,7,18,51,20,42,28,2,3,25,10,26,17,11,12,0,0,24,39,25,9,27,31.5625,59.2222224727795,15.625,9.68245836551854,3.98730410632811,1.97736956400756,0.02,0.0274394957835608,0.0603668734904158,0.00035236846416535,0.02,0.0274394957835608,0.0603668734904158,0.00035236846416535,0.00627679118187385,0.0019152548018052
LT,LTU,Lithuania,2021-01-12,2020-12-12,100,2,105939.471334836,2,105939.471334836,39,92,10,0,1743877.18393304,73,5,93,2,10,88,2,2,95,3,16,83,1,21,77,2,11,86,3,8,90,2,4,93,3,1,96,3,3,94,3,9,89,2,14,85,1,18,76,6,6,12,82,46,48,6,10,35,55,0,10,90,24,61,15,50,36,14,19,67,14,26,60,14,13,72,15,18,67,15,29,58,13,20,5,3,1,71,4,79,17,55,15,5,2,3,4,16,45,18,13,8,16,0,3,9,17,52,19,0,4,17,15,46,18,20,41,9,8,22,4,7,19,50,20,42,29,2,2,25,10,26,17,11,12,0,0,24,39,25,9,27,33.0046022353715,61.4010484679222,14.84375,9.91500336190899,3.96746677246578,1.98200678678911,0.02,0.0274394957835608,0.0607493878071769,0.000354529060255803,0.02,0.0274394957835608,0.0607493878071769,0.000354529060255803,0.00597060624617269,0.00186824501397685
LT,LTU,Lithuania,2021-01-13,2020-12-12,100,2,105939.471334836,2,105939.471334836,39,92,10,0,1752041.10862756,73,5,93,2,9,89,2,2,95,3,16,83,1,21,77,2,10,87,3,7,91,2,5,92,3,1,96,3,3,94,3,8,90,2,14,85,1,18,76,6,6,12,82,46,48,6,10,35,55,0,10,90,24,60,16,50,36,14,20,66,14,28,58,14,14,71,15,18,67,15,31,56,13,21,5,3,2,69,4,79,17,53,16,6,2,3,4,16,43,18,13,10,16,0,4,9,17,51,19,0,5,17,15,45,18,20,40,9,9,22,4,8,20,48,20,42,28,2,2,26,10,26,17,12,11,0,0,24,37,26,10,27,29.1913214990138,58.2351589956534,14.84375,9.91500336190899,4.04081632653061,2.00519037490195,0.02,0.0274394957835608,0.0604663160088876,0.000352930244714323,0.02,0.0274394957835608,0.0604663160088876,0.000352930244714323,0.00597060624617269,0.00186824501397685
LT,LTU,Lithuania,2021-01-14,2020-12-13,100,2,105939.471334836,2,105939.471334836,39,93,10,0,1747747.18498034,75,5,93,2,9,89,2,2,95,3,15,84,1,20,78,2,9,88,3,7,91,2,5,92,3,1,96,3,3,94,3,8,90,2,14,85,1,18,77,5,6,12,82,48,47,5,10,37,53,0,10,90,25,60,15,50,37,13,20,67,13,30,57,13,14,72,14,18,68,14,33,55,12,22,5,3,3,67,4,80,16,54,16,6,2,3,4,15,43,18,13,11,15,0,4,9,17,52,18,0,5,17,15,46,17,20,41,9,9,21,4,8,20,49,19,44,27,2,2,25,10,26,19,12,10,0,0,23,37,27,11,25,29.1913214990138,58.2351589956534,14.84375,9.91500336190899,3.89660493827161,1.93124978917256,0.02,0.0274394957835608,0.0606148716732318,0.000353769363842476,0.02,0.0274394957835608,0.0606148716732318,0.000353769363842476,0.00590640617900954,0.00184821603916915
