ISO2,ISO_3,country_agg,date,weight,Finished,B2,B4,E5,E6,pos_RF,count,symptomatic,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,stringent_cli,stringent_cli_vaccinated,stringent_cli_unvaccinated,stringent_cli_vac1dose,stringent_cli_vac2doses,classic_cli,classic_cli_vaccinated,classic_cli_unvaccinated,classic_cli_vac1dose,classic_cli_vac2doses,broad_cli,broad_cli_vaccinated,broad_cli_unvaccinated,broad_cli_vac1dose,broad_cli_vac2doses,test_recent,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,first_date,day_count,days_aggregated,p_rf,p_rf_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
BR,BRA,Brazil,2021-04-01,145198016.056569,9961,51244.35,17085.3,26295.1,136014.67,1954,15114,8349,1313,12537,729,546,283,2939683.67288685,15,232,6,6,174,1783936.12397714,17120,13711,750708.394966804,491,29,398,16,11,1126,63,932,28,30,1202,78,983,35,38,1154,532,37,493,19,15,416,75,1728,35,32,1634,100,241,107,243,229,236,129,130,114,182,270,157,6,16,8,18,19,19,11,8,8,11,18,12,306,855,444,968,826,921,544,502,440,613,1052,556,15,34,17,41,40,46,27,16,18,34,43,28,2021-04-01,15114,1,0.129284107450046,0.00534895800859976,0.0187243615191213,0.00216101309919603,0.0202460319550203,2.29084773674046e-05,0.0115125049622866,0.00170070460275436,0.0122862293330655,1.7918127104495e-05,0.0228051266174492,0.000337690846423577
BR,BRA,Brazil,2021-04-02,146489063.219905,10369,49483.14,15989.9,27539.5,142683.2,1690,14867,7992,1389,12246,785,570,269,3296921.920647,19,213,10,9,164,1872285.38921912,16017,13491,738662.895229899,448,21,359,13,8,1033,62,834,35,25,1119,67,903,36,29,1178,519,46,469,23,23,412,73,1461,39,33,1426,94,235,109,232,213,246,132,129,106,191,260,134,10,16,5,22,22,20,14,10,8,13,20,13,289,751,399,859,760,851,496,472,396,562,900,504,18,29,12,43,34,35,24,23,17,24,38,23,2021-04-02,14867,1,0.113674581287415,0.00510228489043283,0.0180937647137957,0.00214257433579401,0.022506266667142,2.40189606817704e-05,0.0110311427994888,0.00167895084548707,0.0127810592003617,1.81901237209016e-05,0.0216837749715517,0.000332148291582934
BR,BRA,Brazil,2021-04-03,145992828.985776,10546,50762.18,15397.2,28186.1,145190,1724,15345,8182,1531,12522,852,632,244,2630023.33269985,11,201,7,2,154,1723998.8636651,15437,13940,763246.665147491,455,23,373,16,6,1100,60,914,35,18,1177,69,980,42,21,1237,526,46,477,26,18,410,81,1512,47,29,1477,95,246,114,250,232,242,133,123,122,177,266,151,8,16,9,20,16,12,12,6,9,14,14,9,275,793,432,891,805,876,502,470,447,578,936,534,14,33,21,44,38,33,21,16,18,31,32,21,2021-04-03,15345,1,0.112349299446074,0.00499655737891681,0.015900944933203,0.00197922659888251,0.0180147432649317,2.15749029712017e-05,0.0100358422939068,0.00157707117566914,0.0118087914018918,1.75228824419347e-05,0.0202254404832767,0.000315811330229053
BR,BRA,Brazil,2021-04-04,144749909.088753,10699,53229.4,16353.6,29655.5,148198.88,1859,15645,8329,1529,12883,889,598,290,3068985.49119842,12,227,5,7,181,1826843.09649581,16386,14238,779562.842063843,478,32,373,13,19,1145,81,936,39,38,1226,83,1001,42,37,1247,565,53,508,29,22,441,104,1596,52,46,1599,86,265,131,259,254,253,131,148,111,180,269,143,4,27,5,22,25,21,15,8,7,15,25,12,303,845,507,959,874,950,541,521,470,619,1000,559,10,53,13,49,52,47,31,19,15,44,48,29,2021-04-04,15645,1,0.118823905401087,0.00507041576032649,0.0185362735698306,0.00211353113117464,0.0212019856213981,2.34678740566354e-05,0.0115691914349632,0.00167565631560506,0.0126206856225083,1.8185381982745e-05,0.0210194728581715,0.000318434755550234
BR,BRA,Brazil,2021-04-05,146574526.429197,11119,55215.865,16236.3,30316,151474.7,1867,16480,9053,1498,13599,844,606,303,3015707.18949269,16,253,8,4,201,1911966.01143614,16270,15001,821338.825242289,481,25,392,13,8,1207,78,980,42,30,1286,78,1051,43,30,1187,556,44,506,21,18,439,81,1628,39,31,1595,101,246,129,252,235,243,148,142,112,167,277,132,7,19,11,23,26,19,15,10,9,14,26,14,317,842,471,935,847,907,560,505,464,606,1026,544,15,38,25,47,48,37,30,23,23,35,49,26,2021-04-05,16480,1,0.113288834951456,0.00483898338688444,0.0183859223300971,0.00205107993919084,0.0205745654648212,2.29810499125032e-05,0.0121966019417476,0.00167580765634989,0.013044326719075,1.83687032912337e-05,0.0198091207915326,0.000301352530949105
BR,BRA,Brazil,2021-04-06,145589975.400583,11631,57705.87,16737,30855.5,158100.26,1933,16688,9281,1602,13802,929,615,292,2819734.90973845,15,238,5,8,191,1795686.45383965,16771,15196,832015.518190909,497,31,394,12,17,1264,81,1020,41,35,1336,80,1080,41,35,1210,523,35,480,21,12,409,84,1686,41,35,1669,108,233,126,235,215,256,147,143,122,166,266,146,5,15,7,10,17,19,10,9,4,11,14,9,323,884,506,994,888,987,609,601,522,640,1065,585,11,41,23,37,42,48,25,25,18,40,43,25,2021-04-06,16688,1,0.115831735378715,0.00485542430917474,0.0174976030680729,0.00198930802653474,0.0193676446608368,2.23858643692218e-05,0.0114453499520614,0.00161384129950897,0.0123338605484266,1.79282109680665e-05,0.0201570759599124,0.000301977353239539
BR,BRA,Brazil,2021-04-07,146440910.673129,10600,53622.64,15329.8,27888.7,144126.7,1805,15401,8527,1484,12565,864,575,283,3201503.55462662,18,214,7,11,183,2035778.72347398,15363.4,13990,765984.27872406,446,22,347,9,13,1146,82,906,41,39,1212,81,962,43,36,1122,493,33,455,14,18,396,76,1552,38,36,1560,83,242,107,225,219,218,132,124,114,156,243,126,6,15,6,13,16,10,8,8,7,10,16,10,299,835,454,988,872,931,536,529,478,551,1012,555,17,39,19,34,35,28,22,18,11,31,38,18,2021-04-07,15401,1,0.117200181806376,0.00508006057420228,0.0183754301668723,0.00212111931161745,0.0218620844401377,2.3684417667329e-05,0.0118823453022531,0.00171131140409165,0.0139017076178804,1.89631752647227e-05,0.0200570696119137,0.000313958536454518
BR,BRA,Brazil,2021-04-08,145408870.815615,10087,50247.8,15230.42,26049.6,136084.21,1715,14469,8000,1523,11770,887,593,246,2824735.46894074,18,192,6,12,148,1624873.25511143,15261,13200,722729.984214267,442,18,372,10,8,1106,73,893,34,37,1171,76,953,39,35,1051,487,33,449,16,16,380,67,1507,35,28,1469,76,238,105,219,203,215,131,123,116,168,252,121,4,16,4,15,16,10,9,4,5,5,16,7,260,788,442,865,774,853,497,481,433,564,953,506,15,33,17,34,29,32,20,16,19,18,44,24,2021-04-08,14469,1,0.118529269472666,0.00526678493409274,0.0170018660584698,0.00210646125135168,0.0194261564173938,2.24329419717402e-05,0.0102287649457461,0.00163948650456751,0.0111745125727016,1.70854633169109e-05,0.0211157698356619,0.000331458515058271
BR,BRA,Brazil,2021-04-09,143456731.513104,9453,49063.2,13789.8,24469.1,128600.7,1603,13560,7548,1380,11066,830,502,231,2808206.05553719,11,191,6,5,150,1759292.2213203,13830,12388,678271.139730783,407,26,336,14,11,998,70,818,42,25,1066,74,868,45,27,1050,481,42,434,27,15,370,82,1401,47,32,1361,84,233,94,200,193,200,120,117,106,139,228,120,6,21,8,17,16,18,7,10,11,8,22,11,259,754,378,796,733,765,448,434,390,503,840,481,12,43,20,36,40,42,22,24,22,32,51,29,2021-04-09,13560,1,0.118215339233038,0.00543421019031506,0.0170353982300885,0.00217802735831651,0.0195752825672086,2.26698564909457e-05,0.0110619469026549,0.00176042924719528,0.0122635738509043,1.80101232800162e-05,0.0203900758706752,0.000336343028880569
BR,BRA,Brazil,2021-04-10,146138390.132006,9561,47259.38,14235.3,25361.7,132236.29,1539,13859,7448,1623,11044,972,603,229,2694133.33822818,8,186,4,4,142,1583779.84913173,14263,12619,690918.914454533,406,23,321,12,11,999,80,795,45,33,1055,81,829,46,33,1045,461,44,415,24,17,358,80,1319,46,28,1305,92,223,112,230,215,211,134,133,108,155,231,129,4,22,10,16,19,19,10,7,10,11,21,9,238,708,376,796,739,761,458,452,404,515,850,468,7,34,15,35,34,35,21,15,18,28,39,22,2021-04-10,13859,1,0.111046973086081,0.0052308818738068,0.0165235586983188,0.00212234468460727,0.018435493478439,2.18098529870349e-05,0.0102460494985208,0.00167657887754845,0.0108375345294355,1.67866870045409e-05,0.0206435222738986,0.000335271664240072
