ISO2,ISO_3,country_agg,date,first_date,day_count,weight,Finished,B2,B4,E5,E6,pos_RF,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,stringent_cli,stringent_cli_vaccinated,stringent_cli_unvaccinated,stringent_cli_vac1dose,stringent_cli_vac2doses,classic_cli,classic_cli_vaccinated,classic_cli_unvaccinated,classic_cli_vac1dose,classic_cli_vac2doses,broad_cli,broad_cli_vaccinated,broad_cli_unvaccinated,broad_cli_vac1dose,broad_cli_vac2doses,test_recent,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,days_aggregated,p_rf,p_rf_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
DK,DNK,Denmark,2021-04-11,2021-04-11,1286,4330203.87929539,1103,6788,167,2198,9758,9,1286,537,0,0,256,993,136,116,6,19067.5985641365,1,5,1,0,3,7539.65929969536,169,1256,24498.2031225692,15,3,8,3,0,51,6,43,6,0,57,7,46,7,0,800,9,0,9,0,0,5,0,9,0,0,5,1,1,0,1,3,3,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,3,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00699844479004666,0.00455620589359151,0.00466562986003111,0.00372449373562491,0.00440339510462938,6.23633519262015e-05,0.00233281493001555,0.00263669923802024,0.00174117882433799,3.92678556011578e-05,0.00689846513046122,0.00103646356218401
DK,DNK,Denmark,2021-04-12,2021-04-12,1296,3980322.98589537,1093,6650,159,2152,9326.45,4,1296,533,0,0,310,934,163,140,11,52325.0218518864,2,8,2,0,8,32742.2317005621,159,1246,24303.1537346507,15,3,12,3,0,55,11,42,8,3,53,12,39,8,4,798,4,0,4,0,0,4,0,4,0,0,4,2,3,2,3,1,3,1,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,1,3,1,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00308641975308642,0.00301996452365586,0.00848765432098765,0.00499445949240446,0.0131459235939658,0.00011189507076988,0.00617283950617284,0.00426425840094734,0.00822602382183232,8.87340429058478e-05,0.00654236078724642,0.0010135815483537
DK,DNK,Denmark,2021-04-13,2021-04-13,1304,4229580.27589864,1106,7004.5,169,2147.2,9458.75,2,1304,560,0,0,337,915,192,137,11,38018.5717208772,2,9,2,0,8,33198.1731605767,169,1257,24517.7080613611,13,2,10,2,0,57,14,40,11,3,55,15,36,11,4,802,2,1,1,1,0,2,1,1,1,0,2,1,2,1,2,1,1,1,1,2,0,2,1,1,1,0,1,1,1,1,1,1,0,1,1,1,2,1,2,1,1,1,1,2,0,2,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0.00153374233128834,0.00212398866079228,0.00843558282208589,0.00496394897795662,0.00898873392651227,8.99472755553653e-05,0.00613496932515337,0.00423817805288935,0.00784904671268433,8.41001535687206e-05,0.00689297709137573,0.00103564187038308
DK,DNK,Denmark,2021-04-14,2021-04-14,1261,4139097.20236171,1070,6531,147,2102,9554,5,1261,540,0,0,326,894,185,139,13,64542.4868340752,4,9,1,3,9,48491.1351519865,148,1230,23991.074713981,17,4,13,4,0,58,10,45,7,3,63,13,46,9,4,784,5,1,4,0,1,4,1,4,0,1,4,3,4,1,4,4,4,4,1,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,4,4,4,4,1,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00396510705789056,0.00346860849208133,0.0103092783505155,0.00557512269998075,0.0155933730662929,0.000119358287003931,0.00713719270420301,0.00464621048261538,0.0117153893183079,0.00010366082414106,0.00616896082249086,0.000990798918130413
DK,DNK,Denmark,2021-04-15,2021-04-15,1232,4213017.37945014,1041,6212.5,214,2036,9192.4,4,1232,560,0,0,330,851,180,144,10,27657.5884476222,2,6,0,2,6,19744.7944432687,216,1194,23288.8969174743,16,3,10,3,0,54,12,35,7,5,62,14,40,8,6,796,4,1,3,1,0,4,1,3,1,0,4,1,4,1,4,3,2,1,0,1,4,3,1,0,1,0,1,1,0,0,0,1,1,1,0,1,4,1,4,3,2,1,0,1,4,3,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0.00324675324675325,0.00317659032147186,0.00811688311688312,0.00501034501023283,0.0065647933432527,7.71137403541666e-05,0.00487012987012987,0.00388734324375681,0.00468661594883943,6.52170380720991e-05,0.00927480596291916,0.00123112642063425
DK,DNK,Denmark,2021-04-16,2021-04-16,1052,4283133.18494737,890,4728.22,140,1753,7515.9,4,1052,459,0,0,279,732,161,113,2,9408.74447981278,0,2,0,0,2,9408.74447981278,141,1016,19817.0178125242,11,0,10,0,0,54,12,35,4,8,60,13,39,4,9,652,3,1,2,0,1,3,1,3,0,1,4,0,1,0,3,2,2,0,0,1,2,2,0,0,0,0,1,1,1,0,0,0,0,1,0,1,2,0,4,3,3,1,1,2,3,3,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0.00380228136882129,0.0037190765561504,0.00190114068441065,0.00263229239266342,0.00219669668757414,4.43378691886098e-05,0.00190114068441065,0.00263229239266342,0.00219669668757414,4.43378691886098e-05,0.0071150967988175,0.00117022346241203
DK,DNK,Denmark,2021-04-17,2021-04-17,1136,4317523.61978852,952,5600.15,132,1932,8450.95,14,1136,466,0,0,310,775,184,115,5,16299.9954138852,1,3,0,1,3,11397.5764262572,133,1094,21338.4030382888,15,3,11,1,2,56,10,43,5,2,56,13,40,6,4,703,14,1,13,1,0,13,1,13,1,0,13,2,8,3,6,7,4,4,1,1,4,7,4,0,0,0,0,0,0,0,0,0,1,0,0,2,8,3,6,7,4,4,1,1,4,7,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0.0123239436619718,0.00641565556746706,0.00440140845070423,0.00384943418349992,0.00377531123146087,5.78476552326668e-05,0.00264084507042254,0.0029843941241169,0.0026398411288403,4.84000302670861e-05,0.00623289380003508,0.00105597662897124
DK,DNK,Denmark,2021-04-18,2021-04-18,1260,4098530.94535592,1085,6834,127,2303.2,9494.1,9,1260,503,0,0,357,860,214,137,10,34939.9644820575,2,6,1,1,9,32588.8400128584,130,1235,24088.5994079403,23,5,15,4,1,61,14,42,4,9,67,17,44,7,9,782,9,3,6,1,2,4,3,6,1,2,4,3,2,2,4,3,2,1,0,1,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,4,3,2,1,0,1,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00714285714285714,0.00464988468703346,0.00793650793650794,0.004899449434747,0.00852499711430709,8.90065539175505e-05,0.00714285714285714,0.00464988468703346,0.00795134657938477,8.59846265920152e-05,0.00539674382052899,0.000925194742388565
DK,DNK,Denmark,2021-04-19,2021-04-19,1115,4100752.15438481,938,5843,144,1812,8236.5,4,1115,458,0,0,322,749,174,140,6,17991.4274644183,1,5,1,0,4,13289.6552365311,145,1081,21084.8388339947,10,3,7,2,1,48,11,35,6,5,46,9,35,5,4,653,4,0,4,0,0,3,0,4,0,0,3,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00358744394618834,0.00350931873609745,0.00538116591928251,0.00429414977652636,0.00438734817103751,6.39679722163103e-05,0.00358744394618834,0.00350931873609745,0.00324078479659419,5.50093554472844e-05,0.00687697929026705,0.00111548396288413
DK,DNK,Denmark,2021-04-20,2021-04-20,1150,4329730.00828339,971,5123.2,154,1953,8297.6,11,1150,460,0,0,361,733,216,137,11,48493.8276122228,1,10,1,0,8,38857.1498603317,154,1114,21728.5018141259,16,1,13,0,1,55,10,40,3,5,63,16,41,6,8,701,10,0,10,0,0,9,0,11,0,0,10,2,7,2,5,7,5,4,1,3,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,6,8,6,5,2,3,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00956521739130435,0.00562547935377171,0.00956521739130435,0.00562547935377171,0.0112001966680249,9.91253407448747e-05,0.00695652173913044,0.00480373870080598,0.00897449720559768,8.88311249207977e-05,0.00708746517902505,0.00111540905418965
