ISO2,ISO_3,country_agg,date,weight,Finished,B2,B4,E5,E6,pos_RF,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,stringent_cli,stringent_cli_vaccinated,stringent_cli_unvaccinated,stringent_cli_vac1dose,stringent_cli_vac2doses,classic_cli,classic_cli_vaccinated,classic_cli_unvaccinated,classic_cli_vac1dose,classic_cli_vac2doses,broad_cli,broad_cli_vaccinated,broad_cli_unvaccinated,broad_cli_vac1dose,broad_cli_vac2doses,test_recent,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,first_date,day_count,days_aggregated,p_rf,p_rf_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
ID,IDN,Indonesia,2021-04-01,165513993.437201,895,2715,488,3566,11935.5,16,1614,800,0,0,348,929,151,179,32,2635549.07873444,2,19,0,1,20,1725088.656645,492,1421,23246.5803292299,29,5,17,3,2,80,11,44,5,5,86,9,51,6,3,247,9,4,5,1,3,6,4,11,1,3,13,3,3,1,5,3,2,4,3,4,4,4,2,2,2,0,3,2,1,3,1,3,3,2,1,7,8,5,9,9,7,9,5,7,10,8,7,2,2,0,3,2,1,3,1,3,3,2,1,2021-04-01,1614,1,0.00991325898389095,0.0048332713080519,0.0198265179677819,0.00680097258485965,0.0159234214823922,1.90705568998183e-05,0.0123915737298637,0.00539699420573965,0.0104226151567029,1.54719112070776e-05,0.0211644032383278,0.00185023309291715
ID,IDN,Indonesia,2021-04-02,164488942.609941,938,2667,486,3506,12100.14,30,1616,781,0,0,310,960,141,157,37,2609275.76145002,4,21,2,2,29,2077369.40894149,495,1415,23148.4244657708,26,3,11,2,0,78,9,43,3,6,73,7,38,2,4,241,17,5,12,3,2,14,5,19,3,2,27,3,6,2,7,6,4,3,4,5,4,10,3,0,2,1,2,2,1,1,3,2,0,4,0,12,16,6,19,15,11,11,8,9,16,16,8,0,2,1,2,2,1,1,3,2,0,4,0,2021-04-02,1616,1,0.0185643564356436,0.00658109674571509,0.0228960396039604,0.00729252595324934,0.0158629250091144,1.90940989450389e-05,0.0179455445544554,0.00647252175289478,0.0126292343787973,1.70650820351849e-05,0.021383744743922,0.00186352604042206
ID,IDN,Indonesia,2021-04-03,164123736.25839,880,3054,380,3466.1,11776,24,1517,749,0,0,305,886,125,162,41,4402015.09518639,8,25,3,3,30,2969306.06423893,392,1317,21545.2120292721,29,1,19,0,0,103,16,57,8,4,111,13,62,7,4,250,13,1,11,0,1,10,3,19,1,1,21,2,6,2,7,4,6,7,3,3,4,8,4,0,0,0,0,0,0,0,0,0,0,0,0,9,15,8,16,12,13,17,8,10,14,17,10,0,1,1,0,1,1,1,1,1,2,1,1,2021-04-03,1517,1,0.015820698747528,0.00627921342438744,0.027027027027027,0.00816027560665193,0.0268213190580553,2.47171704738146e-05,0.01977587343441,0.00700625325104854,0.0180918746546458,2.0391050748469e-05,0.0181942976224794,0.00178465029137369
ID,IDN,Indonesia,2021-04-04,162733894.923217,940,2498,661,3587,12144.15,26,1580,750,0,0,317,944,135,168,37,4845715.57851735,2,21,0,2,25,3265567.16348196,665,1372,22444.9741109806,26,2,16,0,1,86,13,44,2,10,90,12,52,2,10,256,18,4,13,1,2,10,4,17,1,2,18,3,6,2,6,1,7,3,2,7,4,9,4,0,3,1,2,1,2,2,1,3,2,3,1,9,13,6,13,7,14,9,7,13,12,17,7,0,3,1,2,1,2,2,1,3,2,3,1,2021-04-04,1580,1,0.0164556962025316,0.00627299067299364,0.0234177215189873,0.00745669338737617,0.0297769286527782,2.6114687333893e-05,0.0158227848101266,0.00615315225646567,0.0200669145479665,2.15450542817961e-05,0.0296280136796713,0.00221824203132734
ID,IDN,Indonesia,2021-04-05,170518425.992759,955,2609.2,549,3622,12693,22,1596,780,0,0,328,939,139,180,36,3598756.4044994,2,23,1,1,27,2628120.46302633,552,1383,22624.9265273222,35,3,21,2,1,75,6,45,2,4,94,10,54,6,4,219,13,2,11,0,2,9,2,17,0,2,18,3,5,2,5,5,4,3,1,1,4,4,3,0,0,0,0,1,1,0,0,0,1,0,0,10,10,7,12,11,10,8,4,6,13,9,6,0,0,0,0,1,1,0,0,0,1,0,0,2021-04-05,1596,1,0.0137844611528822,0.00572021648082866,0.0225563909774436,0.00728471071481778,0.0211047948838808,2.15735244809934e-05,0.0169172932330827,0.00632691666769741,0.015412530626678,1.8489559387663e-05,0.0243978692851619,0.00201032754094431
ID,IDN,Indonesia,2021-04-06,171666637.170352,940,3230,415.5,3541,12393.4,27,1629,822,0,0,313,978,124,171,38,3416999.76617756,6,24,4,2,28,2617302.73809583,419,1425,23312.0175715359,33,2,25,2,0,92,9,58,5,4,100,11,60,5,6,233,17,2,15,2,0,14,2,23,2,0,24,3,10,6,8,8,7,6,6,4,7,8,5,1,2,1,1,0,1,0,0,1,1,2,1,8,18,11,17,16,15,14,11,12,16,16,12,1,2,1,1,0,1,0,0,1,1,2,1,2021-04-06,1629,1,0.0165745856353591,0.00619982744823748,0.0233271945979128,0.00732982072543006,0.0199048564269755,2.08938650086822e-05,0.0171884591774095,0.0063116243964298,0.0152464263367527,1.83295985743756e-05,0.0179735622931067,0.00170544151493102
ID,IDN,Indonesia,2021-04-07,163030396.592096,871,2447.3,405,3419,11181.69,27,1500,723,0,0,305,896,127,163,40,4652412.41162088,5,24,0,4,30,3697024.79232062,409,1308,21397.9782340835,29,3,17,2,1,86,13,48,6,6,86,12,46,7,5,239,16,4,12,1,3,12,4,21,1,3,23,2,6,4,6,3,6,1,7,2,6,6,4,1,2,1,3,1,3,1,3,1,2,2,1,11,15,8,15,11,11,8,13,7,15,15,11,1,2,1,3,1,3,1,3,1,2,2,1,2021-04-07,1500,1,0.018,0.00672813129650868,0.0266666666666667,0.00815300344801044,0.0285370857758586,2.55582857752357e-05,0.02,0.00708484734653729,0.0226769048570165,2.28520290953574e-05,0.0191139553244582,0.00183462066680796
ID,IDN,Indonesia,2021-04-08,163301955.684897,817,2790,388,3043.1,10399,20,1471,733,0,0,305,818,131,156,36,3845008.33455487,3,21,2,1,21,2248992.56405733,388,1262,20645.4499475637,27,1,16,0,1,82,8,46,5,3,86,9,46,6,3,214,12,3,9,2,1,8,3,16,2,1,16,2,1,0,6,1,4,4,2,3,1,3,3,0,0,0,1,0,0,0,0,0,0,0,0,7,7,2,12,9,11,7,3,7,9,9,9,0,0,0,1,0,0,0,0,0,0,0,0,2021-04-08,1471,1,0.0135961930659415,0.00591803849766201,0.0244731475186948,0.00789598442209684,0.0235453906135338,2.32558050358887e-05,0.0142760027192386,0.00606209489439552,0.0137719879386927,1.78747255288256e-05,0.0187934872325602,0.00185233619311918
ID,IDN,Indonesia,2021-04-09,167202061.439843,853,2509,346,3174,11342.1,25,1474,753,0,0,325,822,150,165,34,3778295.50405244,3,25,1,2,27,3131712.63874297,351,1253,20498.2161523751,30,1,19,1,0,91,12,54,8,4,97,15,57,11,4,208,17,4,13,4,0,13,4,19,4,0,21,4,6,0,8,4,8,6,2,4,6,6,3,1,2,0,3,1,2,2,0,1,1,1,1,9,13,3,16,10,12,8,4,7,13,10,8,1,2,0,3,1,2,2,0,1,1,1,1,2021-04-09,1474,1,0.0169606512890095,0.00659183097461471,0.0230664857530529,0.00766341898062973,0.02259718254378,2.25263702224013e-05,0.0183175033921303,0.00684570236913769,0.0187301078214859,2.0549045456865e-05,0.0171234412492684,0.00177596772721175
ID,IDN,Indonesia,2021-04-10,167963594.944738,836,2320,329,3156,10757.12,19,1426,671,0,0,353,771,150,181,37,3937340.92189657,4,24,4,0,22,2487187.44280144,331,1246,20383.7009783395,20,3,12,2,1,80,6,56,5,1,80,4,52,2,2,227,13,1,12,1,0,10,1,17,1,0,16,5,8,5,5,5,6,6,4,3,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,9,12,9,10,8,11,9,8,5,11,7,9,0,0,0,0,0,0,0,0,0,0,0,0,2021-04-10,1426,1,0.0133239831697055,0.00595103702031856,0.0259467040673212,0.00825126979508727,0.0234416328323527,2.28814500223886e-05,0.0154277699859748,0.00639681361885159,0.0148078959825773,1.82661764726072e-05,0.0162384642686691,0.0017350978320492
