ISO2,ISO_3,country_agg,date,first_date,day_count,weight,Finished,B2,B4,E5,E6,pos_RF,count,symptomatic,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,stringent_cli,stringent_cli_vaccinated,stringent_cli_unvaccinated,stringent_cli_vac1dose,stringent_cli_vac2doses,classic_cli,classic_cli_vaccinated,classic_cli_unvaccinated,classic_cli_vac1dose,classic_cli_vac2doses,broad_cli,broad_cli_vaccinated,broad_cli_unvaccinated,broad_cli_vac1dose,broad_cli_vac2doses,test_recent,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,days_aggregated,p_rf,p_rf_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
TW,TWN,Taiwan,2021-04-01,2021-04-01,1274,17401165.6939466,960,2411.05,45,2764,15159.92,0,1274,424,11,1170,10,0,1,11963.6227374908,0,1,0,0,1,11963.6227374908,47,1225,27324.8283873619,4,0,3,0,0,44,0,40,0,0,44,0,39,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000784929356357928,0.00153782936962415,0.000687518465596395,1.23154917968198e-05,0.000784929356357928,0.00153782936962415,0.000687518465596395,1.23154917968198e-05,0.00172004739915359,0.000491321480446994
TW,TWN,Taiwan,2021-04-02,2021-04-02,1293,17870077.1599691,986,1764,166,2826,15069.66,0,1293,410,11,1203,7,2,5,90456.9418434498,1,3,1,0,2,26603.8438982967,167,1259,28083.231787501,3,0,2,0,0,29,0,26,0,0,32,1,27,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00386697602474865,0.00338293176021252,0.00506192228683172,3.29033896087831e-05,0.00154679040989946,0.00214204417350995,0.00148873693494129,1.78759998667532e-05,0.00594660903928895,0.000899216148827071
TW,TWN,Taiwan,2021-04-03,2021-04-03,1347,17374947.7971248,1042,1919,32,3220,16269.75,1,1347,385,14,1259,9,2,2,23267.3076495495,1,1,0,1,1,5346.02022796819,34,1305,29109.3069759244,4,1,2,0,1,29,2,21,1,1,28,1,22,1,0,9,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0.000742390497401633,0.00145451842623869,0.00148478099480327,0.00205623542735015,0.0013391296435089,1.71951775909831e-05,0.000742390497401633,0.00145451842623869,0.000307685541872698,8.24656446107927e-06,0.00116801131775898,0.000392375520519056
TW,TWN,Taiwan,2021-04-04,2021-04-04,1297,17117204.904459,994,1766.42,132,3010,15198.75,1,1297,380,20,1211,14,1,5,55107.7604850205,0,5,0,0,4,32809.7495797625,133,1260,28105.537769858,2,0,1,0,0,31,0,28,0,0,30,0,26,0,0,9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000771010023130301,0.00151056920810038,0.0038550501156515,0.00337251885109657,0.00321943686440681,2.68362236767285e-05,0.0030840400925212,0.00301763970232731,0.00191677027662475,2.07204927257744e-05,0.00473216350062645,0.000802328088831021
TW,TWN,Taiwan,2021-04-05,2021-04-05,1382,17343662.7151075,1083,2040,49,3061,16982.5,0,1382,467,16,1287,12,2,7,63407.0503351643,1,6,1,0,5,35473.8798033222,50,1342,29934.6283231345,1,0,1,0,0,32,2,25,2,0,33,2,26,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00506512301013025,0.00374271187863795,0.00365592040024698,2.84040794902987e-05,0.00361794500723589,0.00316546851897092,0.00204535111100968,2.12626318535178e-05,0.00167030635758248,0.000462589975627107
TW,TWN,Taiwan,2021-04-06,2021-04-06,1345,18072245.3174641,1041,1984.2,31,2919,15923,1,1345,459,17,1230,13,1,3,39925.768900997,1,2,1,0,3,39925.768900997,32,1285,28663.1873287838,3,0,1,0,0,36,2,30,2,0,38,2,31,2,0,7,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0.000743494423791822,0.00145668047428508,0.00223048327137546,0.00252116662762646,0.00220923123826871,2.16462347004872e-05,0.00223048327137546,0.00252116662762646,0.00220923123826871,2.16462347004872e-05,0.00111641457151785,0.000386594825148531
TW,TWN,Taiwan,2021-04-07,2021-04-07,1271,16940299.3054734,975,2364.2,68,2598,15112.5,0,1271,447,16,1189,10,4,3,24988.3272847853,0,3,0,0,3,24988.3272847853,71,1230,27436.3582991471,1,0,1,0,0,36,0,32,0,0,36,0,32,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.002360346184107,0.00266778004264894,0.00147508180547386,1.82757436663551e-05,0.002360346184107,0.00266778004264894,0.00147508180547386,1.82757436663551e-05,0.00258780699777518,0.000601157315040367
TW,TWN,Taiwan,2021-04-08,2021-04-08,1255,17424530.8042766,985,2007.9,48,2591,15072.5,0,1255,467,15,1150,9,1,3,40273.2279846136,1,2,1,0,3,40273.2279846136,49,1208,26945.6266872924,3,0,3,0,0,52,1,44,1,0,55,2,46,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00239043824701195,0.00270175083331488,0.00231129483123466,2.25472067191806e-05,0.00239043824701195,0.00270175083331488,0.00231129483123466,2.25472067191806e-05,0.001818476911621,0.000508701016760448
TW,TWN,Taiwan,2021-04-09,2021-04-09,1145,17092901.6441031,924,1790.7,34,2804,14227.66,0,1145,405,19,1060,15,2,1,7402.14507457448,0,0,0,0,1,7402.14507457448,36,1109,24737.3344339464,3,0,3,0,0,25,1,23,1,0,29,2,26,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000873362445414847,0.00171101128219732,0.000433053745273738,9.86318177051521e-06,0.000873362445414847,0.00171101128219732,0.000433053745273738,9.86318177051521e-06,0.00145529018480658,0.000475040019937969
TW,TWN,Taiwan,2021-04-10,2021-04-10,1262,17666311.8185546,975,2207.88,20,2709,15121.68,0,1262,424,13,1176,7,2,2,16458.4225914388,0,2,0,0,1,4574.7437214172,20,1218,27168.6865108627,4,0,3,0,0,39,0,29,0,0,39,0,28,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00158478605388273,0.0021946199815893,0.000931627538361055,1.42263637648927e-05,0.000792393026941363,0.00155244635479592,0.000258952959078444,7.50290324621756e-06,0.000736141586822885,0.000322503577227963
