ISO2,ISO_3,country_agg,date,first_date,day_count,weight,Finished,B2,B4,E5,E6,pos_RF,count,symptomatic,infected,not_infected,vaccinated,unvaccinated,vac1dose,vac2doses,cli,cli_weight,cli_vaccinated,cli_unvaccinated,cli_vac1dose,cli_vac2doses,cliWHO,cliWHO_weight,cli_local,count_local,reach,stringent_cli,stringent_cli_vaccinated,stringent_cli_unvaccinated,stringent_cli_vac1dose,stringent_cli_vac2doses,classic_cli,classic_cli_vaccinated,classic_cli_unvaccinated,classic_cli_vac1dose,classic_cli_vac2doses,broad_cli,broad_cli_vaccinated,broad_cli_unvaccinated,broad_cli_vac1dose,broad_cli_vac2doses,test_recent,positive_recent,positive_vaccinated,positive_unvaccinated,positive_vac1dose,positive_vac2doses,positive_symptomatic,pos_RF_vaccinated,pos_RF_unvaccinated,pos_RF_vac1dose,pos_RF_vac2doses,pos_RF_symptomatic,positive_Fever_B1_1,positive_Cough_B1_2,positive_Difficulty_breathing_B1_3,positive_Fatigue_B1_4,positive_Stuffy_or_runny_nose_B1_5,positive_Aches_or_muscle_pain_B1_6,positive_Sore_throat_B1_7,positive_Chest_pain_B1_8,positive_Nausea_B1_9,positive_Loss_of_smell_or_taste_B1_10,positive_Headache_B1_12,positive_Chills_B1_13,pos_vaccinated_Fever_B1_1,pos_vaccinated_Cough_B1_2,pos_vaccinated_Difficulty_breathing_B1_3,pos_vaccinated_Fatigue_B1_4,pos_vaccinated_Stuffy_or_runny_nose_B1_5,pos_vaccinated_Aches_or_muscle_pain_B1_6,pos_vaccinated_Sore_throat_B1_7,pos_vaccinated_Chest_pain_B1_8,pos_vaccinated_Nausea_B1_9,pos_vaccinated_Loss_of_smell_or_taste_B1_10,pos_vaccinated_Headache_B1_12,pos_vaccinated_Chills_B1_13,pos_RF_Fever_B1_1,pos_RF_Cough_B1_2,pos_RF_Difficulty_breathing_B1_3,pos_RF_Fatigue_B1_4,pos_RF_Stuffy_or_runny_nose_B1_5,pos_RF_Aches_or_muscle_pain_B1_6,pos_RF_Sore_throat_B1_7,pos_RF_Chest_pain_B1_8,pos_RF_Nausea_B1_9,pos_RF_Loss_of_smell_or_taste_B1_10,pos_RF_Headache_B1_12,pos_RF_Chills_B1_13,pos_RF_vaccinated_Fever_B1_1,pos_RF_vaccinated_Cough_B1_2,pos_RF_vaccinated_Difficulty_breathing_B1_3,pos_RF_vaccinated_Fatigue_B1_4,pos_RF_vaccinated_Stuffy_or_runny_nose_B1_5,pos_RF_vaccinated_Aches_or_muscle_pain_B1_6,pos_RF_vaccinated_Sore_throat_B1_7,pos_RF_vaccinated_Chest_pain_B1_8,pos_RF_vaccinated_Nausea_B1_9,pos_RF_vaccinated_Loss_of_smell_or_taste_B1_10,pos_RF_vaccinated_Headache_B1_12,pos_RF_vaccinated_Chills_B1_13,days_aggregated,p_rf,p_rf_CI,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
BZ,BLZ,Belize,2021-04-01,2021-03-11,3,2090750.28546513,44,274,98,120,549,18,100,52,0,0,8,72,2,6,4,51722.4670952434,0,2,0,0,1,14936.6038574411,98,81,2350.2485549133,6,1,2,0,1,8,0,5,0,0,11,1,6,0,1,10,3,0,3,0,0,2,3,13,0,3,15,0,0,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,9,10,11,7,4,5,3,12,9,0,0,0,1,1,1,1,0,0,1,0,2,22,0.18,0.0752993573634233,0.04,0.0384072934108425,0.024738711004761,0.000210545534744403,0.01,0.0195013954179879,0.0071441357493911,0.000114160262938735,0.0416977173733931,0.00808162316182406
BZ,BLZ,Belize,2021-04-02,2021-03-12,6,2174132.96778558,46,249,88,122,606,18,102,51,0,0,9,72,3,6,5,62323.7818785915,0,2,0,0,1,14936.6038574411,88,80,2321.23314065511,7,1,2,0,1,9,0,5,0,0,12,1,6,0,1,10,2,0,2,0,0,1,3,12,0,3,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,8,10,11,8,5,6,4,12,9,0,0,0,1,1,1,1,0,0,1,0,2,22,0.176470588235294,0.0739816016000061,0.0490196078431373,0.0419004514931721,0.028666039659051,0.000221805941532492,0.00980392156862745,0.0191209083686488,0.00687014275518508,0.000109797117877498,0.0379108838568298,0.00776923602856603
BZ,BLZ,Belize,2021-04-03,2021-03-13,7,2251533.42873005,46,283,92,122,601,14,104,51,0,0,9,72,3,5,5,62323.7818785915,0,2,0,0,1,14936.6038574411,92,80,2321.23314065511,8,1,3,0,1,9,0,5,0,0,12,1,6,0,1,9,1,0,1,0,0,1,2,9,0,2,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,7,9,5,3,5,4,10,8,0,0,0,0,0,1,0,0,0,1,0,1,22,0.134615384615385,0.065596905860814,0.0480769230769231,0.0411150366322683,0.0276805936271373,0.000214289587116114,0.00961538461538462,0.0187549838461375,0.0066339693947453,0.000106035252642371,0.0396341058503221,0.00793673000328103
BZ,BLZ,Belize,2021-04-04,2021-03-14,4,2364134.86006326,47,285,90,140,635,15,103,52,0,0,8,73,3,4,5,62323.7818785915,0,2,0,0,1,14936.6038574411,90,79,2292.21772639692,7,1,2,0,1,10,0,6,0,0,12,1,6,0,1,9,1,0,1,0,0,1,2,10,0,2,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,6,7,10,5,4,5,4,10,9,0,0,0,0,0,1,0,0,0,1,0,1,22,0.145631067961165,0.068120718429484,0.0485436893203884,0.0415040324517794,0.0263621940234508,0.000204221498303305,0.00970873786407767,0.018936178546626,0.00631799992029279,0.00010100095659942,0.0392632859276718,0.00795088867493512
BZ,BLZ,Belize,2021-04-05,2021-03-15,4,2285086.90109796,48,286,97,144,637,15,103,52,0,0,9,73,3,5,5,62323.7818785915,0,2,0,0,1,14936.6038574411,97,80,2321.23314065511,7,1,2,0,1,11,1,6,1,0,13,2,6,1,1,10,1,0,1,0,0,1,2,10,0,2,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,6,7,10,5,4,5,4,10,9,0,0,0,0,0,1,0,0,0,1,0,1,22,0.145631067961165,0.068120718429484,0.0485436893203884,0.0415040324517794,0.0272741407990417,0.000211187155373576,0.00970873786407767,0.018936178546626,0.00653655834719643,0.000104483388028619,0.0417881333421874,0.0081404041717773
BZ,BLZ,Belize,2021-04-06,2021-03-16,5,2314610.43820299,47,280,99,139,620,17,104,54,0,0,9,73,3,5,5,62323.7818785915,0,2,0,0,1,14936.6038574411,99,80,2321.23314065511,7,1,2,0,1,11,1,6,1,0,13,2,6,1,1,9,1,0,1,0,0,1,2,12,0,2,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,7,7,9,11,6,5,6,4,11,11,0,0,0,0,0,1,0,0,0,1,0,1,22,0.163461538461538,0.071069321471341,0.0480769230769231,0.0411150366322683,0.0269262511090109,0.000208530680962051,0.00961538461538462,0.0187549838461375,0.0064531826224017,0.000103155000008161,0.0426497443389335,0.00822019944156175
BZ,BLZ,Belize,2021-04-07,2021-03-17,5,2248459.77165079,50,286,100,145,651,17,104,54,0,0,10,72,3,6,4,47387.1780211504,0,1,0,0,0,0,100,81,2350.2485549133,6,1,1,0,1,9,1,5,1,0,11,2,5,1,1,10,2,0,2,0,0,2,2,12,0,2,15,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,7,8,10,5,4,5,3,11,12,0,0,0,0,0,1,0,0,0,1,0,1,22,0.163461538461538,0.071069321471341,0.0384615384615385,0.0369596693901953,0.0210753950853919,0.000187744842210816,0,0,0,0,0.0425486911973398,0.0081600467195841
BZ,BLZ,Belize,2021-04-08,2021-03-18,5,2408199.51926414,45,284,97,139,576,15,102,54,0,0,10,70,3,6,5,255921.268294351,0,1,0,0,0,0,97,78,2263.20231213873,6,1,1,0,1,10,1,5,1,0,11,2,5,1,1,9,1,0,1,0,0,1,2,10,0,2,13,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,7,8,9,5,4,5,3,9,11,0,0,0,0,0,1,0,0,0,1,0,1,22,0.147058823529412,0.068731067497876,0.0490196078431373,0.0419004514931721,0.1062707912061,0.000389234915852267,0,0,0,0,0.042859623940705,0.00834446309938094
BZ,BLZ,Belize,2021-04-09,2021-03-20,10,2432807.81229639,45,289,131,139,558,13,100,53,0,0,13,65,4,7,2,219135.405056548,0,0,0,0,0,0,131,77,2234.18689788054,6,1,1,0,1,10,1,5,1,0,10,2,5,1,1,10,1,0,1,0,0,1,3,9,0,3,11,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,7,6,7,3,3,5,2,7,10,0,0,0,1,1,1,0,0,1,1,1,2,21,0.13,0.0659142619332497,0.02,0.0274394957835608,0.0900750992120913,0.000359748788202406,0,0,0,0,0.058634306791555,0.00974189449244754
BZ,BLZ,Belize,2021-04-10,2021-03-21,4,2469827.46163094,44,304,129,137,538,13,100,52,0,0,15,62,4,8,3,307203.570508352,0,1,0,0,0,0,129,77,2234.18689788054,7,1,2,0,1,11,1,6,1,0,10,2,5,1,1,10,1,0,1,0,0,1,3,9,0,3,11,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,7,6,7,3,3,5,2,7,10,0,0,0,1,1,1,0,0,1,1,1,2,21,0.13,0.0659142619332497,0.03,0.0334344809563718,0.124382603757062,0.000411577662197913,0,0,0,0,0.0577391265351953,0.00967183824112684
