ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B1_1.1,B1_1.2,B1_1.NA,B1_2.1,B1_2.2,B1_2.NA,B1_3.1,B1_3.2,B1_3.NA,B1_4.1,B1_4.2,B1_4.NA,B1_5.1,B1_5.2,B1_5.NA,B1_6.1,B1_6.2,B1_6.NA,B1_7.1,B1_7.2,B1_7.NA,B1_8.1,B1_8.2,B1_8.NA,B1_9.1,B1_9.2,B1_9.NA,B1_10.1,B1_10.2,B1_10.NA,B1_11.1,B1_11.2,B1_11.NA,B1_12.1,B1_12.2,B1_12.NA,B3.1,B3.2,B3.NA,B5.1,B5.2,B5.NA,B6.1,B6.2,B6.NA,B7.1,B7.2,B7.NA,B8.1,B8.2,B8.NA,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C1_m.1,C1_m.2,C1_m.NA,C2.1,C2.3,C2.4,C2.NA,C3.1,C3.2,C3.NA,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C5.NA,C6.1,C6.2,C6.3,C6.4,C6.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D3.1,D3.2,D3.3,D3.4,D3.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,E3.1,E3.2,E3.3,E3.4,E3.NA,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E4.NA,E2.1,E2.2,E2.3,E2.NA,B2.mean,B2.sd,B4.mean,B4.sd,E5.mean,E5.sd,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
MS,MSR,Montserrat,2020-11-21,2020-04-24,100,4,105514.594274089,1,4496.25997497661,20,86,5,0,3254766.80807542,60,6,91,3,11,85,4,8,88,4,14,79,7,12,82,6,14,80,6,8,87,5,6,88,6,6,89,5,5,90,5,16,79,5,18,78,4,13,81,6,3,5,92,16,72,12,5,6,89,0,3,97,28,49,23,48,31,21,21,56,23,26,50,24,9,68,23,16,62,22,24,55,21,15,1,7,77,19,81,0,40,13,2,3,6,12,24,36,16,9,13,26,5,5,6,12,43,29,7,5,7,12,42,27,20,27,7,17,29,10,8,15,37,30,19,37,2,2,40,9,6,13,14,8,6,6,38,27,19,10,44,31.3333333333333,45.1103372713576,76,79.2464510246358,9.28,26.5445639924829,0.04,0.0384072934108425,0.0324184804921498,0.000192410275613692,0.01,0.0195013954179879,0.00138143843786932,4.03509474767387e-05,0.00327546675401245,0.00143315730909857
MS,MSR,Montserrat,2020-11-22,2020-04-26,100,4,105514.594274089,1,4496.25997497661,20,86,5,0,3266557.53247212,60,6,91,3,11,85,4,8,88,4,14,79,7,12,82,6,14,80,6,8,87,5,6,88,6,6,89,5,5,90,5,16,79,5,18,78,4,13,81,6,3,5,92,16,72,12,5,6,89,0,3,97,28,50,22,48,32,20,21,57,22,26,51,23,9,69,22,16,63,21,24,56,20,15,1,7,77,20,80,0,41,13,2,3,6,12,23,37,16,9,13,25,5,5,6,12,44,28,7,5,7,12,43,26,20,27,7,17,29,10,8,15,37,30,19,37,2,2,40,9,6,13,14,8,6,6,38,27,19,10,44,31.3333333333333,45.1103372713576,76,79.2464510246358,9.28,26.5445639924829,0.04,0.0384072934108425,0.0323014651434093,0.000191727358027633,0.01,0.0195013954179879,0.00137645209988812,4.02054000591913e-05,0.00327546675401245,0.00143315730909857
MS,MSR,Montserrat,2020-11-23,2020-05-05,100,4,105514.594274089,1,4496.25997497661,20,85,5,0,3255279.81518126,59,6,91,3,11,85,4,8,88,4,14,79,7,13,81,6,15,79,6,9,86,5,7,87,6,6,89,5,6,89,5,17,78,5,19,77,4,13,80,7,3,5,92,16,71,13,5,6,89,0,3,97,28,49,23,48,31,21,21,56,23,26,50,24,9,68,23,16,62,22,24,55,21,15,1,7,77,20,79,1,40,13,2,3,6,12,24,37,15,9,13,26,5,5,6,11,44,29,7,5,7,11,43,27,20,26,7,17,30,10,8,15,36,31,19,36,2,2,41,8,6,13,14,8,6,6,39,26,19,10,45,31.3333333333333,45.1103372713576,76,79.2464510246358,9.41274468971262,27.3639920637258,0.04,0.0384072934108425,0.0324133715885232,0.000192380461121205,0.01,0.0195013954179879,0.00138122073377777,4.03445928748843e-05,0.00331400165700083,0.00144998995308997
MS,MSR,Montserrat,2020-11-24,2020-05-09,100,4,105514.594274089,1,4496.25997497661,20,86,5,0,3225476.29434995,59,6,90,4,11,84,5,8,88,4,14,79,7,14,79,7,15,79,6,9,86,5,7,87,6,6,89,5,6,89,5,16,79,5,19,77,4,13,81,6,3,5,92,17,69,14,5,7,88,0,3,97,29,47,24,50,29,21,22,55,23,28,48,24,10,67,23,18,60,22,24,56,20,15,1,7,77,21,78,1,41,13,2,3,6,11,24,35,15,10,14,26,5,5,7,11,44,28,7,4,7,12,43,27,21,26,7,15,31,10,9,14,35,32,18,37,2,2,41,7,6,13,14,9,6,6,39,27,19,9,45,30.7777777777778,45.3144258519706,76,79.2464510246358,9.67881944444444,28.225341701731,0.04,0.0384072934108425,0.0327128723466109,0.000194128012165065,0.01,0.0195013954179879,0.00139398326468952,4.07171182238052e-05,0.00327546675401245,0.00143315730909857
MS,MSR,Montserrat,2020-11-25,2020-05-09,100,4,105514.594274089,1,4496.25997497661,20,86,5,0,3226135.05750337,59,6,90,4,11,84,5,8,88,4,14,79,7,14,79,7,15,79,6,9,86,5,7,87,6,6,89,5,6,89,5,16,79,5,19,77,4,13,81,6,3,5,92,17,69,14,5,7,88,0,3,97,29,47,24,49,30,21,22,55,23,27,49,24,10,67,23,17,61,22,23,57,20,14,1,7,78,21,78,1,41,13,2,3,6,11,24,36,14,10,14,26,5,5,7,11,44,28,7,4,7,12,43,27,22,25,7,15,31,10,8,14,36,32,19,36,2,2,41,7,5,13,15,9,6,6,39,27,19,9,45,30.7777777777778,45.3144258519706,76,79.2464510246358,9.67881944444444,28.225341701731,0.04,0.0384072934108425,0.0327061925162379,0.000194089042205321,0.01,0.0195013954179879,0.00139369861919425,4.07088097621055e-05,0.00327546675401245,0.00143315730909857
MS,MSR,Montserrat,2020-11-26,2020-05-11,100,4,105514.594274089,1,4496.25997497661,20,86,5,0,3276673.56316118,59,6,90,4,11,84,5,8,88,4,14,79,7,14,79,7,15,79,6,9,86,5,7,87,6,6,89,5,6,89,5,16,79,5,19,77,4,13,81,6,3,5,92,17,69,14,5,7,88,0,3,97,29,47,24,50,29,21,22,56,22,28,48,24,10,66,24,17,60,23,24,56,20,15,1,7,77,21,78,1,40,14,2,3,6,11,24,36,14,10,14,26,5,5,7,12,43,28,7,4,7,13,42,27,22,25,7,15,31,10,8,14,36,32,19,36,2,2,41,7,5,12,16,9,6,6,39,28,19,8,45,30.7777777777778,45.3144258519706,76,79.2464510246358,9.72222222222222,28.2215584842186,0.04,0.0384072934108425,0.0322017412599057,0.000191145288958147,0.01,0.0195013954179879,0.0013722025976365,4.00813597426256e-05,0.00327546675401245,0.00143315730909857
MS,MSR,Montserrat,2020-11-28,2020-05-19,100,4,105514.594274089,1,4496.25997497661,20,86,5,0,3318266.68764934,58,6,90,4,11,84,5,8,88,4,13,80,7,14,79,7,15,79,6,9,86,5,7,87,6,6,89,5,6,89,5,16,79,5,18,78,4,13,81,6,3,5,92,17,69,14,5,7,88,0,3,97,27,49,24,49,30,21,23,55,22,27,49,24,10,66,24,18,59,23,23,57,20,14,1,7,78,21,78,1,41,14,2,3,5,11,24,37,14,9,14,26,6,5,7,10,44,28,8,4,6,13,42,27,23,23,7,15,32,11,8,14,34,33,19,35,2,2,42,8,5,12,15,9,6,5,40,28,19,7,46,30.7777777777778,45.3144258519706,76,79.2464510246358,9.54861111111111,28.2558956030032,0.04,0.0384072934108425,0.0317981055190099,0.000188788716803131,0.01,0.0195013954179879,0.00135500259569606,3.95792970313884e-05,0.00327546675401245,0.00143315730909857
MS,MSR,Montserrat,2020-11-29,2020-05-21,100,4,105514.594274089,1,4496.25997497661,20,86,5,0,3332634.13929904,59,6,89,5,11,83,6,8,88,4,13,80,7,14,78,8,14,80,6,9,85,6,7,86,7,6,88,6,6,89,5,16,79,5,18,77,5,13,81,6,3,6,91,17,70,13,5,7,88,0,3,97,28,49,23,50,30,20,24,55,21,28,49,23,11,66,23,19,59,22,24,57,19,15,1,7,77,21,78,1,42,14,2,3,5,11,23,37,15,9,14,25,6,5,7,10,45,27,8,4,6,13,43,26,23,23,7,16,31,11,8,14,35,32,20,35,2,2,41,8,5,13,15,9,6,5,39,29,19,7,45,30.7777777777778,45.3144258519706,76,79.2464510246358,9.32944606413994,27.3899296560603,0.04,0.0384072934108425,0.0316610194410007,0.000187988129302332,0.01,0.0195013954179879,0.00134916099008765,3.94087804099721e-05,0.00327546675401245,0.00143315730909857
MS,MSR,Montserrat,2020-12-01,2020-05-21,100,4,105514.594274089,1,4496.25997497661,20,85,5,0,3375524.53034263,58,6,88,6,11,82,7,9,87,4,14,79,7,15,77,8,14,79,7,8,85,7,7,85,8,5,88,7,6,88,6,16,78,6,19,76,5,13,80,7,3,6,91,17,69,14,5,7,88,0,3,97,27,49,24,49,30,21,24,54,22,28,48,24,11,65,24,19,58,23,24,56,20,15,1,7,77,20,78,2,41,14,2,3,5,11,24,36,15,9,14,26,6,5,7,10,44,28,8,4,6,13,42,27,22,23,7,16,32,10,8,14,35,33,20,34,2,2,42,8,5,12,15,9,6,5,40,29,19,7,45,32.5802615933413,47.5275054413865,76,79.2464510246358,9.63541666666667,28.2454081343102,0.04,0.0384072934108425,0.0312587253701217,0.000185638047182612,0.01,0.0195013954179879,0.00133201816030655,3.89083749932814e-05,0.00331400165700083,0.00144998995308997
MS,MSR,Montserrat,2020-12-02,2020-05-24,100,4,105514.594274089,1,4496.25997497661,20,84,5,0,3301519.9056083,57,6,87,7,12,81,7,9,86,5,14,78,8,15,76,9,13,79,8,8,84,8,7,84,9,5,87,8,6,87,7,16,77,7,19,75,6,13,79,8,3,6,91,17,68,15,5,7,88,0,3,97,27,48,25,48,30,22,24,53,23,27,48,25,11,64,25,19,57,24,24,55,21,15,1,7,77,20,76,4,40,14,2,3,5,11,25,35,15,9,14,27,6,5,6,10,44,29,8,4,6,13,41,28,21,23,7,16,33,9,8,14,35,34,19,34,2,2,43,8,5,12,14,9,6,5,41,29,18,7,46,32.5802615933413,47.5275054413865,76,79.2464510246358,9.86871887732005,29.157562792684,0.04,0.0384072934108425,0.0319593996979547,0.000189730531689799,0.01,0.0195013954179879,0.00136187577343962,3.97799239920732e-05,0.00335345405767941,0.00146722269841961
