ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B1_1.1,B1_1.2,B1_1.NA,B1_2.1,B1_2.2,B1_2.NA,B1_3.1,B1_3.2,B1_3.NA,B1_4.1,B1_4.2,B1_4.NA,B1_5.1,B1_5.2,B1_5.NA,B1_6.1,B1_6.2,B1_6.NA,B1_7.1,B1_7.2,B1_7.NA,B1_8.1,B1_8.2,B1_8.NA,B1_9.1,B1_9.2,B1_9.NA,B1_10.1,B1_10.2,B1_10.NA,B1_11.1,B1_11.2,B1_11.NA,B1_12.1,B1_12.2,B1_12.NA,B3.1,B3.2,B3.NA,B5.1,B5.2,B5.NA,B6.1,B6.2,B6.NA,B7.1,B7.2,B7.NA,B8.1,B8.2,B8.3,B8.NA,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C1_m.1,C1_m.2,C1_m.NA,C2.1,C2.2,C2.3,C2.4,C2.NA,C3.1,C3.2,C3.NA,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C5.NA,C6.1,C6.2,C6.3,C6.4,C6.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D3.1,D3.2,D3.3,D3.4,D3.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,E3.1,E3.2,E3.4,E3.NA,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E4.NA,E2.1,E2.2,E2.3,E2.NA,B2.mean,B2.sd,B4.mean,B4.sd,E5.mean,E5.sd,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
TC,TCA,Turks and Caicos Islands,2020-07-16,2020-04-27,100,4,84470.2124388389,2,53287.7657883738,7,93,3,0,2564450.3972415,71,9,77,14,5,80,15,8,77,15,24,64,12,8,79,13,16,70,14,9,76,15,7,81,12,10,77,13,7,79,14,15,73,12,24,65,11,12,86,2,5,5,90,13,80,7,3,5,92,0,2,1,97,36,49,15,58,28,14,18,64,18,26,58,16,23,62,15,18,65,17,27,61,12,15,7,1,4,73,19,81,0,45,12,11,4,5,5,18,47,13,12,10,18,5,3,16,21,33,22,5,6,16,20,30,23,15,36,10,18,21,10,11,12,45,22,51,23,2,24,9,14,16,17,9,6,2,27,37,21,16,26,11.9318181818182,17.3994254435572,6.12244897959184,7.63603548321213,3.50346020761246,3.3901160269115,0.04,0.0384072934108425,0.0329389145251945,0.000218440184602561,0.02,0.0274394957835608,0.0207794098282009,0.000174585355749434,0.00106012418597607,0.000784920168850148
TC,TCA,Turks and Caicos Islands,2020-07-17,2020-05-01,100,4,84470.2124388389,2,53287.7657883738,7,93,3,0,2480034.7589406,70,9,77,14,5,80,15,8,77,15,23,65,12,8,79,13,17,69,14,9,76,15,7,81,12,10,77,13,6,80,14,15,73,12,24,65,11,12,86,2,5,5,90,13,80,7,3,5,92,0,2,1,97,35,50,15,57,29,14,18,64,18,26,58,16,22,63,15,17,66,17,26,62,12,14,7,1,4,74,19,81,0,46,12,11,4,4,5,18,47,12,13,10,18,5,2,16,21,33,23,5,6,16,19,30,24,15,35,10,18,22,10,10,12,45,23,50,23,2,25,9,13,16,17,9,6,2,28,37,21,15,27,11.9318181818182,17.3994254435572,6.12244897959184,7.63603548321213,3.58654488750279,3.45722855348745,0.04,0.0384072934108425,0.034060092155693,0.000225744496428588,0.02,0.0274394957835608,0.0214867011828241,0.000180462697775298,0.00106012418597607,0.000784920168850148
TC,TCA,Turks and Caicos Islands,2020-07-18,2020-05-03,100,4,84470.2124388389,2,53287.7657883738,7,93,3,0,2480772.22936215,70,9,77,14,5,80,15,8,77,15,23,65,12,8,79,13,17,69,14,9,76,15,7,81,12,10,77,13,6,80,14,15,73,12,24,65,11,12,86,2,5,5,90,13,80,7,3,5,92,0,2,1,97,36,49,15,57,29,14,18,64,18,26,58,16,23,62,15,17,66,17,26,62,12,14,7,1,4,74,20,80,0,46,12,11,4,4,5,18,46,13,13,10,18,5,2,15,22,33,23,5,6,15,20,30,24,16,34,10,18,22,11,9,12,45,23,50,23,2,25,9,13,15,18,9,6,2,28,37,21,15,27,11.9318181818182,17.3994254435572,6.12244897959184,7.63603548321213,3.67565159278236,3.5178964513842,0.04,0.0384072934108425,0.0340499669574895,0.000225678571134753,0.02,0.0274394957835608,0.0214803137336292,0.00018040963963781,0.00106012418597607,0.000784920168850148
TC,TCA,Turks and Caicos Islands,2020-07-20,2020-05-07,100,4,84470.2124388389,2,53287.7657883738,8,93,4,0,2514665.87480854,70,9,77,14,6,79,15,9,76,15,22,66,12,9,78,13,17,69,14,9,76,15,7,81,12,10,77,13,6,80,14,15,73,12,25,64,11,13,85,2,5,6,89,15,78,7,4,6,90,0,3,1,96,37,48,15,58,28,14,19,62,19,26,57,17,23,61,16,18,64,18,27,61,12,15,7,1,4,73,20,80,0,46,12,11,4,4,5,18,45,14,13,10,18,5,2,15,21,34,23,5,6,15,20,30,24,16,35,10,17,22,11,10,12,44,23,49,24,2,25,10,13,15,18,9,6,1,28,37,20,16,27,10.4855371900826,15.1091224966382,6.25,6.68153104781061,3.67565159278236,3.49865478193363,0.04,0.0384072934108425,0.0335910282495364,0.000222689670426429,0.02,0.0274394957835608,0.021190793704325,0.000178004336015104,0.00121157049825837,0.00083905134623986
TC,TCA,Turks and Caicos Islands,2020-07-22,2020-05-07,100,4,84470.2124388389,2,53287.7657883738,8,93,4,0,2522417.21659983,69,9,77,14,6,79,15,9,76,15,22,66,12,9,78,13,17,69,14,9,76,15,7,81,12,10,77,13,6,80,14,15,73,12,25,64,11,13,85,2,5,6,89,15,78,7,4,6,90,0,3,1,96,38,47,15,57,29,14,18,63,19,27,56,17,22,62,16,18,64,18,27,61,12,15,7,1,4,73,20,80,0,46,12,11,4,4,5,18,44,14,14,10,18,5,2,15,21,34,23,5,6,15,20,30,24,17,34,10,17,22,11,10,11,45,23,49,24,2,25,10,13,15,19,8,6,1,28,37,19,17,27,10.4855371900826,15.1091224966382,6.25,6.68153104781061,3.63109824014257,3.5264780947699,0.04,0.0384072934108425,0.0334878036365067,0.000222017205320999,0.02,0.0274394957835608,0.021125674784366,0.00017746323486502,0.00121157049825837,0.00083905134623986
TC,TCA,Turks and Caicos Islands,2020-07-23,2020-05-15,100,4,84470.2124388389,2,53287.7657883738,8,93,4,0,2544915.79740099,69,9,77,14,6,79,15,9,76,15,20,68,12,8,79,13,17,69,14,8,77,15,7,81,12,10,77,13,6,80,14,13,75,12,23,66,11,13,85,2,5,6,89,15,77,8,4,6,90,0,3,1,96,37,48,15,55,31,14,18,63,19,27,56,17,22,62,16,18,64,18,27,61,12,16,7,1,3,73,19,81,0,47,12,11,4,3,4,19,44,14,15,8,19,5,3,15,21,33,23,5,7,15,20,29,24,18,34,10,16,22,10,10,10,47,23,49,23,2,26,10,12,15,19,9,6,1,28,38,19,15,28,11.1111111111111,16.0940857770391,6.25,6.68153104781061,3.65013774104683,3.59511642348559,0.04,0.0384072934108425,0.0331917513833286,0.00022008814001865,0.02,0.0274394957835608,0.0209389111587874,0.00017591113253449,0.00121157049825837,0.00083905134623986
TC,TCA,Turks and Caicos Islands,2020-07-24,2020-05-15,100,4,84470.2124388389,2,53287.7657883738,8,94,4,0,2550913.37983751,69,9,77,14,6,79,15,8,77,15,20,68,12,8,79,13,17,69,14,8,77,15,7,81,12,10,77,13,6,80,14,13,75,12,22,67,11,12,86,2,5,5,90,14,78,8,4,5,91,0,3,1,96,37,48,15,56,30,14,19,62,19,28,55,17,22,62,16,18,64,18,27,61,12,16,7,1,3,73,19,81,0,47,12,11,4,3,4,19,44,14,15,8,19,4,3,15,21,34,23,4,7,15,20,30,24,19,33,10,16,22,9,10,10,48,23,49,23,2,26,10,12,15,19,9,6,1,28,38,19,15,28,11.540749553837,16.6589507344504,6.25,6.68153104781061,3.62718089990817,3.613748517597,0.04,0.0384072934108425,0.0331137125652692,0.00021957954105051,0.02,0.0274394957835608,0.020889680617759,0.000175501951159588,0.00119868145040456,0.000830130624322721
TC,TCA,Turks and Caicos Islands,2020-07-25,2020-05-16,100,4,84470.2124388389,2,53287.7657883738,8,94,4,0,2581049.87057175,69,9,77,14,6,79,15,8,77,15,20,68,12,8,79,13,16,70,14,8,77,15,7,81,12,10,77,13,6,80,14,13,75,12,21,68,11,12,86,2,5,5,90,14,78,8,4,5,91,0,3,1,96,38,47,15,56,30,14,19,62,19,29,54,17,22,62,16,19,63,18,27,61,12,16,7,1,3,73,19,81,0,47,12,11,4,3,4,19,43,15,15,8,19,4,3,15,21,34,23,4,6,15,21,30,24,19,33,10,16,22,9,9,11,48,23,50,22,2,26,10,12,15,18,10,6,1,28,39,19,14,28,10.25,13.9343699773857,6.25,6.68153104781061,3.60422405876951,3.63213771069451,0.04,0.0384072934108425,0.0327270749015505,0.000217059103053233,0.02,0.0274394957835608,0.0206457714730516,0.000173474383341139,0.00119868145040456,0.000830130624322721
TC,TCA,Turks and Caicos Islands,2020-07-26,2020-05-17,100,4,84470.2124388389,2,53287.7657883738,8,94,4,0,2749206.64561057,69,9,77,14,6,79,15,8,77,15,21,67,12,8,79,13,16,70,14,8,77,15,8,80,12,10,77,13,6,80,14,13,75,12,21,68,11,12,86,2,5,5,90,14,78,8,4,5,91,0,3,1,96,37,48,15,56,30,14,19,62,19,29,54,17,21,63,16,18,64,18,26,62,12,16,6,1,3,74,19,81,0,47,12,11,4,3,4,19,44,15,14,8,19,4,3,15,21,34,23,4,6,16,21,29,24,18,33,10,17,22,8,9,11,49,23,50,22,2,26,10,12,15,18,10,6,1,28,40,18,14,28,9.81558596073766,13.4753372103335,6.25,6.68153104781061,3.66863905325444,3.71599282022498,0.04,0.0384072934108425,0.0307253049070376,0.000203993315475283,0.02,0.0274394957835608,0.019382961216631,0.00016296869183189,0.00119868145040456,0.000830130624322721
TC,TCA,Turks and Caicos Islands,2020-07-27,2020-05-18,100,4,84470.2124388389,2,53287.7657883738,8,94,4,0,2817949.82276904,69,9,77,14,6,79,15,8,77,15,21,67,12,9,78,13,17,69,14,8,77,15,8,80,12,10,77,13,6,80,14,13,75,12,21,68,11,12,86,2,5,5,90,14,78,8,4,5,91,0,3,1,96,38,47,15,55,31,14,19,62,19,29,54,17,21,63,16,19,63,18,26,62,12,16,6,1,3,74,19,81,0,47,13,10,4,3,4,19,44,15,14,8,19,4,4,14,21,34,23,4,6,15,22,29,24,19,32,10,17,22,8,9,12,48,23,50,22,2,26,10,12,15,17,10,7,1,28,40,18,14,28,9.4671201814059,13.0143536797998,6.25,6.68153104781061,3.64497041420118,3.72470989666205,0.04,0.0384072934108425,0.029975768821829,0.000199093884471293,0.02,0.0274394957835608,0.0189101187529347,0.000159031439306222,0.00119868145040456,0.000830130624322721
