ISO2,ISO_3,country_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B1_1.1,B1_1.2,B1_1.NA,B1_2.1,B1_2.2,B1_2.NA,B1_3.1,B1_3.2,B1_3.NA,B1_4.1,B1_4.2,B1_4.NA,B1_5.1,B1_5.2,B1_5.NA,B1_6.1,B1_6.2,B1_6.NA,B1_7.1,B1_7.2,B1_7.NA,B1_8.1,B1_8.2,B1_8.NA,B1_9.1,B1_9.2,B1_9.NA,B1_10.1,B1_10.2,B1_10.NA,B1_11.1,B1_11.2,B1_11.NA,B1_12.1,B1_12.2,B1_12.NA,B3.1,B3.2,B5.1,B5.2,B5.NA,B6.1,B6.2,B6.NA,B7.1,B7.2,B7.NA,B8.1,B8.2,B8.3,B8.NA,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C1_m.1,C1_m.2,C1_m.NA,C2.1,C2.2,C2.3,C2.4,C2.NA,C3.1,C3.2,C3.NA,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C5.NA,C6.1,C6.2,C6.3,C6.4,C6.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D3.1,D3.2,D3.3,D3.4,D3.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,E3.1,E3.2,E3.3,E3.4,E3.NA,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E4.NA,E2.1,E2.2,E2.3,E2.NA,B2.mean,B2.sd,B4.mean,B4.sd,E5.mean,E5.sd,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
LC,LCA,Saint Lucia,2020-10-22,2020-04-24,100,1,5714.37835066305,1,5714.37835066305,101,85,8,4,1912677.44492196,71,1,94,5,6,88,6,4,90,6,15,80,5,9,84,7,15,80,5,11,83,6,6,89,5,6,89,5,6,89,5,11,84,5,22,73,5,23,77,8,9,83,16,72,12,8,6,86,4,5,0,91,26,62,12,56,34,10,21,63,16,31,55,14,12,73,15,16,72,12,35,55,10,19,8,1,4,68,17,83,0,41,12,10,4,6,11,16,45,14,11,15,15,3,5,16,8,48,20,2,3,16,15,43,21,24,23,8,22,23,11,10,22,36,21,29,39,0,3,29,17,17,14,9,4,7,2,30,30,20,21,29,18.75,40.7737660757502,157.8125,250.885707828998,4.07254361799816,2.56531754399241,0.01,0.0195013954179879,0.00298763305116311,7.73465813537873e-05,0.01,0.0195013954179879,0.00298763305116311,7.73465813537873e-05,0.0167357083678542,0.00323643312284019
LC,LCA,Saint Lucia,2020-10-23,2020-04-26,100,1,5714.37835066305,1,5714.37835066305,101,86,8,4,1901562.30528131,72,1,94,5,6,88,6,4,90,6,15,80,5,9,84,7,15,80,5,11,83,6,6,89,5,5,90,5,6,89,5,11,84,5,22,73,5,22,78,8,9,83,16,73,11,8,6,86,4,5,0,91,26,63,11,57,34,9,21,64,15,31,56,13,12,74,14,16,73,11,35,56,9,19,8,1,4,68,17,83,0,41,13,10,4,6,11,15,46,14,11,15,14,3,5,16,8,49,19,2,3,16,15,44,20,24,23,9,22,22,11,10,22,37,20,29,39,1,3,28,17,17,14,10,4,7,2,29,30,20,22,28,18.6875,40.7933641379613,157.8125,250.885707828998,3.99643573178882,2.5109467427062,0.01,0.0195013954179879,0.00300509656443662,7.77980114255973e-05,0.01,0.0195013954179879,0.00300509656443662,7.77980114255973e-05,0.0165411071077629,0.00319911670673242
LC,LCA,Saint Lucia,2020-10-24,2020-04-28,100,1,5714.37835066305,1,5714.37835066305,101,86,8,4,1916310.65522058,72,1,94,5,6,88,6,4,90,6,14,81,5,8,85,7,14,81,5,11,83,6,6,89,5,5,90,5,6,89,5,11,84,5,22,73,5,22,78,8,9,83,16,73,11,8,6,86,4,5,0,91,25,64,11,56,35,9,21,64,15,31,56,13,12,74,14,15,74,11,36,55,9,20,8,1,4,67,17,83,0,41,13,10,4,6,11,15,46,14,11,15,14,3,5,15,8,50,19,2,3,16,15,44,20,23,24,9,22,22,11,10,22,37,20,30,38,1,3,28,16,17,14,10,5,7,2,29,29,21,22,28,19.5266272189349,42.3234967602097,157.8125,250.885707828998,4.01871240810871,2.4814007954671,0.01,0.0195013954179879,0.00298196867772741,7.72001561647491e-05,0.01,0.0195013954179879,0.00298196867772741,7.72001561647491e-05,0.0165411071077629,0.00319911670673242
LC,LCA,Saint Lucia,2020-10-25,2020-05-01,100,1,5714.37835066305,1,5714.37835066305,101,86,8,4,1939063.82403147,72,1,94,5,6,88,6,5,89,6,14,81,5,8,85,7,15,80,5,11,83,6,6,89,5,5,90,5,6,89,5,11,84,5,22,73,5,22,78,8,9,83,17,72,11,8,7,85,4,5,0,91,26,63,11,56,35,9,21,64,15,31,56,13,12,74,14,15,74,11,35,56,9,19,8,1,4,68,17,83,0,42,13,10,4,6,10,15,47,13,11,15,14,3,5,15,9,49,19,2,3,17,14,44,20,23,24,9,22,22,11,10,22,37,20,29,39,1,3,28,16,18,14,10,4,7,2,29,28,22,22,28,18.625,40.816781051237,157.8125,250.885707828998,4.01871240810871,2.4814007954671,0.01,0.0195013954179879,0.00294697795907636,7.62956205889151e-05,0.01,0.0195013954179879,0.00294697795907636,7.62956205889151e-05,0.0165411071077629,0.00319911670673242
LC,LCA,Saint Lucia,2020-10-28,2020-05-05,100,2,74725.1243413602,1,5714.37835066305,106,86,8,4,1855403.77642191,71,2,93,5,7,87,6,6,88,6,14,81,5,9,84,7,16,79,5,12,82,6,7,88,5,5,90,5,7,88,5,11,84,5,23,72,5,23,77,9,9,82,18,71,11,8,8,84,4,5,0,91,26,63,11,56,35,9,21,64,15,32,55,13,12,74,14,15,74,11,36,55,9,19,8,1,5,67,18,82,0,43,13,10,4,6,9,15,46,14,11,15,14,3,5,16,9,48,19,2,3,17,15,43,20,23,24,9,22,22,12,10,21,37,20,29,38,1,3,29,16,18,13,10,4,7,2,30,28,22,21,29,18.5603807257585,39.3994101272609,130.864197530864,210.509213441499,4.11845730027548,2.51798771350976,0.02,0.0274394957835608,0.0402743194182052,0.000282889309728578,0.01,0.0195013954179879,0.0030798570226493,7.97304722093211e-05,0.017359973796266,0.00327598156288487
LC,LCA,Saint Lucia,2020-10-29,2020-05-05,100,2,74725.1243413602,1,5714.37835066305,106,86,8,4,1966055.48597192,70,2,93,5,8,86,6,6,88,6,14,81,5,10,83,7,15,80,5,13,81,6,6,89,5,5,90,5,8,87,5,11,84,5,23,72,5,23,77,9,9,82,19,70,11,8,9,83,4,5,0,91,25,64,11,55,36,9,21,64,15,32,55,13,12,74,14,14,75,11,34,57,9,18,7,1,5,69,18,82,0,43,13,10,3,6,10,15,47,14,10,15,14,3,5,15,9,48,20,2,3,17,14,43,21,22,25,8,22,23,10,10,22,37,21,28,38,1,3,30,15,18,13,10,4,7,2,31,26,23,21,30,18.5603807257585,39.3994101272609,130.864197530864,210.509213441499,4.12781065088757,2.53839877993068,0.02,0.0274394957835608,0.0380076375639113,0.000267283073058038,0.01,0.0195013954179879,0.00290651936907983,7.5249696893484e-05,0.017359973796266,0.00327598156288487
LC,LCA,Saint Lucia,2020-10-30,2020-05-06,100,2,74725.1243413602,1,5714.37835066305,106,86,9,4,2027474.74265774,70,2,93,5,8,86,6,6,88,6,14,81,5,9,84,7,15,80,5,12,82,6,6,89,5,4,91,5,8,87,5,11,84,5,22,73,5,23,77,9,9,82,20,69,11,9,9,82,4,6,0,90,25,64,11,55,36,9,22,63,15,33,54,13,12,74,14,14,75,11,35,56,9,19,7,1,5,68,17,83,0,43,14,10,3,5,10,15,47,13,10,16,14,3,5,15,9,48,20,2,3,18,14,42,21,22,24,9,22,23,10,10,21,38,21,29,37,1,3,30,15,18,13,10,4,7,2,31,26,23,21,30,18.5625,40.7890425677012,130.864197530864,210.509213441499,4.19881656804734,2.57286176473709,0.02,0.0274394957835608,0.0368562541220147,0.000259341199966207,0.01,0.0195013954179879,0.00281847079543506,7.29733437860145e-05,0.017359973796266,0.00327598156288487
LC,LCA,Saint Lucia,2020-10-31,2020-05-06,100,2,74725.1243413602,1,5714.37835066305,108,86,9,4,2031839.30793195,69,2,93,5,8,86,6,6,88,6,14,81,5,10,83,7,15,80,5,12,82,6,6,89,5,4,91,5,8,87,5,11,84,5,21,74,5,24,76,9,10,81,20,69,11,9,9,82,4,6,0,90,25,64,11,55,36,9,22,63,15,33,54,13,12,74,14,14,75,11,35,55,10,19,7,1,5,68,17,83,0,43,14,10,3,5,9,16,46,13,10,16,15,3,5,15,9,47,21,2,3,18,13,42,22,22,23,9,22,24,10,10,20,38,22,29,36,1,3,31,15,18,13,9,4,7,2,32,25,23,21,31,18.5,40.8122656273947,108,181.279403745219,4.2822265625,2.62974326245474,0.02,0.0274394957835608,0.0367770837239176,0.000258794748609379,0.01,0.0195013954179879,0.00281241647819053,7.28168118285952e-05,0.0176875204716672,0.00330619145830661
LC,LCA,Saint Lucia,2020-11-03,2020-05-07,100,2,74725.1243413602,1,5714.37835066305,108,86,10,4,2350859.52094952,68,2,93,5,8,86,6,6,88,6,14,81,5,10,83,7,15,80,5,12,82,6,6,89,5,4,91,5,8,87,5,11,84,5,21,74,5,24,76,9,10,81,21,68,11,10,9,81,4,6,1,89,24,65,11,55,36,9,22,63,15,32,55,13,12,74,14,14,75,11,34,56,10,19,7,1,5,68,17,83,0,43,14,10,3,6,8,16,47,13,9,16,15,4,5,15,9,46,21,3,3,18,13,41,22,23,22,9,22,24,10,10,20,38,22,29,35,1,3,32,14,18,13,9,4,7,2,33,24,23,21,32,18.5,40.8122656273947,108,181.279403745219,4.39405391786344,2.66961918645562,0.02,0.0274394957835608,0.0317862992983853,0.000224254077383506,0.01,0.0195013954179879,0.00243076130229806,6.29473473370266e-05,0.0176875204716672,0.00330619145830661
LC,LCA,Saint Lucia,2020-11-08,2020-05-07,100,2,74725.1243413602,1,5714.37835066305,108,86,10,4,2377762.03168746,69,2,92,6,7,86,7,6,87,7,15,80,5,10,82,8,14,80,6,12,81,7,6,88,6,3,91,6,8,86,6,11,83,6,21,74,5,24,76,9,10,81,21,68,11,10,9,81,4,6,1,89,25,64,11,55,36,9,22,63,15,31,56,13,12,74,14,14,75,11,34,56,10,20,7,0,5,68,16,84,0,44,14,10,2,6,8,16,48,13,9,15,15,4,5,15,10,46,20,3,3,18,14,41,21,23,23,9,22,23,10,11,20,38,21,30,35,1,3,31,14,18,14,9,4,7,2,32,25,23,21,31,18.125,40.8905277100976,108,181.279403745219,4.2578125,2.66244317697767,0.02,0.0274394957835608,0.0314266622755049,0.000221757992398552,0.01,0.0195013954179879,0.00240325914641998,6.2236005398186e-05,0.0176875204716672,0.00330619145830661
