,,,,,Ronda 1,,Ronda 2,,Ronda 3,,Ronda 1,,Ronda 2,,Ronda 3,
,,,,,Semana 1,Semana 2,Semana 1,Semana 2,Semana 1,Semana 2,Semana 1,Semana 2,Semana 1,Semana 2,Semana 1,Semana 2
countrycode,regioncode,provincecode,population,regionname,April 27-May 5,May 5-11,May 18-25,May 25-Jun 1,Jun 8-15,Jun 15-22,April 27-May 5,May 5-11,May 18-25,May 25-Jun 1,Jun 8-15,Jun 15-22
ES,ESAN,ESAL,716820,Provincia:Almería,4.2,2,0,0,1,0.6,30106.44,14336.4,0,0,7168.2,4300.92
ES,ESAN,ESCA,1240155,Provincia:Cádiz,3.1,1.3,0,0,0.7,0.2,38444.805,16122.015,0,0,8681.085,2480.31
ES,ESAN,ESCO,782979,Provincia:Córdoba,4.4,4.7,0.6,0.1,1.8,1.7,34451.076,36800.013,4697.874,782.979,14093.622,13310.643
ES,ESAN,ESGR,914678,Provincia:Granada,2.7,2.8,1.2,1,2.6,1.4,24696.306,25610.984,10976.136,9146.78,23781.628,12805.492
ES,ESAN,ESH,521870,Provincia:Huelva,2.5,3.1,0.1,0,0.8,0.2,13046.75,16177.97,521.87,0,4174.96,1043.74
ES,ESAN,ESJ,633564,Provincia:Jaén,3.7,2.9,0,0,1,0.8,23441.868,18373.356,0,0,6335.64,5068.512
ES,ESAN,ESMA,1661785,Provincia:Málaga,4.3,5.1,0.4,0,0.5,0.7,71456.755,84751.035,6647.14,0,8308.925,11632.495
ES,ESAN,ESSE,1942389,Provincia:Sevilla,2.4,3.5,0,0.4,1,1.4,46617.336,67983.615,0,7769.556,19423.89,27193.446
ES,ESAR,ESHU,220461,Provincia:Huesca,2.9,3.1,0.4,0.3,0.3,0.2,6393.369,6834.291,881.844,661.383,661.383,440.922
ES,ESAR,ESTE,134137,Provincia:Teruel,2.3,1.7,0.6,0,0.5,0.6,3085.151,2280.329,804.822,0,670.685,804.822
ES,ESAR,ESZ,964693,Provincia:Zaragoza,4.4,3.2,0.4,0.5,1.2,1,42446.492,30870.176,3858.772,4823.465,11576.316,9646.93
ES,ESAS,ESO,1022800,Provincia:Asturias,2.3,1.9,0.1,0,0,0.7,23524.4,19433.2,1022.8,0,0,7159.6
ES,ESCB,ESS,581078,Provincia:Cantabria,4.9,3.9,0.3,0.1,1.9,0.8,28472.822,22662.042,1743.234,581.078,11040.482,4648.624
ES,ESCE,ESCE,84777,Ciudad Autónoma:Ceuta,7.7,2.1,0.8,0,1.1,0.9,6527.829,1780.317,678.216,0,932.547,762.993
