Timestamp,Country,ISO-3166-1-a2,Region,ISO-3166-2,Language,Reach,Cases,Recovered,Fatalities,RecentCases,RecentHospital,RecentCasesNursing,StillSick,Tested,Positive,Hospital,Severe,ICU,Surveyfirst,Surveyknown,Surveyforward,Dataset,Cookie,Campaign
2021/11/21,Spain,ES,,ESMRO,en,,0,,,0,0,,0,,,,,,,,,limesurvey-6829,qtzsht7yhzkw92a054,
2021/11/21,Spain,ES,,ESMRC,en,,11111,,,11111,11111,,11111,,,,,,,,,limesurvey-6830,hc3sam25syk9vjm8uy,
2021/11/23,Spain,ES,,ESMRE,en,15,0,,,0,0,,0,,,,,,,,,limesurvey-6844,s839pc7k21kwcpl4u2,
2021/11/24,Spain,ES,,ESMRE,en,15,5,,,0,0,,0,,,,,,,,,limesurvey-6845,946ojh8zqpkwe40b1p,
2021/11/25,Spain,ES,,ESMRC,en,15,14,,,0,0,,0,,,,,,,,,limesurvey-6846,88h5swt82wkwewn89d,
2021/11/26,Spain,ES,,ESMAR,en,15,0,,,0,0,,0,,,,,,,,,limesurvey-6852,vn9knptet1kwgwyo9b,
2021/11/26,Spain,ES,,ESMRO,en,15,4,,,0,0,,0,,,,,,,,,limesurvey-6849,rxckcdpae7kwg2z0jz,
2021/11/26,Spain,ES,,ESMRE,en,15,11,,,11,0,,,,,,,,,,,limesurvey-6851,taky926laikwgntptp,
2021/11/26,Spain,ES,,ESMRO,en,15,4,,,0,0,,0,,,,,,,,,limesurvey-6850,rxckcdpae7kwg2z0jz,
2021/11/27,Spain,ES,,ESMAR,en,15,0,,,0,0,,0,,,,,,,,,limesurvey-6857,x9mx1sa0gqkwiivloo,
2021/11/27,Spain,ES,,ESMAR,en,15,0,,,0,0,,0,,,,,,,,,limesurvey-6854,vlf473jzuekwichtdo,
2021/11/27,Spain,ES,,ESMAR,en,15,2,,,0,,,0,,,,,,,,,limesurvey-6855,cipcamhguukwigno39,
2021/11/27,Spain,ES,,ESMRE,en,15,0,,,0,0,,0,,,,,,,,,limesurvey-6856,s839pc7k21kwcpl4u2,
2021/11/28,Spain,ES,,ESMAR,en,15,15,,,1,,,1,,,,,,,,,limesurvey-6859,3vmx245lrhkwjfddmm,
2021/11/28,Spain,ES,,ESMRO,en,15,2,,,0,0,,0,,,,,,,,,limesurvey-6861,uketo6yzzzkwjmym2f,
