ISO2,ISO_3,country,region,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,pos_RF_symp,pos_XGB,pos_XGB_symp,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_rf_symp,p_rf_symp_low,p_rf_symp_high,p_xgb,p_xgb_low,p_xgb_high,p_xgb_symp,p_xgb_symp_low,p_xgb_symp_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
SG,SGP,Singapore,Central,2020-05-08,2020-05-07,94,2,185,1951472.42029878,0,0,0,1,10448.8070226792,0,0,12,11973.6717523624,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG,SGP,Singapore,Central,2020-05-09,2020-05-08,95,2,189,2088482.93739952,0,0,0,0,0,0,0,33,12173.2329482351,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG,SGP,Singapore,Central,2020-05-10,2020-05-09,89,2,184,1901440.04698094,0,0,0,0,0,0,0,32,12106.7125496109,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG,SGP,Singapore,Central,2020-05-11,2020-05-10,92,2,181,2021563.74448404,0,0,0,0,0,0,0,20,12040.1921509866,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG,SGP,Singapore,Central,2020-05-12,2020-05-11,69,2,161,1878848.15011693,0,0,1,0,0,0,0,34,10643.2637798777,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG,SGP,Singapore,Central,2020-05-13,2020-05-12,69,2,138,1580683.95823363,0,0,1,0,0,0,0,23,9113.29461152027,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG,SGP,Singapore,Central,2020-05-14,2020-05-14,113,1,113,1354433.63769462,0,0,0,0,0,0,0,18,7450.28464591438,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG,SGP,Singapore,Central,2020-05-15,2020-05-14,92,2,205,2441744.38581633,0,0,0,0,0,0,0,18,13437.1205220956,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG,SGP,Singapore,Central,2020-05-16,2020-05-16,103,1,103,1088960.77431009,0,0,0,0,0,0,0,9,6785.08065967203,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG,SGP,Singapore,Central,2020-05-17,2020-05-17,110,1,110,1078917.35119298,0,0,1,0,0,0,0,8,7317.24384866591,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG,SGP,Singapore,Central,2020-05-18,2020-05-18,112,1,112,1065693.64657629,0,0,0,0,0,0,0,2,7317.24384866591,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG,SGP,Singapore,Central,2020-05-19,2020-05-19,108,1,108,1210372.36089822,0,0,0,0,0,0,0,5,7184.20305141744,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG,SGP,Singapore,Central,2020-05-20,2020-05-20,110,1,110,1348724.36010266,0,0,0,0,0,0,0,5,7250.72345004167,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG,SGP,Singapore,Central,2020-05-21,2020-05-21,109,1,109,961558.722998903,0,0,0,0,0,0,0,1,7250.72345004167,0,0,,,,,,,0.00149402390438247,0,0.00318337665843257,,,,,,,,,,0.00049800796812749,0,0.00147384257217248,0.000475531617966542,0.000466415900623489,0.000484647335309595,0,0,0,0,0,0,0.00166612402434623,0.00144614464048759,0.00188610340820487,0,0,0
SG,SGP,Singapore,Central,2020-05-22,2020-05-22,101,1,101,848818.202474242,0,0,0,1,5211.05518675157,1,5211.05518675157,2,6718.56026104779,0,0,,,,,,,0.00155925155925156,0,0.00332230225025909,,,,,,,,,,0.00051975051975052,0,0.00153817805207369,0.000249688293840521,0.0002429098623558,0.000256466725325241,0.00051975051975052,0,0.00153817805207369,0.000249688293840521,0.0002429098623558,0.000256466725325241,0.00165630973850216,0.00143247884016439,0.00188014063683993,0,0,0
SG,SGP,Singapore,Central,2020-05-23,2020-05-23,132,1,132,1183132.5417642,0,0,0,1,6272.97809779986,1,6272.97809779986,1,8581.13142252639,0,1,,,,,,,0.00160685591858597,0,0.00342368969622075,,,,,,,,,,0.00107123727905731,0,0.00255507371132629,0.000575211393654455,0.000564694114335648,0.000585728672973262,0.00107123727905731,0,0.00255507371132629,0.000575211393654455,0.000564694114335648,0.000585728672973262,0.00144485470626903,0.00123275098227767,0.00165695843026039,0,0,0
SG,SGP,Singapore,Central,2020-05-24,2020-05-24,126,1,126,1433007.26310782,0,0,0,0,0,0,0,2,8248.52942940521,0,0,,,,,,,0.00165837479270315,0,0.00353341135673767,,,,,,,,,,0.00110558319513543,0,0.00263696793420914,0.000589031742932559,0.000578261844069272,0.000599801641795845,0.00110558319513543,0,0.00263696793420914,0.000589031742932559,0.000578261844069272,0.000599801641795845,0.0012401791726777,0.00104050026220551,0.0014398580831499,0,0,0
SG,SGP,Singapore,Central,2020-05-25,2020-05-25,107,1,107,967118.295237856,0,0,0,1,11567.4829292401,0,0,6,7117.6826527932,0,1,,,,,,,0.00172910662824208,0,0.00368404667655958,,,,,,,,,,0.00172910662824208,0,0.00368404667655958,0.0012499457299304,0.00123382005473232,0.00126607140512848,0.00115273775216138,0,0.00274940034834344,0.000622710377628673,0.000611324888021731,0.000634095867235615,0.00117117423159581,0.000972992903747616,0.001369355559444,0,0,0
SG,SGP,Singapore,Central,2020-05-26,2020-05-26,122,1,122,1110859.59516588,0,0,0,0,0,0,0,6,7982.44783490827,0,2,,,,,,,0.00117924528301887,0,0.00281260191394533,,,,,,,,,,0.0017688679245283,0,0.00376872254408038,0.00130425956108688,0.0012874336352376,0.00132108548693617,0.00117924528301887,0,0.00281260191394533,0.000649768981454456,0.000637888919552397,0.000661649043356515,0.000948509621111176,0.000768028892795693,0.00112899034942666,0,0,0
SG,SGP,Singapore,Central,2020-05-27,2020-05-27,105,1,105,959993.74998028,0,0,1,1,16291.0427475014,0,0,7,6984.64185554473,1,2,,,,,,,0.00120264582080577,0,0.00286839470584936,,,,,,,,,,0.00240529164161155,5.09856609330972e-05,0.00475959762228999,0.00230703022143459,0.00228425993317804,0.00232980050969114,0.00120264582080577,0,0.00286839470584936,0.000673418622247906,0.000661106307436032,0.00068573093705978,0.000820975995557851,0.00065143335242996,0.000990518638685743,0.125,0,0.354172303767662
