ISO2,ISO_3,country,region,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
CA,CAN,Canada,Alberta,2020-05-01,2020-05-01,222,1,222,3300564.42170819,0,0,0,0,0,0,0,30,5802.42397101577,0,2,,,,,,,,,,,,,,,,,,,,,,,,
CA,CAN,Canada,Alberta,2020-05-02,2020-05-02,163,1,163,3478092.26012875,0,0,0,0,0,0,0,5,4279.6158700252,0,0,,,,,,,,,,,,,,,,,,,,,,,,
CA,CAN,Canada,Alberta,2020-05-03,2020-05-03,348,1,348,3292707.52292385,0,0,2,4,43515.3998960696,3,35780.9280856334,28,9136.84860594338,1,6,,,,,,,,,,,,,,,,,,,,,,,,
CA,CAN,Canada,Alberta,2020-05-04,2020-05-04,362,1,362,3235081.18341689,0,0,0,0,0,0,0,86,9425.65703888986,0,4,,,,,,,,,,,,,,,,,,,,,,,,
CA,CAN,Canada,Alberta,2020-05-05,2020-05-05,348,1,348,3230666.56577396,0,0,0,2,28167.2712097318,2,28167.2712097318,164,9084.33798177129,0,3,,,,,,,,,,,,,,,,,,,,,,,,
CA,CAN,Canada,Alberta,2020-05-06,2020-05-06,351,1,351,3281790.67810596,0,0,0,2,10091.2987424474,2,10091.2987424474,66,9084.33798177129,0,6,,,,,,,,,,,,,,,,,,,,,,,,
CA,CAN,Canada,Alberta,2020-05-07,2020-05-07,323,1,323,3284584.00290578,0,0,0,4,34609.8776566932,3,27870.4806352267,47,8427.95517962018,0,3,,,,,,,,,,,,,,,,,,,,,,,,
CA,CAN,Canada,Alberta,2020-05-08,2020-05-08,340,1,340,3225684.76362148,0,0,0,0,0,0,0,73,8900.55079716898,0,2,,,,,,,,,,,,,,,,,,,,,,,,
CA,CAN,Canada,Alberta,2020-05-09,2020-05-09,356,1,356,3257408.25488921,0,0,0,2,19588.2572392048,2,19588.2572392048,69,9294.38047845964,0,4,,,,,,,,,,,,,,,,,,,,,,,,
CA,CAN,Canada,Alberta,2020-05-10,2020-05-10,319,1,319,3301023.90153375,0,0,0,2,15526.9043692888,0,0,27,8270.42330710392,0,3,,,,,,,,,,,,,,,,,,,,,,,,
