ISO2,ISO_3,country,region,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,B0.1,B0.2,p_cli_smooth,p_cli_CI_smooth,p_cli_weight_smooth,p_cli_weight_CI_smooth,p_cliWHO_smooth,p_cliWHO_CI_smooth,p_cliWHO_weight_smooth,p_cliWHO_weight_CI_smooth,p_cli_local_smooth,p_cli_local_CI_smooth,p_cli_smooth_slope,p_cli_weight_smooth_slope,p_cliWHO_smooth_slope,p_cliWHO_weight_smooth_slope,p_cli_local_smooth_slope,p_cases_infected,p_cases_infected_smooth,p_cases_active
GF,GUF,French Guiana,Cayenne,2020-11-06,2020-05-02,100,1,79,0.03,0.0334344809563718,0.0305090540886301,0.000222717332303959,0.03,0.0334344809563718,0.0305090540886301,0.000222717332303959,0.0123239436619718,0.00261918041762339,10,1,,,0.0299998519663904,0.0334343185012728,0.0311666067356235,0.000227439377865338,0.0299998519663904,0.0334343185012728,0.0311666067356235,0.000227439377865338,0.0123223734977053,0.0026189827023937,,,,,,,,0.0299998519663904
GF,GUF,French Guiana,Cayenne,2020-11-07,2020-05-04,100,1,79,0.03,0.0334344809563718,0.0317186297460479,0.000231402794758933,0.03,0.0334344809563718,0.0317186297460479,0.000231402794758933,0.0123239436619718,0.00261918041762339,11,1,,,0.0299996764414969,0.0334341258650572,0.0311876901069828,0.000227590818161055,0.0299996764414969,0.0334341258650572,0.0311876901069828,0.000227590818161055,0.0123204545421415,0.00261874124918344,,,,,,,,0.0299996764414969
GF,GUF,French Guiana,Cayenne,2020-11-11,2020-05-09,100,1,79,0.03,0.0334344809563718,0.0311816843865896,0.00022754858335525,0.03,0.0334344809563718,0.0311816843865896,0.00022754858335525,0.0123239436619718,0.00261918041762339,11,1,,,0.0299965880171333,0.0334311903911327,0.0312982096975155,0.000228387459749398,0.0299965880171333,0.0334311903911327,0.0312982096975155,0.000228387459749398,0.0122899520157444,0.00261492281454747,,,,,,,,0.0299965880171333
GF,GUF,French Guiana,Cayenne,2020-11-15,2020-05-11,100,3,78,0.03,0.0334344809563718,0.0312359627817267,0.000227938294933369,0.03,0.0334344809563718,0.0312359627817267,0.000227938294933369,0.0123239436619718,0.00261918041762339,11,1,,,0.029970543379067,0.0334107367060619,0.0314099921071686,0.000229241614938816,0.029970543379067,0.0334107367060619,0.0314099921071686,0.000229241614938816,0.0121290529386777,0.00259479782140299,,,,,,,,0.029970543379067
GF,GUF,French Guiana,Cayenne,2020-11-18,2020-05-19,100,1,78,0.03,0.0334344809563718,0.0315718756060623,0.000230349606176076,0.03,0.0334344809563718,0.0315718756060623,0.000230349606176076,0.0123239436619718,0.00261918041762339,11,1,,,0.0298915971465629,0.033355040170704,0.0314043167935764,0.000229396783607549,0.0298915971465629,0.033355040170704,0.0314043167935764,0.000229396783607549,0.0117978042257962,0.0025533624996877,,,,,,,,0.0298915971465629
GF,GUF,French Guiana,Cayenne,2020-11-20,2020-05-23,100,2,77,0.03,0.0334344809563718,0.0317599151164332,0.00023169905184386,0.03,0.0334344809563718,0.0317599151164332,0.00023169905184386,0.0123239436619718,0.00261918041762339,11,1,,,0.0297630195553425,0.0332699119056891,0.0312990983124901,0.000228996178988437,0.0297630195553425,0.0332699119056891,0.0312990983124901,0.000228996178988437,0.0114190907498413,0.00250592530268557,,,,,,,,0.0297630195553425
GF,GUF,French Guiana,Cayenne,2020-11-21,2020-05-25,100,1,77,0.03,0.0334344809563718,0.0316839642000194,0.000231154030454087,0.03,0.0334344809563718,0.0316839642000194,0.000231154030454087,0.0123239436619718,0.00261918041762339,12,1,,,0.0296581939717294,0.0332024879121138,0.031198621802094,0.000228576782459956,0.0296581939717294,0.0332024879121138,0.031198621802094,0.000228576782459956,0.01117267835711,0.00247501140590274,-5.69429991101687e-05,5.33584441174753e-06,-5.69429991101687e-05,5.33584441174753e-06,-0.000191615856765878,,,0.0296581939717294
GF,GUF,French Guiana,Cayenne,2020-11-22,2020-05-26,100,1,77,0.03,0.0334344809563718,0.0315592578301705,0.000230259046425748,0.03,0.0334344809563718,0.0315592578301705,0.000230259046425748,0.0123239436619718,0.00261918041762339,12,1,,,0.0295149893384504,0.0331118865209991,0.0310556304940423,0.000227972506211886,0.0295149893384504,0.0331118865209991,0.0310556304940423,0.000227972506211886,0.0108856003379132,0.00243894268341474,-8.07811838410867e-05,-2.20099354900788e-05,-8.07811838410867e-05,-2.20099354900788e-05,-0.000239142367371385,,,0.0295149893384504
GF,GUF,French Guiana,Cayenne,2020-11-25,2020-05-27,100,1,77,0.03,0.0334344809563718,0.0314262839435581,0.000229304598532385,0.03,0.0334344809563718,0.0314262839435581,0.000229304598532385,0.0123239436619718,0.00261918041762339,12,1,,,0.0287469663538542,0.0326379949912114,0.0302716932449558,0.000224690306922115,0.0287469663538542,0.0326379949912114,0.0302716932449558,0.000224690306922115,0.00978495660970352,0.0023000423372953,-0.000208270277213176,-0.000171086075426613,-0.000208270277213176,-0.000171086075426613,-0.00041749923434015,,,0.0287469663538542
GF,GUF,French Guiana,Cayenne,2020-11-26,2020-05-27,101,1,78,0.0297029702970297,0.0331085145091172,0.0312559118783625,0.000228081521142676,0.0297029702970297,0.0331085145091172,0.0312559118783625,0.000228081521142676,0.0121968926963845,0.00259234527637923,12,1,,,0.0283422051552633,0.0323918795538638,0.0298601771084372,0.000222998447803077,0.0283422051552633,0.0323918795538638,0.0298601771084372,0.000222998447803077,0.00934945184656891,0.00224477923480359,-0.000271389703967285,-0.000258302499788563,-0.000271389703967285,-0.000258302499788563,-0.000463266848684804,,,0.0283422051552633
