ISO2,ISO_3,country,region,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
JO,JOR,Jordan,Ajlun,2020-05-09,2020-05-03,22,7,109,921099.292345017,0,0,0,1,13201.2897485587,0,0,10,1376.43602646066,0,0,,,,,,,,,,,,,,,,,,,,,,,,
JO,JOR,Jordan,Ajlun,2020-05-10,2020-05-05,16,6,103,775714.800591831,0,0,0,0,0,0,0,3,1300.66890573806,0,0,,,,,,,,,,,,,,,,,,,,,,,,
JO,JOR,Jordan,Ajlun,2020-05-11,2020-05-06,11,6,102,781387.615861712,0,0,0,0,0,0,0,3,1288.04105228429,0,0,,,,,,,,,,,,,,,,,,,,,,,,
JO,JOR,Jordan,Ajlun,2020-05-12,2020-05-07,13,6,102,729344.457553846,0,0,0,0,0,0,0,3,1288.04105228429,0,0,,,,,,,,,,,,,,,,,,,,,,,,
JO,JOR,Jordan,Ajlun,2020-05-13,2020-05-08,14,6,103,809185.181844581,0,0,0,0,0,0,0,6,1300.66890573806,0,0,,,,,,,,,,,,,,,,,,,,,,,,
JO,JOR,Jordan,Ajlun,2020-05-14,2020-05-08,9,7,112,932796.311254186,0,0,0,0,0,0,0,6,1414.31958682197,0,0,,,,,,,,,,,,,,,,,,,,,,,,
JO,JOR,Jordan,Ajlun,2020-05-15,2020-05-08,13,8,125,1023431.78076226,0,0,0,0,0,0,0,7,1578.48168172094,0,0,,,,,,,,,,,,,,,,,,,,,,,,
JO,JOR,Jordan,Ajlun,2020-05-16,2020-05-09,9,8,107,1000258.20334969,0,0,0,1,2997.64727782623,0,0,8,1351.18031955313,0,0,,,,,,,,,,,,,,,,,,,,,,,,
JO,JOR,Jordan,Ajlun,2020-05-17,2020-05-09,14,9,121,1121811.15601966,0,0,0,1,2997.64727782623,0,0,8,1515.34241445211,0,0,,,,,,,,,,,,,,,,,,,,,,,,
JO,JOR,Jordan,Ajlun,2020-05-18,2020-05-10,12,9,111,1096368.70670414,0,0,0,1,2997.64727782623,0,0,8,1389.06387991443,0,0,,,,,,,,,,,,,,,,,,,,,,,,
JO,JOR,Jordan,Ajlun,2020-05-19,2020-05-11,14,9,109,1085973.3607132,0,0,0,1,2997.64727782623,0,0,8,1363.8081730069,0,0,,,,,,,,,,,,,,,,,,,,,,,,
