ISO2,ISO_3,country,region,date,first_date,count,day_count,days_aggregated,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI,test_recent,positive_recent,p_cli_smooth,p_cases_active
CH,CHE,Switzerland,Aargau,2020-05-03,2020-05-01,116,69,3,0,0,0,0,0,0,0,0,0.00162123389090431,0.00105832773594768,0,0,0.000808549570226009,0.000808549570226009
CH,CHE,Switzerland,Aargau,2020-05-04,2020-05-03,137,68,2,0,0,0,0,0,0,0,0,0.00152524842939902,0.000944620184216286,1,0,0.000834910695833468,0.000834910695833468
CH,CHE,Switzerland,Aargau,2020-05-05,2020-05-04,133,65,2,0,0,0,0,0,0,0,0,0.00188534467513684,0.00106570853237908,1,0,0.000861724442213034,0.000861724442213034
CH,CHE,Switzerland,Aargau,2020-05-06,2020-05-05,148,83,2,0,0,0,0,0,0,0,0,0.00296495927796013,0.00126622938405652,1,0,0.000888998275513844,0.000888998275513844
CH,CHE,Switzerland,Aargau,2020-05-07,2020-05-06,151,68,2,0,0,0,0,0,0,0,0,0.00428988746997195,0.00150688324224333,1,0,0.000916731913136154,0.000916731913136154
CH,CHE,Switzerland,Aargau,2020-05-08,2020-05-07,131,63,2,0,0,0,0,0,0,0,0,0.00417918069655332,0.00160303559978233,0,0,0.000944912966826969,0.000944912966826969
CH,CHE,Switzerland,Aargau,2020-05-09,2020-05-08,117,54,2,0,0,0,0,0,0,0,0,0.00360274197978735,0.0015760954493612,0,0,0.00097351181562586,0.00097351181562586
CH,CHE,Switzerland,Aargau,2020-05-10,2020-05-09,123,69,2,0,0,0,0,0,0,0,0,0.00274044635839562,0.00134095285119909,2,0,0.00100247579817956,0.00100247579817956
CH,CHE,Switzerland,Aargau,2020-05-11,2020-05-10,137,68,2,0,0,0,0,0,0,0,0,0.00184375618965588,0.0010422219684044,3,0,0.00103172289139916,0.00103172289139916
CH,CHE,Switzerland,Aargau,2020-05-12,2020-05-11,145,77,2,0.00689655172413793,0.0134703020352146,0.0077878143987416,0.000152511979068792,0,0,0,0,0.00302630326302137,0.00129238747356738,1,0,0.00106113513071688,0.00106113513071688
CH,CHE,Switzerland,Aargau,2020-05-13,2020-05-12,154,77,2,0.00649350649350649,0.0126856500067797,0.00834201010769509,0.000163319392269297,0,0,0,0,0.00314121424904335,0.00128173591078663,0,0,0.00109055212115116,0.00109055212115116
