ISO2,ISO_3,country,region,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,pos_RF_symp,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_rf_symp,p_rf_symp_low,p_rf_symp_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
AX,ALA,Aland Islands,Mariehamn,2020-06-05,2020-05-01,2,32,100,384071.787336003,0,0,0,0,1,3505.03263570066,0,0,13,1677.38040123457,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
AX,ALA,Aland Islands,Mariehamn,2020-06-06,2020-05-01,2,33,102,398460.301202812,0,0,0,0,1,3505.03263570066,0,0,13,1711.61265432099,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
AX,ALA,Aland Islands,Mariehamn,2020-06-07,2020-05-03,3,32,100,372952.993693191,0,0,0,0,1,3505.03263570066,0,0,11,1677.38040123457,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AX,ALA,Aland Islands,Mariehamn,2020-06-08,2020-05-03,2,33,102,381352.683729948,0,0,0,0,1,3505.03263570066,0,0,11,1711.61265432099,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AX,ALA,Aland Islands,Mariehamn,2020-06-09,2020-05-04,3,33,102,391117.210421687,0,0,0,0,1,3505.03263570066,0,0,11,1711.61265432099,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AX,ALA,Aland Islands,Mariehamn,2020-06-10,2020-05-05,2,33,100,363691.011216681,0,0,0,0,1,3505.03263570066,0,0,7,1677.38040123457,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AX,ALA,Aland Islands,Mariehamn,2020-06-11,2020-05-06,2,33,101,430267.708880882,0,0,0,0,1,3505.03263570066,0,0,7,1694.49652777778,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AX,ALA,Aland Islands,Mariehamn,2020-06-12,2020-05-06,1,34,102,435075.300532411,0,0,0,0,1,3505.03263570066,0,0,7,1711.61265432099,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AX,ALA,Aland Islands,Mariehamn,2020-06-13,2020-05-06,2,35,104,444411.203878114,0,0,0,0,1,3505.03263570066,0,0,7,1745.84490740741,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AX,ALA,Aland Islands,Mariehamn,2020-06-14,2020-05-07,3,35,100,438540.878539211,0,0,0,0,1,3505.03263570066,0,0,4,1677.38040123457,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AX,ALA,Aland Islands,Mariehamn,2020-06-15,2020-05-07,2,36,102,452363.167260781,0,0,0,0,1,3505.03263570066,0,0,5,1711.61265432099,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AX,ALA,Aland Islands,Mariehamn,2020-06-16,2020-05-07,1,37,103,453670.717139671,0,0,0,0,1,3505.03263570066,0,0,5,1728.7287808642,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AX,ALA,Aland Islands,Mariehamn,2020-06-17,2020-05-07,1,38,104,454582.384560144,0,0,0,0,1,3505.03263570066,0,0,5,1745.84490740741,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
AX,ALA,Aland Islands,Mariehamn,2020-06-18,2020-05-08,3,38,100,446598.727622366,0,0,0,0,1,3505.03263570066,0,0,5,1677.38040123457,0,0,,,,0,0,0,0,0,0,0.00984528832630098,0.00471355545180604,0.0149770212007959,0.00839219207797534,0.00831825140069203,0.00846613275525865,0,0,0,0,0,0,0.00465216078762308,0.00378872756133412,0.00551559401391204,0,0,0
AX,ALA,Aland Islands,Mariehamn,2020-06-20,2020-05-08,1,39,101,450472.792476983,0,0,0,0,1,3505.03263570066,0,0,5,1694.49652777778,0,0,,,,0,0,0,0,0,0,0.00983836964160225,0.00471022512829596,0.0149665141549085,0.00829795945593986,0.00822484555565761,0.0083710733562221,0,0,0,0,0,0,0.00431377538963801,0.00348249361980843,0.00514505715946758,0,0,0
AX,ALA,Aland Islands,Mariehamn,2020-06-21,2020-05-09,3,39,101,456025.862485478,0,0,0,0,1,3505.03263570066,0,0,5,1694.49652777778,0,0,,,,0,0,0,0,0,0,0.00984528832630098,0.00471355545180604,0.0149770212007959,0.00821796165281535,0.0081455496983061,0.00829037360732461,0,0,0,0,0,0,0.0039815790524702,0.0031825265489356,0.00478063155600481,,,
AX,ALA,Aland Islands,Mariehamn,2020-06-22,2020-05-10,3,39,102,469529.155252605,0,0,0,0,1,3505.03263570066,0,0,5,1711.61265432099,0,1,,,,0,0,0,0,0,0,0.0098314606741573,0.00470689950741464,0.0149560218409,0.00808716096248633,0.00801589684962615,0.00815842507534652,0,0,0,0,0,0,0.00372476690336124,0.00295236763371565,0.00449716617300684,0,0,0
AX,ALA,Aland Islands,Mariehamn,2020-06-23,2020-05-11,2,39,101,464938.889903633,0,0,0,0,1,3505.03263570066,0,0,1,1694.49652777778,0,1,,,,0,0,0,0,0,0,0.00983836964160225,0.00471022512829596,0.0149665141549085,0.0079772692727902,0.00790696963234293,0.00804756891323747,0,0,0,0,0,0,0.00330862384253789,0.00258023666706535,0.00403701101801043,0,0,0
AX,ALA,Aland Islands,Mariehamn,2020-06-24,2020-05-12,2,39,101,474934.86830022,0,0,0,0,1,3505.03263570066,0,0,1,1694.49652777778,0,1,,,,0,0,0,0,0,0,0.00984528832630098,0.00471355545180604,0.0149770212007959,0.00787003190039889,0.00780067354018512,0.00793939026061265,0,0,0,0,0,0,0.00289188373284678,0.00221052551289922,0.00357324195279433,0,0,0
AX,ALA,Aland Islands,Mariehamn,2020-06-25,2020-05-12,2,40,103,479295.660492134,0,0,0,0,1,3505.03263570066,0,0,1,1728.7287808642,0,2,,,,0,0,0,0,0,0,0.00982456140350877,0.00470357857920865,0.0149455442278089,0.00772677033406118,0.00765866961755729,0.00779487105056507,0,0,0,0,0,0,0.00263474539838027,0.00198499943773434,0.00328449135902621,0,0,0
AX,ALA,Aland Islands,Mariehamn,2020-06-26,2020-05-13,5,40,102,469828.18565616,0,0,0,0,0,0,0,0,1,1711.61265432099,0,3,,,,0,0,0,0,0,0,0.0091164095371669,0.00418340448981176,0.014049414584522,0.00713044049674707,0.00706520366821411,0.00719567732528003,0,0,0,0,0,0,0.00238211210263668,0.00176444428674485,0.00299977991852851,0,0,0
AX,ALA,Aland Islands,Mariehamn,2020-06-27,2020-05-14,4,40,101,470828.838373176,0,0,0,0,0,0,0,0,1,1694.49652777778,0,3,,,,0,0,0,0,0,0,0.00842105263157895,0.00367658488661318,0.0131655203765447,0.00654532399687904,0.00648297684581533,0.00660767114794276,0,0,0,0,0,0,0.00213288913202213,0.00154814262170787,0.00271763564233639,0,0,0
AX,ALA,Aland Islands,Mariehamn,2020-06-28,2020-05-15,3,40,101,480346.097401162,0,0,0,0,0,0,0,0,1,1694.49652777778,0,3,,,,0,0,0,0,0,0,0.00773558368495077,0.00318194523105492,0.0122892221388466,0.00596651503778029,0.00590713684681962,0.00602589322874096,0,0,0,0,0,0,0.00188601113011746,0.00133548725691209,0.00243653500332283,0,0,0
AX,ALA,Aland Islands,Mariehamn,2020-06-29,2020-05-15,2,41,103,492182.904281831,0,0,0,0,0,0,0,0,1,1728.7287808642,0,3,,,,0,0,0,0,0,0,0.00701754385964912,0.00268339309368603,0.0113516946256122,0.00537944867158087,0.0053232833124358,0.00543561403072594,0,0,0,0,0,0,0.00175649693225352,0.00122574805074619,0.00228724581376084,0,0,0
AX,ALA,Aland Islands,Mariehamn,2020-06-30,2020-05-21,4,39,100,479191.542230334,0,0,0,0,0,0,0,0,1,1677.38040123457,0,4,,,,0,0,0,0,0,0,0.00632466619817287,0.00220571448851562,0.0104436179078301,0.00482165036365787,0.0047685708447765,0.00487472988253923,0,0,0,0,0,0,0.00159148994957519,0.00108588149186631,0.00209709840728406,0,0,0
AX,ALA,Aland Islands,Mariehamn,2020-07-27,2020-06-10,1,43,100,539197.037369297,0,0,1,1,1,18863.1178526791,1,18863.1178526791,8,2703.58555460017,0,5,,,,0.000704225352112676,0,0.00208399558791003,0.000704225352112676,0,0.00208399558791003,0.00633802816901409,0.0022104022011144,0.0104656541369138,0.00707660107389885,0.00701278521594453,0.00714041693185318,0.000704225352112676,0,0.00208399558791003,0.00284599453333611,0.00280543840090188,0.00288655066577034,0.00164977635682014,0.0011452048783784,0.00215434783526188,0,0,0
