ISO2,ISO_3,country,region,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
NO,NOR,Norway,Agder,2020-05-03,2020-05-01,73,3,126,961485.60379527,0,0,0,2,14957.2931375647,1,8665.98148208685,10,1981.36893129649,0,1,,,,,,,,,,,,,,,,,,,,,,,,
NO,NOR,Norway,Agder,2020-05-04,2020-05-03,81,2,154,640449.279772927,0,0,0,2,12858.7254510582,2,12858.7254510582,18,2444.7536007126,0,2,,,,,,,,,,,,,,,,,,,,,,,,
NO,NOR,Norway,Agder,2020-05-05,2020-05-04,78,2,159,619058.422191004,0,0,0,2,8846.28262232936,2,8846.28262232936,15,2524.64750923262,0,1,,,,,,,,,,,,,,,,,,,,,,,,
NO,NOR,Norway,Agder,2020-05-06,2020-05-05,75,2,153,622794.109245874,0,0,0,2,8855.15745845082,2,8855.15745845082,14,2412.7960373046,0,0,,,,,,,,,,,,,,,,,,,,,,,,
NO,NOR,Norway,Agder,2020-05-07,2020-05-06,71,2,146,662263.92817606,0,0,0,1,4201.61880509278,1,4201.61880509278,15,2300.94456537657,0,0,,,,,,,,,,,,,,,,,,,,,,,,
NO,NOR,Norway,Agder,2020-05-08,2020-05-07,65,2,136,623122.890519143,0,0,0,0,0,0,0,3,2125.17796663253,0,1,,,,,,,,,,,,,,,,,,,,,,,,
NO,NOR,Norway,Agder,2020-05-09,2020-05-08,72,2,137,585486.261739761,0,0,0,1,6216.026403501,0,0,5,2157.13553004053,0,1,,,,,,,,,,,,,,,,,,,,,,,,
NO,NOR,Norway,Agder,2020-05-10,2020-05-09,68,2,140,606653.584073427,0,0,0,1,6216.026403501,0,0,46,2221.05065685655,0,1,,,,,,,,,,,,,,,,,,,,,,,,
NO,NOR,Norway,Agder,2020-05-11,2020-05-10,72,2,140,609524.563859066,0,0,0,2,14280.8276575295,2,14280.8276575295,50,2205.07187515255,0,2,,,,,,,,,,,,,,,,,,,,,,,,
NO,NOR,Norway,Agder,2020-05-12,2020-05-11,58,2,130,596970.169033039,0,0,0,2,14280.8276575295,2,14280.8276575295,12,2045.28405811251,0,1,,,,,,,,,,,,,,,,,,,,,,,,
NO,NOR,Norway,Agder,2020-05-13,2020-05-12,60,2,118,578845.958390593,0,0,0,0,0,0,0,10,1853.53867766446,0,0,,,,,,,,,,,,,,,,,,,,,,,,
NO,NOR,Norway,Agder,2020-05-14,2020-05-13,83,2,143,616556.623906966,0,0,0,0,0,0,0,13,2268.98700196856,0,0,,,,,,,,,,,,,,,,,,,,,,,,
NO,NOR,Norway,Agder,2020-05-15,2020-05-14,60,2,143,615783.45586268,0,0,0,0,0,0,0,20,2268.98700196856,0,1,,,,,,,,,,,,,,,,,,,,,,,,
NO,NOR,Norway,Agder,2020-05-16,2020-05-15,76,2,136,611216.692959324,0,0,0,0,0,0,0,21,2157.13553004053,0,3,,,,0,0,0,0.00764915859255482,0.00379305450728986,0.0115052626778198,0.0101352672118886,0.0100696470997597,0.0102008873240174,0.00611932687404386,0.0026676650190148,0.00957098872907292,0.0080433206281204,0.00798480181831925,0.00810183943792155,0.00813772677798952,0.00713708965502728,0.00913836390095176,0,0,0
NO,NOR,Norway,Agder,2020-05-17,2020-05-16,60,2,136,644304.24336719,0,0,0,0,0,0,0,14,2157.13553004053,0,2,,,,0,0,0,0.00659563673262303,0.00302211708299998,0.0101691563822461,0.00877507559365619,0.00871286304384018,0.00883728814347219,0.00558092338914257,0.00229208500203861,0.00886976177624652,0.00733501891096982,0.00727809844706824,0.00739193937487141,0.00822023933907984,0.00721742579345359,0.00922305288470609,0,0,0
