ISO2,ISO_3,country,region,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,pos_RF_symp,pos_XGB,pos_XGB_symp,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_rf_symp,p_rf_symp_low,p_rf_symp_high,p_xgb,p_xgb_low,p_xgb_high,p_xgb_symp,p_xgb_symp_low,p_xgb_symp_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
MZ,MOZ,Mozambique,Cabo Delgado,2020-05-21,2020-05-02,8,20,100,5915908.30463806,0,0,0,1,123858.950906578,0,0,46,1555.53148956245,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ,MOZ,Mozambique,Cabo Delgado,2020-05-22,2020-05-03,4,20,102,5774807.42989803,0,0,0,1,123858.950906578,0,0,46,1586.95636813947,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ,MOZ,Mozambique,Cabo Delgado,2020-05-23,2020-05-04,5,20,104,5736542.8583995,0,0,0,1,123858.950906578,0,0,46,1602.66880742798,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ,MOZ,Mozambique,Cabo Delgado,2020-05-24,2020-05-05,2,20,100,5461527.47809959,0,0,0,1,123858.950906578,0,0,45,1539.81905027394,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ,MOZ,Mozambique,Cabo Delgado,2020-05-25,2020-05-08,7,18,100,5439867.09274057,0,0,0,1,123858.950906578,0,0,46,1539.81905027394,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ,MOZ,Mozambique,Cabo Delgado,2020-05-26,2020-05-10,8,17,101,5338966.41949723,0,0,0,1,123858.950906578,0,0,44,1555.53148956245,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ,MOZ,Mozambique,Cabo Delgado,2020-05-27,2020-05-11,8,17,107,5618772.86109159,0,0,0,1,123858.950906578,0,0,46,1634.093686005,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ,MOZ,Mozambique,Cabo Delgado,2020-05-28,2020-05-13,7,16,102,5313808.63002905,0,0,0,2,160523.093499655,0,0,30,1555.53148956245,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ,MOZ,Mozambique,Cabo Delgado,2020-05-29,2020-05-15,9,15,100,5065910.3001909,0,0,0,2,160523.093499655,0,0,26,1539.81905027394,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ,MOZ,Mozambique,Cabo Delgado,2020-05-30,2020-05-16,11,15,106,5163030.80179372,0,0,0,2,160523.093499655,0,0,28,1634.093686005,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ,MOZ,Mozambique,Cabo Delgado,2020-05-31,2020-05-18,11,14,103,4888811.80879354,0,0,0,2,160523.093499655,0,0,13,1571.24392885096,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ,MOZ,Mozambique,Cabo Delgado,2020-06-01,2020-05-18,4,15,107,5079512.80939155,0,0,0,2,160523.093499655,0,0,15,1634.093686005,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ,MOZ,Mozambique,Cabo Delgado,2020-06-02,2020-05-19,8,15,106,5271542.00155671,0,0,0,2,160523.093499655,0,0,27,1618.38124671649,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ,MOZ,Mozambique,Cabo Delgado,2020-06-03,2020-05-20,3,15,102,5119525.73884998,0,0,0,2,160523.093499655,0,0,27,1555.53148956245,0,1,,,,,,,0,0,0,,,,,,,,,,0.0145833333333333,0.0083917004515769,0.0207749662150898,0.0264757695193244,0.0264394809405635,0.0265120580980854,0,0,0,0,0,0,0.0219227722028259,0.0199932078528383,0.0238523365528134,0,0,0
MZ,MOZ,Mozambique,Cabo Delgado,2020-06-04,2020-05-20,3,16,105,5270476.8536756,0,0,0,2,160523.093499655,0,0,28,1602.66880742798,0,1,,,,,,,0,0,0,,,,,,,,,,0.0152249134948097,0.00891155994213832,0.0215382670474811,0.0271968615413282,0.0271599369043836,0.0272337861782728,0,0,0,0,0,0,0.0210642623030494,0.0191740395060981,0.0229544851000007,0,0,0
MZ,MOZ,Mozambique,Cabo Delgado,2020-06-05,2020-05-21,4,16,102,5228285.91295393,0,0,0,1,36664.142593077,0,0,24,1555.53148956245,0,1,,,,,,,0,0,0,,,,,,,,,,0.0152249134948097,0.00891155994213832,0.0215382670474811,0.0262193685713014,0.0261829616510171,0.0262557754915858,0,0,0,0,0,0,0.0201004326405399,0.018251741867027,0.0219491234140528,0,0,0
MZ,MOZ,Mozambique,Cabo Delgado,2020-06-06,2020-05-21,2,17,104,5340191.71786558,0,0,0,1,36664.142593077,0,0,24,1586.95636813947,0,1,,,,,,,0,0,0,,,,,,,,,,0.0152249134948097,0.00891155994213832,0.0215382670474811,0.025175856462289,0.0251400662916222,0.0252116466329558,0,0,0,0,0,0,0.0191202734882378,0.0173156779201532,0.0209248690563224,0,0,0
MZ,MOZ,Mozambique,Cabo Delgado,2020-06-08,2020-05-22,7,17,103,5219485.62577173,0,0,0,1,36664.142593077,0,0,24,1571.24392885096,0,1,,,,,,,0,0,0,,,,,,,,,,0.0151933701657459,0.0088929958642475,0.0214937444672442,0.0240703057533945,0.0240352326769957,0.0241053788297933,0,0,0,0,0,0,0.0181452655277542,0.0163876575644799,0.0199028734910284,0,0,0
