ISO2,ISO_3,country,region,date,first_date,day_count,days_aggregated,count,weight,infected,not_infected,pos_RF,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,reach,positive_recent,test_recent,p_infected,p_infected_low,p_infected_high,p_rf,p_rf_low,p_rf_high,p_cli,p_cli_low,p_cli_high,p_cli_weight,p_cli_weight_low,p_cli_weight_high,p_cliWHO,p_cliWHO_low,p_cliWHO_high,p_cliWHO_weight,p_cliWHO_weight_low,p_cliWHO_weight_high,p_cli_local,p_cli_local_low,p_cli_local_high,TPR,TPR_low,TPR_high
AU,AUS,Australia,Australian Antarctic Territory,2020-05-28,2020-05-02,2,26,100,1426233.55117952,0,0,0,2,26089.584380389,1,20102.8090647982,13,1469.56087543625,0,2,,,,,,,,,,,,,,,,,,,,,,,,
AU,AUS,Australia,Australian Antarctic Territory,2020-05-29,2020-05-04,4,25,100,1355191.28892967,0,0,0,2,26089.584380389,1,20102.8090647982,13,1469.56087543625,0,2,,,,,,,,,,,,,,,,,,,,,,,,
AU,AUS,Australia,Australian Antarctic Territory,2020-05-30,2020-05-07,10,24,104,1353852.88998464,0,0,0,2,26089.584380389,1,20102.8090647982,11,1529.54295198467,0,1,,,,,,,,,,,,,,,,,,,,,,,,
AU,AUS,Australia,Australian Antarctic Territory,2020-05-31,2020-05-10,10,22,100,1329545.41243562,0,0,0,1,20102.8090647982,1,20102.8090647982,8,1454.56535629915,0,1,,,,,,,,,,,,,,,,,,,,,,,,
AU,AUS,Australia,Australian Antarctic Territory,2020-06-01,2020-05-11,3,22,100,1168045.63735441,0,0,0,1,20102.8090647982,1,20102.8090647982,8,1454.56535629915,0,2,,,,,,,,,,,,,,,,,,,,,,,,
AU,AUS,Australia,Australian Antarctic Territory,2020-06-02,2020-05-11,6,23,106,1209583.2011079,0,0,0,1,20102.8090647982,1,20102.8090647982,8,1544.53847112178,0,2,,,,,,,,,,,,,,,,,,,,,,,,
AU,AUS,Australia,Australian Antarctic Territory,2020-06-03,2020-05-12,3,23,102,1144644.93697343,0,0,0,1,20102.8090647982,1,20102.8090647982,6,1484.55639457336,0,2,,,,,,,,,,,,,,,,,,,,,,,,
AU,AUS,Australia,Australian Antarctic Territory,2020-06-04,2020-05-14,6,22,101,1062353.40236767,0,0,0,1,20102.8090647982,1,20102.8090647982,9,1469.56087543625,0,2,,,,,,,,,,,,,,,,,,,,,,,,
AU,AUS,Australia,Australian Antarctic Territory,2020-06-05,2020-05-15,5,22,104,1076017.12917585,0,0,0,1,20102.8090647982,1,20102.8090647982,9,1514.54743284757,0,2,,,,,,,,,,,,,,,,,,,,,,,,
AU,AUS,Australia,Australian Antarctic Territory,2020-06-06,2020-05-15,4,23,108,1131652.21897374,0,0,0,1,20102.8090647982,1,20102.8090647982,9,1574.52950939599,0,3,,,,,,,,,,,,,,,,,,,,,,,,
