"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","stillsick_p_w_country","regioncode","provincecode","population","p_w_provs","p_m_provs","recent_p_w_provs","recent_p_m_provs","stillsick_p_w_provs","stillsick_p_m_provs","sumreach_provs","n_obs_provs","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs_rhs","p_m_regs_rhs","recent_p_w_regs_rhs","recent_p_m_regs_rhs","stillsick_p_w_regs_rhs","stillsick_p_m_regs_rhs","sumreach_regs_rhs1","sumreach_regs_rhs2","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"FR",2020-09-30,64207050,0,0,0,0,0,0.024237210788217,316,0.000155902541113209,0.00210271510414951,316,0.024237210788217,0.000155902541113209,0.000155902541113209,"FRARA","FR01",614331,0,0,0,0,0,0,0,0,7773595,0.0933333333333333,0.0888888888888889,0,0,0.0133333333333333,0.0111111111111111,75,2,0.0432216625641032,0.0432216625641032,0,0,0.00376502977922913,0.00376502977922913,90,90,0.0659996947319351,0.0639794927117331,0,0,0.00811425866745831,0.0071041576573573
"FR",2020-09-30,64207050,0,0,0,0,0,0.024237210788217,316,0.000155902541113209,0.00210271510414951,316,0.024237210788217,0.000155902541113209,0.000155902541113209,"FRARA","FR15",154135,0,0,0,0,0,0,0,0,7773595,0.0933333333333333,0.0888888888888889,0,0,0.0133333333333333,0.0111111111111111,75,2,0.0432216625641032,0.0432216625641032,0,0,0.00376502977922913,0.00376502977922913,90,90,0.0659996947319351,0.0639794927117331,0,0,0.00811425866745831,0.0071041576573573
"FR",2020-09-30,64207050,0,0,0,0,0,0.024237210788217,316,0.000155902541113209,0.00210271510414951,316,0.024237210788217,0.000155902541113209,0.000155902541113209,"FRARA","FR03",353124,0,0,0,0,0,0,0,0,7773595,0.0933333333333333,0.0888888888888889,0,0,0.0133333333333333,0.0111111111111111,75,2,0.0432216625641032,0.0432216625641032,0,0,0.00376502977922913,0.00376502977922913,90,90,0.0659996947319351,0.0639794927117331,0,0,0.00811425866745831,0.0071041576573573
"FR",2020-09-30,64207050,0,0,0,0,0,0.024237210788217,316,0.000155902541113209,0.00210271510414951,316,0.024237210788217,0.000155902541113209,0.000155902541113209,"FRARA","FR42",766729,0,0,0,0,0,0,0,0,7773595,0.0933333333333333,0.0888888888888889,0,0,0.0133333333333333,0.0111111111111111,75,2,0.0432216625641032,0.0432216625641032,0,0,0.00376502977922913,0.00376502977922913,90,90,0.0659996947319351,0.0639794927117331,0,0,0.00811425866745831,0.0071041576573573
"FR",2020-09-30,64207050,0,0,0,0,0,0.024237210788217,316,0.000155902541113209,0.00210271510414951,316,0.024237210788217,0.000155902541113209,0.000155902541113209,"FRARA","FR43",231877,0,0,0,0,0,0,0,0,7773595,0.0933333333333333,0.0888888888888889,0,0,0.0133333333333333,0.0111111111111111,75,2,0.0432216625641032,0.0432216625641032,0,0,0.00376502977922913,0.00376502977922913,90,90,0.0659996947319351,0.0639794927117331,0,0,0.00811425866745831,0.0071041576573573
"FR",2020-09-30,64207050,0,0,0,0,0,0.024237210788217,316,0.000155902541113209,0.00210271510414951,316,0.024237210788217,0.000155902541113209,0.000155902541113209,"FRARA","FR74",760979,0,0,0,0,0,0,0,0,7773595,0.0933333333333333,0.0888888888888889,0,0,0.0133333333333333,0.0111111111111111,75,2,0.0432216625641032,0.0432216625641032,0,0,0.00376502977922913,0.00376502977922913,90,90,0.0659996947319351,0.0639794927117331,0,0,0.00811425866745831,0.0071041576573573
"FR",2020-09-30,64207050,0,0,0,0,0,0.024237210788217,316,0.000155902541113209,0.00210271510414951,316,0.024237210788217,0.000155902541113209,0.000155902541113209,"FRARA","FR07",324885,0,0,0,0,0,0,0,0,7773595,0.0933333333333333,0.0888888888888889,0,0,0.0133333333333333,0.0111111111111111,75,2,0.0432216625641032,0.0432216625641032,0,0,0.00376502977922913,0.00376502977922913,90,90,0.0659996947319351,0.0639794927117331,0,0,0.00811425866745831,0.0071041576573573
"FR",2020-09-30,64207050,0,0,0,0,0,0.024237210788217,316,0.000155902541113209,0.00210271510414951,316,0.024237210788217,0.000155902541113209,0.000155902541113209,"FRARA","FR26",499313,0,0,0,0,0,0,0,0,7773595,0.0933333333333333,0.0888888888888889,0,0,0.0133333333333333,0.0111111111111111,75,2,0.0432216625641032,0.0432216625641032,0,0,0.00376502977922913,0.00376502977922913,90,90,0.0659996947319351,0.0639794927117331,0,0,0.00811425866745831,0.0071041576573573
"FR",2020-09-30,64207050,0,0,0,0,0,0.024237210788217,316,0.000155902541113209,0.00210271510414951,316,0.024237210788217,0.000155902541113209,0.000155902541113209,"FRARA","FR73",428751,0,0,0,0,0,0,0,0,7773595,0.0933333333333333,0.0888888888888889,0,0,0.0133333333333333,0.0111111111111111,75,2,0.0432216625641032,0.0432216625641032,0,0,0.00376502977922913,0.00376502977922913,90,90,0.0659996947319351,0.0639794927117331,0,0,0.00811425866745831,0.0071041576573573
"FR",2020-09-30,64207050,0,0,0,0,0,0.024237210788217,316,0.000155902541113209,0.00210271510414951,316,0.024237210788217,0.000155902541113209,0.000155902541113209,"FRARA","FR69",1756069,0.166666666666667,0.166666666666667,0,0,0.0166666666666667,0.0166666666666667,60,1,7773595,0.0933333333333333,0.0888888888888889,0,0,0.0133333333333333,0.0111111111111111,75,2,0.0432216625641032,0.0432216625641032,0,0,0.00376502977922913,0.00376502977922913,90,90,0.0659996947319351,0.0639794927117331,0,0,0.00811425866745831,0.0071041576573573
