ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B1_1.1,B1_1.2,B1_1.NA,B1_2.1,B1_2.2,B1_2.NA,B1_3.1,B1_3.2,B1_3.NA,B1_4.1,B1_4.2,B1_4.NA,B1_5.1,B1_5.2,B1_5.NA,B1_6.1,B1_6.2,B1_6.NA,B1_7.1,B1_7.2,B1_7.NA,B1_8.1,B1_8.2,B1_8.NA,B1_9.1,B1_9.2,B1_9.NA,B1_10.1,B1_10.2,B1_10.NA,B1_11.1,B1_11.2,B1_11.NA,B1_12.1,B1_12.2,B1_12.NA,B3.1,B3.2,B3.NA,B5.1,B5.2,B5.NA,B6.1,B6.2,B6.NA,B7.1,B7.2,B7.NA,B8.1,B8.2,B8.3,B8.NA,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C1_m.1,C1_m.2,C1_m.NA,C2.1,C2.2,C2.3,C2.4,C2.NA,C3.1,C3.2,C3.NA,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C5.NA,C6.1,C6.2,C6.3,C6.4,C6.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D3.1,D3.2,D3.3,D3.4,D3.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,E3.1,E3.2,E3.4,E3.NA,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E4.NA,E2.1,E2.2,E2.3,E2.NA,B2.mean,B2.sd,B4.mean,B4.sd,E5.mean,E5.sd,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
MF,MAF,Saint Martin,Saint Martin,2021-04-05,2020-12-21,100,6,156439.401045086,3,88557.9658535978,42,85,19,2,2638587.07425772,50,8,88,4,17,78,5,9,86,5,16,79,5,19,77,4,18,79,3,16,79,5,12,84,4,11,85,4,7,89,4,11,84,5,20,75,5,6,79,15,3,3,94,46,34,20,19,26,55,2,17,0,81,28,44,28,54,20,26,34,35,31,38,32,30,11,57,32,16,56,28,40,36,24,21,12,3,4,60,9,67,24,31,18,14,6,4,3,24,29,14,19,14,24,2,3,13,14,37,31,2,3,7,17,39,32,25,20,12,8,35,9,9,9,38,35,23,26,2,49,5,12,8,7,9,8,1,50,14,15,18,53,18.9814814814815,32.0417771824351,116.666666666667,189.443629845104,5.83090379008746,3.17257790921388,0.06,0.046546565661405,0.0592890803458118,0.000284956012761076,0.03,0.0334344809563718,0.0335626467352838,0.000217308808333509,0.00695940347970174,0.00209738889110047
MF,MAF,Saint Martin,Saint Martin,2021-04-06,2020-12-28,100,6,156439.401045086,3,88557.9658535978,42,85,19,2,2721848.95264723,52,8,88,4,17,78,5,9,86,5,17,78,5,19,77,4,18,79,3,16,79,5,12,84,4,11,85,4,7,89,4,11,84,5,20,75,5,6,79,15,3,3,94,48,32,20,19,28,53,2,17,0,81,28,44,28,54,20,26,34,35,31,38,32,30,12,56,32,16,56,28,39,37,24,20,12,3,4,61,9,67,24,32,18,14,5,4,3,24,28,14,19,15,24,2,3,13,14,38,30,2,3,7,16,41,31,26,20,12,8,34,10,9,9,38,34,24,27,2,47,5,13,8,8,9,8,1,48,14,16,19,51,19.5987654320988,32.2642340000569,116.666666666667,189.443629845104,5.5363321799308,3.00469662741987,0.06,0.046546565661405,0.0574754160744061,0.000276505316447381,0.03,0.0334344809563718,0.03253595897284,0.000210773158005946,0.00695940347970174,0.00209738889110047
MF,MAF,Saint Martin,Saint Martin,2021-04-11,2020-12-31,100,6,156439.401045086,3,88557.9658535978,42,85,19,2,2722365.63716381,52,8,87,5,17,77,6,10,85,5,18,77,5,20,76,4,19,78,3,16,78,6,12,83,5,12,84,4,8,88,4,11,84,5,21,74,5,6,79,15,3,3,94,48,32,20,19,28,53,2,17,0,81,28,44,28,54,20,26,35,34,31,38,32,30,12,56,32,16,56,28,39,37,24,20,12,3,4,61,9,67,24,31,19,14,5,4,3,24,27,14,19,16,24,2,3,12,15,38,30,2,3,6,17,41,31,26,21,12,8,33,10,9,9,39,33,24,27,2,47,5,13,8,8,9,8,1,48,14,16,19,51,19.5987654320988,32.2642340000569,116.666666666667,189.443629845104,5.5363321799308,3.00469662741987,0.06,0.046546565661405,0.0574645076728439,0.000276454437591083,0.03,0.0334344809563718,0.0325297838926069,0.000210733827373634,0.00695940347970174,0.00209738889110047
MF,MAF,Saint Martin,Saint Martin,2021-04-12,2021-01-01,100,6,156439.401045086,3,88557.9658535978,42,85,19,2,2703786.37192291,52,7,88,5,17,77,6,10,85,5,18,77,5,20,76,4,18,79,3,16,78,6,12,83,5,12,84,4,8,88,4,10,85,5,20,75,5,6,79,15,3,3,94,48,32,20,19,28,53,2,17,0,81,27,45,28,53,21,26,34,35,31,37,33,30,11,57,32,16,56,28,39,37,24,20,12,3,4,61,9,67,24,30,20,14,5,4,3,24,27,13,20,16,24,2,3,11,15,39,30,2,3,5,17,42,31,25,21,12,8,34,9,9,9,39,34,24,27,2,47,5,13,8,8,9,8,1,48,14,16,19,51,20.4897959183673,33.610191919379,116.666666666667,189.443629845104,5.5363321799308,3.00469662741987,0.06,0.046546565661405,0.057859379228185,0.000278295800629129,0.03,0.0334344809563718,0.0327533146750111,0.000212157386859254,0.00695940347970174,0.00209738889110047
MF,MAF,Saint Martin,Saint Martin,2021-04-14,2021-01-01,100,6,156439.401045086,3,88557.9658535978,44,86,19,2,2689021.60770954,52,7,88,5,16,78,6,10,85,5,18,77,5,19,77,4,18,79,3,16,78,6,12,83,5,12,84,4,8,88,4,10,85,5,20,75,5,7,79,14,4,3,93,49,32,19,19,30,51,2,17,0,81,27,45,28,53,21,26,33,36,31,38,32,30,11,57,32,17,55,28,40,36,24,21,12,3,4,60,9,67,24,31,19,14,5,4,3,24,26,14,20,16,24,2,3,11,14,40,30,2,3,6,16,42,31,24,22,12,8,34,9,9,9,39,34,24,27,2,47,6,13,8,8,9,7,1,48,14,16,19,51,20.4897959183673,33.610191919379,89.795918367347,150.670674284703,5.57477893118032,2.99615411616775,0.06,0.046546565661405,0.0581770710196482,0.000279776672671252,0.03,0.0334344809563718,0.0329331551668081,0.000213302459052532,0.00720602685882738,0.00212152031767436
MF,MAF,Saint Martin,Saint Martin,2021-04-17,2021-01-02,100,5,107218.209585763,2,39336.7743942743,44,86,19,2,2662235.63745406,53,6,89,5,15,79,6,9,86,5,17,78,5,18,78,4,18,79,3,15,79,6,11,84,5,12,84,4,7,89,4,9,86,5,19,76,5,7,79,14,4,3,93,50,31,19,19,31,50,2,17,0,81,26,46,28,54,21,25,34,36,30,38,33,29,11,58,31,16,56,28,39,37,24,21,12,3,3,61,9,67,24,31,19,14,5,4,3,24,27,13,20,16,24,2,3,10,14,41,30,2,3,6,16,43,30,24,22,13,8,33,9,9,9,40,33,24,28,2,46,6,13,8,8,9,8,1,47,14,16,19,51,21.5397923875433,35.0161408297553,89.795918367347,150.670674284703,5.57477893118032,2.99615411616775,0.05,0.042716424707947,0.0402737489038714,0.000236161751283484,0.02,0.0274394957835608,0.0147758424689607,0.000144933405470498,0.00720602685882738,0.00212152031767436
MF,MAF,Saint Martin,Saint Martin,2021-04-21,2021-01-02,100,4,86799.274531178,2,39336.7743942743,44,86,18,2,2668086.10400123,53,6,89,5,14,80,6,9,85,6,17,79,4,17,79,4,19,78,3,14,80,6,12,83,5,11,85,4,7,89,4,10,85,5,19,76,5,7,79,14,4,3,93,49,32,19,18,31,51,2,16,0,82,26,45,29,54,21,25,34,35,31,37,33,30,11,57,32,15,56,29,40,36,24,22,12,3,3,60,10,66,24,32,19,14,5,4,2,24,26,13,21,16,24,2,3,10,15,40,30,2,3,6,16,43,30,24,23,13,7,33,9,9,9,40,33,23,29,2,46,5,14,8,8,9,8,1,47,14,16,19,51,21.7993079584775,34.9291711841467,89.795918367347,150.670674284703,5.3440984236832,2.25544516466678,0.04,0.0384072934108425,0.0325324113044959,0.00021287492601541,0.02,0.0274394957835608,0.0147434426255144,0.000144617979496197,0.00720602685882738,0.00212152031767436
MF,MAF,Saint Martin,Saint Martin,2021-04-23,2021-01-05,100,4,86799.274531178,2,39336.7743942743,54,87,18,2,2596505.0182191,54,6,90,4,14,81,5,9,86,5,16,80,4,17,80,3,19,79,2,14,81,5,12,84,4,11,86,3,7,90,3,10,86,4,19,77,4,8,79,13,4,4,92,49,33,18,18,31,51,2,16,0,82,26,45,29,54,22,24,34,36,30,37,33,30,11,57,32,15,56,29,41,36,23,22,12,4,3,59,11,66,23,33,19,14,5,4,2,23,26,14,21,16,23,2,3,11,15,40,29,2,3,7,16,43,29,25,23,13,7,32,9,10,9,40,32,23,30,2,45,5,15,8,8,9,8,1,46,14,17,19,50,21.7993079584775,34.9291711841467,84.375,123.156042134707,5.17751479289941,2.2380926474527,0.04,0.0384072934108425,0.03342927278096,0.000218642100794806,0.02,0.0274394957835608,0.0151498934599613,0.00014857418798499,0.00874210781932977,0.0023214572936621
MF,MAF,Saint Martin,Saint Martin,2021-04-24,2021-01-07,100,4,86799.274531178,2,39336.7743942743,58,88,20,2,2574880.66882598,56,6,90,4,14,81,5,10,85,5,16,80,4,18,79,3,19,79,2,14,81,5,13,83,4,10,87,3,8,89,3,11,85,4,19,77,4,9,79,12,5,4,91,50,33,17,20,30,50,2,18,0,80,25,47,28,54,22,24,35,35,30,37,33,30,12,56,32,16,55,29,42,36,22,23,11,5,3,58,10,68,22,33,19,14,6,4,2,22,25,14,22,17,22,2,4,11,15,40,28,2,3,8,15,44,28,25,22,13,9,31,10,10,8,41,31,26,29,2,43,5,14,10,9,9,8,1,44,16,16,20,48,24.2448979591837,35.4045149322134,71.604938271605,102.906992514443,4.94838020647917,2.25768352720062,0.04,0.0384072934108425,0.0337100183251421,0.000220446277879021,0.02,0.0274394957835608,0.0152771252161406,0.000149812264972318,0.00928297055057618,0.00237791256108686
MF,MAF,Saint Martin,Saint Martin,2021-04-25,2021-01-09,100,4,86799.274531178,2,39336.7743942743,58,88,20,2,2573884.09041465,57,6,90,4,14,81,5,10,85,5,16,80,4,17,80,3,19,79,2,14,81,5,13,83,4,10,87,3,8,89,3,11,85,4,19,77,4,9,79,12,5,4,91,49,35,16,20,29,51,2,18,0,80,24,49,27,54,23,23,35,36,29,37,34,29,13,56,31,17,55,28,41,38,21,23,10,5,3,59,10,69,21,35,19,13,6,4,2,21,26,14,22,17,21,2,4,11,17,39,27,3,3,9,14,44,27,25,23,13,9,30,11,11,8,40,30,26,30,2,42,6,15,10,9,9,7,1,43,18,16,19,47,22.9166666666667,34.1524683364823,71.604938271605,102.906992514443,4.9039780521262,2.3078485648415,0.04,0.0384072934108425,0.0337230704577667,0.000220530142733298,0.02,0.0274394957835608,0.0152830403438786,0.000149869820435553,0.00928297055057618,0.00237791256108686
