ISO2,ISO_3,country_agg,region_agg,date,first_date,count,cli,cli_weight,cliWHO,cliWHO_weight,cli_local,count_local,test_recent,positive_recent,weight,Finished,B1_1.1,B1_1.2,B1_1.NA,B1_2.1,B1_2.2,B1_2.NA,B1_3.1,B1_3.2,B1_3.NA,B1_4.1,B1_4.2,B1_4.NA,B1_5.1,B1_5.2,B1_5.NA,B1_6.1,B1_6.2,B1_6.NA,B1_7.1,B1_7.2,B1_7.NA,B1_8.1,B1_8.2,B1_8.NA,B1_9.1,B1_9.2,B1_9.NA,B1_10.1,B1_10.2,B1_10.NA,B1_11.1,B1_11.2,B1_11.NA,B1_12.1,B1_12.2,B1_12.NA,B3.1,B3.2,B3.NA,B5.1,B5.2,B5.NA,B6.1,B6.2,B6.NA,B7.1,B7.2,B7.NA,B8.1,B8.2,B8.3,B8.NA,C0_1.1,C0_1.2,C0_1.NA,C0_2.1,C0_2.2,C0_2.NA,C0_3.1,C0_3.2,C0_3.NA,C0_4.1,C0_4.2,C0_4.NA,C0_5.1,C0_5.2,C0_5.NA,C0_6.1,C0_6.2,C0_6.NA,C1_m.1,C1_m.2,C1_m.NA,C2.1,C2.2,C2.3,C2.4,C2.NA,C3.1,C3.2,C3.NA,C5.1,C5.2,C5.3,C5.4,C5.5,C5.6,C5.NA,C6.1,C6.2,C6.3,C6.4,C6.NA,D1.1,D1.2,D1.3,D1.4,D1.5,D1.NA,D2.1,D2.2,D2.3,D2.4,D2.5,D2.NA,D3.1,D3.2,D3.3,D3.4,D3.NA,D4.1,D4.2,D4.3,D4.4,D4.NA,E3.1,E3.2,E3.3,E3.4,E3.NA,E4.1,E4.2,E4.3,E4.4,E4.5,E4.6,E4.7,E4.NA,E2.1,E2.2,E2.3,E2.NA,B2.mean,B2.sd,B4.mean,B4.sd,E5.mean,E5.sd,p_cli,p_cli_CI,p_cli_weight,p_cli_weight_CI,p_cliWHO,p_cliWHO_CI,p_cliWHO_weight,p_cliWHO_weight_CI,p_cli_local,p_cli_local_CI
BA,BIH,Bosnia and Herzegovina,Brčko,2021-01-01,2020-12-06,100,2,20256.2197074079,1,11968.2932604886,138,85,6,5,1601216.06305566,75,3,92,5,13,82,5,8,87,5,19,77,4,14,81,5,13,84,3,6,90,4,5,88,7,7,88,5,6,90,4,6,89,5,21,73,6,38,59,3,12,25,63,31,64,5,6,25,69,5,1,0,94,18,76,6,60,35,5,39,55,6,41,52,7,12,82,6,6,87,7,42,50,8,25,7,2,6,60,16,74,10,37,26,8,10,2,8,9,36,16,20,19,9,1,3,10,26,43,17,1,2,8,26,46,17,31,31,14,6,18,7,15,20,42,16,38,40,0,3,19,14,18,20,18,4,7,0,19,43,14,13,30,17.7455862381168,35.0882317770475,20.414201183432,22.5784426370875,4.01176223482462,6.00719535700268,0.02,0.0274394957835608,0.0126505224215351,0.000173106271630117,0.01,0.0195013954179879,0.00747450237143452,0.00013340899119336,0.0228666114333057,0.00377126704839406
BA,BIH,Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2021-01-01,2020-12-31,100,1,9699.9075420579,0,0,48,88,11,3,1739115.45701533,71,3,96,1,15,82,3,8,90,2,20,77,3,18,78,4,14,85,1,7,90,3,13,84,3,5,93,2,2,95,3,5,91,4,14,83,3,24,71,5,6,18,76,36,58,6,11,25,64,3,8,0,89,23,64,13,69,19,12,51,37,12,57,30,13,26,60,14,16,70,14,61,29,10,36,14,3,8,39,18,68,14,29,29,12,7,5,3,15,20,21,27,18,14,2,3,8,22,44,21,2,5,5,18,49,21,16,32,15,16,21,6,9,17,46,22,39,34,0,2,25,8,12,26,15,12,3,1,23,41,16,14,29,18.3826429980276,27.4302940439445,16.6089965397924,13.5158650398445,3.0060553633218,1.87457622351125,0.01,0.0195013954179879,0.00557749487127491,0.000110685044881827,0,0,0,0,0.00768245838668374,0.00216497568514683
BA,BIH,Bosnia and Herzegovina,Repuplika Srpska,2021-01-01,2020-12-30,100,3,39040.5417003278,0,0,187,77,14,8,1777292.73503198,72,3,93,4,20,77,3,14,83,3,24,74,2,27,69,4,17,80,3,17,80,3,6,91,3,5,92,3,8,88,4,10,86,4,17,80,3,44,52,4,17,27,56,43,53,4,14,29,57,8,6,0,86,19,68,13,59,28,13,40,45,15,50,36,14,15,70,15,2,84,14,47,39,14,30,10,2,5,53,13,68,19,35,23,7,7,6,3,19,27,18,15,20,20,1,3,13,26,37,20,1,5,8,27,38,21,21,42,7,9,21,6,11,14,49,20,43,28,0,1,28,6,13,24,19,10,2,0,26,35,27,10,28,15.36,19.9036044320559,29.92,48.0710585141067,4.26530612244898,2.60244529451911,0.03,0.0334344809563718,0.0219662979152533,0.000215488428062555,0,0,0,0,0.03420523138833,0.00481794951274769
BA,BIH,Bosnia and Herzegovina,Brčko,2021-01-02,2020-12-06,100,2,20256.2197074079,1,11968.2932604886,130,85,6,5,1606104.84002257,75,3,92,5,13,82,5,8,87,5,18,78,4,14,81,5,12,85,3,6,90,4,5,88,7,7,88,5,6,90,4,5,90,5,19,75,6,37,60,3,12,24,64,30,65,5,6,24,70,5,1,0,94,17,77,6,61,34,5,41,53,6,41,52,7,12,82,6,6,87,7,41,51,8,25,6,2,6,61,16,74,10,36,27,8,10,2,8,9,36,15,21,19,9,1,3,9,26,44,17,1,2,7,27,46,17,30,31,15,6,18,7,14,20,43,16,39,39,0,3,19,13,17,21,19,4,7,0,19,43,15,12,30,19.8487712665406,36.7259322137013,20.8,23.8607068908977,3.99075824406637,6.01367509053602,0.02,0.0274394957835608,0.0126120158551563,0.000172582723619046,0.01,0.0195013954179879,0.00745175094567327,0.000133004435737392,0.0215410107705054,0.00366280506864367
BA,BIH,Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2021-01-02,2021-01-01,100,3,51508.7908489937,3,51508.7908489937,62,90,10,3,1896205.53185019,79,4,95,1,14,84,2,6,92,2,16,82,2,25,74,1,12,86,2,5,93,2,9,90,1,9,90,1,10,89,1,7,91,2,17,81,2,23,74,3,6,17,77,37,58,5,10,25,65,3,7,0,90,17,76,7,60,33,7,49,44,7,54,39,7,22,71,7,9,84,7,46,44,10,30,7,5,4,54,15,74,11,31,25,8,14,8,4,10,21,27,26,16,10,2,4,4,31,43,16,1,11,6,21,45,16,22,34,18,10,16,3,13,22,47,15,40,39,0,1,20,15,17,21,18,8,1,1,19,47,15,14,24,17.3333333333333,26.6102095965049,24.21875,23.5932326102211,3.35897917057609,1.70914614261383,0.03,0.0334344809563718,0.02716413911035,0.00023137857656886,0.03,0.0334344809563718,0.02716413911035,0.00023137857656886,0.00970266040688576,0.00240339904228117
BA,BIH,Bosnia and Herzegovina,Repuplika Srpska,2021-01-02,2020-12-31,100,4,51487.7043913277,1,12447.1626909999,130,81,17,8,1793659.01752308,66,5,92,3,20,78,2,10,87,3,23,75,2,24,73,3,19,79,2,14,83,3,8,90,2,6,92,2,9,88,3,11,86,3,17,80,3,40,55,5,18,22,60,46,49,5,17,29,54,8,9,0,83,14,73,13,61,26,13,45,41,14,57,30,13,14,72,14,1,86,13,52,34,14,31,14,2,5,48,17,64,19,39,23,8,3,7,1,19,24,13,22,21,20,0,2,11,22,44,21,0,4,7,25,42,22,16,35,13,14,22,3,5,13,57,22,42,28,0,0,30,2,11,27,17,10,4,0,29,37,21,7,35,15.9100374843815,19.6013103859346,19.2307692307692,26.2441878603569,4.474505723205,2.74619936051891,0.04,0.0384072934108425,0.0287054026926638,0.00024436300479798,0.01,0.0195013954179879,0.00693953676222618,0.000121487399147515,0.022604764388802,0.00384159438932584
BA,BIH,Bosnia and Herzegovina,Brčko,2021-01-03,2020-12-07,100,2,20256.2197074079,1,11968.2932604886,126,85,7,5,1597291.30581549,75,3,92,5,13,82,5,8,87,5,17,79,4,14,81,5,11,86,3,5,91,4,4,89,7,6,89,5,5,91,4,5,90,5,18,76,6,36,61,3,11,24,65,31,64,5,7,24,69,5,2,0,93,17,77,6,62,33,5,42,52,6,41,52,7,13,81,6,7,86,7,42,50,8,25,6,2,7,60,16,75,9,36,27,9,10,2,7,9,35,15,22,19,9,1,3,9,26,44,17,1,1,7,28,46,17,30,31,15,6,18,7,14,21,42,16,39,39,0,3,19,13,17,21,19,4,7,0,19,44,15,12,29,20.3950617283951,37.9594233383106,21.875,25.367170860936,3.93877551020408,5.88480421860047,0.02,0.0274394957835608,0.0126816064381357,0.000173528885162055,0.01,0.0195013954179879,0.00749286821816029,0.000133735557484313,0.0208782104391052,0.00360723508937987
BA,BIH,Bosnia and Herzegovina,Federacija Bosna i Hercegovina,2021-01-03,2021-01-03,111,6,76569.1110490835,6,76569.1110490835,62,96,8,5,1687904.61969215,84,9,100,2,21,89,1,8,101,2,34,75,2,26,82,3,22,87,2,17,93,1,10,99,2,8,101,2,13,96,2,13,96,2,25,85,1,25,79,7,7,18,86,33,68,10,8,25,78,5,3,0,103,19,78,14,62,37,12,47,50,14,64,34,13,24,72,15,15,82,14,54,44,13,32,12,3,7,57,13,80,18,27,33,9,13,6,6,17,20,22,31,21,17,1,1,10,32,44,23,2,8,10,15,53,23,28,33,14,13,23,3,17,19,49,23,44,38,0,1,28,12,22,24,13,11,3,0,26,46,18,20,27,15.2644032921811,31.7683367966618,23.8131487889273,28.7350851585975,3.1860499702558,2.37215377472686,0.0540540540540541,0.0420662595939769,0.0453634110338821,0.000313939548715475,0.0540540540540541,0.0420662595939769,0.0453634110338821,0.000313939548715475,0.0090962441314554,0.00225387637472499
BA,BIH,Bosnia and Herzegovina,Repuplika Srpska,2021-01-03,2021-01-01,100,3,34860.2118267218,2,24007.4758225216,102,86,12,4,1708999.58324306,68,5,95,0,20,80,0,3,97,0,21,79,0,17,83,0,12,88,0,13,87,0,5,95,0,7,93,0,7,93,0,9,91,0,16,84,0,31,65,4,15,16,69,45,51,4,12,33,55,4,7,1,88,14,77,9,57,34,9,49,40,11,54,36,10,16,74,10,3,87,10,54,36,10,30,18,2,4,46,14,71,15,31,29,11,7,5,2,15,20,13,30,21,16,1,5,10,25,42,17,2,4,8,29,40,17,12,33,19,17,19,4,5,16,55,20,38,36,0,0,26,8,15,23,12,12,4,0,26,34,21,9,36,19.7037037037037,25.3487459760621,23.1292517006803,35.0990084647088,5.02553077129804,2.8531004312922,0.03,0.0334344809563718,0.0203980224269977,0.000211931724332791,0.02,0.0274394957835608,0.014047677985365,0.000176444181464567,0.0167048804454635,0.00321464721235635
BA,BIH,Bosnia and Herzegovina,Brčko,2021-01-04,2020-12-07,100,2,20256.2197074079,1,11968.2932604886,126,86,7,5,1590343.4438559,73,3,92,5,13,82,5,8,87,5,16,80,4,14,81,5,12,85,3,7,89,4,4,89,7,6,89,5,5,91,4,5,90,5,18,76,6,35,62,3,10,24,66,31,64,5,7,24,69,5,2,0,93,17,77,6,61,34,5,43,51,6,42,51,7,14,80,6,7,86,7,43,49,8,26,6,2,7,59,16,75,9,34,28,10,10,2,7,9,34,16,23,18,9,1,2,10,26,43,18,1,1,6,28,46,18,30,31,14,6,19,7,13,22,41,17,40,36,0,3,21,13,17,21,18,3,7,0,21,43,15,11,31,18.9508506616257,36.6745796682288,21.875,25.367170860936,4.10899653979239,6.14303223036527,0.02,0.0274394957835608,0.0127370095973076,0.000174282104722772,0.01,0.0195013954179879,0.00752560291723566,0.000134317603750077,0.0206354405502784,0.00356573246869632
