"countrycode","date","population_country","p_w_country_only","recent_p_w_country_only","stillsick_p_w_country_only","sumreach_country","n_obs_country","p_w_country_rhs","sumreach_country_rhs","recent_p_w_country_rhs","stillsick_p_w_country_rhs","recent_sumreach_country_rhs","p_w_country","recent_p_w_country","stillsick_p_w_country","regioncode","population_region","p_w_regs_only","p_m_regs_only","recent_p_w_regs_only","recent_p_m_regs_only","stillsick_p_w_regs_only","stillsick_p_m_regs_only","sumreach_regs","n_obs_regs","p_w_regs","p_m_regs","recent_p_w_regs","recent_p_m_regs","stillsick_p_w_regs","stillsick_p_m_regs"
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USOR",4217737,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USPA",12801989,0.01,0.01,0,0,0,0,200,2,0.01,0.01,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USRI",1059361,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USSC",5148714,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USSD",884659,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USTN",6833174,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USTX",28995881,0.01,0.01,0,0,0,0,300,3,0.01,0.01,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USUT",3205958,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USVA",8535519,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USVT",623989,0.04,0.0416666666666667,0,0,0.125,0.125,50,6,0.04,0.0416666666666667,0,0,0.125,0.125
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USWA",7614893,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USWI",5822434,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USWV",1792147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"US",2021-01-28,328300544,0.1875,0.1875,0.25,16,4,0.0210946774352432,2938,0.00809967485991484,0.00767885759470355,2938,0.0219959926556346,0.00907137601165531,0.00907137601165531,"USWY",578759,0,0,0,0,0,0,0,0,0,0,0,0,0,0
